date_time,Kazakhstan_maxtempC,Kazakhstan_mintempC,Kazakhstan_totalSnow_cm,Kazakhstan_sunHour,Kazakhstan_uvIndex,Kazakhstan_moon_illumination,Kazakhstan_moonrise,Kazakhstan_moonset,Kazakhstan_sunrise,Kazakhstan_sunset,Kazakhstan_DewPointC,Kazakhstan_FeelsLikeC,Kazakhstan_HeatIndexC,Kazakhstan_WindChillC,Kazakhstan_WindGustKmph,Kazakhstan_cloudcover,Kazakhstan_humidity,Kazakhstan_precipMM,Kazakhstan_pressure,Kazakhstan_tempC,Kazakhstan_visibility,Kazakhstan_winddirDegree,Kazakhstan_windspeedKmph,Kazakhstan_location
2020-01-01,-4,-14,0.2,2.0,1,37,12:47 PM,11:46 PM,09:19 AM,05:17 PM,-8,-17,-9,-17,50,100,92,2.0,1016,-4,3,217,33,Kazakhstan
2020-01-02,-4,-14,0.0,3.9,1,44,01:04 PM,No moonset,09:19 AM,05:18 PM,-5,-11,-5,-11,50,90,91,3.8,1019,-4,4,214,34,Kazakhstan
2020-01-03,-3,-9,0.7,2.0,1,51,01:21 PM,12:51 AM,09:18 AM,05:19 PM,-6,-11,-5,-11,33,100,95,1.9,1021,-3,3,228,21,Kazakhstan
2020-01-04,-4,-11,0.5,2.0,1,59,01:38 PM,01:58 AM,09:18 AM,05:20 PM,-8,-14,-8,-14,31,93,95,0.6,1025,-4,8,207,18,Kazakhstan
2020-01-05,-5,-11,0.0,2.0,1,66,01:56 PM,03:05 AM,09:18 AM,05:21 PM,-8,-14,-8,-14,31,98,95,0.0,1024,-5,9,202,17,Kazakhstan
2020-01-06,-6,-11,0.0,3.9,1,73,02:17 PM,04:13 AM,09:18 AM,05:23 PM,-9,-12,-8,-12,15,79,93,0.0,1026,-6,8,160,8,Kazakhstan
2020-01-07,-9,-13,0.0,2.0,1,80,02:43 PM,05:24 AM,09:17 AM,05:24 PM,-13,-14,-11,-14,11,99,84,0.0,1028,-9,10,176,6,Kazakhstan
2020-01-08,-14,-22,0.0,2.0,1,88,03:16 PM,06:36 AM,09:17 AM,05:25 PM,-16,-20,-16,-20,15,74,93,0.0,1033,-14,6,224,7,Kazakhstan
2020-01-09,-16,-23,0.0,2.0,1,95,03:59 PM,07:46 AM,09:16 AM,05:27 PM,-19,-26,-19,-26,22,98,97,0.0,1035,-16,2,206,11,Kazakhstan
2020-01-10,-13,-20,0.0,2.0,1,100,04:54 PM,08:51 AM,09:16 AM,05:28 PM,-17,-22,-16,-22,22,75,91,0.0,1031,-13,8,192,11,Kazakhstan
2020-01-11,-11,-17,0.0,2.0,1,100,06:02 PM,09:46 AM,09:15 AM,05:29 PM,-15,-20,-13,-20,23,75,88,0.0,1025,-11,10,191,11,Kazakhstan
2020-01-12,-12,-17,0.0,2.0,1,83,07:20 PM,10:31 AM,09:15 AM,05:31 PM,-14,-19,-13,-19,20,76,94,0.0,1021,-12,4,218,11,Kazakhstan
2020-01-13,-13,-18,0.3,2.0,1,76,08:42 PM,11:06 AM,09:14 AM,05:32 PM,-16,-24,-16,-24,27,96,96,0.3,1021,-13,8,224,15,Kazakhstan
2020-01-14,-9,-16,0.1,2.1,1,69,10:05 PM,11:35 AM,09:13 AM,05:34 PM,-12,-20,-12,-20,43,100,93,1.3,1018,-9,6,210,28,Kazakhstan
2020-01-15,-5,-12,1.4,2.1,1,61,11:27 PM,11:59 AM,09:13 AM,05:35 PM,-8,-14,-6,-14,37,100,94,3.8,1017,-5,2,234,24,Kazakhstan
2020-01-16,-16,-23,0.6,2.1,1,54,No moonrise,12:20 PM,09:12 AM,05:37 PM,-16,-24,-17,-24,34,97,95,0.7,1031,-16,6,237,21,Kazakhstan
2020-01-17,-5,-13,0.0,2.1,1,47,12:47 AM,12:41 PM,09:11 AM,05:38 PM,-7,-15,-7,-15,58,100,93,9.7,1020,-5,0,235,40,Kazakhstan
2020-01-18,-4,-8,3.4,2.1,1,40,02:07 AM,01:02 PM,09:10 AM,05:40 PM,-6,-12,-5,-12,31,99,95,7.0,1024,-4,3,238,21,Kazakhstan
2020-01-19,-9,-14,0.7,2.1,1,32,03:26 AM,01:26 PM,09:09 AM,05:41 PM,-11,-17,-10,-17,25,100,96,0.8,1023,-9,8,243,15,Kazakhstan
2020-01-20,-11,-14,0.3,2.1,1,25,04:43 AM,01:54 PM,09:08 AM,05:43 PM,-13,-17,-13,-17,14,100,96,0.4,1025,-11,8,179,9,Kazakhstan
2020-01-21,-10,-16,5.5,2.1,1,18,05:58 AM,02:29 PM,09:07 AM,05:45 PM,-11,-18,-11,-18,30,100,94,6.5,1017,-10,3,229,21,Kazakhstan
2020-01-22,-8,-16,1.6,2.1,1,11,07:06 AM,03:12 PM,09:06 AM,05:46 PM,-10,-17,-10,-17,43,100,91,3.0,1016,-8,1,219,29,Kazakhstan
2020-01-23,-2,-7,0.0,2.1,1,3,08:06 AM,04:04 PM,09:05 AM,05:48 PM,-5,-12,-4,-12,67,100,89,3.8,1009,-2,0,214,46,Kazakhstan
2020-01-24,-2,-3,0.1,2.1,1,0,08:56 AM,05:04 PM,09:04 AM,05:50 PM,-3,-10,-2,-10,50,100,92,5.1,1007,-2,4,215,34,Kazakhstan
2020-01-25,-3,-15,6.5,2.1,1,0,09:35 AM,06:09 PM,09:02 AM,05:51 PM,-9,-16,-8,-16,31,99,95,7.6,1011,-3,4,236,20,Kazakhstan
2020-01-26,-7,-16,0.0,2.1,1,4,10:06 AM,07:17 PM,09:01 AM,05:53 PM,-12,-20,-12,-20,54,98,89,0.4,1016,-7,8,207,36,Kazakhstan
2020-01-27,-4,-9,0.2,3.2,1,11,10:30 AM,08:24 PM,09:00 AM,05:55 PM,-7,-15,-6,-15,53,97,91,5.6,1006,-4,4,219,36,Kazakhstan
2020-01-28,-5,-14,0.9,3.4,1,18,10:51 AM,09:32 PM,08:58 AM,05:56 PM,-11,-18,-10,-18,38,100,93,3.6,1011,-5,3,242,26,Kazakhstan
2020-01-29,-21,-27,0.0,3.4,1,26,11:09 AM,10:37 PM,08:57 AM,05:58 PM,-24,-33,-24,-33,26,82,97,0.0,1036,-21,8,240,14,Kazakhstan
2020-01-30,-15,-25,0.0,9.4,1,33,11:26 AM,11:44 PM,08:56 AM,06:00 PM,-23,-27,-21,-27,15,38,86,0.0,1039,-15,8,173,7,Kazakhstan
2020-01-31,-11,-20,0.0,9.5,1,37,11:43 AM,No moonset,08:54 AM,06:02 PM,-20,-23,-16,-23,19,46,72,0.0,1034,-11,10,161,10,Kazakhstan
2020-02-01,-8,-16,0.0,9.5,1,49,12:00 PM,12:49 AM,08:53 AM,06:03 PM,-16,-18,-12,-18,21,50,73,0.0,1028,-8,10,158,10,Kazakhstan
2020-02-02,-8,-14,0.0,9.5,2,57,12:19 PM,01:56 AM,08:51 AM,06:05 PM,-14,-18,-12,-18,25,20,83,0.0,1021,-8,10,180,13,Kazakhstan
2020-02-03,-5,-10,0.3,4.8,1,64,12:42 PM,03:05 AM,08:50 AM,06:07 PM,-8,-12,-7,-12,24,91,90,0.3,1014,-5,9,200,13,Kazakhstan
2020-02-04,-3,-11,0.6,4.8,1,72,01:11 PM,04:14 AM,08:48 AM,06:09 PM,-8,-13,-7,-13,32,92,94,0.7,1017,-3,8,212,19,Kazakhstan
2020-02-05,1,-7,0.0,4.8,1,79,01:48 PM,05:24 AM,08:46 AM,06:10 PM,-3,-8,-3,-8,34,99,92,0.0,1016,1,10,201,22,Kazakhstan
2020-02-06,-1,-13,0.4,4.8,1,87,02:36 PM,06:31 AM,08:45 AM,06:12 PM,-6,-12,-5,-12,41,98,91,1.7,1016,-1,6,227,27,Kazakhstan
2020-02-07,-1,-7,0.0,4.9,1,95,03:38 PM,07:31 AM,08:43 AM,06:14 PM,-5,-11,-4,-11,44,100,91,5.2,1019,-1,2,206,29,Kazakhstan
2020-02-08,2,1,0.0,6.6,1,100,04:51 PM,08:21 AM,08:41 AM,06:16 PM,-1,-5,1,-5,49,73,85,0.3,1006,2,10,206,31,Kazakhstan
2020-02-09,0,-10,16.3,4.9,1,100,06:14 PM,09:02 AM,08:40 AM,06:18 PM,-3,-8,-2,-8,25,100,97,21.3,1000,0,4,134,16,Kazakhstan
2020-02-10,-14,-19,1.3,4.9,1,83,07:40 PM,09:34 AM,08:38 AM,06:19 PM,-16,-21,-16,-21,15,100,95,1.5,1018,-14,7,256,9,Kazakhstan
2020-02-11,-16,-25,0.0,9.9,1,75,09:05 PM,10:00 AM,08:36 AM,06:21 PM,-22,-31,-21,-31,29,48,89,0.0,1031,-16,8,222,16,Kazakhstan
2020-02-12,-10,-20,0.0,9.9,2,68,10:30 PM,10:23 AM,08:34 AM,06:23 PM,-19,-24,-16,-24,27,16,77,0.0,1030,-10,10,149,14,Kazakhstan
2020-02-13,-4,-12,0.3,5.0,1,60,11:53 PM,10:45 AM,08:32 AM,06:25 PM,-10,-17,-8,-17,43,87,86,1.6,1019,-4,4,169,28,Kazakhstan
2020-02-14,-9,-18,0.3,10.0,2,53,No moonrise,11:06 AM,08:31 AM,06:27 PM,-15,-22,-14,-22,36,48,87,0.3,1033,-9,9,193,20,Kazakhstan
2020-02-15,-3,-10,0.0,6.6,1,45,01:14 AM,11:30 AM,08:29 AM,06:28 PM,-9,-13,-7,-13,25,82,86,0.0,1031,-3,10,131,13,Kazakhstan
2020-02-16,-3,-9,3.4,5.0,1,38,02:33 AM,11:57 AM,08:27 AM,06:30 PM,-8,-12,-7,-12,22,97,89,4.0,1030,-3,5,150,13,Kazakhstan
2020-02-17,-11,-14,1.2,5.0,1,30,03:50 AM,12:29 PM,08:25 AM,06:32 PM,-13,-20,-12,-20,30,100,94,1.4,1032,-11,5,233,20,Kazakhstan
2020-02-18,-13,-22,0.5,5.1,1,22,05:00 AM,01:10 PM,08:23 AM,06:34 PM,-14,-22,-15,-22,33,100,95,0.8,1035,-13,5,232,21,Kazakhstan
2020-02-19,-5,-14,0.0,5.1,1,15,06:02 AM,01:58 PM,08:21 AM,06:36 PM,-7,-14,-7,-14,48,100,93,13.1,1028,-5,0,247,34,Kazakhstan
2020-02-20,-7,-12,0.0,10.2,1,7,06:54 AM,02:55 PM,08:19 AM,06:38 PM,-11,-17,-9,-17,38,53,86,0.0,1030,-7,10,222,23,Kazakhstan
2020-02-21,-5,-12,0.0,10.0,1,0,07:35 AM,03:58 PM,08:17 AM,06:39 PM,-11,-14,-9,-14,20,47,85,0.0,1024,-5,10,169,10,Kazakhstan
2020-02-22,-7,-9,1.5,5.1,1,0,08:08 AM,05:05 PM,08:15 AM,06:41 PM,-8,-14,-8,-14,26,97,94,1.8,1022,-7,6,35,17,Kazakhstan
2020-02-23,-5,-12,0.3,6.8,1,0,08:34 AM,06:12 PM,08:13 AM,06:43 PM,-9,-12,-9,-12,12,77,95,0.4,1032,-5,7,285,6,Kazakhstan
2020-02-24,-8,-16,0.0,10.0,1,0,08:56 AM,07:20 PM,08:11 AM,06:45 PM,-14,-18,-13,-18,14,53,94,0.0,1028,-8,5,175,7,Kazakhstan
2020-02-25,-6,-15,0.0,5.2,1,8,09:15 AM,08:26 PM,08:09 AM,06:46 PM,-12,-18,-11,-18,25,68,90,0.0,1024,-6,10,171,14,Kazakhstan
2020-02-26,2,-6,0.0,6.8,1,15,09:32 AM,09:33 PM,08:07 AM,06:48 PM,-3,-8,-2,-8,41,72,92,4.4,1013,2,10,158,23,Kazakhstan
2020-02-27,-1,-4,7.1,5.2,1,23,09:48 AM,10:38 PM,08:05 AM,06:50 PM,-4,-10,-3,-10,50,100,92,11.1,1008,-1,2,239,34,Kazakhstan
2020-02-28,-1,-10,0.0,5.2,1,30,10:05 AM,11:44 PM,08:03 AM,06:52 PM,-6,-13,-6,-13,32,92,94,0.7,1028,-1,9,245,21,Kazakhstan
