date_time,Kuwait_maxtempC,Kuwait_mintempC,Kuwait_totalSnow_cm,Kuwait_sunHour,Kuwait_uvIndex,Kuwait_moon_illumination,Kuwait_moonrise,Kuwait_moonset,Kuwait_sunrise,Kuwait_sunset,Kuwait_DewPointC,Kuwait_FeelsLikeC,Kuwait_HeatIndexC,Kuwait_WindChillC,Kuwait_WindGustKmph,Kuwait_cloudcover,Kuwait_humidity,Kuwait_precipMM,Kuwait_pressure,Kuwait_tempC,Kuwait_visibility,Kuwait_winddirDegree,Kuwait_windspeedKmph,Kuwait_location
2020-01-01,17,15,0.0,5.5,4,37,10:58 AM,10:42 PM,06:42 AM,05:00 PM,5,16,16,16,31,43,47,0.0,1017,17,10,314,22,Kuwait
2020-01-02,17,12,0.0,8.7,5,44,11:28 AM,11:35 PM,06:43 AM,05:01 PM,6,16,16,16,14,8,51,0.0,1019,17,10,208,10,Kuwait
2020-01-03,19,17,0.0,8.7,5,51,11:58 AM,No moonset,06:43 AM,05:02 PM,12,18,18,18,22,9,68,0.0,1016,19,10,104,15,Kuwait
2020-01-04,20,19,0.0,4.0,4,59,12:28 PM,12:26 AM,06:43 AM,05:03 PM,15,19,19,19,18,48,75,0.8,1013,20,10,260,11,Kuwait
2020-01-05,18,15,0.0,8.7,5,66,01:00 PM,01:20 AM,06:43 AM,05:03 PM,6,17,17,17,31,4,49,0.0,1014,18,10,328,22,Kuwait
2020-01-06,18,15,0.0,8.7,5,73,01:35 PM,02:14 AM,06:43 AM,05:04 PM,5,17,17,17,17,1,46,0.0,1020,18,10,318,11,Kuwait
2020-01-07,20,12,0.0,8.7,5,80,02:14 PM,03:12 AM,06:43 AM,05:05 PM,6,16,17,16,12,0,48,0.0,1020,20,10,279,9,Kuwait
2020-01-08,19,16,0.0,7.1,4,88,02:58 PM,04:11 AM,06:43 AM,05:06 PM,8,17,17,17,33,16,55,0.0,1016,19,10,168,22,Kuwait
2020-01-09,17,15,0.0,8.7,5,95,03:50 PM,05:12 AM,06:44 AM,05:06 PM,4,16,16,16,22,5,43,0.0,1014,17,10,336,16,Kuwait
2020-01-10,17,15,0.0,8.7,5,100,04:48 PM,06:13 AM,06:44 AM,05:07 PM,2,16,16,16,24,19,40,0.0,1012,17,10,216,17,Kuwait
