date_time,Kyrgyz%20Republic_maxtempC,Kyrgyz%20Republic_mintempC,Kyrgyz%20Republic_totalSnow_cm,Kyrgyz%20Republic_sunHour,Kyrgyz%20Republic_uvIndex,Kyrgyz%20Republic_moon_illumination,Kyrgyz%20Republic_moonrise,Kyrgyz%20Republic_moonset,Kyrgyz%20Republic_sunrise,Kyrgyz%20Republic_sunset,Kyrgyz%20Republic_DewPointC,Kyrgyz%20Republic_FeelsLikeC,Kyrgyz%20Republic_HeatIndexC,Kyrgyz%20Republic_WindChillC,Kyrgyz%20Republic_WindGustKmph,Kyrgyz%20Republic_cloudcover,Kyrgyz%20Republic_humidity,Kyrgyz%20Republic_precipMM,Kyrgyz%20Republic_pressure,Kyrgyz%20Republic_tempC,Kyrgyz%20Republic_visibility,Kyrgyz%20Republic_winddirDegree,Kyrgyz%20Republic_windspeedKmph,Kyrgyz%20Republic_location
2020-01-01,13,8,0.0,3.7,3,37,10:52 AM,10:27 PM,06:46 AM,04:32 PM,8,10,10,10,7,80,84,3.6,1016,13,10,246,5,Kyrgyz%20Republic
2020-01-02,11,8,0.0,3.7,3,44,11:20 AM,11:23 PM,06:46 AM,04:33 PM,8,9,10,9,10,78,89,4.4,1017,11,9,63,8,Kyrgyz%20Republic
2020-01-03,9,8,0.0,3.7,2,51,11:46 AM,No moonset,06:46 AM,04:34 PM,7,6,8,6,18,100,93,24.3,1016,9,6,49,15,Kyrgyz%20Republic
2020-01-04,10,7,0.0,3.7,2,59,12:13 PM,12:18 AM,06:46 AM,04:34 PM,7,8,9,8,8,97,92,19.2,1013,10,6,57,7,Kyrgyz%20Republic
2020-01-05,12,6,0.0,5.4,2,66,12:42 PM,01:15 AM,06:47 AM,04:35 PM,6,9,9,9,3,73,85,1.5,1013,12,10,101,2,Kyrgyz%20Republic
2020-01-06,9,7,0.0,3.7,2,73,01:14 PM,02:13 AM,06:47 AM,04:36 PM,6,5,8,5,20,78,89,5.0,1017,9,8,53,16,Kyrgyz%20Republic
2020-01-07,11,3,0.0,7.0,2,80,01:50 PM,03:13 AM,06:47 AM,04:37 PM,7,6,9,6,16,48,86,15.6,1014,11,9,82,13,Kyrgyz%20Republic
2020-01-08,10,8,0.0,3.7,2,88,02:32 PM,04:15 AM,06:47 AM,04:38 PM,7,6,9,6,17,95,91,48.1,1010,10,7,58,14,Kyrgyz%20Republic
2020-01-09,10,3,0.0,3.7,2,95,03:23 PM,05:19 AM,06:47 AM,04:39 PM,5,6,8,6,14,87,81,2.8,1012,10,10,49,11,Kyrgyz%20Republic
2020-01-10,12,5,0.0,8.7,3,100,04:20 PM,06:19 AM,06:46 AM,04:40 PM,4,8,8,8,6,8,74,0.0,1017,12,10,138,4,Kyrgyz%20Republic
2020-01-11,13,6,0.0,8.7,3,100,05:26 PM,07:17 AM,06:46 AM,04:41 PM,3,8,8,8,9,1,69,0.0,1021,13,10,277,6,Kyrgyz%20Republic
2020-01-12,13,7,0.0,3.7,3,83,06:34 PM,08:08 AM,06:46 AM,04:42 PM,8,10,10,10,11,75,85,1.1,1020,13,9,263,8,Kyrgyz%20Republic
2020-01-13,16,6,0.0,8.7,4,76,07:46 PM,08:53 AM,06:46 AM,04:43 PM,7,11,11,11,5,15,75,0.1,1021,16,10,245,3,Kyrgyz%20Republic
2020-01-14,13,7,0.0,8.7,3,69,08:56 PM,09:33 AM,06:46 AM,04:43 PM,3,9,10,9,8,12,63,0.0,1026,13,10,51,6,Kyrgyz%20Republic
2020-01-15,11,6,0.0,8.7,2,61,10:04 PM,10:08 AM,06:46 AM,04:44 PM,1,7,8,7,16,49,61,0.6,1024,11,10,65,10,Kyrgyz%20Republic
2020-01-16,10,5,0.0,8.7,2,54,11:12 PM,10:42 AM,06:45 AM,04:45 PM,2,4,7,4,27,50,68,0.7,1021,10,9,68,21,Kyrgyz%20Republic
2020-01-17,8,6,0.0,3.8,2,47,No moonrise,11:15 AM,06:45 AM,04:46 PM,4,3,7,3,27,93,86,4.5,1019,8,9,56,23,Kyrgyz%20Republic
2020-01-18,10,2,0.0,8.7,2,40,12:19 AM,11:48 AM,06:45 AM,04:47 PM,6,7,8,7,5,55,85,0.1,1016,10,10,107,4,Kyrgyz%20Republic
2020-01-19,8,6,0.0,3.8,2,32,01:26 AM,12:24 PM,06:44 AM,04:49 PM,5,7,7,7,6,75,87,0.7,1018,8,7,54,5,Kyrgyz%20Republic
2020-01-20,10,0,0.0,7.1,2,25,02:31 AM,01:03 PM,06:44 AM,04:50 PM,5,7,7,7,4,50,83,0.3,1022,10,10,124,4,Kyrgyz%20Republic
2020-01-21,12,5,0.0,8.7,3,18,03:36 AM,01:47 PM,06:43 AM,04:51 PM,3,7,8,7,10,35,72,0.6,1021,12,10,102,8,Kyrgyz%20Republic
