date_time,Lesotho_maxtempC,Lesotho_mintempC,Lesotho_totalSnow_cm,Lesotho_sunHour,Lesotho_uvIndex,Lesotho_moon_illumination,Lesotho_moonrise,Lesotho_moonset,Lesotho_sunrise,Lesotho_sunset,Lesotho_DewPointC,Lesotho_FeelsLikeC,Lesotho_HeatIndexC,Lesotho_WindChillC,Lesotho_WindGustKmph,Lesotho_cloudcover,Lesotho_humidity,Lesotho_precipMM,Lesotho_pressure,Lesotho_tempC,Lesotho_visibility,Lesotho_winddirDegree,Lesotho_windspeedKmph,Lesotho_location
2020-01-01,24,17,0.0,8.7,5,37,10:42 AM,11:36 PM,05:14 AM,07:13 PM,13,20,20,20,24,81,67,9.0,1012,24,9,103,15,Lesotho
2020-01-02,27,16,0.0,8.7,5,44,11:35 AM,No moonset,05:15 AM,07:13 PM,12,22,22,22,15,73,57,4.9,1011,27,10,119,10,Lesotho
2020-01-03,29,18,0.0,13.3,6,51,12:26 PM,12:05 AM,05:15 AM,07:14 PM,8,24,24,23,17,36,41,1.0,1012,29,10,133,12,Lesotho
2020-01-04,28,17,0.0,12.2,5,59,01:19 PM,12:35 AM,05:16 AM,07:14 PM,10,22,22,22,20,34,50,0.7,1014,28,10,154,15,Lesotho
2020-01-05,31,16,0.0,14.0,7,66,02:13 PM,01:06 AM,05:17 AM,07:14 PM,9,23,23,23,17,25,48,0.8,1012,31,10,187,12,Lesotho
2020-01-06,30,16,0.0,14.0,6,73,03:10 PM,01:40 AM,05:17 AM,07:14 PM,10,25,25,24,17,19,50,1.0,1011,30,10,163,12,Lesotho
2020-01-07,21,17,0.0,8.7,4,80,04:08 PM,02:16 AM,05:18 AM,07:14 PM,14,19,20,19,10,73,73,20.7,1013,21,8,192,6,Lesotho
2020-01-08,20,17,0.0,8.7,4,88,05:09 PM,02:59 AM,05:19 AM,07:14 PM,14,18,18,18,21,73,76,4.9,1013,20,8,54,15,Lesotho
2020-01-09,26,15,0.0,11.0,5,95,06:09 PM,03:47 AM,05:20 AM,07:14 PM,13,21,21,20,13,68,65,2.7,1012,26,10,165,9,Lesotho
2020-01-10,25,14,0.0,8.7,5,100,07:09 PM,04:42 AM,05:21 AM,07:14 PM,13,19,19,19,12,78,71,27.2,1016,25,9,141,7,Lesotho
2020-01-11,22,16,0.0,9.9,5,100,08:04 PM,05:44 AM,05:21 AM,07:14 PM,14,19,20,19,15,73,74,37.0,1017,22,7,128,9,Lesotho
2020-01-12,29,16,0.0,13.9,5,83,08:55 PM,06:49 AM,05:22 AM,07:14 PM,11,23,23,23,11,28,55,0.8,1015,29,10,133,7,Lesotho
2020-01-13,28,17,0.0,13.9,5,76,09:41 PM,07:56 AM,05:23 AM,07:14 PM,11,23,23,22,14,27,53,3.3,1015,28,10,212,9,Lesotho
2020-01-14,28,15,0.0,13.9,6,69,10:21 PM,09:04 AM,05:24 AM,07:14 PM,9,22,22,22,8,22,51,0.2,1014,28,10,160,5,Lesotho
2020-01-15,29,17,0.0,13.9,6,61,10:59 PM,10:09 AM,05:25 AM,07:14 PM,9,23,23,23,12,5,46,0.0,1015,29,10,213,8,Lesotho
2020-01-16,31,18,0.0,13.9,7,54,11:36 PM,11:14 AM,05:26 AM,07:14 PM,7,25,25,24,12,2,38,0.0,1014,31,10,138,8,Lesotho
2020-01-17,31,18,0.0,13.9,7,47,No moonrise,12:16 PM,05:27 AM,07:14 PM,8,26,26,25,12,1,37,0.0,1010,31,10,151,8,Lesotho
2020-01-18,25,17,0.0,12.2,5,40,12:13 AM,01:20 PM,05:27 AM,07:13 PM,10,21,22,21,23,38,52,13.9,1008,25,9,135,17,Lesotho
2020-01-19,23,12,0.0,8.7,4,32,12:51 AM,02:22 PM,05:28 AM,07:13 PM,13,17,18,17,22,80,77,64.2,1010,23,7,89,14,Lesotho
2020-01-20,28,16,0.0,11.0,5,25,01:32 AM,03:24 PM,05:29 AM,07:13 PM,12,22,22,22,17,62,66,17.1,1014,28,9,199,13,Lesotho
2020-01-21,26,17,0.0,8.6,5,18,02:16 AM,04:25 PM,05:30 AM,07:13 PM,12,20,20,20,20,76,63,19.2,1012,26,9,103,13,Lesotho
2020-01-22,29,15,0.0,13.8,6,11,03:04 AM,05:23 PM,05:31 AM,07:12 PM,7,22,22,22,21,19,47,0.0,1009,29,10,176,15,Lesotho
2020-01-23,28,15,0.0,13.3,5,3,03:57 AM,06:17 PM,05:32 AM,07:12 PM,7,21,21,20,14,29,45,1.8,1011,28,10,156,9,Lesotho
2020-01-24,26,13,0.0,8.6,5,0,04:51 AM,07:06 PM,05:33 AM,07:12 PM,11,19,19,19,22,63,64,14.8,1015,26,9,151,15,Lesotho
2020-01-25,24,15,0.0,8.6,5,0,05:48 AM,07:50 PM,05:33 AM,07:11 PM,12,18,19,18,16,69,69,13.5,1015,24,9,145,11,Lesotho
2020-01-26,23,12,0.0,9.8,4,4,06:44 AM,08:28 PM,05:34 AM,07:11 PM,13,17,18,17,18,51,73,17.3,1012,23,9,77,11,Lesotho
2020-01-27,27,13,0.0,13.8,6,11,07:40 AM,09:03 PM,05:35 AM,07:10 PM,8,20,20,20,12,18,55,0.1,1015,27,10,237,9,Lesotho
2020-01-28,26,12,0.0,13.7,6,18,08:33 AM,09:35 PM,05:36 AM,07:10 PM,0,20,20,20,10,6,31,0.0,1015,26,10,153,7,Lesotho
2020-01-29,30,15,0.0,13.7,7,26,09:26 AM,10:05 PM,05:37 AM,07:09 PM,-1,24,24,24,10,0,22,0.0,1013,30,10,155,7,Lesotho
2020-01-30,32,16,0.0,13.7,7,33,10:18 AM,10:35 PM,05:38 AM,07:09 PM,4,25,25,25,19,6,32,0.0,1015,32,10,142,13,Lesotho
2020-01-31,31,16,0.0,13.7,7,37,11:10 AM,11:05 PM,05:39 AM,07:08 PM,7,25,25,25,18,11,40,0.0,1015,31,10,131,12,Lesotho
2020-02-01,31,17,0.0,13.3,6,49,12:02 PM,11:37 PM,05:40 AM,07:08 PM,9,24,24,23,12,47,44,0.9,1017,31,10,147,8,Lesotho
2020-02-02,28,17,0.0,8.5,5,57,12:57 PM,No moonset,05:40 AM,07:07 PM,11,22,22,22,17,76,52,8.0,1019,28,9,160,11,Lesotho
2020-02-03,28,17,0.0,13.3,5,64,01:53 PM,12:11 AM,05:41 AM,07:06 PM,11,22,22,22,15,42,57,5.7,1019,28,10,130,10,Lesotho
2020-02-04,29,14,0.0,12.1,5,72,02:51 PM,12:50 AM,05:42 AM,07:06 PM,9,23,23,23,10,63,51,2.7,1016,29,10,149,6,Lesotho
2020-02-05,31,16,0.0,13.6,6,79,03:51 PM,01:34 AM,05:43 AM,07:05 PM,9,25,25,24,11,32,50,3.1,1013,31,10,210,8,Lesotho
2020-02-06,28,18,0.0,13.6,5,87,04:51 PM,02:25 AM,05:44 AM,07:04 PM,9,24,24,24,15,42,47,2.8,1013,28,10,169,10,Lesotho
2020-02-07,26,16,0.0,9.7,5,95,05:49 PM,03:23 AM,05:45 AM,07:04 PM,14,20,21,20,13,68,72,18.1,1015,26,9,133,9,Lesotho
2020-02-08,21,13,0.0,8.5,4,100,06:42 PM,04:27 AM,05:45 AM,07:03 PM,15,18,18,18,19,78,84,59.6,1014,21,7,118,11,Lesotho
2020-02-09,24,14,0.0,12.1,5,100,07:31 PM,05:35 AM,05:46 AM,07:02 PM,13,19,19,19,12,59,73,11.8,1014,24,9,148,9,Lesotho
2020-02-10,24,16,0.0,8.5,5,83,08:15 PM,06:44 AM,05:47 AM,07:01 PM,12,19,19,19,12,71,64,9.2,1015,24,9,137,7,Lesotho
2020-02-11,25,14,0.0,13.5,5,75,08:56 PM,07:53 AM,05:48 AM,07:01 PM,10,20,20,20,11,21,60,0.1,1017,25,10,179,8,Lesotho
2020-02-12,23,14,0.0,10.9,4,68,09:35 PM,09:01 AM,05:49 AM,07:00 PM,10,18,18,18,16,48,66,9.9,1016,23,10,103,9,Lesotho
2020-02-13,27,14,0.0,13.1,6,60,10:12 PM,10:07 AM,05:49 AM,06:59 PM,9,21,21,21,14,13,52,0.1,1013,27,10,177,10,Lesotho
2020-02-14,28,16,0.0,13.1,6,53,10:51 PM,11:12 AM,05:50 AM,06:58 PM,8,23,23,22,11,4,43,0.0,1014,28,10,160,7,Lesotho
2020-02-15,29,16,0.0,13.1,7,45,11:31 PM,12:15 PM,05:51 AM,06:57 PM,7,24,24,24,15,4,39,0.0,1015,29,10,109,10,Lesotho
2020-02-16,30,17,0.0,13.0,7,38,No moonrise,01:19 PM,05:52 AM,06:56 PM,5,24,24,24,15,4,34,0.0,1016,30,10,163,11,Lesotho
2020-02-17,29,16,0.0,13.0,6,30,12:14 AM,02:20 PM,05:52 AM,06:55 PM,7,24,24,23,15,5,38,0.0,1014,29,10,151,10,Lesotho
2020-02-18,22,16,0.0,9.4,4,22,01:01 AM,03:19 PM,05:53 AM,06:54 PM,14,19,20,19,15,57,75,14.2,1017,22,9,150,10,Lesotho
2020-02-19,23,13,0.0,9.4,5,15,01:52 AM,04:13 PM,05:54 AM,06:54 PM,15,18,19,18,14,78,78,23.7,1017,23,8,93,8,Lesotho
2020-02-20,23,15,0.0,10.7,5,7,02:45 AM,05:03 PM,05:55 AM,06:53 PM,15,19,19,19,15,67,80,27.7,1015,23,8,141,9,Lesotho
2020-02-21,27,15,0.0,13.0,6,0,03:41 AM,05:48 PM,05:55 AM,06:52 PM,12,22,22,22,9,11,59,0.2,1014,27,10,139,5,Lesotho
2020-02-22,24,16,0.0,10.7,5,0,04:37 AM,06:27 PM,05:56 AM,06:51 PM,13,19,20,19,9,49,66,9.3,1012,24,9,91,5,Lesotho
2020-02-23,26,15,0.0,10.6,5,0,05:32 AM,07:03 PM,05:57 AM,06:50 PM,12,20,21,20,10,47,67,3.3,1016,26,10,227,7,Lesotho
2020-02-24,25,13,0.0,12.9,6,0,06:26 AM,07:36 PM,05:58 AM,06:49 PM,9,19,20,19,12,12,58,0.0,1019,25,10,213,9,Lesotho
2020-02-25,27,14,0.0,12.9,6,8,07:20 AM,08:06 PM,05:58 AM,06:48 PM,6,22,22,21,9,3,42,0.0,1016,27,10,132,6,Lesotho
2020-02-26,27,16,0.0,12.9,6,15,08:11 AM,08:36 PM,05:59 AM,06:47 PM,8,22,22,22,11,7,44,0.0,1013,27,10,145,7,Lesotho
2020-02-27,19,13,0.0,9.1,4,23,09:04 AM,09:06 PM,06:00 AM,06:46 PM,11,17,18,17,8,56,69,4.4,1014,19,9,178,5,Lesotho
2020-02-28,20,12,0.0,7.8,4,30,09:56 AM,09:37 PM,06:00 AM,06:44 PM,12,17,17,17,10,73,74,5.7,1019,20,9,90,6,Lesotho
2020-02-29,20,12,0.0,6.2,4,38,10:48 AM,10:09 PM,06:01 AM,06:43 PM,11,16,15,16,11,77,76,13.1,1021,20,9,198,7,Lesotho
2020-03-01,21,12,0.0,10.3,4,44,11:43 AM,10:45 PM,06:02 AM,06:42 PM,11,16,17,16,10,42,74,1.9,1017,21,10,128,6,Lesotho
2020-03-02,23,13,0.0,10.2,4,51,12:39 PM,11:26 PM,06:02 AM,06:41 PM,10,18,19,18,13,44,65,3.6,1016,23,10,211,9,Lesotho
2020-03-03,24,11,0.0,11.6,5,58,01:37 PM,No moonset,06:03 AM,06:40 PM,7,18,19,18,10,6,56,0.0,1018,24,10,130,7,Lesotho
2020-03-04,28,14,0.0,11.6,6,65,02:35 PM,12:12 AM,06:04 AM,06:39 PM,7,22,22,21,11,5,46,0.0,1020,28,10,115,7,Lesotho
2020-03-05,30,15,0.0,11.6,7,73,03:32 PM,01:05 AM,06:04 AM,06:38 PM,6,23,23,23,16,2,37,0.0,1019,30,10,114,10,Lesotho
2020-03-06,29,15,0.0,11.6,6,80,04:26 PM,02:05 AM,06:05 AM,06:37 PM,5,23,23,23,7,1,36,0.0,1019,29,10,180,5,Lesotho
2020-03-07,28,14,0.0,11.6,6,87,05:18 PM,03:10 AM,06:06 AM,06:36 PM,5,22,22,22,10,5,39,0.0,1019,28,10,141,7,Lesotho
2020-03-08,28,14,0.0,11.6,5,95,06:04 PM,04:19 AM,06:06 AM,06:34 PM,5,22,22,22,12,28,40,0.3,1017,28,10,140,7,Lesotho
2020-03-09,27,13,0.0,11.6,6,100,06:46 PM,05:29 AM,06:07 AM,06:33 PM,8,21,21,21,12,24,50,0.2,1016,27,10,175,8,Lesotho
2020-03-10,26,15,0.0,11.6,6,100,07:27 PM,06:38 AM,06:07 AM,06:32 PM,6,22,22,21,16,18,41,0.0,1013,26,10,135,12,Lesotho
2020-03-11,22,12,0.0,8.9,4,84,08:06 PM,07:47 AM,06:08 AM,06:31 PM,11,17,17,17,12,57,71,5.9,1014,22,9,91,8,Lesotho
2020-03-12,17,13,0.0,6.1,4,76,08:45 PM,08:55 AM,06:09 AM,06:30 PM,12,15,15,15,13,72,86,28.9,1017,17,8,137,9,Lesotho
2020-03-13,21,13,0.0,6.1,4,69,09:27 PM,10:02 AM,06:09 AM,06:29 PM,12,16,17,16,18,75,77,25.7,1018,21,8,112,12,Lesotho
2020-03-14,25,13,0.0,11.6,6,62,10:10 PM,11:08 AM,06:10 AM,06:28 PM,10,19,19,19,10,20,60,2.3,1016,25,10,183,7,Lesotho
2020-03-15,28,15,0.0,11.6,6,55,10:57 PM,12:12 PM,06:11 AM,06:26 PM,7,22,22,22,13,2,42,0.0,1014,28,10,174,9,Lesotho
