date_time,Libya_maxtempC,Libya_mintempC,Libya_totalSnow_cm,Libya_sunHour,Libya_uvIndex,Libya_moon_illumination,Libya_moonrise,Libya_moonset,Libya_sunrise,Libya_sunset,Libya_DewPointC,Libya_FeelsLikeC,Libya_HeatIndexC,Libya_WindChillC,Libya_WindGustKmph,Libya_cloudcover,Libya_humidity,Libya_precipMM,Libya_pressure,Libya_tempC,Libya_visibility,Libya_winddirDegree,Libya_windspeedKmph,Libya_location
2020-01-01,14,8,0.0,5.0,3,37,12:23 PM,No moonset,08:10 AM,06:11 PM,7,10,12,10,34,76,67,10.6,1027,14,9,166,22,Libya
2020-01-02,15,12,0.0,5.0,3,44,12:51 PM,12:04 AM,08:10 AM,06:12 PM,7,12,13,12,23,70,68,0.9,1030,15,10,321,15,Libya
2020-01-03,14,12,0.0,8.3,3,51,01:20 PM,12:58 AM,08:10 AM,06:13 PM,6,11,13,11,27,49,66,0.5,1030,14,10,299,18,Libya
2020-01-04,14,8,0.0,10.0,4,59,01:48 PM,01:52 AM,08:10 AM,06:13 PM,2,9,11,9,27,2,55,0.0,1028,14,10,264,17,Libya
2020-01-05,14,10,0.0,6.7,3,66,02:19 PM,02:47 AM,08:10 AM,06:14 PM,6,10,12,10,32,57,63,0.8,1025,14,10,276,21,Libya
2020-01-06,14,9,0.0,10.0,4,73,02:52 PM,03:44 AM,08:11 AM,06:15 PM,4,11,13,11,37,27,55,0.5,1024,14,10,254,25,Libya
2020-01-07,14,11,0.0,8.3,3,80,03:31 PM,04:43 AM,08:11 AM,06:16 PM,6,11,13,11,26,61,64,1.6,1026,14,10,306,18,Libya
2020-01-08,14,9,0.0,5.0,3,88,04:14 PM,05:44 AM,08:11 AM,06:17 PM,6,11,13,11,20,69,63,0.0,1026,14,10,269,14,Libya
2020-01-09,16,10,0.0,10.1,3,95,05:06 PM,06:46 AM,08:11 AM,06:18 PM,7,12,13,12,13,42,68,0.1,1026,16,10,115,8,Libya
2020-01-10,17,11,0.0,8.3,3,100,06:04 PM,07:47 AM,08:11 AM,06:18 PM,7,13,13,13,18,41,66,0.0,1024,17,10,135,11,Libya
2020-01-11,18,11,0.0,10.1,4,100,07:09 PM,08:44 AM,08:11 AM,06:19 PM,4,13,14,13,32,16,54,0.0,1020,18,10,141,19,Libya
2020-01-12,16,11,0.0,10.1,3,83,08:17 PM,09:36 AM,08:10 AM,06:20 PM,7,13,13,13,14,34,66,0.0,1019,16,10,211,9,Libya
2020-01-13,13,10,0.0,5.1,3,76,09:26 PM,10:22 AM,08:10 AM,06:21 PM,8,11,12,11,13,70,76,6.1,1017,13,10,203,8,Libya
2020-01-14,16,11,0.0,5.1,3,69,10:34 PM,11:03 AM,08:10 AM,06:22 PM,9,12,13,12,38,69,76,7.8,1018,16,10,194,24,Libya
2020-01-15,15,12,0.0,6.7,3,61,11:42 PM,11:41 AM,08:10 AM,06:23 PM,8,12,14,12,28,64,72,3.1,1025,15,10,329,18,Libya
2020-01-16,15,11,0.0,10.1,4,54,No moonrise,12:15 PM,08:10 AM,06:24 PM,7,12,13,12,15,15,66,0.0,1028,15,10,304,11,Libya
2020-01-17,15,10,0.0,10.2,4,47,12:47 AM,12:50 PM,08:10 AM,06:25 PM,6,12,13,12,18,23,64,0.0,1029,15,10,281,12,Libya
2020-01-18,14,10,0.0,6.7,3,40,01:52 AM,01:26 PM,08:09 AM,06:26 PM,6,11,12,11,26,40,67,0.1,1029,14,10,282,16,Libya
2020-01-19,16,11,0.0,8.3,3,32,02:57 AM,02:03 PM,08:09 AM,06:27 PM,6,12,13,12,17,60,65,0.0,1024,16,10,198,11,Libya
2020-01-20,18,11,0.0,10.2,5,25,04:01 AM,02:44 PM,08:09 AM,06:27 PM,4,13,14,13,44,15,50,0.0,1023,18,10,142,28,Libya
2020-01-21,17,12,0.0,6.7,3,18,05:04 AM,03:29 PM,08:08 AM,06:28 PM,5,12,14,12,51,45,57,0.0,1027,17,10,123,34,Libya
2020-01-22,17,11,0.0,10.2,4,11,06:04 AM,04:19 PM,08:08 AM,06:29 PM,6,12,14,12,40,8,62,0.0,1028,17,10,127,27,Libya
2020-01-23,22,11,0.0,10.0,4,3,07:01 AM,05:13 PM,08:08 AM,06:30 PM,4,15,16,15,23,16,48,0.0,1025,22,10,132,13,Libya
2020-01-24,24,13,0.0,10.2,5,0,07:52 AM,06:09 PM,08:07 AM,06:31 PM,1,17,18,17,23,4,33,0.0,1025,24,10,181,12,Libya
2020-01-25,22,15,0.0,8.4,4,0,08:36 AM,07:07 PM,08:07 AM,06:32 PM,-1,18,18,18,20,49,29,0.0,1023,22,10,232,12,Libya
2020-01-26,23,17,0.0,10.3,6,4,09:16 AM,08:04 PM,08:06 AM,06:33 PM,2,19,20,19,20,43,32,0.0,1020,23,10,164,11,Libya
2020-01-27,17,14,0.0,10.3,5,11,09:51 AM,09:00 PM,08:06 AM,06:34 PM,10,16,16,16,18,23,72,0.2,1022,17,10,315,13,Libya
