date_time,Malaysia_maxtempC,Malaysia_mintempC,Malaysia_totalSnow_cm,Malaysia_sunHour,Malaysia_uvIndex,Malaysia_moon_illumination,Malaysia_moonrise,Malaysia_moonset,Malaysia_sunrise,Malaysia_sunset,Malaysia_DewPointC,Malaysia_FeelsLikeC,Malaysia_HeatIndexC,Malaysia_WindChillC,Malaysia_WindGustKmph,Malaysia_cloudcover,Malaysia_humidity,Malaysia_precipMM,Malaysia_pressure,Malaysia_tempC,Malaysia_visibility,Malaysia_winddirDegree,Malaysia_windspeedKmph,Malaysia_location
2020-01-01,33,23,0.0,10.2,6,37,11:59 AM,No moonset,07:18 AM,07:15 PM,20,30,30,27,11,43,70,1.7,1013,33,10,50,7,Malaysia
2020-01-02,32,23,0.0,10.2,6,44,12:39 PM,12:14 AM,07:19 AM,07:15 PM,21,29,29,27,6,46,74,3.6,1013,32,10,54,4,Malaysia
2020-01-03,32,23,0.0,8.8,6,51,01:19 PM,12:57 AM,07:19 AM,07:16 PM,22,30,30,27,4,56,75,6.3,1012,32,9,81,2,Malaysia
2020-01-04,32,23,0.0,8.8,6,59,01:59 PM,01:39 AM,07:20 AM,07:16 PM,22,30,30,27,5,50,75,1.0,1010,32,10,112,4,Malaysia
2020-01-05,34,23,0.0,11.6,6,66,02:40 PM,02:21 AM,07:20 AM,07:17 PM,21,31,31,28,6,35,71,1.0,1010,34,10,151,4,Malaysia
2020-01-06,34,23,0.0,11.6,7,73,03:24 PM,03:06 AM,07:20 AM,07:17 PM,20,31,31,28,7,22,69,2.1,1011,34,10,142,5,Malaysia
2020-01-07,34,23,0.0,11.6,6,80,04:11 PM,03:54 AM,07:21 AM,07:18 PM,21,31,31,28,5,44,68,1.0,1010,34,10,144,3,Malaysia
2020-01-08,32,24,0.0,7.4,6,88,05:02 PM,04:44 AM,07:21 AM,07:18 PM,22,30,30,27,4,67,73,2.9,1010,32,10,88,2,Malaysia
2020-01-09,34,24,0.0,11.6,7,95,05:58 PM,05:39 AM,07:22 AM,07:19 PM,22,31,31,28,6,47,72,1.5,1009,34,10,53,4,Malaysia
2020-01-10,32,24,0.0,10.2,6,100,06:56 PM,06:37 AM,07:22 AM,07:19 PM,22,30,30,27,8,55,74,5.0,1009,32,10,145,5,Malaysia
2020-01-11,32,24,0.0,6.0,6,100,07:56 PM,07:36 AM,07:22 AM,07:20 PM,22,31,31,28,5,72,74,8.4,1009,32,9,182,4,Malaysia
2020-01-12,31,24,0.0,8.8,6,83,08:56 PM,08:35 AM,07:23 AM,07:20 PM,22,30,30,27,5,53,76,4.9,1009,31,9,206,3,Malaysia
2020-01-13,31,24,0.0,10.2,6,76,09:54 PM,09:33 AM,07:23 AM,07:21 PM,22,30,30,27,5,50,76,9.1,1009,31,10,155,3,Malaysia
2020-01-14,34,23,0.0,8.8,6,69,10:49 PM,10:27 AM,07:24 AM,07:21 PM,21,30,30,28,7,44,72,0.7,1009,34,10,146,4,Malaysia
2020-01-15,34,24,0.0,11.6,7,61,11:43 PM,11:19 AM,07:24 AM,07:21 PM,21,31,31,28,8,20,70,0.1,1009,34,10,60,5,Malaysia
2020-01-16,33,24,0.0,10.2,6,54,No moonrise,12:08 PM,07:24 AM,07:22 PM,21,30,30,27,5,34,70,0.8,1010,33,10,136,3,Malaysia
2020-01-17,35,24,0.0,10.2,6,47,12:34 AM,12:57 PM,07:24 AM,07:22 PM,22,32,32,28,7,40,73,1.2,1011,35,10,145,5,Malaysia
2020-01-18,33,24,0.0,10.2,6,40,01:25 AM,01:46 PM,07:25 AM,07:22 PM,22,31,31,28,5,58,75,7.0,1011,33,10,121,3,Malaysia
