date_time,Malta_maxtempC,Malta_mintempC,Malta_totalSnow_cm,Malta_sunHour,Malta_uvIndex,Malta_moon_illumination,Malta_moonrise,Malta_moonset,Malta_sunrise,Malta_sunset,Malta_DewPointC,Malta_FeelsLikeC,Malta_HeatIndexC,Malta_WindChillC,Malta_WindGustKmph,Malta_cloudcover,Malta_humidity,Malta_precipMM,Malta_pressure,Malta_tempC,Malta_visibility,Malta_winddirDegree,Malta_windspeedKmph,Malta_location
2020-01-01,13,9,0.0,7.0,3,37,11:20 AM,10:57 PM,07:12 AM,04:58 PM,4,11,12,11,20,15,56,0.0,1027,13,10,326,15,Malta
2020-01-02,14,12,0.0,8.7,4,44,11:47 AM,11:52 PM,07:13 AM,04:59 PM,6,13,14,13,12,20,61,0.0,1029,14,10,159,8,Malta
2020-01-03,15,11,0.0,8.7,4,51,12:14 PM,No moonset,07:13 AM,05:00 PM,8,13,14,13,15,6,67,0.0,1028,15,10,286,11,Malta
2020-01-04,15,10,0.0,5.4,3,59,12:41 PM,12:48 AM,07:13 AM,05:01 PM,10,12,14,12,40,57,76,0.2,1025,15,10,303,31,Malta
2020-01-05,15,13,0.0,7.0,3,66,01:10 PM,01:45 AM,07:13 AM,05:02 PM,9,12,14,12,37,49,69,0.6,1022,15,10,265,27,Malta
2020-01-06,12,11,0.0,8.7,4,73,01:42 PM,02:42 AM,07:13 AM,05:03 PM,1,9,12,9,42,0,47,0.0,1024,12,10,142,34,Malta
2020-01-07,13,9,0.0,8.7,4,80,02:18 PM,03:43 AM,07:13 AM,05:03 PM,2,10,12,10,18,1,52,0.0,1024,13,10,270,14,Malta
2020-01-08,14,10,0.0,7.0,3,88,03:01 PM,04:45 AM,07:13 AM,05:04 PM,7,12,13,12,23,62,66,1.2,1024,14,9,201,16,Malta
2020-01-09,14,13,0.0,8.7,3,95,03:52 PM,05:48 AM,07:13 AM,05:05 PM,6,12,13,12,23,35,61,0.0,1027,14,10,89,17,Malta
2020-01-10,13,12,0.0,8.7,4,100,04:50 PM,06:49 AM,07:13 AM,05:06 PM,5,12,13,12,8,2,59,0.0,1025,13,10,160,5,Malta
2020-01-11,14,9,0.0,8.7,3,100,05:56 PM,07:46 AM,07:13 AM,05:07 PM,7,12,13,12,22,44,65,0.5,1023,14,10,93,16,Malta
2020-01-12,14,10,0.0,3.7,3,83,07:05 PM,08:37 AM,07:13 AM,05:08 PM,10,11,14,11,42,92,76,9.6,1023,14,9,86,31,Malta
2020-01-13,15,12,0.0,5.4,3,76,08:15 PM,09:22 AM,07:12 AM,05:09 PM,10,13,14,13,44,73,76,10.7,1021,15,10,87,31,Malta
2020-01-14,15,11,0.0,7.0,3,69,09:26 PM,10:01 AM,07:12 AM,05:10 PM,11,12,14,12,44,66,78,1.1,1021,15,10,41,33,Malta
2020-01-15,14,14,0.0,8.7,3,61,10:35 PM,10:37 AM,07:12 AM,05:11 PM,9,12,14,12,26,30,74,0.2,1024,14,10,121,18,Malta
2020-01-16,14,13,0.0,8.7,4,54,11:43 PM,11:10 AM,07:12 AM,05:12 PM,8,13,14,13,21,10,70,0.0,1026,14,10,308,15,Malta
2020-01-17,14,13,0.0,8.7,4,47,No moonrise,11:43 AM,07:11 AM,05:13 PM,9,11,13,11,34,31,77,0.0,1026,14,10,300,25,Malta
2020-01-18,15,11,0.0,5.4,3,40,12:49 AM,12:16 PM,07:11 AM,05:14 PM,9,12,14,12,42,62,73,0.5,1026,15,10,317,32,Malta
2020-01-19,15,10,0.0,5.4,3,32,01:55 AM,12:52 PM,07:11 AM,05:15 PM,8,13,14,13,25,66,65,0.3,1022,15,10,262,18,Malta
2020-01-20,15,11,0.0,3.8,4,25,03:01 AM,01:32 PM,07:10 AM,05:16 PM,9,13,14,13,41,68,71,0.7,1027,15,10,122,30,Malta
2020-01-21,15,14,0.0,3.8,3,18,04:05 AM,02:16 PM,07:10 AM,05:17 PM,10,14,15,14,55,80,74,1.7,1033,15,10,125,41,Malta
2020-01-22,14,13,0.0,5.4,3,11,05:07 AM,03:05 PM,07:09 AM,05:18 PM,9,12,14,12,29,60,70,0.1,1032,14,10,128,22,Malta
2020-01-23,15,11,0.0,8.7,4,3,06:03 AM,03:59 PM,07:09 AM,05:19 PM,9,13,14,13,22,46,73,0.0,1028,15,10,143,16,Malta
2020-01-24,16,14,0.0,3.8,4,0,06:54 AM,04:56 PM,07:08 AM,05:20 PM,12,14,15,14,42,71,82,0.0,1027,16,10,144,31,Malta
2020-01-25,16,13,0.0,5.4,4,0,07:38 AM,05:55 PM,07:08 AM,05:21 PM,13,15,15,15,24,54,83,0.0,1023,16,10,155,17,Malta
2020-01-26,16,14,0.0,7.1,4,4,08:16 AM,06:53 PM,07:07 AM,05:22 PM,11,15,15,15,20,42,76,3.6,1020,16,10,203,13,Malta
2020-01-27,16,13,0.0,8.7,5,11,08:50 AM,07:51 PM,07:07 AM,05:23 PM,10,14,15,14,28,13,77,1.8,1021,16,10,270,20,Malta
2020-01-28,15,12,0.0,7.1,4,18,09:21 AM,08:47 PM,07:06 AM,05:24 PM,11,14,15,14,35,25,79,0.0,1023,15,10,289,25,Malta
2020-01-29,16,12,0.0,3.8,4,26,09:48 AM,09:43 PM,07:05 AM,05:25 PM,12,14,15,14,43,49,78,0.4,1022,16,10,284,31,Malta
2020-01-30,16,13,0.0,8.7,4,33,10:15 AM,10:37 PM,07:04 AM,05:27 PM,12,14,15,14,36,29,81,0.1,1022,16,10,301,26,Malta
