date_time,Mauritania_maxtempC,Mauritania_mintempC,Mauritania_totalSnow_cm,Mauritania_sunHour,Mauritania_uvIndex,Mauritania_moon_illumination,Mauritania_moonrise,Mauritania_moonset,Mauritania_sunrise,Mauritania_sunset,Mauritania_DewPointC,Mauritania_FeelsLikeC,Mauritania_HeatIndexC,Mauritania_WindChillC,Mauritania_WindGustKmph,Mauritania_cloudcover,Mauritania_humidity,Mauritania_precipMM,Mauritania_pressure,Mauritania_tempC,Mauritania_visibility,Mauritania_winddirDegree,Mauritania_windspeedKmph,Mauritania_location
2020-01-01,25,17,0.0,7.0,5,37,12:11 PM,No moonset,07:36 AM,06:39 PM,-1,21,21,21,45,68,22,0.0,1016,25,10,72,28,Mauritania
2020-01-02,24,17,0.0,11.0,6,44,12:46 PM,12:13 AM,07:36 AM,06:40 PM,-1,21,20,21,40,23,23,0.0,1017,24,10,68,25,Mauritania
2020-01-03,25,18,0.0,10.1,5,51,01:21 PM,01:00 AM,07:36 AM,06:40 PM,-1,21,21,21,43,23,23,0.0,1017,25,10,73,25,Mauritania
2020-01-04,24,17,0.0,11.0,6,59,01:56 PM,01:48 AM,07:37 AM,06:41 PM,-1,20,20,20,43,26,24,0.0,1018,24,10,70,25,Mauritania
2020-01-05,25,17,0.0,11.1,6,66,02:32 PM,02:36 AM,07:37 AM,06:42 PM,0,20,20,20,43,0,27,0.0,1017,25,10,65,25,Mauritania
2020-01-06,25,16,0.0,11.1,6,73,03:12 PM,03:27 AM,07:37 AM,06:42 PM,-0,20,20,20,41,6,26,0.0,1017,25,10,47,24,Mauritania
2020-01-07,23,15,0.0,11.1,5,80,03:56 PM,04:20 AM,07:37 AM,06:43 PM,-3,19,19,19,39,2,22,0.0,1016,23,10,43,22,Mauritania
2020-01-08,23,15,0.0,10.1,4,88,04:45 PM,05:17 AM,07:38 AM,06:43 PM,-3,18,18,18,41,12,23,0.0,1017,23,10,50,24,Mauritania
2020-01-09,24,14,0.0,11.1,5,95,05:40 PM,06:15 AM,07:38 AM,06:44 PM,-3,17,18,17,44,2,24,0.0,1018,24,10,47,26,Mauritania
2020-01-10,23,15,0.0,11.1,5,100,06:39 PM,07:15 AM,07:38 AM,06:45 PM,-1,18,18,18,44,0,27,0.0,1018,23,10,51,26,Mauritania
2020-01-11,24,15,0.0,11.1,5,100,07:42 PM,08:13 AM,07:38 AM,06:45 PM,-2,19,19,19,40,18,23,0.0,1018,24,10,55,22,Mauritania
2020-01-12,25,16,0.0,11.1,6,83,08:45 PM,09:09 AM,07:38 AM,06:46 PM,-1,20,20,20,37,16,24,0.0,1017,25,10,52,20,Mauritania
2020-01-13,26,17,0.0,11.1,6,76,09:48 PM,10:00 AM,07:38 AM,06:47 PM,-0,21,21,21,42,6,24,0.0,1016,26,10,68,23,Mauritania
2020-01-14,24,17,0.0,11.1,6,69,10:48 PM,10:48 AM,07:39 AM,06:47 PM,1,20,21,20,37,5,28,0.0,1015,24,10,72,21,Mauritania
2020-01-15,25,18,0.0,11.1,6,61,11:47 PM,11:33 AM,07:39 AM,06:48 PM,1,22,21,22,32,14,26,0.0,1016,25,10,58,18,Mauritania
2020-01-16,26,19,0.0,11.1,6,54,No moonrise,12:15 PM,07:39 AM,06:49 PM,0,22,22,22,36,18,24,0.0,1017,26,10,51,19,Mauritania
2020-01-17,27,19,0.0,11.1,6,47,12:45 AM,12:57 PM,07:39 AM,06:49 PM,1,22,22,23,46,3,24,0.0,1017,27,10,66,25,Mauritania
2020-01-18,27,19,0.0,11.1,6,40,01:43 AM,01:40 PM,07:39 AM,06:50 PM,2,22,22,23,48,4,25,0.0,1017,27,10,68,26,Mauritania
2020-01-19,27,19,0.0,11.1,6,32,02:40 AM,02:24 PM,07:39 AM,06:50 PM,3,22,22,23,42,6,28,0.0,1015,27,10,66,23,Mauritania
2020-01-20,28,19,0.0,11.1,6,25,03:38 AM,03:11 PM,07:39 AM,06:51 PM,4,23,23,23,32,7,29,0.0,1012,28,10,122,16,Mauritania
2020-01-21,30,19,0.0,11.1,6,18,04:35 AM,04:01 PM,07:39 AM,06:52 PM,5,23,23,23,33,0,32,0.0,1012,30,10,144,17,Mauritania
2020-01-22,27,18,0.0,11.1,6,11,05:33 AM,04:53 PM,07:39 AM,06:52 PM,7,22,22,22,35,8,41,0.0,1013,27,10,183,18,Mauritania
2020-01-23,29,19,0.0,11.1,6,3,06:28 AM,05:47 PM,07:39 AM,06:53 PM,7,23,23,23,37,11,37,0.0,1013,29,10,141,18,Mauritania
2020-01-24,30,22,0.0,11.2,7,0,07:20 AM,06:41 PM,07:39 AM,06:54 PM,7,25,25,24,42,9,33,0.0,1014,30,10,97,21,Mauritania
2020-01-25,31,23,0.0,11.2,7,0,08:08 AM,07:35 PM,07:39 AM,06:54 PM,7,25,25,26,45,22,32,0.0,1014,31,10,147,23,Mauritania
2020-01-26,30,23,0.0,11.2,7,4,08:52 AM,08:27 PM,07:38 AM,06:55 PM,11,26,26,26,31,28,40,0.0,1015,30,10,183,15,Mauritania
2020-01-27,31,22,0.0,11.2,7,11,09:32 AM,09:18 PM,07:38 AM,06:55 PM,7,26,26,26,36,1,31,0.0,1014,31,10,50,18,Mauritania
2020-01-28,32,22,0.0,11.2,7,18,10:09 AM,10:06 PM,07:38 AM,06:56 PM,5,27,27,26,37,1,27,0.0,1012,32,10,135,18,Mauritania
2020-01-29,33,23,0.0,11.2,7,26,10:44 AM,10:53 PM,07:38 AM,06:56 PM,3,26,26,27,41,6,22,0.0,1013,33,10,73,20,Mauritania
2020-01-30,33,23,0.0,11.2,7,33,11:19 AM,11:41 PM,07:38 AM,06:57 PM,4,26,26,27,50,0,23,0.0,1015,33,10,76,24,Mauritania
2020-01-31,29,21,0.0,11.2,7,37,11:53 AM,No moonset,07:37 AM,06:58 PM,2,24,24,25,43,0,22,0.0,1016,29,10,51,22,Mauritania
2020-02-01,30,19,0.0,11.2,6,49,12:28 PM,12:28 AM,07:37 AM,06:58 PM,0,23,23,24,41,0,21,0.0,1014,30,10,52,21,Mauritania
2020-02-02,32,21,0.0,11.2,7,57,01:06 PM,01:17 AM,07:37 AM,06:59 PM,3,25,25,26,42,0,22,0.0,1014,32,10,64,21,Mauritania
2020-02-03,33,22,0.0,11.2,7,64,01:47 PM,02:08 AM,07:37 AM,06:59 PM,3,26,26,27,44,1,21,0.0,1013,33,10,93,22,Mauritania
2020-02-04,31,22,0.0,10.2,6,72,02:32 PM,03:02 AM,07:36 AM,07:00 PM,3,25,25,26,35,33,22,0.0,1014,31,10,96,17,Mauritania
2020-02-05,30,20,0.0,11.6,7,79,03:24 PM,03:58 AM,07:36 AM,07:00 PM,1,24,24,25,34,0,21,0.0,1015,30,10,132,17,Mauritania
2020-02-06,30,20,0.0,11.6,7,87,04:20 PM,04:56 AM,07:36 AM,07:01 PM,2,24,24,24,38,0,24,0.0,1014,30,10,124,19,Mauritania
2020-02-07,31,21,0.0,11.6,7,95,05:21 PM,05:55 AM,07:35 AM,07:01 PM,2,25,25,25,36,4,22,0.0,1015,31,10,90,18,Mauritania
2020-02-08,31,22,0.0,11.6,7,100,06:25 PM,06:53 AM,07:35 AM,07:02 PM,2,25,25,26,39,13,22,0.0,1016,31,10,41,20,Mauritania
2020-02-09,30,21,0.0,11.6,7,100,07:30 PM,07:47 AM,07:35 AM,07:02 PM,2,25,25,25,41,0,23,0.0,1015,30,10,35,21,Mauritania
2020-02-10,30,20,0.0,11.6,7,83,08:33 PM,08:38 AM,07:34 AM,07:03 PM,2,25,25,25,42,3,23,0.0,1015,30,10,44,22,Mauritania
