date_time,Mauritius_maxtempC,Mauritius_mintempC,Mauritius_totalSnow_cm,Mauritius_sunHour,Mauritius_uvIndex,Mauritius_moon_illumination,Mauritius_moonrise,Mauritius_moonset,Mauritius_sunrise,Mauritius_sunset,Mauritius_DewPointC,Mauritius_FeelsLikeC,Mauritius_HeatIndexC,Mauritius_WindChillC,Mauritius_WindGustKmph,Mauritius_cloudcover,Mauritius_humidity,Mauritius_precipMM,Mauritius_pressure,Mauritius_tempC,Mauritius_visibility,Mauritius_winddirDegree,Mauritius_windspeedKmph,Mauritius_location
2020-01-01,28,25,0.0,8.2,6,37,10:45 AM,11:28 PM,05:34 AM,06:53 PM,23,30,30,26,15,66,82,0.8,1005,28,10,251,12,Mauritius
2020-01-02,28,25,0.0,13.2,6,44,11:34 AM,No moonset,05:34 AM,06:53 PM,23,30,30,27,10,42,82,0.8,1010,28,10,287,9,Mauritius
2020-01-03,27,25,0.0,12.0,6,51,12:21 PM,12:02 AM,05:35 AM,06:54 PM,21,28,28,26,7,60,74,2.1,1014,27,10,97,5,Mauritius
2020-01-04,25,24,0.0,8.2,5,59,01:10 PM,12:35 AM,05:35 AM,06:54 PM,22,26,26,24,19,85,90,37.9,1013,25,7,85,13,Mauritius
2020-01-05,25,16,0.0,8.2,5,66,02:00 PM,01:10 AM,05:36 AM,06:54 PM,22,25,25,23,12,79,88,41.4,1009,25,8,150,8,Mauritius
2020-01-06,27,24,0.0,8.2,6,73,02:52 PM,01:47 AM,05:37 AM,06:55 PM,23,29,29,26,22,79,84,24.1,1011,27,8,68,15,Mauritius
2020-01-07,29,26,0.0,12.0,6,80,03:48 PM,02:27 AM,05:37 AM,06:55 PM,23,30,30,27,9,55,78,6.7,1012,29,10,185,7,Mauritius
2020-01-08,29,26,0.0,8.2,6,88,04:45 PM,03:12 AM,05:38 AM,06:55 PM,23,30,30,27,8,66,78,3.6,1011,29,9,274,6,Mauritius
2020-01-09,27,24,0.0,13.2,6,95,05:45 PM,04:02 AM,05:39 AM,06:55 PM,21,27,27,25,19,39,77,0.0,1011,27,10,138,15,Mauritius
2020-01-10,26,23,0.0,10.7,6,100,06:44 PM,04:57 AM,05:39 AM,06:55 PM,19,26,26,24,21,39,73,0.5,1012,26,10,133,16,Mauritius
2020-01-11,27,24,0.0,8.2,6,100,07:41 PM,05:58 AM,05:40 AM,06:55 PM,21,28,28,25,20,76,78,3.0,1012,27,9,131,16,Mauritius
2020-01-12,29,24,0.0,10.7,6,83,08:35 PM,07:01 AM,05:41 AM,06:56 PM,22,28,28,26,21,60,77,4.3,1012,29,10,105,16,Mauritius
2020-01-13,29,25,0.0,8.2,6,76,09:25 PM,08:05 AM,05:41 AM,06:56 PM,22,29,29,26,21,71,79,2.2,1012,29,9,96,16,Mauritius
2020-01-14,29,25,0.0,12.0,6,69,10:10 PM,09:08 AM,05:42 AM,06:56 PM,23,30,30,27,21,57,80,6.7,1012,29,10,89,16,Mauritius
2020-01-15,29,26,0.0,12.0,6,61,10:53 PM,10:09 AM,05:43 AM,06:56 PM,23,30,30,27,26,55,80,0.3,1013,29,10,100,21,Mauritius
2020-01-16,28,25,0.0,8.2,6,54,11:35 PM,11:09 AM,05:43 AM,06:56 PM,23,30,30,27,30,67,79,1.1,1013,28,10,98,24,Mauritius
2020-01-17,29,25,0.0,9.5,6,47,No moonrise,12:08 PM,05:44 AM,06:56 PM,23,30,30,27,25,67,78,0.7,1012,29,10,95,20,Mauritius
2020-01-18,29,25,0.0,8.2,6,40,12:15 AM,01:06 PM,05:45 AM,06:56 PM,23,30,30,27,23,71,78,0.6,1011,29,10,87,18,Mauritius
2020-01-19,29,25,0.0,12.0,6,32,12:58 AM,02:04 PM,05:45 AM,06:56 PM,23,30,30,27,18,55,80,0.2,1010,29,10,52,14,Mauritius
2020-01-20,29,26,0.0,12.0,6,25,01:42 AM,03:03 PM,05:46 AM,06:56 PM,23,30,30,27,17,54,80,1.7,1007,29,10,216,13,Mauritius
2020-01-21,27,25,0.0,8.2,6,18,02:29 AM,04:01 PM,05:47 AM,06:56 PM,23,29,29,26,21,83,85,12.7,1004,27,8,258,14,Mauritius
2020-01-22,28,25,0.0,8.2,6,11,03:19 AM,04:58 PM,05:47 AM,06:55 PM,24,30,30,26,30,85,87,29.5,1003,28,8,258,18,Mauritius
2020-01-23,27,19,0.0,9.4,6,3,04:12 AM,05:53 PM,05:48 AM,06:55 PM,24,28,28,24,27,69,89,41.0,1004,27,8,242,18,Mauritius
2020-01-24,27,26,0.0,8.2,6,0,05:07 AM,06:43 PM,05:49 AM,06:55 PM,24,30,30,27,27,84,85,28.7,1005,27,8,262,16,Mauritius
2020-01-25,29,23,0.0,10.7,6,0,06:01 AM,07:30 PM,05:49 AM,06:55 PM,23,29,29,26,24,62,82,7.7,1006,29,9,187,18,Mauritius
2020-01-26,28,25,0.0,13.1,6,4,06:55 AM,08:11 PM,05:50 AM,06:55 PM,22,28,28,26,25,58,78,2.4,1010,28,10,170,19,Mauritius
2020-01-27,27,24,0.0,8.2,6,11,07:47 AM,08:50 PM,05:51 AM,06:55 PM,20,27,27,25,21,66,74,2.0,1011,27,10,148,17,Mauritius
2020-01-28,26,22,0.0,12.0,5,18,08:37 AM,09:26 PM,05:51 AM,06:54 PM,17,25,25,24,11,34,68,0.1,1010,26,10,160,8,Mauritius
2020-01-29,27,22,0.0,12.0,6,26,09:27 AM,10:00 PM,05:52 AM,06:54 PM,17,26,26,24,8,30,65,0.0,1012,27,10,176,6,Mauritius
2020-01-30,26,23,0.0,9.4,5,33,10:14 AM,10:33 PM,05:52 AM,06:54 PM,19,26,26,24,19,53,73,1.4,1014,26,10,113,14,Mauritius
2020-01-31,27,24,0.0,13.0,6,37,11:03 AM,11:07 PM,05:53 AM,06:54 PM,21,27,27,25,26,45,79,0.5,1013,27,10,119,20,Mauritius
2020-02-01,28,24,0.0,9.4,6,49,11:51 AM,11:43 PM,05:54 AM,06:53 PM,22,28,28,26,29,63,78,0.7,1013,28,10,119,23,Mauritius
2020-02-02,28,25,0.0,10.7,6,57,12:41 PM,No moonset,05:54 AM,06:53 PM,22,29,29,26,32,51,77,0.5,1014,28,10,118,25,Mauritius
2020-02-03,28,25,0.0,8.1,6,64,01:34 PM,12:20 AM,05:55 AM,06:53 PM,22,29,29,26,34,69,80,1.9,1013,28,10,111,26,Mauritius
2020-02-04,28,25,0.0,9.4,6,72,02:29 PM,01:02 AM,05:55 AM,06:52 PM,21,28,28,26,31,66,76,0.7,1013,28,10,124,25,Mauritius
2020-02-05,28,24,0.0,10.7,6,79,03:27 PM,01:48 AM,05:56 AM,06:52 PM,22,29,29,26,30,62,77,1.1,1012,28,10,131,23,Mauritius
2020-02-06,28,25,0.0,10.7,6,87,04:25 PM,02:40 AM,05:56 AM,06:51 PM,22,28,28,26,30,63,77,1.3,1012,28,10,115,24,Mauritius
2020-02-07,28,24,0.0,8.1,6,95,05:24 PM,03:38 AM,05:57 AM,06:51 PM,21,28,28,26,28,72,76,1.3,1014,28,10,123,22,Mauritius
2020-02-08,28,24,0.0,12.9,6,100,06:20 PM,04:40 AM,05:58 AM,06:50 PM,21,28,28,26,25,52,74,0.4,1014,28,10,133,20,Mauritius
2020-02-09,28,23,0.0,11.9,6,100,07:13 PM,05:46 AM,05:58 AM,06:50 PM,21,27,27,25,29,49,76,1.5,1013,28,10,148,22,Mauritius
2020-02-10,28,24,0.0,12.9,6,83,08:02 PM,06:51 AM,05:59 AM,06:49 PM,21,28,28,26,26,52,77,2.3,1010,28,10,157,20,Mauritius
2020-02-11,29,26,0.0,9.4,6,75,08:47 PM,07:55 AM,05:59 AM,06:49 PM,23,30,30,27,31,66,79,1.1,1006,29,10,131,24,Mauritius
2020-02-12,29,25,0.0,9.1,6,68,09:31 PM,08:58 AM,06:00 AM,06:48 PM,23,30,30,27,36,62,80,3.6,1008,29,10,81,26,Mauritius
2020-02-13,29,25,0.0,12.5,6,60,10:13 PM,09:59 AM,06:00 AM,06:48 PM,22,29,29,26,28,30,76,0.0,1012,29,10,77,22,Mauritius
2020-02-14,30,25,0.0,10.3,6,53,10:56 PM,10:59 AM,06:01 AM,06:47 PM,23,30,30,27,16,37,79,0.2,1013,30,10,98,13,Mauritius
2020-02-15,29,25,0.0,8.9,6,45,11:41 PM,11:59 AM,06:01 AM,06:47 PM,23,29,29,26,28,61,81,2.7,1012,29,10,101,22,Mauritius
2020-02-16,28,24,0.0,10.3,6,38,No moonrise,12:58 PM,06:02 AM,06:46 PM,21,28,28,26,28,44,75,0.5,1013,28,10,111,23,Mauritius
2020-02-17,28,23,0.0,8.9,6,30,12:27 AM,01:57 PM,06:02 AM,06:45 PM,21,28,28,25,26,55,75,0.9,1014,28,10,119,21,Mauritius
2020-02-18,28,24,0.0,8.9,6,22,01:16 AM,02:54 PM,06:03 AM,06:45 PM,21,28,28,26,26,52,77,0.6,1013,28,10,124,20,Mauritius
2020-02-19,28,24,0.0,10.3,6,15,02:08 AM,03:49 PM,06:03 AM,06:44 PM,20,27,27,26,24,38,73,0.9,1012,28,10,131,18,Mauritius
2020-02-20,28,24,0.0,8.9,6,7,03:01 AM,04:39 PM,06:04 AM,06:44 PM,21,27,27,25,22,51,75,1.8,1011,28,10,122,17,Mauritius
2020-02-21,28,24,0.0,10.2,6,0,03:55 AM,05:27 PM,06:04 AM,06:43 PM,20,27,27,25,23,45,72,1.2,1012,28,10,111,18,Mauritius
2020-02-22,30,23,0.0,11.6,6,0,04:48 AM,06:09 PM,06:04 AM,06:42 PM,19,27,27,25,18,26,68,0.2,1013,30,10,109,14,Mauritius
2020-02-23,28,24,0.0,6.2,6,0,05:41 AM,06:49 PM,06:05 AM,06:42 PM,22,28,28,26,9,66,79,1.9,1011,28,10,152,7,Mauritius
2020-02-24,28,25,0.0,8.9,6,0,06:31 AM,07:26 PM,06:05 AM,06:41 PM,22,29,29,26,6,54,78,1.2,1009,28,10,245,5,Mauritius
2020-02-25,29,22,0.0,7.5,6,8,07:21 AM,08:00 PM,06:06 AM,06:40 PM,23,28,28,26,13,62,81,9.6,1008,29,9,262,10,Mauritius
2020-02-26,25,23,0.0,6.2,5,15,08:09 AM,08:33 PM,06:06 AM,06:39 PM,23,27,27,24,18,81,90,20.3,1010,25,8,82,14,Mauritius
2020-02-27,25,24,0.0,6.2,5,23,08:57 AM,09:07 PM,06:06 AM,06:39 PM,23,27,27,24,18,73,92,27.1,1010,25,8,97,13,Mauritius
2020-02-28,27,25,0.0,8.9,6,30,09:46 AM,09:41 PM,06:07 AM,06:38 PM,23,29,29,26,38,63,87,60.9,1009,27,5,70,20,Mauritius
2020-02-29,29,23,0.0,6.2,6,38,10:34 AM,10:17 PM,06:07 AM,06:37 PM,24,30,30,26,15,74,85,19.6,1005,29,9,111,10,Mauritius
2020-03-01,29,25,0.0,6.1,6,44,11:26 AM,10:56 PM,06:08 AM,06:36 PM,23,30,30,27,16,73,82,27.7,1005,29,8,52,9,Mauritius
2020-03-02,29,25,0.0,6.1,6,51,12:18 PM,11:39 PM,06:08 AM,06:36 PM,24,31,31,27,8,79,82,23.1,1007,29,8,152,5,Mauritius
2020-03-03,30,26,0.0,8.9,6,58,01:13 PM,No moonset,06:08 AM,06:35 PM,24,31,31,27,15,64,83,2.5,1008,30,10,127,10,Mauritius
2020-03-04,29,26,0.0,6.1,6,65,02:10 PM,12:27 AM,06:09 AM,06:34 PM,24,31,31,27,20,77,84,11.1,1008,29,9,102,13,Mauritius
2020-03-05,29,26,0.0,6.1,6,73,03:07 PM,01:21 AM,06:09 AM,06:33 PM,24,31,31,27,22,72,85,7.5,1009,29,9,90,15,Mauritius
2020-03-06,28,26,0.0,10.2,6,80,04:03 PM,02:20 AM,06:09 AM,06:32 PM,24,30,30,27,20,61,83,2.0,1009,28,10,85,15,Mauritius
2020-03-07,28,25,0.0,6.1,6,87,04:57 PM,03:23 AM,06:10 AM,06:31 PM,23,29,29,26,24,66,83,7.3,1010,28,9,103,16,Mauritius
2020-03-08,28,25,0.0,8.9,6,95,05:48 PM,04:27 AM,06:10 AM,06:31 PM,23,29,29,26,26,60,81,2.1,1011,28,10,109,20,Mauritius
2020-03-09,28,24,0.0,7.5,6,100,06:35 PM,05:33 AM,06:10 AM,06:30 PM,22,28,28,26,35,71,81,2.2,1011,28,10,106,26,Mauritius
2020-03-10,26,22,0.0,6.1,5,100,07:21 PM,06:37 AM,06:11 AM,06:29 PM,22,27,27,24,37,85,88,12.3,1010,26,9,98,26,Mauritius
2020-03-11,25,23,0.0,6.1,5,84,08:05 PM,07:41 AM,06:11 AM,06:28 PM,23,27,27,24,28,81,91,11.0,1008,25,9,93,21,Mauritius
