date_time,Moldova_maxtempC,Moldova_mintempC,Moldova_totalSnow_cm,Moldova_sunHour,Moldova_uvIndex,Moldova_moon_illumination,Moldova_moonrise,Moldova_moonset,Moldova_sunrise,Moldova_sunset,Moldova_DewPointC,Moldova_FeelsLikeC,Moldova_HeatIndexC,Moldova_WindChillC,Moldova_WindGustKmph,Moldova_cloudcover,Moldova_humidity,Moldova_precipMM,Moldova_pressure,Moldova_tempC,Moldova_visibility,Moldova_winddirDegree,Moldova_windspeedKmph,Moldova_location
2020-01-01,2,-5,0.0,3.3,1,37,11:34 AM,10:48 PM,07:51 AM,04:25 PM,-2,-5,1,-5,48,92,81,0.6,1022,2,6,326,32,Moldova
2020-01-02,0,-2,0.0,5.1,1,44,11:54 AM,11:51 PM,07:51 AM,04:26 PM,-3,-4,-1,-4,19,66,83,0.0,1030,0,10,300,12,Moldova
2020-01-03,2,-7,0.0,8.7,1,51,12:14 PM,No moonset,07:51 AM,04:27 PM,-4,-4,-0,-4,17,53,74,0.0,1024,2,10,308,10,Moldova
2020-01-04,4,-1,0.0,8.7,1,59,12:34 PM,12:53 AM,07:51 AM,04:28 PM,-4,-2,1,-2,14,34,71,0.0,1017,4,10,298,8,Moldova
2020-01-05,2,-0,0.8,3.3,1,66,12:56 PM,01:57 AM,07:50 AM,04:29 PM,-1,-4,1,-4,27,96,86,1.6,1018,2,9,280,18,Moldova
2020-01-06,0,-3,0.2,3.3,1,73,01:22 PM,03:02 AM,07:50 AM,04:30 PM,-3,-6,-1,-6,28,76,85,0.3,1028,0,8,303,19,Moldova
2020-01-07,0,-3,0.0,8.7,2,80,01:51 PM,04:09 AM,07:50 AM,04:31 PM,-6,-6,-2,-6,18,7,77,0.0,1029,0,10,305,12,Moldova
2020-01-08,1,-7,0.0,8.7,2,88,02:28 PM,05:18 AM,07:50 AM,04:33 PM,-6,-6,-2,-6,14,6,73,0.0,1030,1,10,336,9,Moldova
2020-01-09,2,-7,0.0,3.3,1,95,03:15 PM,06:25 AM,07:49 AM,04:34 PM,-7,-3,-1,-3,7,68,61,0.2,1026,2,10,243,5,Moldova
2020-01-10,4,-2,0.0,6.9,1,100,04:12 PM,07:28 AM,07:49 AM,04:35 PM,-4,0,2,0,12,72,67,0.0,1022,4,10,210,7,Moldova
2020-01-11,6,1,0.0,6.9,1,100,05:20 PM,08:23 AM,07:49 AM,04:36 PM,-0,0,3,0,20,44,81,0.0,1022,6,10,307,13,Moldova
2020-01-12,4,0,0.0,8.7,1,83,06:35 PM,09:10 AM,07:48 AM,04:37 PM,-1,-1,3,-1,24,50,78,0.1,1028,4,10,327,17,Moldova
2020-01-13,4,-1,0.0,8.7,1,76,07:53 PM,09:48 AM,07:48 AM,04:39 PM,-2,-1,1,-1,13,17,81,0.0,1026,4,9,258,8,Moldova
2020-01-14,4,0,0.0,8.7,2,69,09:12 PM,10:19 AM,07:47 AM,04:40 PM,-2,0,1,0,9,13,77,0.0,1026,4,10,176,5,Moldova
2020-01-15,5,-0,0.0,8.7,2,61,10:29 PM,10:47 AM,07:47 AM,04:41 PM,-0,-1,2,-1,15,28,86,0.0,1030,5,10,140,9,Moldova
2020-01-16,6,0,0.0,8.7,1,54,11:46 PM,11:12 AM,07:46 AM,04:43 PM,-0,-0,2,-0,18,38,84,0.0,1031,6,10,183,10,Moldova
2020-01-17,4,-0,0.0,8.7,1,47,No moonrise,11:37 AM,07:45 AM,04:44 PM,-1,-1,1,-1,16,33,87,0.0,1032,4,8,202,9,Moldova
2020-01-18,-0,-2,0.0,6.9,1,40,01:01 AM,12:03 PM,07:45 AM,04:45 PM,-2,-4,-1,-4,13,32,89,0.0,1030,-0,9,115,9,Moldova
2020-01-19,1,-3,0.0,3.4,1,32,02:15 AM,12:31 PM,07:44 AM,04:47 PM,-3,-3,-1,-3,9,84,84,0.0,1029,1,9,114,6,Moldova
2020-01-20,3,-0,0.0,5.2,1,25,03:29 AM,01:03 PM,07:43 AM,04:48 PM,-3,-3,1,-3,19,66,80,0.0,1038,3,10,191,12,Moldova
2020-01-21,5,-1,0.0,8.7,2,18,04:39 AM,01:42 PM,07:42 AM,04:50 PM,-3,-3,1,-3,30,33,74,0.0,1037,5,10,304,19,Moldova
2020-01-22,7,1,0.0,8.7,1,11,05:45 AM,02:27 PM,07:41 AM,04:51 PM,-5,-1,4,-1,33,20,56,0.0,1024,7,10,291,20,Moldova
2020-01-23,4,-0,0.0,5.2,1,3,06:43 AM,03:21 PM,07:41 AM,04:53 PM,-4,-4,1,-4,44,46,69,0.1,1025,4,9,323,30,Moldova
2020-01-24,4,-2,0.0,8.7,2,0,07:32 AM,04:20 PM,07:40 AM,04:54 PM,-5,-3,1,-3,21,4,67,0.0,1028,4,10,247,12,Moldova
2020-01-25,5,-1,0.0,8.7,2,0,08:12 AM,05:24 PM,07:39 AM,04:56 PM,-7,-1,2,-1,15,3,55,0.0,1021,5,10,291,9,Moldova
2020-01-26,7,1,0.0,8.7,2,4,08:45 AM,06:28 PM,07:38 AM,04:57 PM,-4,2,3,2,10,6,61,0.0,1024,7,10,224,5,Moldova
2020-01-27,7,0,0.0,8.7,1,11,09:13 AM,07:32 PM,07:37 AM,04:59 PM,-1,1,3,1,13,30,77,0.0,1020,7,10,150,8,Moldova
2020-01-28,4,3,0.0,3.6,1,18,09:37 AM,08:35 PM,07:35 AM,05:00 PM,2,2,3,2,9,89,90,0.8,1011,4,8,178,6,Moldova
2020-01-29,8,3,0.0,7.0,2,26,09:58 AM,09:38 PM,07:34 AM,05:02 PM,-1,1,4,1,31,53,73,0.1,1003,8,10,225,20,Moldova
2020-01-30,6,1,0.0,7.0,1,33,10:18 AM,10:40 PM,07:33 AM,05:03 PM,-4,-0,3,-0,24,34,59,0.0,1011,6,10,270,14,Moldova
2020-01-31,6,-1,0.0,5.3,1,37,10:37 AM,11:43 PM,07:32 AM,05:05 PM,-2,-1,3,-1,27,59,69,1.8,1010,6,10,231,17,Moldova
2020-02-01,7,-0,0.0,3.7,2,49,10:58 AM,No moonset,07:31 AM,05:06 PM,3,3,6,3,24,87,80,1.3,1010,7,7,270,15,Moldova
2020-02-02,13,1,0.0,5.3,3,57,11:22 AM,12:46 AM,07:29 AM,05:08 PM,4,6,9,6,33,57,71,0.2,1010,13,10,252,19,Moldova
2020-02-03,10,6,0.0,3.7,2,64,11:48 AM,01:51 AM,07:28 AM,05:09 PM,3,4,7,4,34,78,74,3.9,1005,10,10,258,21,Moldova
2020-02-04,9,3,0.0,7.0,2,72,12:21 PM,02:58 AM,07:27 AM,05:11 PM,2,3,5,3,22,65,80,0.7,1003,9,9,220,15,Moldova
2020-02-05,9,1,0.0,3.7,2,79,01:02 PM,04:05 AM,07:25 AM,05:13 PM,5,3,6,3,32,100,92,39.9,989,9,7,143,22,Moldova
2020-02-06,1,-2,0.8,3.7,1,87,01:53 PM,05:09 AM,07:24 AM,05:14 PM,-8,-7,-0,-7,53,86,55,5.0,1010,1,2,149,37,Moldova
2020-02-07,1,-3,1.0,7.0,1,95,02:56 PM,06:08 AM,07:23 AM,05:16 PM,-7,-7,-1,-7,36,52,67,1.9,1016,1,6,337,25,Moldova
