date_time,Mongolia_maxtempC,Mongolia_mintempC,Mongolia_totalSnow_cm,Mongolia_sunHour,Mongolia_uvIndex,Mongolia_moon_illumination,Mongolia_moonrise,Mongolia_moonset,Mongolia_sunrise,Mongolia_sunset,Mongolia_DewPointC,Mongolia_FeelsLikeC,Mongolia_HeatIndexC,Mongolia_WindChillC,Mongolia_WindGustKmph,Mongolia_cloudcover,Mongolia_humidity,Mongolia_precipMM,Mongolia_pressure,Mongolia_tempC,Mongolia_visibility,Mongolia_winddirDegree,Mongolia_windspeedKmph,Mongolia_location
2020-01-01,-14,-21,0.0,8.7,2,37,12:18 PM,11:22 PM,08:42 AM,05:09 PM,-20,-18,-16,-18,7,4,70,0.0,1033,-14,10,217,4,Mongolia
2020-01-02,-11,-16,0.0,8.7,2,44,12:38 PM,No moonset,08:42 AM,05:10 PM,-18,-15,-14,-15,5,7,71,0.0,1031,-11,10,223,2,Mongolia
2020-01-03,-10,-18,0.0,8.7,2,51,12:57 PM,12:24 AM,08:42 AM,05:11 PM,-17,-14,-13,-14,5,5,66,0.0,1030,-10,10,177,3,Mongolia
2020-01-04,-8,-13,0.0,6.9,1,59,01:17 PM,01:28 AM,08:42 AM,05:12 PM,-16,-15,-11,-15,15,33,65,0.0,1027,-8,10,108,8,Mongolia
2020-01-05,-13,-27,0.0,5.1,1,66,01:38 PM,02:31 AM,08:41 AM,05:14 PM,-17,-21,-16,-21,11,39,91,0.0,1033,-13,5,307,6,Mongolia
2020-01-06,-11,-17,0.0,8.7,2,73,02:01 PM,03:38 AM,08:41 AM,05:15 PM,-17,-16,-15,-16,6,8,79,0.0,1037,-11,10,138,3,Mongolia
2020-01-07,-14,-18,0.0,8.7,2,80,02:29 PM,04:45 AM,08:41 AM,05:16 PM,-19,-18,-17,-18,5,13,80,0.0,1036,-14,10,158,2,Mongolia
2020-01-08,-14,-21,0.0,8.7,2,88,03:04 PM,05:54 AM,08:41 AM,05:17 PM,-21,-20,-18,-20,8,23,78,0.0,1032,-14,10,162,4,Mongolia
2020-01-09,-18,-22,0.0,3.3,1,95,03:48 PM,07:02 AM,08:40 AM,05:18 PM,-21,-26,-21,-26,13,83,97,0.0,1034,-18,2,314,7,Mongolia
2020-01-10,-17,-22,0.0,8.7,1,100,04:42 PM,08:07 AM,08:40 AM,05:19 PM,-20,-23,-19,-23,9,39,92,0.0,1037,-17,8,166,5,Mongolia
2020-01-11,-15,-23,0.0,8.7,2,100,05:48 PM,09:04 AM,08:40 AM,05:21 PM,-21,-20,-19,-20,5,27,86,0.0,1035,-15,10,242,2,Mongolia
2020-01-12,-18,-27,0.0,8.7,1,83,07:03 PM,09:52 AM,08:39 AM,05:22 PM,-22,-23,-21,-23,5,13,91,0.0,1033,-18,9,271,3,Mongolia
2020-01-13,-14,-20,0.0,8.7,2,76,08:21 PM,10:30 AM,08:39 AM,05:23 PM,-21,-18,-18,-18,3,2,75,0.0,1029,-14,10,199,2,Mongolia
2020-01-14,-14,-20,0.0,8.7,1,69,09:41 PM,11:03 AM,08:38 AM,05:25 PM,-22,-19,-18,-19,6,30,70,0.0,1029,-14,10,195,3,Mongolia
2020-01-15,-13,-19,0.0,8.7,1,61,11:00 PM,11:30 AM,08:37 AM,05:26 PM,-21,-18,-17,-18,6,23,71,0.0,1034,-13,10,199,3,Mongolia
2020-01-16,-13,-19,0.0,8.7,2,54,No moonrise,11:55 AM,08:37 AM,05:27 PM,-20,-17,-16,-17,6,34,72,0.0,1031,-13,10,151,3,Mongolia
2020-01-17,-15,-21,0.0,5.1,1,47,12:17 AM,12:19 PM,08:36 AM,05:29 PM,-20,-19,-18,-19,5,82,83,0.0,1027,-15,10,260,3,Mongolia
2020-01-18,-18,-21,0.4,8.7,1,40,01:34 AM,12:43 PM,08:35 AM,05:30 PM,-21,-23,-20,-23,9,55,87,0.5,1023,-18,8,229,5,Mongolia
2020-01-19,-16,-31,0.9,5.1,1,32,02:49 AM,01:10 PM,08:35 AM,05:32 PM,-21,-24,-21,-24,11,78,92,1.0,1027,-16,7,225,6,Mongolia
2020-01-20,-14,-20,0.0,8.7,2,25,04:03 AM,01:41 PM,08:34 AM,05:33 PM,-20,-20,-17,-20,9,32,77,0.0,1020,-14,10,195,5,Mongolia
2020-01-21,-15,-23,0.0,6.9,1,18,05:15 AM,02:17 PM,08:33 AM,05:35 PM,-20,-20,-18,-20,8,60,80,0.0,1026,-15,9,179,4,Mongolia
2020-01-22,-15,-26,0.0,8.7,1,11,06:22 AM,03:01 PM,08:32 AM,05:36 PM,-19,-22,-18,-22,8,27,89,0.0,1028,-15,8,233,4,Mongolia
2020-01-23,-16,-21,0.0,6.9,1,3,07:23 AM,03:52 PM,08:31 AM,05:38 PM,-21,-23,-19,-23,11,25,80,0.0,1037,-16,10,115,5,Mongolia
2020-01-24,-13,-23,0.0,8.7,2,0,08:13 AM,04:51 PM,08:30 AM,05:39 PM,-19,-18,-17,-18,7,8,76,0.0,1033,-13,10,144,4,Mongolia
2020-01-25,-9,-15,0.0,8.7,2,0,08:55 AM,05:54 PM,08:29 AM,05:41 PM,-18,-17,-13,-17,15,3,66,0.0,1029,-9,10,110,7,Mongolia
2020-01-26,-8,-21,0.0,8.7,2,4,09:30 AM,06:59 PM,08:28 AM,05:42 PM,-17,-15,-12,-15,7,0,62,0.0,1026,-8,10,183,4,Mongolia
2020-01-27,-6,-14,0.0,8.7,2,11,09:57 AM,08:04 PM,08:27 AM,05:44 PM,-16,-13,-11,-13,7,15,65,0.0,1030,-6,10,196,4,Mongolia
2020-01-28,-9,-18,0.0,8.7,2,18,10:21 AM,09:08 PM,08:26 AM,05:45 PM,-17,-18,-14,-18,14,5,74,0.0,1034,-9,10,115,7,Mongolia
2020-01-29,-12,-22,0.0,8.7,2,26,10:42 AM,10:12 PM,08:24 AM,05:47 PM,-18,-21,-16,-21,13,8,86,0.0,1030,-12,10,116,7,Mongolia
2020-01-30,-12,-23,0.1,5.2,1,33,11:02 AM,11:15 PM,08:23 AM,05:48 PM,-19,-23,-18,-23,14,53,91,0.1,1030,-12,8,317,8,Mongolia
2020-01-31,-18,-31,0.1,3.5,1,37,11:21 AM,No moonset,08:22 AM,05:50 PM,-23,-25,-22,-25,8,58,95,0.1,1038,-18,5,250,4,Mongolia
2020-02-01,-19,-29,0.0,5.2,1,49,11:41 AM,12:17 AM,08:21 AM,05:51 PM,-25,-27,-24,-27,8,52,90,0.0,1040,-19,5,261,4,Mongolia
2020-02-02,-21,-29,0.0,8.7,2,57,12:02 PM,01:22 AM,08:19 AM,05:53 PM,-27,-26,-25,-26,6,24,80,0.0,1036,-21,9,126,3,Mongolia
2020-02-03,-20,-27,0.0,8.7,2,64,12:27 PM,02:27 AM,08:18 AM,05:54 PM,-27,-27,-24,-27,8,7,75,0.0,1036,-20,10,230,4,Mongolia
2020-02-04,-17,-26,0.0,8.7,1,72,12:58 PM,03:34 AM,08:17 AM,05:56 PM,-23,-27,-21,-27,15,19,83,0.0,1035,-17,9,110,7,Mongolia
2020-02-05,-15,-24,0.0,3.5,1,79,01:36 PM,04:41 AM,08:15 AM,05:58 PM,-20,-21,-18,-21,8,53,82,0.0,1032,-15,10,201,4,Mongolia
2020-02-06,-13,-19,0.0,8.7,2,87,02:24 PM,05:47 AM,08:14 AM,05:59 PM,-18,-17,-16,-17,6,9,85,0.0,1032,-13,10,248,3,Mongolia
2020-02-07,-8,-17,0.0,9.9,2,95,03:25 PM,06:48 AM,08:13 AM,06:01 PM,-16,-13,-12,-13,3,2,70,0.0,1031,-8,10,224,2,Mongolia
2020-02-08,-9,-24,0.0,9.9,2,100,04:36 PM,07:41 AM,08:11 AM,06:02 PM,-16,-15,-14,-15,7,11,74,0.0,1028,-9,10,217,3,Mongolia
2020-02-09,-4,-17,0.0,9.9,2,100,05:55 PM,08:24 AM,08:10 AM,06:04 PM,-14,-10,-8,-10,7,6,62,0.0,1015,-4,10,148,4,Mongolia
2020-02-10,1,-7,0.0,10.0,2,83,07:17 PM,09:00 AM,08:08 AM,06:05 PM,-12,-5,-4,-5,6,4,53,0.0,1008,1,10,168,3,Mongolia
2020-02-11,-2,-7,0.0,10.0,1,75,08:39 PM,09:30 AM,08:07 AM,06:07 PM,-11,-6,-5,-6,9,30,59,0.0,1011,-2,10,166,5,Mongolia
2020-02-12,-10,-21,3.1,6.7,1,68,10:00 PM,09:57 AM,08:05 AM,06:09 PM,-15,-19,-13,-19,16,80,90,3.7,1025,-10,6,343,10,Mongolia
2020-02-13,-18,-26,0.1,8.3,1,60,11:20 PM,10:21 AM,08:03 AM,06:10 PM,-23,-27,-21,-27,14,55,90,0.1,1044,-18,9,251,9,Mongolia
2020-02-14,-18,-26,0.0,10.1,2,53,No moonrise,10:46 AM,08:02 AM,06:12 PM,-23,-25,-21,-25,10,15,86,0.0,1048,-18,10,310,5,Mongolia
2020-02-15,-12,-22,0.0,10.1,2,45,12:38 AM,11:13 AM,08:00 AM,06:13 PM,-18,-19,-15,-19,9,5,80,0.0,1042,-12,10,280,5,Mongolia
2020-02-16,-7,-14,0.0,10.6,2,38,01:54 AM,11:43 AM,07:59 AM,06:15 PM,-14,-11,-10,-11,5,0,70,0.0,1037,-7,10,224,3,Mongolia
2020-02-17,-8,-18,0.0,10.6,2,30,03:08 AM,12:17 PM,07:57 AM,06:16 PM,-15,-16,-12,-16,11,15,82,0.0,1034,-8,10,318,6,Mongolia
2020-02-18,-12,-20,0.0,8.5,1,22,04:16 AM,12:58 PM,07:55 AM,06:18 PM,-17,-16,-14,-16,6,53,78,0.0,1032,-12,10,191,3,Mongolia
2020-02-19,-9,-22,0.2,10.0,1,15,05:18 AM,01:47 PM,07:53 AM,06:20 PM,-15,-17,-13,-17,11,51,81,0.2,1028,-9,9,118,6,Mongolia
2020-02-20,-13,-19,1.7,5.3,1,7,06:11 AM,02:43 PM,07:52 AM,06:21 PM,-16,-22,-16,-22,16,96,94,2.0,1029,-13,5,317,10,Mongolia
2020-02-21,-13,-26,0.0,10.7,1,0,06:55 AM,03:44 PM,07:50 AM,06:23 PM,-18,-21,-18,-21,10,29,88,0.0,1034,-13,8,211,6,Mongolia
2020-02-22,-8,-18,0.0,10.8,2,0,07:31 AM,04:48 PM,07:48 AM,06:24 PM,-17,-14,-12,-14,5,17,65,0.0,1021,-8,10,172,3,Mongolia
2020-02-23,-5,-13,2.7,5.4,1,0,08:00 AM,05:53 PM,07:46 AM,06:26 PM,-10,-9,-8,-9,6,68,83,3.2,1021,-5,7,172,4,Mongolia
2020-02-24,-7,-17,0.8,10.1,1,0,08:25 AM,06:58 PM,07:45 AM,06:27 PM,-13,-14,-12,-14,6,61,86,0.9,1031,-7,8,129,4,Mongolia
2020-02-25,-10,-16,0.7,5.4,1,8,08:46 AM,08:01 PM,07:43 AM,06:29 PM,-14,-17,-13,-17,10,82,91,0.9,1034,-10,8,142,6,Mongolia
2020-02-26,-10,-18,1.2,7.0,1,15,09:06 AM,09:05 PM,07:41 AM,06:31 PM,-14,-18,-13,-18,13,83,93,1.5,1031,-10,7,107,8,Mongolia
2020-02-27,-11,-22,0.3,7.0,1,23,09:25 AM,10:07 PM,07:39 AM,06:32 PM,-17,-21,-16,-21,12,75,94,0.4,1029,-11,4,322,7,Mongolia
2020-02-28,-11,-22,0.0,10.1,1,30,09:45 AM,11:11 PM,07:37 AM,06:34 PM,-17,-18,-15,-18,9,55,83,0.0,1027,-11,9,131,5,Mongolia
2020-02-29,-11,-18,0.1,8.6,1,38,10:05 AM,No moonset,07:35 AM,06:35 PM,-16,-18,-15,-18,10,82,90,0.1,1031,-11,8,276,6,Mongolia
2020-03-01,-10,-18,1.5,5.5,1,44,10:28 AM,12:15 AM,07:33 AM,06:37 PM,-15,-18,-13,-18,14,82,92,1.8,1028,-10,5,271,9,Mongolia
2020-03-02,-14,-24,0.1,7.1,1,51,10:55 AM,01:20 AM,07:31 AM,06:38 PM,-20,-25,-19,-25,15,62,92,0.1,1038,-14,6,216,9,Mongolia
2020-03-03,-15,-24,0.0,11.1,2,58,11:29 AM,02:26 AM,07:30 AM,06:40 PM,-21,-22,-19,-22,8,6,80,0.0,1037,-15,10,146,5,Mongolia
2020-03-04,-9,-21,0.0,11.1,2,65,12:11 PM,03:31 AM,07:28 AM,06:41 PM,-17,-19,-13,-19,15,6,76,0.0,1020,-9,10,110,8,Mongolia
2020-03-05,-10,-22,0.0,10.1,1,73,01:05 PM,04:32 AM,07:26 AM,06:43 PM,-14,-18,-13,-18,15,39,89,0.0,1019,-10,8,288,9,Mongolia
2020-03-06,-5,-19,0.0,11.2,2,80,02:09 PM,05:28 AM,07:24 AM,06:44 PM,-12,-13,-10,-13,9,14,81,0.0,1016,-5,10,174,5,Mongolia
2020-03-07,-4,-16,0.7,10.1,1,87,03:24 PM,06:14 AM,07:22 AM,06:46 PM,-12,-12,-10,-12,9,70,86,0.8,1016,-4,7,216,5,Mongolia
2020-03-08,-14,-23,2.1,7.1,1,95,04:44 PM,06:53 AM,07:20 AM,06:47 PM,-20,-24,-19,-24,15,71,93,2.6,1033,-14,4,275,10,Mongolia
2020-03-09,-12,-25,0.0,11.3,2,100,06:07 PM,07:27 AM,07:18 AM,06:49 PM,-19,-20,-18,-20,8,26,86,0.0,1028,-12,10,207,5,Mongolia
2020-03-10,-8,-19,0.0,11.3,2,100,07:32 PM,07:55 AM,07:16 AM,06:50 PM,-15,-15,-13,-15,7,21,82,0.0,1015,-8,10,232,4,Mongolia
2020-03-11,-11,-20,0.7,8.6,1,84,08:55 PM,08:20 AM,07:14 AM,06:52 PM,-16,-21,-15,-21,21,63,89,0.8,1027,-11,5,324,13,Mongolia
2020-03-12,-13,-24,0.0,10.1,1,76,10:16 PM,08:46 AM,07:12 AM,06:53 PM,-18,-20,-17,-20,9,35,90,0.0,1034,-13,9,287,5,Mongolia
2020-03-13,-9,-18,0.0,11.5,2,69,11:38 PM,09:13 AM,07:10 AM,06:55 PM,-15,-17,-13,-17,10,24,87,0.0,1031,-9,10,282,6,Mongolia
2020-03-14,-3,-17,0.0,11.5,2,62,No moonrise,09:42 AM,07:08 AM,06:56 PM,-10,-11,-8,-11,12,14,81,0.0,1024,-3,10,202,6,Mongolia
