date_time,Mozambique_maxtempC,Mozambique_mintempC,Mozambique_totalSnow_cm,Mozambique_sunHour,Mozambique_uvIndex,Mozambique_moon_illumination,Mozambique_moonrise,Mozambique_moonset,Mozambique_sunrise,Mozambique_sunset,Mozambique_DewPointC,Mozambique_FeelsLikeC,Mozambique_HeatIndexC,Mozambique_WindChillC,Mozambique_WindGustKmph,Mozambique_cloudcover,Mozambique_humidity,Mozambique_precipMM,Mozambique_pressure,Mozambique_tempC,Mozambique_visibility,Mozambique_winddirDegree,Mozambique_windspeedKmph,Mozambique_location
2020-01-01,31,23,0.0,13.3,6,37,10:24 AM,11:13 PM,05:01 AM,06:45 PM,21,28,28,26,19,47,74,0.4,1012,31,10,143,15,Mozambique
2020-01-02,32,24,0.0,13.3,6,44,11:15 AM,11:44 PM,05:02 AM,06:45 PM,22,30,30,27,12,61,76,1.4,1011,32,10,113,10,Mozambique
2020-01-03,33,24,0.0,13.4,6,51,12:05 PM,No moonset,05:02 AM,06:45 PM,22,31,31,28,15,30,72,0.1,1012,33,10,106,11,Mozambique
2020-01-04,34,25,0.0,13.4,8,59,12:56 PM,12:15 AM,05:03 AM,06:46 PM,22,31,31,28,16,22,69,0.5,1012,34,10,45,13,Mozambique
2020-01-05,35,25,0.0,13.4,8,66,01:49 PM,12:48 AM,05:04 AM,06:46 PM,20,31,31,29,22,7,63,0.0,1009,35,10,81,17,Mozambique
2020-01-06,33,25,0.0,13.3,6,73,02:43 PM,01:23 AM,05:04 AM,06:46 PM,21,30,30,28,16,26,66,0.4,1011,33,10,76,12,Mozambique
2020-01-07,32,25,0.0,13.3,6,80,03:41 PM,02:01 AM,05:05 AM,06:46 PM,20,30,30,28,17,29,67,0.3,1012,32,10,138,13,Mozambique
2020-01-08,33,25,0.0,13.3,6,88,04:40 PM,02:44 AM,05:06 AM,06:46 PM,21,30,30,28,18,38,69,0.9,1011,33,10,48,13,Mozambique
2020-01-09,34,25,0.0,13.4,8,95,05:41 PM,03:33 AM,05:07 AM,06:46 PM,22,32,32,29,16,25,69,0.0,1009,34,10,131,12,Mozambique
2020-01-10,28,24,0.0,8.4,6,100,06:40 PM,04:28 AM,05:07 AM,06:46 PM,22,28,28,25,31,90,81,42.4,1015,28,5,180,22,Mozambique
2020-01-11,30,23,0.0,13.4,7,100,07:36 PM,05:30 AM,05:08 AM,06:46 PM,21,29,29,26,25,40,72,0.4,1016,30,10,165,18,Mozambique
2020-01-12,31,23,0.0,10.8,6,83,08:28 PM,06:34 AM,05:09 AM,06:46 PM,22,30,30,27,15,57,77,0.5,1013,31,10,145,11,Mozambique
2020-01-13,30,24,0.0,8.4,6,76,09:15 PM,07:41 AM,05:10 AM,06:46 PM,22,29,29,27,18,74,77,3.9,1013,30,9,146,13,Mozambique
2020-01-14,30,23,0.0,9.6,6,69,09:58 PM,08:46 AM,05:10 AM,06:46 PM,21,29,29,26,19,73,75,5.5,1013,30,10,153,13,Mozambique
2020-01-15,31,23,0.0,13.4,7,61,10:37 PM,09:50 AM,05:11 AM,06:46 PM,21,29,29,27,21,27,72,0.2,1014,31,10,159,16,Mozambique
