date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-01-01,34,22,0.0,8.7,7,37,11:01 AM,11:00 PM,06:34 AM,05:43 PM,17,29,29,27,18,22,56,0.0,1015,34,10,110,12,Myanmar
2020-01-02,33,22,0.0,8.7,7,44,11:37 AM,11:47 PM,06:34 AM,05:44 PM,18,29,29,28,17,14,57,0.0,1016,33,10,130,11,Myanmar
2020-01-03,33,23,0.0,8.7,7,51,12:11 PM,No moonset,06:35 AM,05:44 PM,18,29,29,27,16,12,58,0.0,1014,33,10,144,11,Myanmar
2020-01-04,35,23,0.0,8.7,8,59,12:46 PM,12:34 AM,06:35 AM,05:45 PM,17,30,30,28,10,17,53,0.0,1013,35,10,218,6,Myanmar
2020-01-05,35,24,0.0,8.7,8,66,01:23 PM,01:22 AM,06:35 AM,05:46 PM,17,31,31,29,12,13,53,0.0,1012,35,10,165,8,Myanmar
2020-01-06,34,24,0.0,8.7,7,73,02:02 PM,02:11 AM,06:36 AM,05:46 PM,17,29,29,28,14,5,54,0.0,1013,34,10,225,9,Myanmar
2020-01-07,34,22,0.0,8.7,7,80,02:45 PM,03:03 AM,06:36 AM,05:47 PM,16,29,29,27,16,1,54,0.0,1012,34,10,288,11,Myanmar
2020-01-08,34,21,0.0,8.7,7,88,03:33 PM,03:58 AM,06:36 AM,05:47 PM,16,29,29,28,12,4,51,0.0,1012,34,10,167,9,Myanmar
2020-01-09,35,22,0.0,8.7,7,95,04:26 PM,04:56 AM,06:36 AM,05:48 PM,13,29,29,28,15,4,43,0.0,1011,35,10,210,10,Myanmar
2020-01-10,34,22,0.0,8.7,7,100,05:24 PM,05:55 AM,06:37 AM,05:49 PM,11,27,27,27,19,3,39,0.0,1011,34,10,233,12,Myanmar
2020-01-11,33,21,0.0,8.7,7,100,06:25 PM,06:54 AM,06:37 AM,05:49 PM,11,26,26,26,16,0,40,0.0,1010,33,10,324,11,Myanmar
2020-01-12,35,20,0.0,8.7,7,83,07:29 PM,07:51 AM,06:37 AM,05:50 PM,14,29,29,28,11,0,48,0.0,1010,35,10,228,8,Myanmar
2020-01-13,35,21,0.0,8.7,8,76,08:31 PM,08:44 AM,06:37 AM,05:50 PM,13,29,29,28,9,0,46,0.0,1010,35,10,253,7,Myanmar
2020-01-14,35,22,0.0,8.7,8,69,09:32 PM,09:34 AM,06:37 AM,05:51 PM,14,30,30,29,10,2,45,0.0,1011,35,10,168,7,Myanmar
2020-01-15,34,21,0.0,8.7,7,61,10:31 PM,10:19 AM,06:37 AM,05:52 PM,15,29,29,27,13,10,50,0.0,1011,34,10,266,9,Myanmar
2020-01-16,35,21,0.0,8.7,7,54,11:29 PM,11:03 AM,06:38 AM,05:52 PM,13,28,28,28,12,5,42,0.0,1012,35,10,182,8,Myanmar
2020-01-17,36,21,0.0,8.7,8,47,No moonrise,11:46 AM,06:38 AM,05:53 PM,12,29,29,28,12,1,38,0.0,1013,36,10,242,8,Myanmar
2020-01-18,36,21,0.0,8.7,7,40,12:25 AM,12:28 PM,06:38 AM,05:53 PM,10,29,29,28,14,0,34,0.0,1012,36,10,236,10,Myanmar
2020-01-19,37,21,0.0,8.7,8,32,01:22 AM,01:13 PM,06:38 AM,05:54 PM,11,30,30,29,12,0,35,0.0,1011,37,10,191,8,Myanmar
2020-01-20,35,22,0.0,8.7,8,25,02:19 AM,01:59 PM,06:38 AM,05:55 PM,11,30,30,29,12,5,37,0.0,1013,35,10,219,8,Myanmar
2020-01-21,36,23,0.0,8.7,8,18,03:17 AM,02:48 PM,06:38 AM,05:55 PM,12,29,29,29,12,6,37,0.0,1014,36,10,220,8,Myanmar
2020-01-22,36,22,0.0,8.7,8,11,04:14 AM,03:41 PM,06:38 AM,05:56 PM,12,29,29,29,16,9,38,0.0,1013,36,10,224,10,Myanmar
2020-01-23,35,23,0.0,8.7,8,3,05:10 AM,04:34 PM,06:38 AM,05:56 PM,11,29,29,29,15,3,38,0.0,1012,35,10,281,10,Myanmar
2020-01-24,35,21,0.0,8.7,7,0,06:03 AM,05:29 PM,06:38 AM,05:57 PM,9,28,28,27,15,0,37,0.0,1011,35,10,262,10,Myanmar
2020-01-25,32,19,0.0,8.7,7,0,06:52 AM,06:22 PM,06:38 AM,05:57 PM,10,25,25,25,18,0,43,0.0,1011,32,10,308,11,Myanmar
2020-01-26,33,18,0.0,8.7,7,4,07:38 AM,07:15 PM,06:37 AM,05:58 PM,7,26,26,26,11,0,36,0.0,1011,33,10,243,7,Myanmar
2020-01-27,31,17,0.0,8.7,7,11,08:19 AM,08:05 PM,06:37 AM,05:59 PM,11,24,24,24,12,0,51,0.0,1010,31,10,255,8,Myanmar
2020-01-28,31,17,0.0,8.7,7,18,08:58 AM,08:53 PM,06:37 AM,05:59 PM,13,24,24,24,9,0,56,0.0,1011,31,10,200,7,Myanmar
2020-01-29,34,18,0.0,11.6,7,26,09:35 AM,09:41 PM,06:37 AM,06:00 PM,12,27,27,26,11,0,48,0.0,1012,34,10,182,8,Myanmar
2020-01-30,36,19,0.0,11.6,7,33,10:09 AM,10:27 PM,06:37 AM,06:00 PM,12,29,29,28,11,1,43,0.0,1012,36,10,179,7,Myanmar
2020-01-31,35,22,0.0,11.6,8,37,10:44 AM,11:14 PM,06:37 AM,06:01 PM,16,30,30,28,14,2,56,0.0,1011,35,10,205,9,Myanmar
2020-02-01,35,21,0.0,11.6,8,49,11:20 AM,No moonset,06:36 AM,06:01 PM,16,30,30,28,15,5,56,0.0,1012,35,10,181,9,Myanmar
2020-02-02,36,21,0.0,11.6,8,57,11:57 AM,12:02 AM,06:36 AM,06:02 PM,13,29,29,28,16,7,45,0.0,1013,36,10,214,10,Myanmar
2020-02-03,35,20,0.0,11.6,8,64,12:37 PM,12:52 AM,06:36 AM,06:02 PM,9,29,29,28,15,4,35,0.0,1012,35,10,253,9,Myanmar
2020-02-04,34,20,0.0,11.6,7,72,01:22 PM,01:44 AM,06:36 AM,06:03 PM,8,26,26,26,16,1,33,0.0,1012,34,10,291,10,Myanmar
