date_time,Netherlands_maxtempC,Netherlands_mintempC,Netherlands_totalSnow_cm,Netherlands_sunHour,Netherlands_uvIndex,Netherlands_moon_illumination,Netherlands_moonrise,Netherlands_moonset,Netherlands_sunrise,Netherlands_sunset,Netherlands_DewPointC,Netherlands_FeelsLikeC,Netherlands_HeatIndexC,Netherlands_WindChillC,Netherlands_WindGustKmph,Netherlands_cloudcover,Netherlands_humidity,Netherlands_precipMM,Netherlands_pressure,Netherlands_tempC,Netherlands_visibility,Netherlands_winddirDegree,Netherlands_windspeedKmph,Netherlands_location
2020-01-01,9,1,0.0,7.0,2,37,11:26 AM,11:10 PM,07:11 AM,04:55 PM,-1,2,4,2,21,29,70,0.0,1017,9,10,215,12,Netherlands
2020-01-02,11,5,0.0,3.5,2,44,11:52 AM,No moonset,07:11 AM,04:55 PM,8,6,9,6,30,86,90,11.7,1007,11,9,173,19,Netherlands
2020-01-03,14,9,0.0,3.5,3,51,12:18 PM,12:05 AM,07:11 AM,04:56 PM,10,10,12,10,32,89,89,2.8,1005,14,8,215,21,Netherlands
2020-01-04,6,3,0.0,8.7,1,59,12:46 PM,01:01 AM,07:11 AM,04:57 PM,1,1,5,1,23,19,77,0.0,1020,6,10,293,16,Netherlands
2020-01-05,10,2,0.0,8.7,3,66,01:15 PM,01:59 AM,07:11 AM,04:58 PM,1,2,5,2,23,1,76,0.0,1025,10,10,232,14,Netherlands
2020-01-06,10,3,0.0,7.0,2,73,01:48 PM,02:58 AM,07:11 AM,04:59 PM,2,4,6,4,17,32,77,0.1,1021,10,10,125,10,Netherlands
2020-01-07,8,2,0.0,8.7,3,80,02:26 PM,03:59 AM,07:11 AM,05:00 PM,-1,2,5,2,25,8,68,0.0,1023,8,10,265,16,Netherlands
2020-01-08,11,3,0.0,8.7,3,88,03:11 PM,05:02 AM,07:11 AM,05:01 PM,2,4,6,4,20,13,73,0.0,1027,11,10,197,11,Netherlands
2020-01-09,12,7,0.0,5.4,3,95,04:04 PM,06:04 AM,07:11 AM,05:01 PM,5,6,9,6,41,74,76,2.0,1023,12,10,174,25,Netherlands
2020-01-10,17,9,0.0,3.7,4,100,05:05 PM,07:05 AM,07:11 AM,05:02 PM,13,13,14,13,44,99,87,3.5,1017,17,9,171,27,Netherlands
2020-01-11,20,6,0.0,3.7,3,100,06:11 PM,08:00 AM,07:11 AM,05:03 PM,12,13,15,13,40,93,86,31.3,1006,20,7,223,26,Netherlands
2020-01-12,7,1,0.0,5.4,1,83,07:22 PM,08:48 AM,07:11 AM,05:04 PM,1,2,4,2,14,39,84,0.0,1022,7,10,228,10,Netherlands
2020-01-13,11,4,0.0,5.4,2,76,08:32 PM,09:32 AM,07:10 AM,05:05 PM,5,6,7,6,15,47,85,0.0,1024,11,10,175,8,Netherlands
2020-01-14,15,9,0.0,8.7,4,69,09:43 PM,10:09 AM,07:10 AM,05:06 PM,9,11,11,11,11,34,85,0.0,1021,15,10,185,6,Netherlands
2020-01-15,20,12,0.0,3.7,4,61,10:51 PM,10:44 AM,07:10 AM,05:07 PM,14,15,16,15,25,87,90,2.1,1018,20,7,194,15,Netherlands
2020-01-16,6,2,0.0,8.7,2,54,11:59 PM,11:17 AM,07:10 AM,05:08 PM,-1,0,5,0,31,29,67,0.0,1034,6,10,30,22,Netherlands
2020-01-17,3,-3,0.0,3.8,1,47,No moonrise,11:49 AM,07:09 AM,05:09 PM,-4,-2,2,-2,28,74,63,0.3,1032,3,9,91,18,Netherlands
