date_time,New%20Zealand_maxtempC,New%20Zealand_mintempC,New%20Zealand_totalSnow_cm,New%20Zealand_sunHour,New%20Zealand_uvIndex,New%20Zealand_moon_illumination,New%20Zealand_moonrise,New%20Zealand_moonset,New%20Zealand_sunrise,New%20Zealand_sunset,New%20Zealand_DewPointC,New%20Zealand_FeelsLikeC,New%20Zealand_HeatIndexC,New%20Zealand_WindChillC,New%20Zealand_WindGustKmph,New%20Zealand_cloudcover,New%20Zealand_humidity,New%20Zealand_precipMM,New%20Zealand_pressure,New%20Zealand_tempC,New%20Zealand_visibility,New%20Zealand_winddirDegree,New%20Zealand_windspeedKmph,New%20Zealand_location
2020-01-01,18,15,0.0,14.5,5,37,11:18 AM,12:18 AM,05:51 AM,08:57 PM,14,17,17,17,48,8,83,0.0,1013,18,10,4,35,New%20Zealand
2020-01-02,20,16,0.0,14.5,5,44,12:17 PM,12:44 AM,05:52 AM,08:57 PM,15,17,17,17,46,21,85,0.0,1009,20,10,94,32,New%20Zealand
2020-01-03,16,14,0.0,9.4,4,51,01:15 PM,01:08 AM,05:52 AM,08:57 PM,14,15,16,15,16,69,88,1.4,1003,16,9,181,13,New%20Zealand
2020-01-04,15,12,0.0,11.4,3,59,02:14 PM,01:32 AM,05:53 AM,08:57 PM,9,12,13,12,21,64,73,1.7,1005,15,10,169,16,New%20Zealand
2020-01-05,16,11,0.0,10.4,3,66,03:14 PM,01:56 AM,05:54 AM,08:57 PM,10,13,14,13,41,60,76,0.3,1005,16,10,286,31,New%20Zealand
2020-01-06,18,13,0.0,14.5,5,73,04:15 PM,02:22 AM,05:55 AM,08:57 PM,9,15,15,15,41,27,66,0.4,1000,18,10,255,32,New%20Zealand
2020-01-07,15,11,0.0,12.5,3,80,05:19 PM,02:51 AM,05:56 AM,08:57 PM,7,12,13,12,27,49,66,1.2,1008,15,10,177,22,New%20Zealand
2020-01-08,15,8,0.0,13.5,3,88,06:24 PM,03:26 AM,05:57 AM,08:57 PM,7,11,13,11,18,53,65,0.0,1016,15,10,154,14,New%20Zealand
2020-01-09,17,13,0.0,14.5,5,95,07:29 PM,04:06 AM,05:58 AM,08:57 PM,10,14,15,14,24,29,74,0.0,1015,17,10,266,18,New%20Zealand
2020-01-10,19,14,0.0,12.4,4,100,08:30 PM,04:56 AM,05:59 AM,08:56 PM,12,15,16,15,19,33,80,0.2,1017,19,10,89,13,New%20Zealand
2020-01-11,17,13,0.0,13.4,4,100,09:26 PM,05:54 AM,06:00 AM,08:56 PM,11,15,16,15,60,33,76,0.0,1015,17,10,215,45,New%20Zealand
2020-01-12,18,16,0.0,8.4,4,83,10:14 PM,07:01 AM,06:01 AM,08:56 PM,14,17,17,17,63,60,82,0.3,1013,18,10,329,46,New%20Zealand
2020-01-13,16,14,0.0,7.3,4,76,10:55 PM,08:13 AM,06:02 AM,08:56 PM,13,15,15,15,40,83,84,21.9,1017,16,9,212,29,New%20Zealand
2020-01-14,15,13,0.0,11.6,4,69,11:31 PM,09:28 AM,06:03 AM,08:55 PM,8,13,14,13,32,11,69,0.0,1024,15,10,148,25,New%20Zealand
2020-01-15,15,11,0.0,11.6,4,61,No moonrise,10:41 AM,06:04 AM,08:55 PM,7,11,13,11,25,19,68,0.0,1023,15,10,151,20,New%20Zealand
2020-01-16,17,12,0.0,10.5,4,54,12:03 AM,11:54 AM,06:06 AM,08:54 PM,9,13,14,13,27,31,72,0.0,1023,17,10,144,21,New%20Zealand
