date_time,Nicaragua_maxtempC,Nicaragua_mintempC,Nicaragua_totalSnow_cm,Nicaragua_sunHour,Nicaragua_uvIndex,Nicaragua_moon_illumination,Nicaragua_moonrise,Nicaragua_moonset,Nicaragua_sunrise,Nicaragua_sunset,Nicaragua_DewPointC,Nicaragua_FeelsLikeC,Nicaragua_HeatIndexC,Nicaragua_WindChillC,Nicaragua_WindGustKmph,Nicaragua_cloudcover,Nicaragua_humidity,Nicaragua_precipMM,Nicaragua_pressure,Nicaragua_tempC,Nicaragua_visibility,Nicaragua_winddirDegree,Nicaragua_windspeedKmph,Nicaragua_location
2020-01-01,31,22,0.0,8.7,7,37,10:56 AM,11:06 PM,06:06 AM,05:32 PM,20,28,28,26,20,27,69,0.1,1012,31,10,83,15,Nicaragua
2020-01-02,31,22,0.0,8.7,7,44,11:33 AM,11:51 PM,06:06 AM,05:32 PM,19,28,28,26,18,19,70,0.1,1012,31,10,97,12,Nicaragua
2020-01-03,31,22,0.0,8.7,7,51,12:10 PM,No moonset,06:06 AM,05:33 PM,20,28,28,26,17,10,71,0.0,1014,31,10,104,12,Nicaragua
2020-01-04,32,23,0.0,8.7,7,59,12:47 PM,12:36 AM,06:07 AM,05:33 PM,19,28,28,27,21,13,65,0.0,1016,32,10,76,15,Nicaragua
2020-01-05,33,22,0.0,8.7,6,66,01:27 PM,01:23 AM,06:07 AM,05:34 PM,19,29,29,27,21,26,63,0.0,1016,33,10,76,16,Nicaragua
2020-01-06,32,25,0.0,7.2,6,73,02:09 PM,02:12 AM,06:07 AM,05:34 PM,19,29,29,28,19,47,59,0.0,1014,32,10,70,15,Nicaragua
2020-01-07,32,22,0.0,8.7,7,80,02:56 PM,03:04 AM,06:08 AM,05:35 PM,19,28,28,27,23,31,66,0.0,1014,32,10,76,17,Nicaragua
2020-01-08,32,22,0.0,8.7,7,88,03:48 PM,03:59 AM,06:08 AM,05:36 PM,18,28,28,27,31,7,61,0.0,1014,32,10,68,23,Nicaragua
2020-01-09,32,24,0.0,7.2,6,95,04:43 PM,04:57 AM,06:08 AM,05:36 PM,20,29,29,27,32,38,66,0.0,1013,32,10,71,25,Nicaragua
2020-01-10,32,23,0.0,5.7,6,100,05:44 PM,05:56 AM,06:09 AM,05:37 PM,20,29,29,27,32,45,69,0.5,1011,32,10,71,24,Nicaragua
2020-01-11,31,23,0.0,8.7,6,100,06:45 PM,06:54 AM,06:09 AM,05:37 PM,20,29,29,26,29,49,71,0.3,1011,31,10,77,22,Nicaragua
2020-01-12,31,24,0.0,7.2,7,83,07:47 PM,07:51 AM,06:09 AM,05:38 PM,20,29,29,27,33,29,68,0.0,1011,31,10,70,26,Nicaragua
2020-01-13,32,24,0.0,8.7,7,76,08:46 PM,08:44 AM,06:09 AM,05:38 PM,20,29,29,27,35,11,66,0.0,1012,32,10,73,27,Nicaragua
2020-01-14,32,24,0.0,8.7,7,69,09:45 PM,09:33 AM,06:09 AM,05:39 PM,20,29,29,27,36,14,67,0.0,1012,32,10,73,27,Nicaragua
2020-01-15,32,23,0.0,8.7,7,61,10:40 PM,10:20 AM,06:10 AM,05:39 PM,19,28,28,27,36,13,64,0.0,1011,32,10,74,28,Nicaragua
2020-01-16,32,23,0.0,8.7,7,54,11:36 PM,11:05 AM,06:10 AM,05:40 PM,19,28,28,26,29,12,66,0.0,1012,32,10,74,22,Nicaragua
2020-01-17,32,24,0.0,8.7,7,47,No moonrise,11:50 AM,06:10 AM,05:40 PM,20,29,29,27,32,30,69,0.0,1011,32,10,71,24,Nicaragua
2020-01-18,32,24,0.0,8.7,7,40,12:30 AM,12:35 PM,06:10 AM,05:41 PM,20,29,29,27,37,22,65,0.0,1011,32,10,69,29,Nicaragua
2020-01-19,32,24,0.0,8.7,7,32,01:26 AM,01:22 PM,06:10 AM,05:41 PM,20,29,29,27,31,16,65,0.0,1011,32,10,68,23,Nicaragua
2020-01-20,33,22,0.0,8.7,7,25,02:21 AM,02:11 PM,06:10 AM,05:42 PM,18,29,29,27,22,9,61,0.0,1013,33,10,77,16,Nicaragua
2020-01-21,34,22,0.0,8.7,7,18,03:18 AM,03:03 PM,06:10 AM,05:42 PM,18,29,29,27,21,7,61,0.0,1013,34,10,88,16,Nicaragua
2020-01-22,32,21,0.0,8.7,7,11,04:14 AM,03:56 PM,06:10 AM,05:43 PM,18,28,28,26,19,8,63,0.0,1013,32,10,96,14,Nicaragua
2020-01-23,31,20,0.0,8.7,7,3,05:08 AM,04:50 PM,06:10 AM,05:43 PM,18,26,26,25,17,22,69,0.0,1013,31,10,115,13,Nicaragua
2020-01-24,32,21,0.0,8.7,7,0,06:00 AM,05:44 PM,06:11 AM,05:44 PM,19,27,27,26,16,23,69,0.0,1013,32,10,104,12,Nicaragua
2020-01-25,32,21,0.0,8.7,7,0,06:48 AM,06:35 PM,06:11 AM,05:44 PM,18,27,27,25,25,11,65,0.0,1014,32,10,103,18,Nicaragua
2020-01-26,32,19,0.0,8.7,7,4,07:33 AM,07:26 PM,06:11 AM,05:45 PM,16,26,26,25,18,3,63,0.0,1014,32,10,103,13,Nicaragua
2020-01-27,33,22,0.0,8.7,7,11,08:14 AM,08:13 PM,06:11 AM,05:45 PM,18,29,29,27,7,8,66,0.0,1014,33,10,129,5,Nicaragua
2020-01-28,34,22,0.0,8.7,7,18,08:53 AM,09:00 PM,06:10 AM,05:46 PM,20,30,30,28,8,33,70,0.0,1013,34,10,146,6,Nicaragua
2020-01-29,32,22,0.0,7.2,6,26,09:31 AM,09:45 PM,06:10 AM,05:46 PM,20,29,29,27,13,57,71,0.0,1012,32,10,109,10,Nicaragua
2020-01-30,33,22,0.0,8.7,7,33,10:07 AM,10:29 PM,06:10 AM,05:47 PM,19,29,29,27,18,21,67,0.0,1012,33,10,112,13,Nicaragua
