date_time,Niger_maxtempC,Niger_mintempC,Niger_totalSnow_cm,Niger_sunHour,Niger_uvIndex,Niger_moon_illumination,Niger_moonrise,Niger_moonset,Niger_sunrise,Niger_sunset,Niger_DewPointC,Niger_FeelsLikeC,Niger_HeatIndexC,Niger_WindChillC,Niger_WindGustKmph,Niger_cloudcover,Niger_humidity,Niger_precipMM,Niger_pressure,Niger_tempC,Niger_visibility,Niger_winddirDegree,Niger_windspeedKmph,Niger_location
2020-01-01,29,16,0.0,11.2,6,37,11:56 AM,No moonset,07:16 AM,06:36 PM,-7,23,23,23,38,1,14,0.0,1015,29,10,45,23,Niger
2020-01-02,24,13,0.0,11.2,5,44,12:32 PM,12:02 AM,07:17 AM,06:37 PM,-7,18,19,18,39,0,18,0.0,1017,24,10,58,24,Niger
2020-01-03,24,12,0.0,11.2,5,51,01:08 PM,12:47 AM,07:17 AM,06:37 PM,-8,17,18,17,36,1,17,0.0,1018,24,10,64,23,Niger
2020-01-04,26,13,0.0,11.2,6,59,01:45 PM,01:33 AM,07:17 AM,06:38 PM,-5,19,20,19,36,2,20,0.0,1017,26,10,63,22,Niger
2020-01-05,28,15,0.0,11.2,6,66,02:23 PM,02:20 AM,07:18 AM,06:38 PM,-3,22,22,21,32,3,21,0.0,1014,28,10,63,20,Niger
2020-01-06,30,17,0.0,11.2,6,73,03:05 PM,03:09 AM,07:18 AM,06:39 PM,-1,24,24,23,27,3,21,0.0,1012,30,10,56,16,Niger
2020-01-07,31,18,0.0,11.2,7,80,03:50 PM,04:01 AM,07:18 AM,06:40 PM,-0,25,25,25,30,3,20,0.0,1012,31,10,65,18,Niger
2020-01-08,33,21,0.0,11.2,7,88,04:39 PM,04:55 AM,07:19 AM,06:40 PM,0,26,26,26,32,6,18,0.0,1012,33,10,81,19,Niger
2020-01-09,34,22,0.0,11.2,7,95,05:35 PM,05:53 AM,07:19 AM,06:41 PM,1,28,28,28,32,7,19,0.0,1012,34,10,80,19,Niger
2020-01-10,35,23,0.0,11.2,8,100,06:33 PM,06:52 AM,07:19 AM,06:41 PM,5,29,29,29,27,3,23,0.0,1011,35,10,96,17,Niger
2020-01-11,35,23,0.0,11.2,7,100,07:35 PM,07:51 AM,07:19 AM,06:42 PM,5,29,29,29,20,5,23,0.0,1011,35,10,88,12,Niger
2020-01-12,35,23,0.0,11.2,8,83,08:37 PM,08:47 AM,07:20 AM,06:42 PM,5,30,30,30,17,6,22,0.0,1011,35,10,153,9,Niger
2020-01-13,29,21,0.0,11.2,7,76,09:38 PM,09:41 AM,07:20 AM,06:43 PM,-6,24,24,25,36,8,13,0.0,1012,29,10,116,24,Niger
2020-01-14,31,19,0.0,11.2,6,69,10:37 PM,10:30 AM,07:20 AM,06:44 PM,-7,24,24,24,33,14,12,0.0,1012,31,10,31,21,Niger
2020-01-15,32,18,0.0,11.2,7,61,11:35 PM,11:17 AM,07:20 AM,06:44 PM,-3,25,25,25,31,0,16,0.0,1012,32,10,51,18,Niger
2020-01-16,31,18,0.0,11.3,7,54,No moonrise,12:02 PM,07:20 AM,06:45 PM,-2,25,25,25,31,11,18,0.0,1014,31,10,68,19,Niger
2020-01-17,31,17,0.0,11.2,6,47,12:30 AM,12:46 PM,07:21 AM,06:45 PM,-4,24,24,24,31,1,17,0.0,1014,31,10,58,18,Niger
2020-01-18,31,17,0.0,11.3,7,40,01:26 AM,01:30 PM,07:21 AM,06:46 PM,-3,24,24,24,34,0,17,0.0,1015,31,10,55,20,Niger
2020-01-19,31,18,0.0,11.3,6,32,02:21 AM,02:16 PM,07:21 AM,06:46 PM,-2,24,24,24,32,0,20,0.0,1014,31,10,73,19,Niger
2020-01-20,33,18,0.0,11.3,7,25,03:18 AM,03:04 PM,07:21 AM,06:47 PM,1,26,26,26,25,0,22,0.0,1011,33,10,90,15,Niger
2020-01-21,35,22,0.0,11.3,7,18,04:14 AM,03:55 PM,07:21 AM,06:47 PM,2,28,28,28,28,5,20,0.0,1012,35,10,79,17,Niger
2020-01-22,35,23,0.0,11.3,7,11,05:11 AM,04:48 PM,07:21 AM,06:48 PM,-2,29,29,29,33,2,15,0.0,1013,35,10,78,21,Niger
2020-01-23,34,21,0.0,11.3,7,3,06:06 AM,05:42 PM,07:21 AM,06:48 PM,-8,27,27,28,38,16,10,0.0,1013,34,10,79,23,Niger
2020-01-24,33,21,0.0,11.3,6,0,06:58 AM,06:36 PM,07:21 AM,06:49 PM,-9,27,27,27,39,23,9,0.0,1014,33,10,82,24,Niger
2020-01-25,33,20,0.0,11.3,7,0,07:47 AM,07:29 PM,07:21 AM,06:49 PM,-11,27,27,27,40,5,8,0.0,1015,33,10,83,24,Niger
2020-01-26,32,19,0.0,11.3,7,4,08:32 AM,08:19 PM,07:21 AM,06:50 PM,-12,26,26,26,36,1,8,0.0,1015,32,10,80,22,Niger
2020-01-27,32,19,0.0,11.3,7,11,09:14 AM,09:08 PM,07:21 AM,06:50 PM,-12,25,25,25,32,0,8,0.0,1014,32,10,68,19,Niger
2020-01-28,34,20,0.0,11.3,7,18,09:53 AM,09:55 PM,07:21 AM,06:51 PM,-14,27,27,27,34,21,6,0.0,1013,34,10,74,20,Niger
2020-01-29,35,20,0.0,11.3,7,26,10:30 AM,10:41 PM,07:21 AM,06:51 PM,-11,28,28,28,31,1,7,0.0,1013,35,10,71,19,Niger
2020-01-30,36,21,0.0,11.3,7,33,11:06 AM,11:27 PM,07:21 AM,06:52 PM,-10,29,29,29,33,1,8,0.0,1014,36,10,78,20,Niger
2020-01-31,35,21,0.0,11.3,7,37,11:42 AM,No moonset,07:20 AM,06:52 PM,-7,28,28,28,32,0,11,0.0,1014,35,10,79,20,Niger
2020-02-01,34,20,0.0,11.3,7,49,12:19 PM,12:12 AM,07:20 AM,06:53 PM,-6,27,27,27,30,2,12,0.0,1014,34,10,74,19,Niger
2020-02-02,33,19,0.0,11.3,7,57,12:58 PM,01:00 AM,07:20 AM,06:53 PM,-8,26,26,26,28,1,11,0.0,1014,33,10,70,17,Niger
2020-02-03,33,19,0.0,11.3,7,64,01:40 PM,01:49 AM,07:20 AM,06:54 PM,-9,26,26,26,25,0,10,0.0,1014,33,10,65,15,Niger
2020-02-04,33,19,0.0,11.3,7,72,02:26 PM,02:41 AM,07:20 AM,06:54 PM,-8,26,26,26,28,2,11,0.0,1014,33,10,65,18,Niger
2020-02-05,32,19,0.0,11.3,7,79,03:18 PM,03:36 AM,07:20 AM,06:54 PM,-7,26,26,26,31,0,12,0.0,1013,32,10,57,19,Niger
2020-02-06,32,19,0.0,11.4,7,87,04:14 PM,04:34 AM,07:19 AM,06:55 PM,-6,26,26,26,28,9,13,0.0,1013,32,10,56,17,Niger
2020-02-07,33,19,0.0,11.4,7,95,05:15 PM,05:33 AM,07:19 AM,06:55 PM,-9,25,25,26,30,0,10,0.0,1013,33,10,55,18,Niger
2020-02-08,33,19,0.0,11.4,7,100,06:18 PM,06:31 AM,07:19 AM,06:56 PM,-7,26,26,26,34,0,12,0.0,1014,33,10,61,20,Niger
