date_time,Nigeria_maxtempC,Nigeria_mintempC,Nigeria_totalSnow_cm,Nigeria_sunHour,Nigeria_uvIndex,Nigeria_moon_illumination,Nigeria_moonrise,Nigeria_moonset,Nigeria_sunrise,Nigeria_sunset,Nigeria_DewPointC,Nigeria_FeelsLikeC,Nigeria_HeatIndexC,Nigeria_WindChillC,Nigeria_WindGustKmph,Nigeria_cloudcover,Nigeria_humidity,Nigeria_precipMM,Nigeria_pressure,Nigeria_tempC,Nigeria_visibility,Nigeria_winddirDegree,Nigeria_windspeedKmph,Nigeria_location
2020-01-01,37,21,0.0,11.6,8,37,11:31 AM,11:42 PM,06:46 AM,06:22 PM,-1,28,28,28,19,1,16,0.0,1011,37,10,131,11,Nigeria
2020-01-02,35,18,0.0,11.6,7,44,12:09 PM,No moonset,06:47 AM,06:23 PM,-2,27,27,26,21,1,17,0.0,1013,35,10,120,14,Nigeria
2020-01-03,35,17,0.0,11.6,7,51,12:47 PM,12:25 AM,06:47 AM,06:23 PM,-3,26,26,26,16,0,16,0.0,1013,35,10,125,10,Nigeria
2020-01-04,36,18,0.0,11.6,7,59,01:25 PM,01:10 AM,06:48 AM,06:24 PM,1,28,28,27,18,0,21,0.0,1013,36,10,113,11,Nigeria
2020-01-05,36,19,0.0,11.6,7,66,02:05 PM,01:55 AM,06:48 AM,06:25 PM,2,28,28,28,15,1,22,0.0,1011,36,10,122,8,Nigeria
2020-01-06,36,20,0.0,11.6,8,73,02:47 PM,02:42 AM,06:48 AM,06:25 PM,5,29,29,29,13,5,24,0.0,1010,36,10,119,8,Nigeria
2020-01-07,37,21,0.0,11.6,8,80,03:34 PM,03:33 AM,06:49 AM,06:26 PM,5,30,30,29,14,3,23,0.0,1009,37,10,116,8,Nigeria
2020-01-08,39,24,0.0,11.6,8,88,04:25 PM,04:26 AM,06:49 AM,06:26 PM,5,32,32,31,16,5,21,0.0,1010,39,10,129,9,Nigeria
2020-01-09,39,25,0.0,11.6,8,95,05:20 PM,05:23 AM,06:49 AM,06:27 PM,5,32,32,32,16,3,20,0.0,1010,39,10,123,9,Nigeria
2020-01-10,37,24,0.0,11.6,8,100,06:19 PM,06:21 AM,06:50 AM,06:27 PM,9,31,31,30,12,4,29,0.0,1011,37,10,144,7,Nigeria
2020-01-11,37,23,0.0,11.6,8,100,07:20 PM,07:21 AM,06:50 AM,06:28 PM,10,31,31,30,10,8,31,0.0,1011,37,10,147,6,Nigeria
2020-01-12,39,24,0.0,11.6,8,83,08:21 PM,08:18 AM,06:50 AM,06:28 PM,9,32,32,32,10,6,28,0.0,1011,39,10,123,6,Nigeria
2020-01-13,40,24,0.0,11.6,8,76,09:21 PM,09:13 AM,06:51 AM,06:29 PM,5,32,32,32,11,3,20,0.0,1009,40,10,135,6,Nigeria
2020-01-14,38,22,0.0,11.6,8,69,10:18 PM,10:04 AM,06:51 AM,06:29 PM,6,31,31,31,9,3,22,0.0,1008,38,10,138,6,Nigeria
2020-01-15,38,24,0.0,11.6,8,61,11:13 PM,10:53 AM,06:51 AM,06:30 PM,4,31,31,31,17,2,19,0.0,1009,38,10,98,11,Nigeria
2020-01-16,39,22,0.0,11.6,8,54,No moonrise,11:40 AM,06:51 AM,06:30 PM,-1,31,31,31,18,0,15,0.0,1011,39,10,123,11,Nigeria
2020-01-17,38,22,0.0,11.6,8,47,12:07 AM,12:25 PM,06:52 AM,06:31 PM,-1,31,31,31,17,0,15,0.0,1012,38,10,119,9,Nigeria
