date_time,Norway_maxtempC,Norway_mintempC,Norway_totalSnow_cm,Norway_sunHour,Norway_uvIndex,Norway_moon_illumination,Norway_moonrise,Norway_moonset,Norway_sunrise,Norway_sunset,Norway_DewPointC,Norway_FeelsLikeC,Norway_HeatIndexC,Norway_WindChillC,Norway_WindGustKmph,Norway_cloudcover,Norway_humidity,Norway_precipMM,Norway_pressure,Norway_tempC,Norway_visibility,Norway_winddirDegree,Norway_windspeedKmph,Norway_location
2020-01-01,-1,-7,0.0,3.7,1,37,12:09 PM,10:47 PM,09:19 AM,03:22 PM,-4,-4,-2,-4,12,55,83,0.0,1017,-1,10,229,6,Norway
2020-01-02,1,-6,0.0,3.7,1,44,12:17 PM,No moonset,09:19 AM,03:24 PM,-1,-3,-0,-3,20,41,90,0.0,1007,1,10,199,10,Norway
2020-01-03,4,-8,0.0,5.8,1,51,12:24 PM,12:03 AM,09:18 AM,03:25 PM,-1,-3,0,-3,29,48,79,0.5,994,4,9,219,17,Norway
2020-01-04,-2,-5,0.0,5.8,2,59,12:32 PM,01:19 AM,09:17 AM,03:27 PM,-8,-6,-3,-6,17,8,66,0.0,1008,-2,10,281,10,Norway
2020-01-05,-3,-11,0.2,1.5,1,66,12:41 PM,02:36 AM,09:17 AM,03:29 PM,-5,-7,-5,-7,9,68,86,0.6,1017,-3,8,247,5,Norway
2020-01-06,1,-7,0.0,5.8,1,73,12:52 PM,03:57 AM,09:16 AM,03:30 PM,0,-2,-0,-2,12,56,93,0.0,1013,1,7,217,7,Norway
2020-01-07,2,-7,0.0,5.8,1,80,01:08 PM,05:19 AM,09:15 AM,03:32 PM,0,-3,-0,-3,21,60,91,0.0,1009,2,8,215,13,Norway
2020-01-08,5,-8,0.0,5.8,1,88,01:32 PM,06:42 AM,09:14 AM,03:34 PM,-0,-2,2,-2,29,29,79,0.1,1000,5,10,212,17,Norway
2020-01-09,0,-8,0.0,5.8,2,95,02:08 PM,08:01 AM,09:13 AM,03:36 PM,-3,-3,-1,-3,10,8,79,0.0,1010,0,10,256,5,Norway
2020-01-10,-2,-10,0.0,5.8,2,100,03:04 PM,09:08 AM,09:12 AM,03:38 PM,-7,-6,-3,-6,10,12,72,0.0,1014,-2,10,340,6,Norway
2020-01-11,4,-6,0.0,1.6,1,100,04:20 PM,09:56 AM,09:10 AM,03:40 PM,-2,-4,0,-4,34,76,81,0.0,1012,4,10,200,20,Norway
2020-01-12,2,-7,0.0,5.8,2,83,05:50 PM,10:28 AM,09:09 AM,03:42 PM,-2,-3,0,-3,20,11,79,0.0,1002,2,10,226,10,Norway
2020-01-13,1,-7,0.0,5.8,2,76,07:26 PM,10:50 AM,09:08 AM,03:44 PM,-3,-3,-1,-3,11,31,85,0.0,1006,1,9,209,6,Norway
2020-01-14,3,-7,10.2,3.7,1,69,09:02 PM,11:05 AM,09:06 AM,03:46 PM,-0,-3,1,-3,29,73,86,14.9,993,3,6,185,18,Norway
2020-01-15,4,-5,4.4,5.8,1,61,10:36 PM,11:17 AM,09:05 AM,03:48 PM,-0,-2,2,-2,27,47,84,9.2,990,4,8,196,16,Norway
2020-01-16,3,-6,0.0,5.8,2,54,No moonrise,11:27 AM,09:03 AM,03:51 PM,-1,-3,1,-3,25,24,84,0.0,1007,3,9,206,14,Norway
2020-01-17,4,-2,0.0,1.6,1,47,12:09 AM,11:37 AM,09:02 AM,03:53 PM,3,-0,3,-0,20,99,96,1.1,1010,4,6,182,13,Norway
2020-01-18,2,-6,0.0,4.5,1,40,01:41 AM,11:47 AM,09:00 AM,03:55 PM,-1,-1,1,-1,10,76,87,0.0,1009,2,6,292,6,Norway
2020-01-19,0,-6,0.0,7.0,2,32,03:12 AM,12:00 PM,08:58 AM,03:57 PM,-6,-4,-1,-4,12,20,67,0.0,1030,0,10,308,7,Norway
2020-01-20,1,-7,0.0,7.4,1,25,04:41 AM,12:17 PM,08:57 AM,04:00 PM,-3,-2,-1,-2,9,30,76,0.0,1030,1,10,231,5,Norway
2020-01-21,3,-1,0.0,7.5,2,18,06:07 AM,12:42 PM,08:55 AM,04:02 PM,0,1,2,1,13,17,84,0.0,1020,3,10,241,6,Norway
2020-01-22,1,-2,0.0,7.5,2,11,07:23 AM,01:19 PM,08:53 AM,04:05 PM,-4,-1,-0,-1,7,12,73,0.0,1026,1,10,293,4,Norway
2020-01-23,1,-5,0.0,7.6,2,3,08:23 AM,02:11 PM,08:51 AM,04:07 PM,-5,-3,-1,-3,12,30,75,0.0,1020,1,10,238,6,Norway
2020-01-24,1,-7,0.0,7.6,2,0,09:06 AM,03:18 PM,08:49 AM,04:09 PM,-2,-2,0,-2,15,12,81,0.0,1008,1,10,212,7,Norway
2020-01-25,-0,-6,0.0,2.9,1,0,09:35 AM,04:33 PM,08:47 AM,04:12 PM,-4,-3,-1,-3,11,65,75,0.0,1009,-0,10,242,6,Norway
2020-01-26,1,-4,0.0,7.7,1,4,09:54 AM,05:53 PM,08:45 AM,04:14 PM,1,-1,1,-1,15,69,94,0.0,1006,1,7,205,8,Norway
2020-01-27,3,-4,4.6,2.9,1,11,10:07 AM,07:12 PM,08:43 AM,04:17 PM,2,-1,2,-1,18,100,97,8.0,999,3,6,187,11,Norway
2020-01-28,1,-1,0.0,2.9,1,18,10:17 AM,08:29 PM,08:41 AM,04:19 PM,0,-1,1,-1,11,100,97,1.7,991,1,3,82,7,Norway
2020-01-29,1,-6,1.4,2.9,1,26,10:25 AM,09:45 PM,08:38 AM,04:22 PM,0,-1,0,-1,6,95,97,2.4,990,1,3,227,4,Norway
2020-01-30,-1,-9,0.0,3.0,1,33,10:33 AM,11:01 PM,08:36 AM,04:25 PM,-2,-4,-2,-4,6,87,93,0.0,994,-1,8,264,4,Norway
2020-01-31,2,-4,2.6,3.0,1,37,10:40 AM,No moonset,08:34 AM,04:27 PM,0,-1,0,-1,8,100,98,3.3,990,2,2,152,5,Norway
2020-02-01,4,-3,0.0,3.0,1,49,10:48 AM,12:16 AM,08:32 AM,04:30 PM,1,-1,2,-1,20,92,95,0.0,983,4,6,201,11,Norway
2020-02-02,0,-3,0.0,8.0,2,57,10:58 AM,01:35 AM,08:29 AM,04:32 PM,-5,-4,-1,-4,15,26,76,0.0,991,0,10,297,8,Norway
2020-02-03,-3,-7,0.0,6.8,1,64,11:12 AM,02:54 AM,08:27 AM,04:35 PM,-9,-6,-3,-6,11,36,66,0.0,1001,-3,10,189,6,Norway
2020-02-04,-3,-10,0.2,6.8,1,72,11:30 AM,04:16 AM,08:24 AM,04:38 PM,-7,-8,-5,-8,13,53,80,0.4,1004,-3,9,199,8,Norway
2020-02-05,-1,-8,0.0,3.1,1,79,11:59 AM,05:36 AM,08:22 AM,04:40 PM,-8,-7,-4,-7,15,58,68,0.0,1020,-1,10,254,7,Norway
2020-02-06,3,-2,0.0,8.2,2,87,12:44 PM,06:48 AM,08:20 AM,04:43 PM,-1,-1,2,-1,21,24,76,0.0,1017,3,10,260,10,Norway
2020-02-07,1,-4,0.0,3.1,1,95,01:50 PM,07:46 AM,08:17 AM,04:46 PM,0,-0,0,-0,6,71,95,0.0,1023,1,5,186,3,Norway
2020-02-08,2,-4,0.0,3.1,1,100,03:15 PM,08:26 AM,08:15 AM,04:48 PM,1,-3,1,-3,20,89,95,0.2,1013,2,7,190,13,Norway
2020-02-09,4,-4,4.6,3.1,1,100,04:52 PM,08:52 AM,08:12 AM,04:51 PM,2,-2,2,-2,40,88,92,17.1,989,4,7,191,25,Norway
2020-02-10,4,1,0.0,5.0,1,83,06:31 PM,09:10 AM,08:09 AM,04:54 PM,-2,-2,3,-2,32,63,69,4.8,960,4,9,226,19,Norway
2020-02-11,1,-8,0.1,8.5,1,75,08:11 PM,09:24 AM,08:07 AM,04:56 PM,-5,-3,-1,-3,10,57,70,0.2,971,1,10,223,6,Norway
2020-02-12,1,-7,0.0,8.6,2,68,09:48 PM,09:34 AM,08:04 AM,04:59 PM,-5,-3,-1,-3,12,30,71,0.0,980,1,10,257,8,Norway
2020-02-13,-0,-3,0.0,8.7,2,60,11:23 PM,09:44 AM,08:02 AM,05:02 PM,-9,-4,-1,-4,9,7,56,0.0,999,-0,10,311,6,Norway
2020-02-14,0,-3,0.0,8.7,1,53,No moonrise,09:55 AM,07:59 AM,05:04 PM,-8,-3,-2,-3,7,37,61,0.0,1011,0,10,264,4,Norway
2020-02-15,3,-3,0.2,7.0,1,45,12:57 AM,10:07 AM,07:57 AM,05:07 PM,0,-2,1,-2,17,79,93,2.5,1006,3,6,180,10,Norway
2020-02-16,6,-4,0.4,3.6,1,38,02:29 AM,10:22 AM,07:54 AM,05:10 PM,2,-0,4,-0,37,91,84,18.1,979,6,7,204,23,Norway
2020-02-17,5,2,0.0,5.3,1,30,03:57 AM,10:45 AM,07:51 AM,05:12 PM,-2,-1,3,-1,35,40,69,0.0,981,5,10,212,22,Norway
2020-02-18,5,2,0.0,5.3,1,22,05:15 AM,11:17 AM,07:48 AM,05:15 PM,-2,-1,3,-1,25,39,69,0.1,991,5,10,219,14,Norway
2020-02-19,3,-1,0.0,8.7,2,15,06:20 AM,12:04 PM,07:46 AM,05:18 PM,-4,-0,1,-0,7,19,68,0.0,999,3,10,299,5,Norway
2020-02-20,2,-2,0.0,3.7,1,7,07:07 AM,01:06 PM,07:43 AM,05:20 PM,-0,-2,1,-2,22,83,88,10.3,1000,2,9,163,14,Norway
2020-02-21,4,-2,2.5,7.0,1,0,07:39 AM,02:18 PM,07:40 AM,05:23 PM,-1,-1,2,-1,25,60,74,9.8,993,4,9,228,16,Norway
2020-02-22,6,-2,0.0,7.0,1,0,08:00 AM,03:37 PM,07:37 AM,05:25 PM,-1,-0,3,-0,31,60,71,3.1,983,6,10,234,19,Norway
2020-02-23,5,0,0.0,8.7,2,0,08:15 AM,04:56 PM,07:35 AM,05:28 PM,-5,-1,2,-1,14,14,64,0.0,989,5,10,271,9,Norway
2020-02-24,3,-0,0.0,8.7,2,0,08:25 AM,06:14 PM,07:32 AM,05:30 PM,-7,-1,1,-1,7,25,58,0.0,1004,3,10,216,5,Norway
2020-02-25,-2,-3,0.0,3.8,1,8,08:34 AM,07:31 PM,07:29 AM,05:33 PM,-9,-8,-2,-8,28,98,59,0.0,994,-2,10,36,19,Norway
2020-02-26,-3,-6,0.0,7.1,1,15,08:41 AM,08:46 PM,07:26 AM,05:36 PM,-14,-9,-4,-9,18,52,47,0.0,998,-3,10,95,13,Norway
2020-02-27,-3,-9,0.0,3.8,1,23,08:48 AM,10:02 PM,07:23 AM,05:38 PM,-12,-6,-4,-6,4,67,56,0.3,1003,-3,9,182,3,Norway
2020-02-28,-3,-7,0.9,7.1,1,30,08:56 AM,11:19 PM,07:20 AM,05:41 PM,-7,-6,-4,-6,7,77,80,1.0,999,-3,9,177,5,Norway
2020-02-29,-2,-8,3.6,3.8,1,38,09:05 AM,No moonset,07:17 AM,05:43 PM,-6,-6,-3,-6,14,69,80,4.4,998,-2,7,95,10,Norway
2020-03-01,1,-7,17.3,3.9,1,44,09:16 AM,12:37 AM,07:14 AM,05:46 PM,-1,-5,-1,-5,30,95,96,22.2,977,1,5,171,19,Norway
2020-03-02,2,-4,0.3,7.1,1,51,09:32 AM,01:57 AM,07:11 AM,05:48 PM,-0,-3,1,-3,20,77,93,0.5,985,2,7,175,13,Norway
2020-03-03,0,-5,0.1,3.9,1,58,09:55 AM,03:16 AM,07:08 AM,05:51 PM,-2,-4,-1,-4,15,99,93,0.9,1001,0,5,46,10,Norway
2020-03-04,-1,-3,13.3,3.9,1,65,10:30 AM,04:30 AM,07:05 AM,05:53 PM,-2,-4,-1,-4,14,100,96,18.1,1003,-1,3,263,9,Norway
2020-03-05,1,-6,0.0,8.7,1,73,11:24 AM,05:34 AM,07:03 AM,05:56 PM,-4,-4,-3,-4,6,30,89,0.0,1002,1,8,232,3,Norway
2020-03-06,0,-7,0.0,4.0,1,80,12:39 PM,06:20 AM,07:00 AM,05:58 PM,-5,-4,-3,-4,7,64,89,0.0,1005,0,10,171,4,Norway
2020-03-07,1,-5,0.0,7.2,1,87,02:10 PM,06:52 AM,06:57 AM,06:01 PM,-4,-4,-2,-4,8,65,90,0.0,1010,1,9,270,5,Norway
2020-03-08,3,-3,0.0,5.7,1,95,03:50 PM,07:13 AM,06:54 AM,06:03 PM,1,-3,2,-3,32,98,95,9.2,1000,3,8,182,20,Norway
2020-03-09,4,-1,0.2,7.2,1,100,05:31 PM,07:29 AM,06:51 AM,06:05 PM,1,-1,2,-1,24,82,92,0.8,1000,4,7,185,15,Norway
2020-03-10,1,-4,6.1,5.8,1,100,07:12 PM,07:40 AM,06:48 AM,06:08 PM,1,-2,1,-2,12,99,98,9.8,993,1,3,171,7,Norway
2020-03-11,4,-1,1.0,11.6,1,84,08:52 PM,07:50 AM,06:44 AM,06:10 PM,-1,-1,2,-1,21,43,79,1.2,987,4,8,245,13,Norway
2020-03-12,2,-1,0.0,7.3,1,76,10:30 PM,08:00 AM,06:41 AM,06:13 PM,-4,-3,1,-3,20,57,72,0.0,985,2,10,231,12,Norway
2020-03-13,-0,-7,0.1,10.2,1,69,No moonrise,08:12 AM,06:38 AM,06:15 PM,-9,-6,-2,-6,17,37,59,0.4,1002,-0,9,218,12,Norway
2020-03-14,0,-5,0.0,8.8,1,62,12:08 AM,08:26 AM,06:35 AM,06:18 PM,-8,-5,-3,-5,15,56,67,0.1,1019,0,10,236,11,Norway
2020-03-15,4,-2,0.7,5.9,1,55,01:41 AM,08:46 AM,06:32 AM,06:20 PM,2,-2,2,-2,37,100,94,3.3,1003,4,7,194,22,Norway
2020-03-16,4,-1,0.0,11.6,1,47,03:06 AM,09:15 AM,06:29 AM,06:23 PM,-4,-1,1,-1,12,41,71,0.0,1010,4,9,136,8,Norway
2020-03-17,7,0,0.0,11.6,1,40,04:17 AM,09:58 AM,06:26 AM,06:25 PM,-0,-0,3,-0,29,48,76,0.0,1012,7,10,207,17,Norway
2020-03-18,5,1,0.0,11.6,1,33,05:10 AM,10:56 AM,06:23 AM,06:27 PM,-2,0,3,0,17,35,72,0.0,1009,5,9,229,11,Norway
2020-03-19,6,-1,0.0,11.6,1,25,05:45 AM,12:06 PM,06:20 AM,06:30 PM,-3,1,2,1,8,21,70,0.0,1017,6,10,207,6,Norway
2020-03-20,3,-2,0.0,10.2,1,18,06:08 AM,01:24 PM,06:17 AM,06:32 PM,-7,-2,0,-2,8,40,61,0.0,1031,3,10,168,6,Norway
2020-03-21,3,-1,0.0,11.6,2,11,06:24 AM,02:42 PM,06:14 AM,06:35 PM,-6,-1,1,-1,7,12,62,0.0,1039,3,10,252,5,Norway
2020-03-22,4,-2,0.0,11.6,2,4,06:35 AM,04:01 PM,06:11 AM,06:37 PM,-6,-2,1,-2,17,20,64,0.0,1038,4,10,191,11,Norway
2020-03-23,4,-1,0.0,8.9,1,0,06:44 AM,05:18 PM,06:08 AM,06:40 PM,-3,-3,2,-3,26,52,72,0.0,1034,4,10,204,18,Norway
2020-03-24,5,1,0.0,11.6,2,0,06:51 AM,06:34 PM,06:05 AM,06:42 PM,-3,-2,3,-2,36,38,66,0.0,1029,5,10,196,25,Norway
2020-03-25,8,2,0.0,10.3,3,3,06:58 AM,07:50 PM,06:02 AM,06:45 PM,-1,1,5,1,31,19,66,0.0,1024,8,10,194,22,Norway
2020-03-26,8,3,0.0,11.9,2,11,07:05 AM,09:07 PM,05:59 AM,06:47 PM,2,3,5,3,13,46,83,0.0,1026,8,8,185,9,Norway
2020-03-27,7,2,0.0,9.4,1,18,07:13 AM,10:25 PM,05:57 AM,06:49 PM,2,4,4,4,4,78,87,0.0,1025,7,7,170,3,Norway
2020-03-28,4,-1,0.0,13.0,1,25,07:23 AM,11:45 PM,05:54 AM,06:52 PM,-7,-2,2,-2,18,19,59,0.0,1026,4,10,143,13,Norway
2020-03-29,3,-3,0.0,12.0,1,32,07:36 AM,No moonset,05:51 AM,06:54 PM,-12,-4,-1,-4,13,28,43,0.0,1033,3,10,276,9,Norway
2020-03-30,3,-3,0.0,13.1,2,40,07:55 AM,01:04 AM,05:48 AM,06:57 PM,-10,-3,-0,-3,12,21,51,0.0,1029,3,10,278,8,Norway
2020-03-31,7,-1,0.0,13.1,2,44,08:24 AM,02:19 AM,05:45 AM,06:59 PM,-4,0,2,0,10,45,64,0.0,1020,7,10,228,7,Norway
2020-04-01,8,1,0.0,13.3,2,56,09:09 AM,03:26 AM,05:42 AM,07:02 PM,-2,3,4,3,12,37,65,0.0,1004,8,10,253,8,Norway
2020-04-02,4,-4,0.3,10.9,1,64,10:13 AM,04:18 AM,05:39 AM,07:04 PM,-5,-2,2,-2,26,40,59,1.5,986,4,8,250,19,Norway
2020-04-03,3,-1,0.0,13.3,1,71,11:36 AM,04:54 AM,05:36 AM,07:07 PM,-11,-3,1,-3,18,26,42,0.0,996,3,10,291,13,Norway
2020-04-04,2,-2,0.0,13.3,2,79,01:10 PM,05:18 AM,05:33 AM,07:09 PM,-12,-3,-0,-3,15,31,42,0.1,1019,2,10,259,11,Norway
2020-04-05,8,3,0.4,8.6,2,87,02:49 PM,05:34 AM,05:30 AM,07:12 PM,2,3,5,3,21,89,81,0.6,1022,8,8,197,14,Norway
2020-04-06,8,4,0.0,9.8,2,94,04:29 PM,05:47 AM,05:27 AM,07:14 PM,3,3,5,3,16,76,89,0.1,1022,8,6,175,11,Norway
2020-04-07,10,5,0.0,13.9,2,100,06:10 PM,05:57 AM,05:24 AM,07:16 PM,1,6,7,6,13,38,67,0.0,1022,10,6,241,10,Norway
2020-04-08,11,3,0.0,12.2,2,100,07:51 PM,06:06 AM,05:21 AM,07:19 PM,1,4,7,4,23,34,66,0.0,1019,11,10,214,15,Norway
2020-04-09,9,2,0.0,14.0,3,83,09:33 PM,06:16 AM,05:18 AM,07:21 PM,-5,4,5,4,11,2,49,0.0,1020,9,10,311,8,Norway
2020-04-10,8,1,0.0,14.1,2,76,11:12 PM,06:29 AM,05:15 AM,07:24 PM,-4,4,5,4,6,21,52,0.0,1025,8,10,305,5,Norway
2020-04-11,3,-4,0.7,10.0,1,68,No moonrise,06:46 AM,05:12 AM,07:26 PM,-0,1,2,1,5,67,80,1.1,1021,3,7,182,4,Norway
2020-04-12,9,1,0.0,8.9,2,61,12:46 AM,07:11 AM,05:09 AM,07:29 PM,1,3,5,3,15,89,76,0.6,1004,9,7,219,10,Norway
2020-04-13,3,-0,0.0,12.3,1,53,02:07 AM,07:49 AM,05:06 AM,07:31 PM,-11,-3,1,-3,26,32,39,0.0,1011,3,10,327,20,Norway
2020-04-14,7,-1,0.0,12.3,1,46,03:09 AM,08:42 AM,05:03 AM,07:34 PM,-7,1,3,1,8,59,51,0.0,1015,7,10,268,6,Norway
2020-04-15,14,4,0.0,14.4,4,38,03:51 AM,09:52 AM,05:00 AM,07:36 PM,1,7,9,7,19,18,59,0.0,1004,14,10,257,13,Norway
2020-04-16,9,4,0.0,14.5,3,30,04:17 AM,11:09 AM,04:57 AM,07:39 PM,-4,5,7,5,11,7,50,0.0,1010,9,10,279,8,Norway
2020-04-17,9,3,0.0,14.5,3,23,04:34 AM,12:28 PM,04:54 AM,07:41 PM,-6,4,6,4,8,7,47,0.0,1021,9,10,257,7,Norway
2020-04-18,10,1,0.0,14.5,3,15,04:46 AM,01:48 PM,04:51 AM,07:44 PM,-4,6,6,6,6,20,51,0.0,1024,10,10,249,5,Norway
2020-04-19,16,4,0.0,14.5,4,8,04:55 AM,03:05 PM,04:48 AM,07:46 PM,1,10,10,10,6,4,56,0.0,1027,16,10,266,5,Norway
2020-04-20,19,7,0.0,14.5,4,0,05:02 AM,04:21 PM,04:45 AM,07:48 PM,3,13,13,13,5,3,57,0.0,1031,19,10,28,4,Norway
2020-04-21,22,10,0.0,14.5,5,0,05:09 AM,05:38 PM,04:42 AM,07:51 PM,4,15,16,15,5,0,49,0.0,1033,22,10,127,4,Norway
2020-04-22,21,10,0.0,14.5,5,0,05:15 AM,06:55 PM,04:39 AM,07:53 PM,3,16,17,16,5,1,45,0.0,1031,21,10,186,4,Norway
2020-04-23,18,9,0.0,14.5,4,0,05:22 AM,08:13 PM,04:36 AM,07:56 PM,1,13,14,13,7,7,43,0.0,1021,18,10,135,4,Norway
2020-04-24,11,5,0.0,13.5,2,7,05:31 AM,09:33 PM,04:33 AM,07:58 PM,-1,6,8,6,15,44,52,0.0,1012,11,10,44,12,Norway
2020-04-25,12,3,0.0,14.5,3,15,05:42 AM,10:53 PM,04:31 AM,08:01 PM,-2,6,8,6,9,28,52,0.0,1010,12,10,215,7,Norway
2020-04-26,12,4,0.0,14.5,2,22,05:59 AM,No moonset,04:28 AM,08:03 PM,-1,7,8,7,8,43,55,0.1,1006,12,10,117,6,Norway
2020-04-27,6,-2,0.0,9.9,2,30,06:23 AM,12:12 AM,04:25 AM,08:06 PM,4,3,5,3,11,90,86,8.6,1003,6,9,121,9,Norway
2020-04-28,5,-2,12.8,9.9,1,37,07:02 AM,01:23 AM,04:22 AM,08:08 PM,1,-1,3,-1,17,91,87,16.3,1006,5,6,66,13,Norway
2020-04-29,8,1,0.0,12.7,2,45,07:59 AM,02:18 AM,04:20 AM,08:10 PM,-2,3,4,3,9,46,67,0.7,1009,8,10,206,7,Norway
2020-04-30,7,1,2.3,10.0,1,52,09:14 AM,02:58 AM,04:17 AM,08:13 PM,-2,1,4,1,15,74,69,3.5,1008,7,8,83,12,Norway
2020-05-01,10,3,4.7,10.0,2,58,10:42 AM,03:24 AM,04:14 AM,08:15 PM,4,5,6,5,12,95,88,25.0,1001,10,8,119,9,Norway
2020-05-02,11,4,0.0,14.5,2,65,12:16 PM,03:42 AM,04:11 AM,08:18 PM,3,7,8,7,7,53,74,0.0,1000,11,10,293,6,Norway
2020-05-03,11,6,0.0,10.1,2,72,01:54 PM,03:55 AM,04:09 AM,08:20 PM,4,8,8,8,7,76,74,3.7,1007,11,10,229,5,Norway
2020-05-04,8,2,0.8,11.9,2,80,03:32 PM,04:05 AM,04:06 AM,08:23 PM,-1,1,5,1,21,69,66,1.4,1013,8,8,125,16,Norway
2020-05-05,12,1,0.0,14.5,3,87,05:11 PM,04:13 AM,04:04 AM,08:25 PM,-3,5,7,5,10,26,52,0.0,1020,12,10,272,7,Norway
2020-05-06,16,3,0.0,14.5,4,94,06:51 PM,04:23 AM,04:01 AM,08:28 PM,-1,9,10,9,8,23,53,0.0,1017,16,10,314,6,Norway
2020-05-07,12,5,0.0,12.9,3,100,08:32 PM,04:33 AM,03:59 AM,08:30 PM,1,8,9,8,8,44,60,0.0,1018,12,10,202,6,Norway
2020-05-08,13,4,0.0,14.5,4,100,10:12 PM,04:47 AM,03:56 AM,08:32 PM,0,8,9,8,10,22,60,0.0,1008,13,9,289,8,Norway
2020-05-09,12,4,0.0,13.7,4,84,11:44 PM,05:07 AM,03:54 AM,08:35 PM,-2,7,9,7,12,52,51,0.1,1011,12,9,173,9,Norway
2020-05-10,2,-6,8.0,10.5,1,77,No moonrise,05:38 AM,03:51 AM,08:37 PM,0,-1,3,-1,20,83,83,14.7,1004,2,6,105,15,Norway
2020-05-11,7,-3,0.0,12.9,2,70,12:58 AM,06:25 AM,03:49 AM,08:40 PM,-8,0,3,0,16,35,46,0.1,1010,7,10,320,12,Norway
2020-05-12,5,-1,0.1,11.4,1,62,01:50 AM,07:31 AM,03:46 AM,08:42 PM,-5,1,3,1,13,74,59,2.8,1006,5,10,148,9,Norway
2020-05-13,9,-2,0.2,12.2,2,55,02:22 AM,08:48 AM,03:44 AM,08:45 PM,-7,2,4,2,12,51,49,0.4,1011,9,9,238,8,Norway
2020-05-14,10,-0,0.0,14.5,3,48,02:43 AM,10:09 AM,03:42 AM,08:47 PM,-5,4,6,4,9,40,53,0.0,1011,10,10,236,6,Norway
2020-05-15,12,1,0.0,12.2,2,40,02:56 AM,11:31 AM,03:39 AM,08:49 PM,-5,6,7,6,9,48,48,0.1,1007,12,10,238,7,Norway
2020-05-16,10,2,0.0,14.5,3,33,03:06 AM,12:49 PM,03:37 AM,08:52 PM,-6,3,6,3,18,11,43,0.0,1006,10,10,272,14,Norway
