date_time,Pakistan_maxtempC,Pakistan_mintempC,Pakistan_totalSnow_cm,Pakistan_sunHour,Pakistan_uvIndex,Pakistan_moon_illumination,Pakistan_moonrise,Pakistan_moonset,Pakistan_sunrise,Pakistan_sunset,Pakistan_DewPointC,Pakistan_FeelsLikeC,Pakistan_HeatIndexC,Pakistan_WindChillC,Pakistan_WindGustKmph,Pakistan_cloudcover,Pakistan_humidity,Pakistan_precipMM,Pakistan_pressure,Pakistan_tempC,Pakistan_visibility,Pakistan_winddirDegree,Pakistan_windspeedKmph,Pakistan_location
2020-01-01,16,7,0.0,8.7,3,37,11:19 AM,10:55 PM,07:12 AM,05:09 PM,-5,10,11,10,12,47,33,0.0,1022,16,10,75,7,Pakistan
2020-01-02,15,10,0.0,3.7,3,44,11:47 AM,11:49 PM,07:12 AM,05:10 PM,-3,12,12,12,13,87,35,0.0,1023,15,10,179,8,Pakistan
2020-01-03,16,9,0.0,5.4,3,51,12:15 PM,No moonset,07:12 AM,05:11 PM,2,11,12,11,12,59,51,0.0,1020,16,10,314,7,Pakistan
2020-01-04,15,8,0.0,5.4,3,59,12:43 PM,12:43 AM,07:13 AM,05:12 PM,3,10,11,10,10,56,61,1.9,1017,15,10,127,6,Pakistan
2020-01-05,16,7,0.0,7.1,3,66,01:13 PM,01:39 AM,07:13 AM,05:13 PM,-1,10,11,10,14,48,47,0.2,1019,16,10,178,8,Pakistan
2020-01-06,10,6,0.0,3.8,2,73,01:45 PM,02:35 AM,07:13 AM,05:13 PM,2,9,9,9,7,87,65,12.4,1021,10,9,150,5,Pakistan
2020-01-07,12,4,0.0,5.4,3,80,02:22 PM,03:35 AM,07:13 AM,05:14 PM,7,8,9,8,6,84,84,8.3,1019,12,8,233,5,Pakistan
2020-01-08,12,5,0.0,3.8,2,88,03:05 PM,04:35 AM,07:13 AM,05:15 PM,4,8,8,8,9,64,78,6.6,1015,12,9,264,6,Pakistan
2020-01-09,16,8,0.0,8.7,4,95,03:55 PM,05:38 AM,07:13 AM,05:16 PM,1,11,11,11,10,0,50,0.0,1018,16,10,313,7,Pakistan
2020-01-10,17,6,0.0,8.7,4,100,04:52 PM,06:39 AM,07:13 AM,05:17 PM,-3,11,11,11,10,7,39,0.0,1021,17,10,313,6,Pakistan
2020-01-11,15,6,0.0,7.1,3,100,05:56 PM,07:37 AM,07:13 AM,05:18 PM,-6,10,10,10,10,58,33,0.0,1019,15,10,230,6,Pakistan
2020-01-12,17,10,0.0,7.1,3,83,07:04 PM,08:29 AM,07:13 AM,05:19 PM,2,12,13,12,16,72,47,0.0,1020,17,10,176,11,Pakistan
2020-01-13,10,7,0.0,3.8,2,76,08:13 PM,09:16 AM,07:13 AM,05:20 PM,8,7,9,7,20,90,88,71.7,1010,10,6,212,15,Pakistan
2020-01-14,13,7,0.0,3.8,3,69,09:23 PM,09:58 AM,07:12 AM,05:20 PM,6,8,9,8,17,74,80,40.5,1018,13,8,220,11,Pakistan
2020-01-15,15,7,0.0,8.7,4,61,10:30 PM,10:35 AM,07:12 AM,05:21 PM,1,10,10,10,12,13,52,0.0,1018,15,10,168,7,Pakistan
2020-01-16,16,8,0.0,8.7,4,54,11:37 PM,11:10 AM,07:12 AM,05:22 PM,1,11,12,11,10,7,49,0.0,1016,16,10,233,6,Pakistan
2020-01-17,15,8,0.0,7.1,3,47,No moonrise,11:44 AM,07:12 AM,05:23 PM,3,11,11,11,10,38,56,0.6,1016,15,10,157,6,Pakistan
2020-01-18,16,8,0.0,8.7,4,40,12:42 AM,12:18 PM,07:11 AM,05:24 PM,1,11,11,11,10,22,51,0.4,1019,16,10,201,6,Pakistan
