date_time,Palestine_maxtempC,Palestine_mintempC,Palestine_totalSnow_cm,Palestine_sunHour,Palestine_uvIndex,Palestine_moon_illumination,Palestine_moonrise,Palestine_moonset,Palestine_sunrise,Palestine_sunset,Palestine_DewPointC,Palestine_FeelsLikeC,Palestine_HeatIndexC,Palestine_WindChillC,Palestine_WindGustKmph,Palestine_cloudcover,Palestine_humidity,Palestine_precipMM,Palestine_pressure,Palestine_tempC,Palestine_visibility,Palestine_winddirDegree,Palestine_windspeedKmph,Palestine_location
2020-01-01,11,4,0.0,7.1,3,37,10:52 AM,10:34 PM,06:39 AM,04:46 PM,6,8,9,8,10,53,78,0.5,1019,11,10,243,7,Palestine
2020-01-02,12,9,0.0,8.7,4,44,11:21 AM,11:27 PM,06:39 AM,04:46 PM,5,10,10,10,6,30,70,0.0,1016,12,10,161,4,Palestine
2020-01-03,9,3,0.0,8.7,3,51,11:50 AM,No moonset,06:40 AM,04:47 PM,2,4,7,4,36,37,66,0.5,1017,9,10,237,23,Palestine
2020-01-04,9,5,0.0,3.8,2,59,12:19 PM,12:20 AM,06:40 AM,04:48 PM,3,3,7,3,43,65,77,1.4,1016,9,10,242,26,Palestine
2020-01-05,8,6,0.0,5.4,2,66,12:50 PM,01:15 AM,06:40 AM,04:49 PM,4,3,7,3,59,56,80,2.4,1017,8,10,249,34,Palestine
2020-01-06,12,7,0.0,8.7,4,73,01:24 PM,02:11 AM,06:40 AM,04:49 PM,0,8,9,8,16,2,54,0.0,1016,12,10,191,10,Palestine
2020-01-07,10,7,0.0,8.7,2,80,02:02 PM,03:09 AM,06:40 AM,04:50 PM,1,6,9,6,43,25,58,0.1,1015,10,10,228,26,Palestine
2020-01-08,7,5,0.0,3.8,2,88,02:46 PM,04:10 AM,06:40 AM,04:51 PM,3,1,6,1,72,49,77,1.1,1014,7,10,237,43,Palestine
2020-01-09,7,5,0.0,3.8,2,95,03:37 PM,05:12 AM,06:40 AM,04:52 PM,5,2,7,2,55,82,91,40.0,1013,7,8,264,33,Palestine
2020-01-10,8,7,0.0,3.8,2,100,04:35 PM,06:12 AM,06:40 AM,04:53 PM,6,6,7,6,14,73,90,5.0,1016,8,10,230,9,Palestine
2020-01-11,11,3,0.0,8.7,3,100,05:39 PM,07:10 AM,06:40 AM,04:54 PM,5,6,8,6,17,23,79,0.0,1023,11,10,299,11,Palestine
2020-01-12,10,4,0.0,7.1,2,83,06:47 PM,08:02 AM,06:40 AM,04:54 PM,5,7,8,7,18,28,80,0.0,1024,10,10,254,11,Palestine
