date_time,Peru_maxtempC,Peru_mintempC,Peru_totalSnow_cm,Peru_sunHour,Peru_uvIndex,Peru_moon_illumination,Peru_moonrise,Peru_moonset,Peru_sunrise,Peru_sunset,Peru_DewPointC,Peru_FeelsLikeC,Peru_HeatIndexC,Peru_WindChillC,Peru_WindGustKmph,Peru_cloudcover,Peru_humidity,Peru_precipMM,Peru_pressure,Peru_tempC,Peru_visibility,Peru_winddirDegree,Peru_windspeedKmph,Peru_location
2020-01-01,24,20,0.0,11.9,5,37,11:06 AM,11:36 PM,05:47 AM,06:36 PM,17,23,23,22,16,57,75,0.0,1015,24,10,189,11,Peru
2020-01-02,23,20,0.0,9.3,5,44,11:51 AM,No moonset,05:48 AM,06:36 PM,18,23,23,22,17,63,79,0.0,1015,23,10,180,13,Peru
2020-01-03,24,20,0.0,11.9,5,51,12:36 PM,12:12 AM,05:48 AM,06:37 PM,18,23,23,22,18,63,78,0.0,1017,24,10,176,14,Peru
2020-01-04,24,20,0.0,12.9,5,59,01:22 PM,12:49 AM,05:49 AM,06:37 PM,18,23,23,22,15,47,80,0.0,1018,24,10,192,11,Peru
2020-01-05,24,19,0.0,11.9,5,66,02:10 PM,01:28 AM,05:49 AM,06:37 PM,18,23,23,21,16,55,78,0.0,1018,24,10,182,13,Peru
2020-01-06,24,20,0.0,12.9,5,73,03:00 PM,02:08 AM,05:50 AM,06:38 PM,18,23,23,22,18,43,78,0.0,1016,24,10,179,14,Peru
2020-01-07,24,19,0.0,12.9,5,80,03:54 PM,02:53 AM,05:51 AM,06:38 PM,18,23,23,22,16,47,78,0.0,1015,24,10,184,12,Peru
2020-01-08,24,19,0.0,11.9,5,88,04:50 PM,03:42 AM,05:51 AM,06:38 PM,18,24,24,22,16,63,77,0.0,1016,24,10,181,13,Peru
2020-01-09,24,18,0.0,10.6,5,95,05:49 PM,04:35 AM,05:52 AM,06:39 PM,19,23,23,21,17,71,80,0.0,1015,24,10,180,13,Peru
2020-01-10,24,21,0.0,10.6,5,100,06:48 PM,05:34 AM,05:52 AM,06:39 PM,19,23,23,22,15,70,83,0.0,1013,24,10,190,12,Peru
2020-01-11,23,20,0.0,8.0,5,100,07:46 PM,06:34 AM,05:53 AM,06:39 PM,18,22,22,21,14,78,82,0.1,1012,23,10,206,11,Peru
2020-01-12,24,20,0.0,8.0,5,83,08:40 PM,07:37 AM,05:53 AM,06:39 PM,18,23,23,22,15,85,80,0.2,1013,24,10,188,12,Peru
2020-01-13,23,20,0.0,8.0,5,76,09:32 PM,08:37 AM,05:54 AM,06:40 PM,18,21,22,21,14,81,81,0.1,1013,23,10,193,11,Peru
2020-01-14,24,20,0.0,9.3,5,69,10:20 PM,09:37 AM,05:54 AM,06:40 PM,18,23,23,22,12,60,79,0.2,1013,24,10,194,10,Peru
2020-01-15,24,20,0.0,11.9,5,61,11:06 PM,10:33 AM,05:55 AM,06:40 PM,18,22,22,21,14,65,79,0.0,1014,24,10,190,11,Peru
2020-01-16,24,19,0.0,10.6,5,54,11:50 PM,11:29 AM,05:55 AM,06:40 PM,18,24,24,22,15,59,79,0.1,1014,24,10,186,13,Peru
2020-01-17,24,21,0.0,12.8,5,47,No moonrise,12:23 PM,05:56 AM,06:40 PM,18,23,23,22,16,49,79,0.0,1013,24,10,186,13,Peru
2020-01-18,24,21,0.0,12.8,5,40,12:35 AM,01:18 PM,05:56 AM,06:40 PM,18,24,24,22,14,42,79,0.0,1013,24,10,192,12,Peru
2020-01-19,23,20,0.0,10.6,5,32,01:21 AM,02:13 PM,05:57 AM,06:40 PM,18,23,23,22,13,70,80,0.0,1014,23,10,195,11,Peru
2020-01-20,25,20,0.0,12.8,5,25,02:09 AM,03:10 PM,05:57 AM,06:41 PM,18,24,24,22,14,48,78,0.0,1015,25,10,191,11,Peru
2020-01-21,24,21,0.0,10.6,5,18,03:00 AM,04:06 PM,05:58 AM,06:41 PM,19,25,25,23,12,75,82,0.0,1015,24,10,199,10,Peru
2020-01-22,25,21,0.0,11.9,5,11,03:53 AM,05:02 PM,05:58 AM,06:41 PM,19,25,25,23,9,63,75,0.0,1015,25,10,235,7,Peru
2020-01-23,26,23,0.0,10.6,5,3,04:46 AM,05:55 PM,05:59 AM,06:41 PM,18,26,26,24,11,65,69,0.4,1016,26,10,200,9,Peru
2020-01-24,26,22,0.0,10.6,5,0,05:40 AM,06:45 PM,05:59 AM,06:41 PM,18,26,26,24,15,59,70,0.2,1016,26,10,184,12,Peru
2020-01-25,26,22,0.0,11.8,5,0,06:33 AM,07:32 PM,06:00 AM,06:41 PM,18,26,26,24,16,50,73,0.4,1017,26,10,183,12,Peru
2020-01-26,25,21,0.0,12.4,6,4,07:24 AM,08:15 PM,06:00 AM,06:41 PM,19,25,25,23,17,43,76,0.4,1017,25,9,184,13,Peru
2020-01-27,24,21,0.0,7.6,5,11,08:13 AM,08:55 PM,06:01 AM,06:41 PM,19,24,24,22,16,76,82,0.6,1016,24,9,188,12,Peru
2020-01-28,25,21,0.0,10.3,5,18,09:00 AM,09:33 PM,06:01 AM,06:41 PM,19,25,25,23,18,69,78,0.0,1016,25,10,179,14,Peru
2020-01-29,25,18,0.0,7.5,5,26,09:46 AM,10:10 PM,06:02 AM,06:41 PM,19,25,25,23,16,75,77,0.0,1015,25,10,183,13,Peru
2020-01-30,26,22,0.0,11.6,6,33,10:30 AM,10:46 PM,06:02 AM,06:40 PM,20,26,26,24,14,33,76,0.0,1015,26,10,189,11,Peru
2020-01-31,26,22,0.0,10.2,5,37,11:15 AM,11:24 PM,06:03 AM,06:40 PM,19,26,26,23,17,51,78,0.0,1015,26,10,188,13,Peru
