date_time,Philippines_maxtempC,Philippines_mintempC,Philippines_totalSnow_cm,Philippines_sunHour,Philippines_uvIndex,Philippines_moon_illumination,Philippines_moonrise,Philippines_moonset,Philippines_sunrise,Philippines_sunset,Philippines_DewPointC,Philippines_FeelsLikeC,Philippines_HeatIndexC,Philippines_WindChillC,Philippines_WindGustKmph,Philippines_cloudcover,Philippines_humidity,Philippines_precipMM,Philippines_pressure,Philippines_tempC,Philippines_visibility,Philippines_winddirDegree,Philippines_windspeedKmph,Philippines_location
2020-01-01,30,26,0.0,5.7,6,37,10:47 AM,10:49 PM,06:21 AM,05:38 PM,21,30,30,28,23,56,69,0.3,1016,30,10,58,18,Philippines
2020-01-02,30,26,0.0,5.7,6,44,11:24 AM,11:35 PM,06:21 AM,05:39 PM,21,30,30,28,23,63,68,0.5,1016,30,10,58,18,Philippines
2020-01-03,29,26,0.0,8.7,7,51,12:00 PM,No moonset,06:21 AM,05:39 PM,20,29,29,27,19,24,65,0.0,1015,29,10,49,15,Philippines
2020-01-04,29,24,0.0,8.7,7,59,12:35 PM,12:21 AM,06:22 AM,05:40 PM,20,29,29,27,16,25,69,0.0,1014,29,10,48,12,Philippines
2020-01-05,28,25,0.0,8.7,7,66,01:13 PM,01:08 AM,06:22 AM,05:40 PM,19,28,28,26,22,29,65,0.1,1014,28,10,68,17,Philippines
2020-01-06,29,25,0.0,7.2,6,73,01:53 PM,01:57 AM,06:22 AM,05:41 PM,20,28,28,26,18,36,66,0.0,1014,29,10,56,14,Philippines
2020-01-07,30,25,0.0,7.2,6,80,02:36 PM,02:47 AM,06:23 AM,05:41 PM,21,29,29,27,12,46,67,0.0,1013,30,10,53,9,Philippines
2020-01-08,30,25,0.0,4.2,6,88,03:24 PM,03:42 AM,06:23 AM,05:42 PM,21,30,30,27,15,52,70,0.5,1013,30,10,58,12,Philippines
2020-01-09,30,25,0.0,8.7,6,95,04:17 PM,04:38 AM,06:23 AM,05:43 PM,21,29,29,27,14,28,69,0.0,1012,30,10,72,11,Philippines
2020-01-10,30,25,0.0,7.2,6,100,05:15 PM,05:38 AM,06:23 AM,05:43 PM,21,29,29,27,13,36,69,0.1,1011,30,10,69,10,Philippines
2020-01-11,30,25,0.0,7.2,6,100,06:16 PM,06:36 AM,06:24 AM,05:44 PM,21,29,29,27,11,34,70,0.1,1010,30,10,75,9,Philippines
2020-01-12,30,25,0.0,7.2,6,83,07:19 PM,07:34 AM,06:24 AM,05:44 PM,21,29,29,27,12,36,69,0.3,1010,30,10,100,9,Philippines
2020-01-13,30,25,0.0,7.2,6,76,08:20 PM,08:28 AM,06:24 AM,05:45 PM,21,29,29,27,11,46,69,0.4,1010,30,10,117,8,Philippines
