date_time,Puerto%20Rico_maxtempC,Puerto%20Rico_mintempC,Puerto%20Rico_totalSnow_cm,Puerto%20Rico_sunHour,Puerto%20Rico_uvIndex,Puerto%20Rico_moon_illumination,Puerto%20Rico_moonrise,Puerto%20Rico_moonset,Puerto%20Rico_sunrise,Puerto%20Rico_sunset,Puerto%20Rico_DewPointC,Puerto%20Rico_FeelsLikeC,Puerto%20Rico_HeatIndexC,Puerto%20Rico_WindChillC,Puerto%20Rico_WindGustKmph,Puerto%20Rico_cloudcover,Puerto%20Rico_humidity,Puerto%20Rico_precipMM,Puerto%20Rico_pressure,Puerto%20Rico_tempC,Puerto%20Rico_visibility,Puerto%20Rico_winddirDegree,Puerto%20Rico_windspeedKmph,Puerto%20Rico_location
2020-01-01,34,21,0.0,11.0,6,37,11:27 AM,No moonset,05:50 AM,07:38 PM,21,30,30,27,7,70,76,7.6,1006,34,9,234,4,Puerto%20Rico
2020-01-02,33,20,0.0,11.0,6,44,12:17 PM,12:11 AM,05:51 AM,07:38 PM,19,29,29,27,9,46,64,0.4,1008,33,9,174,6,Puerto%20Rico
2020-01-03,34,19,0.0,13.3,6,51,01:08 PM,12:42 AM,05:51 AM,07:38 PM,16,28,28,27,11,22,54,0.0,1009,34,10,157,8,Puerto%20Rico
2020-01-04,33,19,0.0,13.9,7,59,02:00 PM,01:14 AM,05:52 AM,07:38 PM,16,27,27,26,5,38,58,0.0,1009,33,10,160,3,Puerto%20Rico
2020-01-05,36,19,0.0,13.9,7,66,02:53 PM,01:46 AM,05:53 AM,07:38 PM,16,29,29,28,6,19,55,0.0,1005,36,10,120,4,Puerto%20Rico
2020-01-06,36,20,0.0,13.3,7,73,03:49 PM,02:21 AM,05:53 AM,07:39 PM,18,30,30,29,8,30,63,0.6,1004,36,10,68,5,Puerto%20Rico
2020-01-07,34,20,0.0,9.8,6,80,04:47 PM,03:00 AM,05:54 AM,07:39 PM,20,27,27,25,9,66,74,10.5,1007,34,9,76,6,Puerto%20Rico
2020-01-08,36,21,0.0,13.3,7,88,05:47 PM,03:44 AM,05:55 AM,07:39 PM,21,31,31,28,9,52,72,5.3,1007,36,8,32,6,Puerto%20Rico
2020-01-09,37,23,0.0,13.3,7,95,06:47 PM,04:34 AM,05:56 AM,07:39 PM,21,34,34,30,9,34,65,0.3,1006,37,10,149,6,Puerto%20Rico
2020-01-10,38,23,0.0,9.8,7,100,07:46 PM,05:32 AM,05:56 AM,07:39 PM,23,33,33,29,11,78,85,40.3,1008,38,7,115,6,Puerto%20Rico
2020-01-11,37,23,0.0,8.6,7,100,08:41 PM,06:34 AM,05:57 AM,07:39 PM,23,33,33,29,7,75,76,23.8,1008,37,8,143,4,Puerto%20Rico
2020-01-12,38,22,0.0,12.2,7,83,09:32 PM,07:40 AM,05:58 AM,07:39 PM,22,33,33,30,7,60,79,18.2,1009,38,5,141,5,Puerto%20Rico
2020-01-13,35,25,0.0,13.3,7,76,10:17 PM,08:46 AM,05:59 AM,07:39 PM,21,32,32,30,10,44,69,24.5,1010,35,9,104,7,Puerto%20Rico
2020-01-14,29,22,0.0,9.8,6,69,10:58 PM,09:52 AM,05:59 AM,07:39 PM,23,29,29,26,10,83,88,10.4,1010,29,6,42,7,Puerto%20Rico
2020-01-15,37,22,0.0,13.4,8,61,11:38 PM,10:55 AM,06:00 AM,07:39 PM,20,33,33,30,10,22,62,0.0,1008,37,10,145,7,Puerto%20Rico
2020-01-16,25,17,0.0,6.7,5,54,No moonrise,11:58 AM,06:01 AM,07:39 PM,23,26,26,23,9,80,92,28.4,1012,25,8,118,5,Puerto%20Rico
2020-01-17,37,20,0.0,11.6,7,47,12:15 AM,01:00 PM,06:02 AM,07:39 PM,20,30,30,28,5,64,71,0.1,1014,37,6,109,4,Puerto%20Rico
2020-01-18,34,22,0.0,11.6,7,40,12:53 AM,02:01 PM,06:02 AM,07:38 PM,20,30,30,28,9,39,66,0.0,1014,34,9,34,6,Puerto%20Rico
2020-01-19,37,21,0.0,11.6,7,32,01:34 AM,03:02 PM,06:03 AM,07:38 PM,20,31,31,29,6,29,64,0.0,1012,37,8,75,4,Puerto%20Rico
2020-01-20,36,23,0.0,10.4,7,25,02:16 AM,04:03 PM,06:04 AM,07:38 PM,21,32,32,29,9,36,73,11.1,1010,36,9,128,6,Puerto%20Rico
2020-01-21,24,16,0.0,6.7,5,18,03:02 AM,05:03 PM,06:05 AM,07:38 PM,22,25,25,22,5,61,93,13.3,1008,24,9,105,3,Puerto%20Rico
2020-01-22,24,19,0.0,6.7,5,11,03:52 AM,06:00 PM,06:06 AM,07:38 PM,21,23,23,22,5,83,95,10.0,1009,24,8,72,3,Puerto%20Rico
2020-01-23,28,19,0.0,7.9,5,3,04:45 AM,06:53 PM,06:06 AM,07:37 PM,18,23,23,22,7,77,82,3.6,1008,28,6,134,5,Puerto%20Rico
2020-01-24,34,16,0.0,11.6,6,0,05:40 AM,07:41 PM,06:07 AM,07:37 PM,13,26,26,26,9,7,55,0.0,1009,34,9,155,6,Puerto%20Rico
2020-01-25,36,18,0.0,11.6,6,0,06:36 AM,08:24 PM,06:08 AM,07:37 PM,14,27,27,27,6,16,54,0.0,1008,36,9,185,4,Puerto%20Rico
2020-01-26,38,19,0.0,11.6,8,4,07:32 AM,09:03 PM,06:09 AM,07:36 PM,14,29,29,29,7,4,48,0.0,1009,38,10,171,5,Puerto%20Rico
2020-01-27,37,20,0.0,11.6,8,11,08:25 AM,09:38 PM,06:10 AM,07:36 PM,15,30,30,29,6,16,48,0.0,1009,37,10,169,4,Puerto%20Rico
2020-01-28,37,21,0.0,11.6,8,18,09:18 AM,10:11 PM,06:10 AM,07:35 PM,16,31,31,30,6,13,49,0.0,1009,37,10,140,4,Puerto%20Rico
2020-01-29,37,20,0.0,9.1,6,26,10:09 AM,10:42 PM,06:11 AM,07:35 PM,19,30,30,28,9,52,71,4.6,1008,37,9,145,6,Puerto%20Rico
2020-01-30,21,13,0.0,6.6,5,33,11:00 AM,11:13 PM,06:12 AM,07:35 PM,21,20,22,20,6,88,96,107.4,1010,21,5,169,3,Puerto%20Rico
2020-01-31,31,21,0.0,6.6,6,37,11:51 AM,11:44 PM,06:13 AM,07:34 PM,21,27,27,25,6,85,82,3.2,1011,31,5,219,4,Puerto%20Rico
2020-02-01,34,19,0.0,10.4,6,49,12:42 PM,No moonset,06:13 AM,07:34 PM,19,28,28,26,4,44,64,0.0,1011,34,10,159,3,Puerto%20Rico
2020-02-02,37,21,0.0,10.3,7,57,01:36 PM,12:17 AM,06:14 AM,07:33 PM,19,31,31,29,5,26,62,0.6,1011,37,10,109,3,Puerto%20Rico
2020-02-03,35,21,0.0,9.1,6,64,02:31 PM,12:53 AM,06:15 AM,07:33 PM,20,30,30,28,5,39,67,0.5,1012,35,9,44,4,Puerto%20Rico
2020-02-04,37,22,0.0,11.6,8,72,03:30 PM,01:34 AM,06:16 AM,07:32 PM,18,31,31,29,9,14,55,0.0,1011,37,10,41,6,Puerto%20Rico
2020-02-05,37,22,0.0,11.6,8,79,04:29 PM,02:20 AM,06:17 AM,07:31 PM,18,31,31,29,9,11,55,0.0,1010,37,10,79,6,Puerto%20Rico
2020-02-06,41,22,0.0,11.6,8,87,05:29 PM,03:14 AM,06:17 AM,07:31 PM,19,33,33,31,7,22,56,0.0,1010,41,10,135,5,Puerto%20Rico
2020-02-07,40,22,0.0,11.6,8,95,06:25 PM,04:13 AM,06:18 AM,07:30 PM,18,32,32,30,7,20,55,0.0,1009,40,10,132,4,Puerto%20Rico
2020-02-08,33,21,0.0,11.6,7,100,07:19 PM,05:18 AM,06:19 AM,07:29 PM,20,30,30,28,7,35,66,0.1,1009,33,10,78,5,Puerto%20Rico
2020-02-09,33,22,0.0,6.5,6,100,08:08 PM,06:25 AM,06:20 AM,07:29 PM,23,31,31,27,7,80,85,26.1,1009,33,8,128,4,Puerto%20Rico
2020-02-10,36,19,0.0,11.6,7,83,08:52 PM,07:34 AM,06:20 AM,07:28 PM,16,28,28,27,10,9,58,0.0,1012,36,10,160,7,Puerto%20Rico
2020-02-11,36,18,0.0,11.6,7,75,09:34 PM,08:40 AM,06:21 AM,07:27 PM,15,28,28,27,6,22,51,0.0,1012,36,10,154,4,Puerto%20Rico
2020-02-12,32,19,0.0,6.5,6,68,10:13 PM,09:47 AM,06:22 AM,07:27 PM,19,27,27,25,7,61,73,7.6,1012,32,10,129,4,Puerto%20Rico
2020-02-13,36,19,0.0,11.6,7,60,10:53 PM,10:51 AM,06:22 AM,07:26 PM,16,29,29,28,8,19,58,0.0,1011,36,10,51,5,Puerto%20Rico
2020-02-14,35,20,0.0,11.6,7,53,11:33 PM,11:54 AM,06:23 AM,07:25 PM,16,28,28,27,9,9,56,0.0,1012,35,10,69,6,Puerto%20Rico
2020-02-15,34,22,0.0,11.6,7,45,No moonrise,12:57 PM,06:24 AM,07:24 PM,18,30,30,28,6,25,59,0.0,1010,34,10,108,4,Puerto%20Rico
