date_time,Romania_maxtempC,Romania_mintempC,Romania_totalSnow_cm,Romania_sunHour,Romania_uvIndex,Romania_moon_illumination,Romania_moonrise,Romania_moonset,Romania_sunrise,Romania_sunset,Romania_DewPointC,Romania_FeelsLikeC,Romania_HeatIndexC,Romania_WindChillC,Romania_WindGustKmph,Romania_cloudcover,Romania_humidity,Romania_precipMM,Romania_pressure,Romania_tempC,Romania_visibility,Romania_winddirDegree,Romania_windspeedKmph,Romania_location
2020-01-01,7,1,0.0,8.7,2,37,11:42 AM,11:02 PM,07:52 AM,04:46 PM,-3,3,4,3,6,3,61,0.0,1026,7,10,225,4,Romania
2020-01-02,4,1,0.0,8.7,2,44,12:04 PM,No moonset,07:52 AM,04:47 PM,-5,0,2,0,11,3,60,0.0,1033,4,10,257,7,Romania
2020-01-03,5,-0,0.0,6.9,1,51,12:25 PM,12:03 AM,07:52 AM,04:48 PM,-5,-1,2,-1,21,46,62,0.0,1026,5,10,254,12,Romania
2020-01-04,6,1,0.0,8.7,1,59,12:48 PM,01:03 AM,07:52 AM,04:49 PM,-6,2,3,2,9,33,50,0.0,1018,6,10,232,5,Romania
2020-01-05,4,2,1.4,3.4,1,66,01:12 PM,02:05 AM,07:52 AM,04:50 PM,-1,1,3,1,10,79,81,1.9,1019,4,7,179,6,Romania
2020-01-06,3,-1,0.0,6.9,1,73,01:39 PM,03:09 AM,07:52 AM,04:51 PM,-6,-3,1,-3,19,46,62,0.1,1028,3,10,60,12,Romania
2020-01-07,4,-1,0.0,8.7,2,80,02:10 PM,04:14 AM,07:52 AM,04:52 PM,-7,-1,1,-1,10,1,58,0.0,1029,4,10,170,8,Romania
2020-01-08,3,-3,0.0,8.7,2,88,02:49 PM,05:21 AM,07:52 AM,04:53 PM,-7,-1,0,-1,7,4,59,0.0,1031,3,10,233,5,Romania
2020-01-09,3,-1,0.0,5.2,1,95,03:37 PM,06:27 AM,07:51 AM,04:54 PM,-7,-3,0,-3,18,38,60,0.0,1028,3,10,248,11,Romania
2020-01-10,5,-0,0.0,8.7,2,100,04:34 PM,07:29 AM,07:51 AM,04:55 PM,-5,-1,2,-1,18,25,58,0.0,1023,5,10,236,10,Romania
2020-01-11,7,2,0.0,6.9,1,100,05:41 PM,08:25 AM,07:51 AM,04:56 PM,-1,3,4,3,14,49,66,0.0,1023,7,10,162,8,Romania
2020-01-12,6,3,0.0,5.2,1,83,06:54 PM,09:13 AM,07:50 AM,04:58 PM,-0,4,5,4,10,66,70,0.0,1030,6,10,173,6,Romania
2020-01-13,7,2,0.0,8.7,2,76,08:11 PM,09:53 AM,07:50 AM,04:59 PM,1,1,4,1,19,12,82,0.0,1028,7,10,241,12,Romania
2020-01-14,7,2,0.0,8.7,2,69,09:27 PM,10:26 AM,07:50 AM,05:00 PM,1,4,5,4,7,14,80,0.0,1025,7,10,192,4,Romania
2020-01-15,9,3,0.0,8.7,3,61,10:42 PM,10:56 AM,07:49 AM,05:01 PM,1,4,5,4,8,4,76,0.0,1029,9,10,154,5,Romania
2020-01-16,7,2,0.0,8.7,2,54,11:56 PM,11:24 AM,07:49 AM,05:02 PM,1,3,4,3,9,6,80,0.0,1030,7,10,78,5,Romania
2020-01-17,6,1,0.0,8.7,1,47,No moonrise,11:50 AM,07:48 AM,05:04 PM,-1,0,3,0,15,20,76,0.0,1031,6,10,51,9,Romania
