date_time,Serbia_maxtempC,Serbia_mintempC,Serbia_totalSnow_cm,Serbia_sunHour,Serbia_uvIndex,Serbia_moon_illumination,Serbia_moonrise,Serbia_moonset,Serbia_sunrise,Serbia_sunset,Serbia_DewPointC,Serbia_FeelsLikeC,Serbia_HeatIndexC,Serbia_WindChillC,Serbia_WindGustKmph,Serbia_cloudcover,Serbia_humidity,Serbia_precipMM,Serbia_pressure,Serbia_tempC,Serbia_visibility,Serbia_winddirDegree,Serbia_windspeedKmph,Serbia_location
2020-01-01,2,-2,0.0,5.1,1,37,11:05 AM,10:25 PM,07:16 AM,04:07 PM,-2,-4,-0,-4,19,38,85,0.0,1034,2,9,285,12,Serbia
2020-01-02,4,-2,0.0,8.7,1,44,11:27 AM,11:26 PM,07:16 AM,04:08 PM,-2,-1,1,-1,9,19,84,0.0,1035,4,9,242,5,Serbia
2020-01-03,6,0,0.0,8.7,2,51,11:49 AM,No moonset,07:16 AM,04:09 PM,-1,2,3,2,5,2,74,0.0,1029,6,10,113,3,Serbia
2020-01-04,4,-1,0.0,5.1,1,59,12:10 PM,12:27 AM,07:16 AM,04:10 PM,-3,-0,2,-0,13,58,71,0.1,1025,4,10,225,7,Serbia
2020-01-05,4,-0,0.3,3.4,1,66,12:34 PM,01:29 AM,07:16 AM,04:11 PM,-3,-2,2,-2,32,78,67,1.3,1027,4,9,234,21,Serbia
2020-01-06,2,-2,0.0,8.7,2,73,01:01 PM,02:33 AM,07:16 AM,04:12 PM,-6,-4,-0,-4,18,1,66,0.0,1032,2,10,326,12,Serbia
2020-01-07,3,-2,0.0,8.7,2,80,01:32 PM,03:39 AM,07:16 AM,04:13 PM,-5,-1,0,-1,4,2,66,0.0,1031,3,10,189,3,Serbia
2020-01-08,3,-4,0.0,8.7,2,88,02:11 PM,04:45 AM,07:15 AM,04:14 PM,-6,-0,1,-0,5,2,58,0.0,1033,3,10,231,4,Serbia
2020-01-09,3,-1,0.0,8.7,2,95,02:58 PM,05:52 AM,07:15 AM,04:15 PM,-4,1,1,1,6,20,68,0.0,1029,3,10,153,4,Serbia
2020-01-10,6,1,0.0,8.7,2,100,03:56 PM,06:54 AM,07:15 AM,04:16 PM,-3,2,3,2,10,18,63,0.0,1024,6,10,193,6,Serbia
2020-01-11,5,0,0.0,3.4,1,100,05:03 PM,07:50 AM,07:14 AM,04:17 PM,-0,1,3,1,14,60,80,0.0,1029,5,10,287,8,Serbia
2020-01-12,4,1,0.0,3.4,1,83,06:17 PM,08:37 AM,07:14 AM,04:19 PM,-0,1,2,1,9,62,85,0.0,1032,4,10,237,5,Serbia
2020-01-13,6,1,0.0,8.7,2,76,07:34 PM,09:17 AM,07:14 AM,04:20 PM,0,3,4,3,6,5,81,0.0,1028,6,10,166,4,Serbia
2020-01-14,8,2,0.0,8.7,3,69,08:50 PM,09:50 AM,07:13 AM,04:21 PM,1,4,5,4,5,2,78,0.0,1025,8,10,119,3,Serbia
2020-01-15,8,2,0.0,8.7,3,61,10:06 PM,10:19 AM,07:13 AM,04:22 PM,1,3,5,3,14,2,75,0.0,1027,8,10,113,8,Serbia
2020-01-16,7,2,0.0,8.7,2,54,11:20 PM,10:46 AM,07:12 AM,04:24 PM,2,4,5,4,7,3,80,0.0,1030,7,10,256,5,Serbia
2020-01-17,6,2,0.0,5.2,1,47,No moonrise,11:13 AM,07:12 AM,04:25 PM,-0,2,4,2,18,42,74,0.0,1028,6,10,128,11,Serbia
