date_time,Seychelles_maxtempC,Seychelles_mintempC,Seychelles_totalSnow_cm,Seychelles_sunHour,Seychelles_uvIndex,Seychelles_moon_illumination,Seychelles_moonrise,Seychelles_moonset,Seychelles_sunrise,Seychelles_sunset,Seychelles_DewPointC,Seychelles_FeelsLikeC,Seychelles_HeatIndexC,Seychelles_WindChillC,Seychelles_WindGustKmph,Seychelles_cloudcover,Seychelles_humidity,Seychelles_precipMM,Seychelles_pressure,Seychelles_tempC,Seychelles_visibility,Seychelles_winddirDegree,Seychelles_windspeedKmph,Seychelles_location
2020-01-01,29,22,0.0,11.6,7,37,11:04 AM,11:29 PM,06:09 AM,06:33 PM,22,30,30,27,12,24,70,0.1,1010,29,10,246,9,Seychelles
2020-01-02,29,27,0.0,11.6,7,44,11:47 AM,No moonset,06:10 AM,06:33 PM,22,31,31,28,12,29,68,0.0,1011,29,10,41,9,Seychelles
2020-01-03,28,22,0.0,11.6,7,51,12:29 PM,12:08 AM,06:10 AM,06:34 PM,22,30,30,27,6,37,68,0.0,1012,28,10,75,4,Seychelles
2020-01-04,29,24,0.0,10.2,7,59,01:12 PM,12:47 AM,06:11 AM,06:34 PM,22,31,31,28,16,48,69,9.9,1012,29,9,236,11,Seychelles
2020-01-05,29,26,0.0,8.9,6,66,01:57 PM,01:28 AM,06:11 AM,06:35 PM,23,31,31,28,18,68,71,6.2,1010,29,9,307,13,Seychelles
2020-01-06,28,21,0.0,7.5,6,73,02:43 PM,02:10 AM,06:12 AM,06:35 PM,23,29,29,26,22,67,77,21.7,1010,28,8,264,14,Seychelles
2020-01-07,27,22,0.0,10.2,6,80,03:34 PM,02:55 AM,06:12 AM,06:35 PM,23,29,29,26,17,63,77,14.1,1011,27,9,208,12,Seychelles
2020-01-08,28,23,0.0,7.5,6,88,04:27 PM,03:45 AM,06:13 AM,06:36 PM,23,30,30,26,20,61,76,16.2,1010,28,9,271,13,Seychelles
2020-01-09,29,28,0.0,7.5,6,95,05:24 PM,04:38 AM,06:13 AM,06:36 PM,24,32,32,28,26,74,76,5.7,1009,29,10,289,18,Seychelles
2020-01-10,29,21,0.0,6.1,6,100,06:23 PM,05:35 AM,06:14 AM,06:36 PM,23,30,30,27,25,71,74,16.6,1009,29,8,311,16,Seychelles
2020-01-11,29,28,0.0,7.5,6,100,07:22 PM,06:35 AM,06:14 AM,06:37 PM,23,32,32,28,28,70,74,25.3,1009,29,8,307,17,Seychelles
2020-01-12,28,25,0.0,10.2,6,83,08:20 PM,07:36 AM,06:15 AM,06:37 PM,24,32,32,28,25,51,77,13.5,1010,28,9,298,16,Seychelles
2020-01-13,28,26,0.0,10.2,6,76,09:15 PM,08:34 AM,06:15 AM,06:37 PM,24,32,32,28,27,66,78,4.2,1010,28,10,333,19,Seychelles
2020-01-14,28,21,0.0,8.9,6,69,10:07 PM,09:32 AM,06:16 AM,06:38 PM,23,30,30,27,20,54,74,15.4,1010,28,9,268,13,Seychelles
2020-01-15,29,28,0.0,7.5,6,61,10:57 PM,10:26 AM,06:16 AM,06:38 PM,24,33,33,28,22,72,75,14.2,1010,29,9,340,15,Seychelles
2020-01-16,28,25,0.0,6.1,6,54,11:45 PM,11:19 AM,06:16 AM,06:38 PM,24,32,32,28,29,78,77,25.5,1010,28,7,339,18,Seychelles
2020-01-17,28,22,0.0,6.1,6,47,No moonrise,12:10 PM,06:17 AM,06:39 PM,24,30,30,26,47,86,84,86.9,1010,28,5,331,26,Seychelles
2020-01-18,26,20,0.0,7.5,6,40,12:32 AM,01:02 PM,06:17 AM,06:39 PM,24,28,28,25,40,77,88,145.8,1010,26,6,289,23,Seychelles
2020-01-19,28,22,0.0,6.1,6,32,01:21 AM,01:55 PM,06:18 AM,06:39 PM,24,30,30,26,35,69,81,28.8,1010,28,6,320,21,Seychelles
2020-01-20,28,20,0.0,10.2,6,25,02:10 AM,02:48 PM,06:18 AM,06:39 PM,24,31,31,27,38,63,80,20.3,1010,28,8,342,24,Seychelles
2020-01-21,28,24,0.0,6.1,6,18,03:02 AM,03:43 PM,06:18 AM,06:39 PM,24,31,31,27,27,66,80,0.2,1009,28,10,23,20,Seychelles
2020-01-22,29,26,0.0,11.6,7,11,03:56 AM,04:38 PM,06:19 AM,06:40 PM,24,33,33,28,28,39,79,0.0,1009,29,10,43,20,Seychelles
2020-01-23,29,28,0.0,7.5,6,3,04:49 AM,05:32 PM,06:19 AM,06:40 PM,25,34,34,29,30,52,81,0.1,1009,29,10,60,22,Seychelles
2020-01-24,29,28,0.0,8.9,6,0,05:44 AM,06:24 PM,06:20 AM,06:40 PM,25,34,34,29,17,66,79,1.2,1010,29,10,88,13,Seychelles
2020-01-25,29,24,0.0,7.5,6,0,06:35 AM,07:14 PM,06:20 AM,06:40 PM,24,32,32,28,15,62,75,2.6,1011,29,10,93,11,Seychelles
2020-01-26,29,23,0.0,10.2,6,4,07:26 AM,08:00 PM,06:20 AM,06:40 PM,23,31,31,27,15,53,72,4.7,1011,29,10,200,10,Seychelles
2020-01-27,29,26,0.0,8.9,6,11,08:13 AM,08:43 PM,06:20 AM,06:40 PM,24,33,33,29,22,46,73,4.3,1010,29,9,221,16,Seychelles
2020-01-28,28,22,0.0,6.1,6,18,08:58 AM,09:25 PM,06:21 AM,06:41 PM,24,31,31,27,33,79,76,36.7,1010,28,8,274,19,Seychelles
2020-01-29,29,23,0.0,6.1,6,26,09:42 AM,10:04 PM,06:21 AM,06:41 PM,24,31,31,27,36,75,76,31.0,1010,29,7,299,21,Seychelles
2020-01-30,28,28,0.0,7.5,6,33,10:24 AM,10:43 PM,06:21 AM,06:41 PM,24,32,32,28,37,73,76,34.8,1011,28,7,268,21,Seychelles
2020-01-31,27,18,0.0,6.1,6,37,11:07 AM,11:23 PM,06:22 AM,06:41 PM,24,28,28,25,41,90,85,45.3,1010,27,7,290,26,Seychelles
2020-02-01,29,25,0.0,6.1,6,49,11:50 AM,No moonset,06:22 AM,06:41 PM,23,31,31,28,40,75,74,25.3,1010,29,8,295,25,Seychelles
2020-02-02,29,22,0.0,10.2,6,57,12:34 PM,12:03 AM,06:22 AM,06:41 PM,24,31,31,27,41,67,76,17.5,1010,29,8,296,27,Seychelles
2020-02-03,29,23,0.0,7.5,6,64,01:22 PM,12:46 AM,06:22 AM,06:41 PM,24,31,31,27,38,67,77,4.3,1011,29,10,321,27,Seychelles
2020-02-04,28,22,0.0,8.8,6,72,02:12 PM,01:33 AM,06:23 AM,06:41 PM,24,31,31,27,36,67,78,0.4,1011,28,10,317,27,Seychelles
2020-02-05,28,22,0.0,11.6,6,79,03:07 PM,02:23 AM,06:23 AM,06:41 PM,24,31,31,27,29,45,76,0.3,1010,28,10,302,22,Seychelles
2020-02-06,28,21,0.0,11.6,6,87,04:04 PM,03:18 AM,06:23 AM,06:41 PM,24,30,30,27,39,40,78,0.0,1011,28,10,306,29,Seychelles
2020-02-07,29,24,0.0,7.5,6,95,05:04 PM,04:16 AM,06:23 AM,06:41 PM,24,32,32,28,38,67,78,6.9,1012,29,10,275,27,Seychelles
