date_time,Sierra%20Leone_maxtempC,Sierra%20Leone_mintempC,Sierra%20Leone_totalSnow_cm,Sierra%20Leone_sunHour,Sierra%20Leone_uvIndex,Sierra%20Leone_moon_illumination,Sierra%20Leone_moonrise,Sierra%20Leone_moonset,Sierra%20Leone_sunrise,Sierra%20Leone_sunset,Sierra%20Leone_DewPointC,Sierra%20Leone_FeelsLikeC,Sierra%20Leone_HeatIndexC,Sierra%20Leone_WindChillC,Sierra%20Leone_WindGustKmph,Sierra%20Leone_cloudcover,Sierra%20Leone_humidity,Sierra%20Leone_precipMM,Sierra%20Leone_pressure,Sierra%20Leone_tempC,Sierra%20Leone_visibility,Sierra%20Leone_winddirDegree,Sierra%20Leone_windspeedKmph,Sierra%20Leone_location
2020-01-01,31,25,0.0,11.4,7,37,11:55 AM,No moonset,07:07 AM,06:45 PM,21,29,29,27,13,16,72,0.0,1011,31,10,206,9,Sierra%20Leone
2020-01-02,33,25,0.0,11.4,7,44,12:32 PM,12:06 AM,07:08 AM,06:46 PM,19,29,29,27,13,4,65,0.0,1012,33,10,208,9,Sierra%20Leone
2020-01-03,32,23,0.0,11.4,7,51,01:11 PM,12:49 AM,07:08 AM,06:46 PM,16,27,27,27,13,8,57,0.0,1012,32,10,198,9,Sierra%20Leone
2020-01-04,35,22,0.0,11.4,7,59,01:49 PM,01:34 AM,07:08 AM,06:47 PM,14,29,29,28,13,2,47,0.0,1012,35,10,155,9,Sierra%20Leone
2020-01-05,31,25,0.0,11.4,7,66,02:29 PM,02:18 AM,07:09 AM,06:48 PM,18,28,28,27,11,0,59,0.0,1012,31,10,222,8,Sierra%20Leone
2020-01-06,29,24,0.0,11.4,7,73,03:13 PM,03:06 AM,07:09 AM,06:48 PM,20,28,28,26,15,4,69,0.0,1011,29,10,254,11,Sierra%20Leone
2020-01-07,29,24,0.0,11.4,7,80,03:59 PM,03:56 AM,07:10 AM,06:49 PM,19,28,28,26,17,1,67,0.0,1011,29,10,278,12,Sierra%20Leone
2020-01-08,30,24,0.0,11.4,7,88,04:50 PM,04:49 AM,07:10 AM,06:49 PM,20,28,28,26,14,5,70,0.0,1011,30,10,236,10,Sierra%20Leone
2020-01-09,30,24,0.0,11.4,7,95,05:47 PM,05:46 AM,07:10 AM,06:50 PM,20,28,28,27,15,8,67,0.0,1011,30,10,284,11,Sierra%20Leone
2020-01-10,33,25,0.0,11.4,7,100,06:45 PM,06:45 AM,07:11 AM,06:50 PM,19,30,30,28,16,7,62,0.0,1011,33,10,244,11,Sierra%20Leone
