date_time,Singapore_maxtempC,Singapore_mintempC,Singapore_totalSnow_cm,Singapore_sunHour,Singapore_uvIndex,Singapore_moon_illumination,Singapore_moonrise,Singapore_moonset,Singapore_sunrise,Singapore_sunset,Singapore_DewPointC,Singapore_FeelsLikeC,Singapore_HeatIndexC,Singapore_WindChillC,Singapore_WindGustKmph,Singapore_cloudcover,Singapore_humidity,Singapore_precipMM,Singapore_pressure,Singapore_tempC,Singapore_visibility,Singapore_winddirDegree,Singapore_windspeedKmph,Singapore_location
2020-01-01,28,24,0.0,11.6,6,37,11:49 AM,No moonset,07:06 AM,07:09 PM,23,30,30,27,31,55,79,0.1,1012,28,10,18,22,Singapore
2020-01-02,29,26,0.0,7.4,6,44,12:29 PM,12:07 AM,07:07 AM,07:10 PM,23,30,30,27,28,65,81,3.7,1012,29,10,13,20,Singapore
2020-01-03,29,26,0.0,6.0,6,51,01:10 PM,12:48 AM,07:07 AM,07:10 PM,23,31,31,27,27,67,81,3.2,1011,29,10,61,19,Singapore
2020-01-04,28,25,0.0,11.6,6,59,01:51 PM,01:30 AM,07:08 AM,07:11 PM,23,30,30,27,32,62,81,3.3,1010,28,10,55,22,Singapore
2020-01-05,29,26,0.0,6.0,6,66,02:32 PM,02:11 AM,07:08 AM,07:11 PM,23,30,30,27,32,64,80,0.5,1010,29,10,19,22,Singapore
2020-01-06,29,26,0.0,6.0,6,73,03:17 PM,02:56 AM,07:09 AM,07:12 PM,23,30,30,27,29,77,78,2.0,1010,29,10,56,20,Singapore
2020-01-07,29,26,0.0,6.0,6,80,04:05 PM,03:43 AM,07:09 AM,07:12 PM,23,30,30,27,29,67,81,5.9,1009,29,9,92,20,Singapore
2020-01-08,29,26,0.0,6.0,6,88,04:56 PM,04:33 AM,07:09 AM,07:13 PM,23,30,30,27,26,72,82,5.4,1009,29,10,184,18,Singapore
2020-01-09,28,26,0.0,6.0,6,95,05:52 PM,05:27 AM,07:10 AM,07:13 PM,24,30,30,27,29,63,83,10.2,1009,28,9,14,19,Singapore
2020-01-10,29,25,0.0,7.4,6,100,06:51 PM,06:24 AM,07:10 AM,07:14 PM,23,30,30,27,29,66,82,12.3,1009,29,9,61,19,Singapore
