date_time,Slovenia_maxtempC,Slovenia_mintempC,Slovenia_totalSnow_cm,Slovenia_sunHour,Slovenia_uvIndex,Slovenia_moon_illumination,Slovenia_moonrise,Slovenia_moonset,Slovenia_sunrise,Slovenia_sunset,Slovenia_DewPointC,Slovenia_FeelsLikeC,Slovenia_HeatIndexC,Slovenia_WindChillC,Slovenia_WindGustKmph,Slovenia_cloudcover,Slovenia_humidity,Slovenia_precipMM,Slovenia_pressure,Slovenia_tempC,Slovenia_visibility,Slovenia_winddirDegree,Slovenia_windspeedKmph,Slovenia_location
2020-01-01,3,-1,0.0,8.7,2,37,11:31 AM,10:49 PM,07:44 AM,04:26 PM,-2,1,1,1,3,1,81,0.0,1034,3,10,114,2,Slovenia
2020-01-02,5,0,0.0,8.7,2,44,11:52 AM,11:51 PM,07:44 AM,04:27 PM,-2,2,2,2,2,0,78,0.0,1033,5,10,219,1,Slovenia
2020-01-03,4,-5,0.0,8.7,2,51,12:12 PM,No moonset,07:44 AM,04:28 PM,-5,0,1,0,3,34,67,0.0,1028,4,10,259,2,Slovenia
2020-01-04,4,-1,0.0,8.7,1,59,12:33 PM,12:52 AM,07:44 AM,04:29 PM,-3,1,1,1,4,48,78,0.0,1025,4,10,157,2,Slovenia
2020-01-05,4,-2,0.0,8.7,1,66,12:56 PM,01:56 AM,07:44 AM,04:30 PM,-2,0,0,0,5,15,86,0.0,1031,4,8,142,3,Slovenia
2020-01-06,2,-2,0.0,8.7,2,73,01:22 PM,03:00 AM,07:44 AM,04:31 PM,-4,-1,-1,-1,3,4,78,0.0,1032,2,10,96,2,Slovenia
2020-01-07,2,-6,0.0,8.7,2,80,01:53 PM,04:07 AM,07:44 AM,04:32 PM,-8,-1,-1,-1,3,8,61,0.0,1028,2,10,99,2,Slovenia
2020-01-08,5,-2,0.0,8.7,2,88,02:31 PM,05:15 AM,07:44 AM,04:33 PM,-6,1,1,1,1,3,59,0.0,1031,5,10,194,1,Slovenia
2020-01-09,5,-2,0.0,8.7,2,95,03:18 PM,06:21 AM,07:43 AM,04:35 PM,-3,0,0,0,5,19,77,0.0,1027,5,10,264,3,Slovenia
2020-01-10,4,-3,0.0,8.7,1,100,04:16 PM,07:24 AM,07:43 AM,04:36 PM,-1,-2,0,-2,12,32,89,0.0,1024,4,7,263,6,Slovenia
