date_time,Solomon%20Islands_maxtempC,Solomon%20Islands_mintempC,Solomon%20Islands_totalSnow_cm,Solomon%20Islands_sunHour,Solomon%20Islands_uvIndex,Solomon%20Islands_moon_illumination,Solomon%20Islands_moonrise,Solomon%20Islands_moonset,Solomon%20Islands_sunrise,Solomon%20Islands_sunset,Solomon%20Islands_DewPointC,Solomon%20Islands_FeelsLikeC,Solomon%20Islands_HeatIndexC,Solomon%20Islands_WindChillC,Solomon%20Islands_WindGustKmph,Solomon%20Islands_cloudcover,Solomon%20Islands_humidity,Solomon%20Islands_precipMM,Solomon%20Islands_pressure,Solomon%20Islands_tempC,Solomon%20Islands_visibility,Solomon%20Islands_winddirDegree,Solomon%20Islands_windspeedKmph,Solomon%20Islands_location
2020-01-01,30,25,0.0,6.2,6,37,10:50 AM,11:22 PM,06:03 AM,06:43 PM,23,31,31,27,7,76,78,2.3,1010,30,9,149,6,Solomon%20Islands
2020-01-02,29,26,0.0,6.2,6,44,11:35 AM,12:00 AM,06:04 AM,06:44 PM,23,31,31,27,6,85,79,4.4,1010,29,9,193,4,Solomon%20Islands
2020-01-03,29,26,0.0,6.2,6,51,12:18 PM,No moonset,06:04 AM,06:44 PM,24,31,31,27,7,77,82,16.8,1007,29,8,125,5,Solomon%20Islands
2020-01-04,30,26,0.0,6.2,6,59,01:03 PM,12:37 AM,06:05 AM,06:44 PM,24,32,32,28,13,66,81,10.8,1007,30,9,116,9,Solomon%20Islands
2020-01-05,30,26,0.0,6.2,6,66,01:49 PM,01:16 AM,06:05 AM,06:45 PM,25,32,32,28,25,82,83,32.9,1007,30,7,112,14,Solomon%20Islands
2020-01-06,30,26,0.0,8.9,6,73,02:36 PM,01:56 AM,06:06 AM,06:45 PM,24,32,32,28,11,52,82,18.3,1007,30,8,137,7,Solomon%20Islands
2020-01-07,30,26,0.0,7.5,6,80,03:27 PM,02:38 AM,06:06 AM,06:45 PM,24,32,32,28,13,73,83,15.1,1007,30,9,101,9,Solomon%20Islands
2020-01-08,31,26,0.0,6.2,6,88,04:20 PM,03:25 AM,06:07 AM,06:46 PM,24,33,33,28,15,71,78,6.2,1006,31,9,106,11,Solomon%20Islands
2020-01-09,30,26,0.0,6.2,6,95,05:18 PM,04:16 AM,06:07 AM,06:46 PM,24,32,32,28,22,78,78,10.5,1006,30,9,112,15,Solomon%20Islands
2020-01-10,27,23,0.0,6.2,6,100,06:16 PM,05:12 AM,06:08 AM,06:46 PM,24,29,29,26,15,86,91,28.3,1006,27,8,184,10,Solomon%20Islands
