date_time,Somalia_maxtempC,Somalia_mintempC,Somalia_totalSnow_cm,Somalia_sunHour,Somalia_uvIndex,Somalia_moon_illumination,Somalia_moonrise,Somalia_moonset,Somalia_sunrise,Somalia_sunset,Somalia_DewPointC,Somalia_FeelsLikeC,Somalia_HeatIndexC,Somalia_WindChillC,Somalia_WindGustKmph,Somalia_cloudcover,Somalia_humidity,Somalia_precipMM,Somalia_pressure,Somalia_tempC,Somalia_visibility,Somalia_winddirDegree,Somalia_windspeedKmph,Somalia_location
2020-01-01,29,26,0.0,11.6,7,37,10:50 AM,11:07 PM,06:02 AM,06:02 PM,23,30,30,27,44,20,76,0.0,1010,29,10,70,32,Somalia
2020-01-02,29,26,0.0,10.2,6,44,11:31 AM,11:49 PM,06:02 AM,06:02 PM,23,31,31,27,43,40,76,0.1,1011,29,10,66,32,Somalia
2020-01-03,29,27,0.0,11.6,7,51,12:10 PM,No moonset,06:02 AM,06:03 PM,23,31,31,28,46,27,77,0.0,1012,29,10,66,32,Somalia
2020-01-04,29,26,0.0,11.6,7,59,12:51 PM,12:30 AM,06:03 AM,06:03 PM,22,30,30,27,40,19,77,0.0,1012,29,10,77,29,Somalia
2020-01-05,29,26,0.0,11.6,6,66,01:33 PM,01:13 AM,06:03 AM,06:04 PM,24,31,31,27,34,28,81,0.0,1010,29,10,78,26,Somalia
2020-01-06,29,27,0.0,8.8,6,73,02:18 PM,01:58 AM,06:04 AM,06:04 PM,24,32,32,28,37,48,81,0.2,1010,29,10,82,28,Somalia
2020-01-07,30,27,0.0,11.6,7,80,03:06 PM,02:45 AM,06:04 AM,06:05 PM,24,32,32,28,43,26,78,0.1,1010,30,10,75,33,Somalia
2020-01-08,30,27,0.0,11.6,7,88,03:58 PM,03:37 AM,06:05 AM,06:05 PM,23,31,31,28,42,18,75,0.0,1010,30,10,68,32,Somalia
2020-01-09,29,25,0.0,11.6,7,95,04:54 PM,04:31 AM,06:05 AM,06:06 PM,22,30,30,27,39,16,76,0.0,1010,29,10,68,30,Somalia
2020-01-10,29,26,0.0,11.6,7,100,05:53 PM,05:30 AM,06:05 AM,06:06 PM,23,30,30,27,39,20,78,0.0,1009,29,10,79,30,Somalia
