date_time,South%20Africa_maxtempC,South%20Africa_mintempC,South%20Africa_totalSnow_cm,South%20Africa_sunHour,South%20Africa_uvIndex,South%20Africa_moon_illumination,South%20Africa_moonrise,South%20Africa_moonset,South%20Africa_sunrise,South%20Africa_sunset,South%20Africa_DewPointC,South%20Africa_FeelsLikeC,South%20Africa_HeatIndexC,South%20Africa_WindChillC,South%20Africa_WindGustKmph,South%20Africa_cloudcover,South%20Africa_humidity,South%20Africa_precipMM,South%20Africa_pressure,South%20Africa_tempC,South%20Africa_visibility,South%20Africa_winddirDegree,South%20Africa_windspeedKmph,South%20Africa_location
2020-01-01,30,21,0.0,11.0,6,37,10:42 AM,11:31 PM,05:19 AM,07:02 PM,16,27,27,25,20,67,60,7.5,1012,30,9,157,14,South%20Africa
2020-01-02,29,22,0.0,9.8,6,44,11:33 AM,No moonset,05:20 AM,07:02 PM,16,26,26,25,14,71,57,10.4,1012,29,9,187,10,South%20Africa
2020-01-03,31,22,0.0,13.3,6,51,12:23 PM,12:02 AM,05:20 AM,07:03 PM,15,28,28,27,14,46,51,2.3,1013,31,10,157,10,South%20Africa
2020-01-04,31,21,0.0,12.2,6,59,01:15 PM,12:33 AM,05:21 AM,07:03 PM,14,25,25,25,25,60,53,14.2,1014,31,9,181,16,South%20Africa
2020-01-05,31,20,0.0,13.3,6,66,02:07 PM,01:06 AM,05:22 AM,07:03 PM,13,26,26,26,12,55,50,8.0,1012,31,9,275,10,South%20Africa
2020-01-06,31,21,0.0,13.3,6,73,03:01 PM,01:41 AM,05:23 AM,07:03 PM,13,27,27,26,25,54,51,4.7,1011,31,9,65,18,South%20Africa
2020-01-07,30,21,0.0,13.8,7,80,03:59 PM,02:19 AM,05:23 AM,07:03 PM,12,26,26,26,23,27,44,1.8,1011,30,10,45,17,South%20Africa
2020-01-08,28,21,0.0,13.8,7,88,04:58 PM,03:03 AM,05:24 AM,07:03 PM,11,25,25,24,21,27,45,0.0,1012,28,10,156,16,South%20Africa
2020-01-09,28,20,0.0,8.6,5,95,05:58 PM,03:52 AM,05:25 AM,07:04 PM,17,24,24,23,14,77,68,18.6,1011,28,8,181,10,South%20Africa
2020-01-10,22,21,0.0,8.6,5,100,06:58 PM,04:47 AM,05:26 AM,07:04 PM,17,22,23,22,25,80,75,37.8,1014,22,7,100,14,South%20Africa
2020-01-11,27,19,0.0,8.6,5,100,07:54 PM,05:49 AM,05:26 AM,07:04 PM,15,23,23,23,13,73,63,21.8,1016,27,8,86,10,South%20Africa
2020-01-12,30,20,0.0,12.1,6,83,08:45 PM,06:53 AM,05:27 AM,07:04 PM,16,26,26,25,13,68,62,17.5,1014,30,9,179,8,South%20Africa
