date_time,South%20Korea_maxtempC,South%20Korea_mintempC,South%20Korea_totalSnow_cm,South%20Korea_sunHour,South%20Korea_uvIndex,South%20Korea_moon_illumination,South%20Korea_moonrise,South%20Korea_moonset,South%20Korea_sunrise,South%20Korea_sunset,South%20Korea_DewPointC,South%20Korea_FeelsLikeC,South%20Korea_HeatIndexC,South%20Korea_WindChillC,South%20Korea_WindGustKmph,South%20Korea_cloudcover,South%20Korea_humidity,South%20Korea_precipMM,South%20Korea_pressure,South%20Korea_tempC,South%20Korea_visibility,South%20Korea_winddirDegree,South%20Korea_windspeedKmph,South%20Korea_location
2020-01-01,1,-4,0.5,3.7,1,37,11:43 AM,11:08 PM,07:47 AM,05:24 PM,-7,-2,-1,-2,3,57,69,0.6,1031,1,9,203,2,South%20Korea
2020-01-02,2,-0,0.2,3.7,1,44,12:10 PM,No moonset,07:47 AM,05:25 PM,-3,1,1,1,3,92,76,0.2,1029,2,10,217,3,South%20Korea
2020-01-03,7,-2,0.0,8.7,2,51,12:35 PM,12:04 AM,07:47 AM,05:26 PM,-5,2,3,2,6,3,55,0.0,1027,7,10,290,5,South%20Korea
2020-01-04,7,1,0.0,8.7,2,59,01:02 PM,01:01 AM,07:47 AM,05:26 PM,-5,4,4,4,5,6,49,0.0,1025,7,10,243,4,South%20Korea
2020-01-05,4,1,0.0,7.0,1,66,01:29 PM,01:58 AM,07:47 AM,05:27 PM,-8,3,3,3,2,35,43,0.0,1030,4,10,148,2,South%20Korea
2020-01-06,6,1,0.0,5.4,1,73,01:59 PM,02:56 AM,07:47 AM,05:28 PM,-9,3,3,3,6,76,41,0.2,1028,6,10,85,4,South%20Korea
2020-01-07,4,-5,0.0,3.7,1,80,02:33 PM,03:57 AM,07:47 AM,05:29 PM,3,1,3,1,14,100,93,44.7,1016,4,7,46,9,South%20Korea
2020-01-08,4,-0,0.0,3.7,1,88,03:13 PM,05:00 AM,07:47 AM,05:30 PM,-0,-1,3,-1,21,73,80,44.5,1011,4,8,304,16,South%20Korea
2020-01-09,3,-5,0.0,8.7,2,95,04:01 PM,06:03 AM,07:47 AM,05:31 PM,-7,-4,0,-4,13,13,57,0.0,1023,3,10,305,11,South%20Korea
2020-01-10,3,-2,0.0,5.4,1,100,04:56 PM,07:06 AM,07:47 AM,05:32 PM,-9,0,1,0,4,33,47,0.0,1024,3,10,298,4,South%20Korea
2020-01-11,3,1,0.0,8.7,1,100,06:00 PM,08:04 AM,07:47 AM,05:33 PM,-7,0,2,0,8,57,54,0.0,1020,3,10,252,6,South%20Korea
2020-01-12,3,-1,0.0,7.0,1,83,07:09 PM,08:56 AM,07:47 AM,05:34 PM,-9,-3,0,-3,11,47,51,0.0,1018,3,10,293,9,South%20Korea
2020-01-13,1,-9,0.0,8.7,2,76,08:20 PM,09:42 AM,07:47 AM,05:35 PM,-11,-5,-1,-5,14,5,47,0.0,1022,1,10,305,12,South%20Korea
2020-01-14,1,-5,0.0,8.7,2,69,09:32 PM,10:22 AM,07:47 AM,05:36 PM,-14,-2,-1,-2,5,19,37,0.0,1026,1,10,248,5,South%20Korea
2020-01-15,2,-2,0.0,8.7,2,61,10:42 PM,10:57 AM,07:46 AM,05:37 PM,-11,-1,1,-1,8,3,41,0.0,1028,2,10,295,7,South%20Korea
2020-01-16,1,-5,0.0,5.4,1,54,11:52 PM,11:31 AM,07:46 AM,05:38 PM,-13,-3,-1,-3,6,51,40,0.0,1028,1,10,297,5,South%20Korea
2020-01-17,2,-1,0.0,7.0,1,47,No moonrise,12:02 PM,07:46 AM,05:39 PM,-13,-1,0,-1,4,63,37,0.0,1025,2,10,321,4,South%20Korea
2020-01-18,6,-0,0.0,8.7,2,40,01:00 AM,12:34 PM,07:45 AM,05:40 PM,-10,2,2,2,5,29,39,0.0,1022,6,10,291,4,South%20Korea
2020-01-19,5,0,0.0,3.7,1,32,02:07 AM,01:08 PM,07:45 AM,05:41 PM,-6,-0,2,-0,12,75,56,0.5,1019,5,10,225,9,South%20Korea
2020-01-20,4,-0,0.0,5.4,1,25,03:14 AM,01:46 PM,07:44 AM,05:42 PM,-6,-2,2,-2,16,21,56,0.1,1022,4,10,289,13,South%20Korea
2020-01-21,4,-2,0.0,8.7,2,18,04:19 AM,02:27 PM,07:44 AM,05:43 PM,-14,-1,0,-1,5,24,33,0.0,1030,4,10,225,5,South%20Korea
2020-01-22,7,1,0.6,7.1,1,11,05:23 AM,03:15 PM,07:43 AM,05:44 PM,-14,3,3,3,4,51,27,0.7,1027,7,9,65,3,South%20Korea
2020-01-23,10,2,0.0,8.7,2,3,06:21 AM,04:07 PM,07:43 AM,05:45 PM,-5,3,5,3,10,49,50,0.0,1024,10,10,210,8,South%20Korea
2020-01-24,8,2,0.0,8.7,2,0,07:14 AM,05:03 PM,07:42 AM,05:46 PM,-2,3,4,3,6,27,65,0.0,1030,8,10,245,5,South%20Korea
2020-01-25,7,2,0.0,3.8,1,0,07:59 AM,06:02 PM,07:42 AM,05:47 PM,-1,4,5,4,5,48,68,0.0,1031,7,10,170,3,South%20Korea
2020-01-26,8,3,0.0,8.7,3,4,08:39 AM,07:02 PM,07:41 AM,05:48 PM,-3,4,5,4,11,31,57,0.0,1028,8,10,119,8,South%20Korea
2020-01-27,7,4,0.0,3.8,2,11,09:13 AM,08:00 PM,07:40 AM,05:50 PM,-3,2,5,2,18,92,59,0.0,1024,7,10,45,13,South%20Korea
2020-01-28,8,4,0.0,3.8,2,18,09:44 AM,08:58 PM,07:40 AM,05:51 PM,-1,3,6,3,14,78,63,3.6,1019,8,10,97,11,South%20Korea
2020-01-29,8,3,0.0,3.8,2,26,10:11 AM,09:55 PM,07:39 AM,05:52 PM,-2,4,5,4,7,91,59,0.0,1017,8,10,142,6,South%20Korea
2020-01-30,10,3,0.0,7.1,2,33,10:37 AM,10:50 PM,07:38 AM,05:53 PM,-3,5,6,5,7,50,54,0.0,1015,10,10,176,5,South%20Korea
2020-01-31,6,-1,0.0,3.8,1,37,11:03 AM,11:47 PM,07:38 AM,05:54 PM,-1,3,4,3,7,57,67,0.3,1019,6,10,165,5,South%20Korea
2020-02-01,6,1,0.0,7.1,1,49,11:29 AM,No moonset,07:37 AM,05:55 PM,-4,3,5,3,9,20,54,0.0,1023,6,10,265,8,South%20Korea
