date_time,South%20Sudan_maxtempC,South%20Sudan_mintempC,South%20Sudan_totalSnow_cm,South%20Sudan_sunHour,South%20Sudan_uvIndex,South%20Sudan_moon_illumination,South%20Sudan_moonrise,South%20Sudan_moonset,South%20Sudan_sunrise,South%20Sudan_sunset,South%20Sudan_DewPointC,South%20Sudan_FeelsLikeC,South%20Sudan_HeatIndexC,South%20Sudan_WindChillC,South%20Sudan_WindGustKmph,South%20Sudan_cloudcover,South%20Sudan_humidity,South%20Sudan_precipMM,South%20Sudan_pressure,South%20Sudan_tempC,South%20Sudan_visibility,South%20Sudan_winddirDegree,South%20Sudan_windspeedKmph,South%20Sudan_location
2020-01-01,13,1,0.0,8.7,3,37,12:16 PM,No moonset,07:56 AM,05:52 PM,-3,2,6,2,36,3,57,0.0,1008,13,10,224,21,South%20Sudan
2020-01-02,7,-1,0.0,7.0,2,44,12:43 PM,12:04 AM,07:56 AM,05:52 PM,-2,2,6,2,37,40,56,2.6,1000,7,10,220,24,South%20Sudan
2020-01-03,8,2,0.0,8.7,2,51,01:11 PM,12:58 AM,07:56 AM,05:53 PM,-6,-0,4,-0,33,25,51,0.0,1018,8,10,327,22,South%20Sudan
2020-01-04,13,2,0.0,8.7,3,59,01:40 PM,01:53 AM,07:56 AM,05:54 PM,-6,4,7,4,29,5,41,0.0,1024,13,10,253,15,South%20Sudan
2020-01-05,11,6,0.0,8.7,3,66,02:10 PM,02:49 AM,07:56 AM,05:55 PM,-5,5,8,5,34,1,41,0.0,1024,11,10,162,19,South%20Sudan
2020-01-06,11,4,0.0,8.7,3,73,02:45 PM,03:47 AM,07:56 AM,05:56 PM,-6,3,6,3,29,0,43,0.0,1023,11,10,163,17,South%20Sudan
2020-01-07,13,2,0.0,8.7,3,80,03:24 PM,04:47 AM,07:56 AM,05:56 PM,-9,3,7,3,32,0,33,0.0,1027,13,10,218,19,South%20Sudan
2020-01-08,13,1,0.0,3.8,2,88,04:10 PM,05:50 AM,07:56 AM,05:57 PM,-7,3,7,3,37,56,37,0.0,1017,13,10,205,21,South%20Sudan
2020-01-09,15,5,0.0,8.7,3,95,05:03 PM,06:51 AM,07:56 AM,05:58 PM,-6,7,9,7,30,34,37,0.0,1009,15,10,236,16,South%20Sudan
2020-01-10,11,7,0.0,8.7,2,100,06:04 PM,07:52 AM,07:56 AM,05:59 PM,-4,7,10,7,34,49,44,0.0,1008,11,9,238,23,South%20Sudan
2020-01-11,8,-3,0.0,10.4,2,100,07:11 PM,08:47 AM,07:56 AM,06:00 PM,-7,-2,3,-2,34,17,56,0.8,1018,8,8,231,24,South%20Sudan
2020-01-12,11,2,0.0,10.5,3,83,08:19 PM,09:37 AM,07:56 AM,06:01 PM,-8,2,6,2,32,0,38,0.0,1015,11,10,257,18,South%20Sudan
2020-01-13,18,4,0.0,10.5,4,76,09:30 PM,10:20 AM,07:56 AM,06:02 PM,-6,8,10,8,37,1,36,0.0,1015,18,10,221,22,South%20Sudan
2020-01-14,19,5,0.0,10.5,4,69,10:38 PM,10:59 AM,07:56 AM,06:03 PM,-8,11,12,11,26,8,28,0.0,1016,19,10,248,15,South%20Sudan
2020-01-15,15,8,0.0,10.5,4,61,11:45 PM,11:35 AM,07:56 AM,06:04 PM,-7,9,11,9,29,21,29,0.0,1017,15,10,174,16,South%20Sudan
2020-01-16,5,-2,7.8,5.2,1,54,No moonrise,12:09 PM,07:55 AM,06:04 PM,-2,-0,4,-0,21,77,71,9.6,1029,5,6,70,16,South%20Sudan
2020-01-17,16,2,0.7,8.4,3,47,12:51 AM,12:43 PM,07:55 AM,06:05 PM,6,7,10,7,31,66,80,13.9,1019,16,9,194,20,South%20Sudan
2020-01-18,7,2,0.0,10.5,2,40,01:57 AM,01:19 PM,07:55 AM,06:06 PM,-5,2,5,2,25,1,49,0.0,1026,7,10,150,15,South%20Sudan
2020-01-19,6,-0,0.0,10.5,2,32,03:02 AM,01:56 PM,07:55 AM,06:07 PM,-6,-1,3,-1,18,11,56,0.0,1032,6,10,153,12,South%20Sudan
2020-01-20,9,1,0.0,10.5,2,25,04:06 AM,02:38 PM,07:54 AM,06:08 PM,-7,1,4,1,20,7,45,0.0,1031,9,10,203,12,South%20Sudan
2020-01-21,5,-2,0.0,8.4,1,18,05:09 AM,03:25 PM,07:54 AM,06:09 PM,-1,0,4,0,25,57,68,7.0,1023,5,9,180,18,South%20Sudan
2020-01-22,14,4,0.0,10.6,3,11,06:09 AM,04:15 PM,07:53 AM,06:10 PM,2,5,8,5,34,28,68,2.3,1012,14,10,229,22,South%20Sudan
2020-01-23,10,5,0.0,10.6,3,3,07:04 AM,05:11 PM,07:53 AM,06:11 PM,-2,5,7,5,20,14,53,0.0,1017,10,10,120,12,South%20Sudan
2020-01-24,14,3,0.0,10.6,3,0,07:53 AM,06:08 PM,07:52 AM,06:12 PM,-1,6,8,6,22,5,57,0.0,1017,14,10,194,12,South%20Sudan
2020-01-25,16,6,0.0,10.6,3,0,08:35 AM,07:06 PM,07:52 AM,06:13 PM,0,8,10,8,31,19,56,0.0,1012,16,10,257,18,South%20Sudan
2020-01-26,15,5,0.0,10.6,4,4,09:13 AM,08:03 PM,07:51 AM,06:14 PM,-2,8,10,8,19,14,49,0.0,1014,15,10,226,11,South%20Sudan
2020-01-27,18,8,0.0,10.6,4,11,09:46 AM,09:00 PM,07:51 AM,06:15 PM,-2,10,12,10,29,22,39,0.0,1010,18,10,250,17,South%20Sudan
2020-01-28,11,5,0.0,10.7,2,18,10:16 AM,09:55 PM,07:50 AM,06:16 PM,-2,4,8,4,43,26,52,0.0,1015,11,10,270,31,South%20Sudan
2020-01-29,11,-1,0.0,10.7,3,26,10:44 AM,10:49 PM,07:50 AM,06:17 PM,-5,2,5,2,19,1,51,0.0,1018,11,10,155,13,South%20Sudan
2020-01-30,2,-4,3.1,5.3,1,33,11:12 AM,11:43 PM,07:49 AM,06:18 PM,-0,-2,1,-2,15,75,89,4.1,1020,2,4,147,10,South%20Sudan
2020-01-31,9,3,0.0,10.7,2,37,11:40 AM,No moonset,07:48 AM,06:19 PM,-7,2,5,2,27,21,46,0.0,1023,9,10,186,18,South%20Sudan
2020-02-01,16,4,0.0,10.7,4,49,12:09 PM,12:38 AM,07:48 AM,06:20 PM,-10,7,9,7,30,3,26,0.0,1023,16,10,279,16,South%20Sudan
2020-02-02,20,7,0.0,10.0,4,57,12:40 PM,01:34 AM,07:47 AM,06:21 PM,-7,11,12,11,33,21,26,0.0,1015,20,10,235,19,South%20Sudan
2020-02-03,18,9,0.0,10.8,4,64,01:17 PM,02:32 AM,07:46 AM,06:22 PM,-5,11,13,11,46,5,30,0.0,1001,18,10,231,29,South%20Sudan
2020-02-04,10,-2,0.0,8.5,1,72,01:58 PM,03:32 AM,07:45 AM,06:23 PM,-4,-0,5,-0,43,37,52,0.0,1010,10,10,109,30,South%20Sudan
2020-02-05,2,-7,0.0,10.8,1,79,02:47 PM,04:33 AM,07:45 AM,06:24 PM,-13,-9,-3,-9,28,37,48,0.0,1019,2,10,143,22,South%20Sudan
2020-02-06,5,-7,0.0,10.8,2,87,03:44 PM,05:34 AM,07:44 AM,06:25 PM,-8,-6,-2,-6,19,5,66,0.0,1010,5,10,279,11,South%20Sudan
2020-02-07,17,2,0.0,10.8,3,95,04:48 PM,06:31 AM,07:43 AM,06:26 PM,-4,6,9,6,34,15,47,0.0,1008,17,10,276,21,South%20Sudan
2020-02-08,16,3,0.0,10.9,3,100,05:57 PM,07:24 AM,07:42 AM,06:27 PM,-2,7,8,7,20,3,54,0.0,1014,16,10,179,12,South%20Sudan
2020-02-09,13,8,0.0,8.5,3,100,07:09 PM,08:11 AM,07:41 AM,06:28 PM,-2,8,10,8,36,43,42,0.0,1011,13,10,141,22,South%20Sudan
2020-02-10,7,1,1.0,8.5,1,83,08:20 PM,08:54 AM,07:40 AM,06:29 PM,-2,1,4,1,21,42,63,1.2,1019,7,9,104,16,South%20Sudan
2020-02-11,1,-1,2.1,5.5,1,75,09:31 PM,09:32 AM,07:39 AM,06:30 PM,-0,-5,1,-5,32,90,93,10.7,1022,1,3,81,23,South%20Sudan
2020-02-12,4,-1,3.1,10.9,1,68,10:40 PM,10:08 AM,07:38 AM,06:31 PM,-1,-2,2,-2,26,46,84,3.7,1015,4,7,253,17,South%20Sudan
2020-02-13,7,-1,0.0,10.1,1,60,11:48 PM,10:43 AM,07:38 AM,06:32 PM,-3,-2,2,-2,25,24,70,0.0,1024,7,10,136,16,South%20Sudan
2020-02-14,7,-2,0.0,8.5,1,53,No moonrise,11:19 AM,07:37 AM,06:32 PM,-1,-2,3,-2,33,41,74,0.0,1025,7,10,170,24,South%20Sudan
2020-02-15,18,4,0.0,11.0,4,45,12:55 AM,11:57 AM,07:36 AM,06:33 PM,0,8,11,8,31,20,61,0.0,1017,18,10,202,20,South%20Sudan
2020-02-16,20,7,0.0,11.0,4,38,02:00 AM,12:37 PM,07:34 AM,06:34 PM,-5,11,13,11,33,2,32,0.0,1012,20,10,257,20,South%20Sudan
2020-02-17,20,12,0.0,11.0,5,30,03:04 AM,01:22 PM,07:33 AM,06:35 PM,-2,14,16,14,40,1,31,0.0,1007,20,10,225,24,South%20Sudan
2020-02-18,8,5,0.0,11.0,3,22,04:04 AM,02:11 PM,07:32 AM,06:36 PM,1,4,7,4,25,25,65,0.0,1021,8,10,66,19,South%20Sudan
2020-02-19,9,1,0.0,11.1,2,15,05:00 AM,03:05 PM,07:31 AM,06:37 PM,-3,1,5,1,22,35,60,0.0,1026,9,10,132,17,South%20Sudan
2020-02-20,3,1,0.0,5.5,1,7,05:50 AM,04:00 PM,07:30 AM,06:38 PM,-1,-2,2,-2,27,68,79,0.5,1033,3,8,66,21,South%20Sudan
2020-02-21,4,-3,0.0,11.1,1,0,06:33 AM,04:58 PM,07:29 AM,06:39 PM,-3,-3,1,-3,23,35,70,0.1,1035,4,10,176,18,South%20Sudan
2020-02-22,17,4,0.0,11.1,4,0,07:12 AM,05:55 PM,07:28 AM,06:40 PM,2,7,10,7,27,37,61,0.0,1020,17,10,200,18,South%20Sudan
2020-02-23,18,12,0.0,10.1,3,0,07:47 AM,06:52 PM,07:27 AM,06:41 PM,1,12,14,12,42,38,46,1.1,1010,18,9,239,30,South%20Sudan
