date_time,Sri%20Lanka_maxtempC,Sri%20Lanka_mintempC,Sri%20Lanka_totalSnow_cm,Sri%20Lanka_sunHour,Sri%20Lanka_uvIndex,Sri%20Lanka_moon_illumination,Sri%20Lanka_moonrise,Sri%20Lanka_moonset,Sri%20Lanka_sunrise,Sri%20Lanka_sunset,Sri%20Lanka_DewPointC,Sri%20Lanka_FeelsLikeC,Sri%20Lanka_HeatIndexC,Sri%20Lanka_WindChillC,Sri%20Lanka_WindGustKmph,Sri%20Lanka_cloudcover,Sri%20Lanka_humidity,Sri%20Lanka_precipMM,Sri%20Lanka_pressure,Sri%20Lanka_tempC,Sri%20Lanka_visibility,Sri%20Lanka_winddirDegree,Sri%20Lanka_windspeedKmph,Sri%20Lanka_location
2020-01-01,30,22,0.0,5.7,6,37,10:58 AM,11:08 PM,06:21 AM,05:58 PM,23,28,28,25,14,68,86,3.8,1012,30,6,72,9,Sri%20Lanka
2020-01-02,30,23,0.0,4.3,6,44,11:37 AM,11:52 PM,06:22 AM,05:59 PM,23,29,29,26,17,80,86,4.7,1013,30,6,73,11,Sri%20Lanka
2020-01-03,30,23,0.0,8.7,6,51,12:14 PM,No moonset,06:22 AM,06:00 PM,23,29,29,26,17,67,87,6.9,1012,30,5,78,11,Sri%20Lanka
2020-01-04,30,23,0.0,7.3,6,59,12:52 PM,12:36 AM,06:22 AM,06:00 PM,22,29,29,26,14,70,83,0.5,1011,30,7,84,9,Sri%20Lanka
2020-01-05,30,22,0.0,10.2,6,66,01:32 PM,01:21 AM,06:23 AM,06:01 PM,23,29,29,26,17,54,85,2.0,1011,30,7,79,11,Sri%20Lanka
2020-01-06,30,22,0.0,10.2,6,73,02:14 PM,02:07 AM,06:23 AM,06:01 PM,22,28,28,26,19,56,83,0.5,1012,30,6,65,13,Sri%20Lanka
2020-01-07,29,23,0.0,10.2,6,80,03:00 PM,02:57 AM,06:23 AM,06:02 PM,23,28,28,25,18,71,87,2.4,1012,29,5,54,12,Sri%20Lanka
2020-01-08,29,22,0.0,7.3,6,88,03:50 PM,03:50 AM,06:24 AM,06:02 PM,21,27,27,25,18,42,81,0.3,1011,29,7,50,12,Sri%20Lanka
2020-01-09,29,20,0.0,11.6,7,95,04:44 PM,04:45 AM,06:24 AM,06:03 PM,19,25,25,24,16,13,78,0.0,1011,29,7,50,10,Sri%20Lanka
2020-01-10,29,20,0.0,11.6,7,100,05:43 PM,05:44 AM,06:24 AM,06:03 PM,19,25,25,24,16,15,79,0.0,1012,29,9,52,10,Sri%20Lanka
2020-01-11,28,20,0.0,7.3,6,100,06:43 PM,06:43 AM,06:25 AM,06:04 PM,21,26,26,24,16,62,85,3.0,1012,28,8,31,10,Sri%20Lanka
2020-01-12,29,22,0.0,8.7,6,83,07:45 PM,07:42 AM,06:25 AM,06:04 PM,21,27,27,25,19,54,81,0.2,1012,29,7,36,13,Sri%20Lanka
2020-01-13,28,20,0.0,11.6,7,76,08:44 PM,08:37 AM,06:25 AM,06:05 PM,19,24,24,23,18,12,77,0.1,1011,28,7,43,12,Sri%20Lanka
2020-01-14,29,19,0.0,11.6,7,69,09:42 PM,09:29 AM,06:26 AM,06:05 PM,18,24,24,23,15,5,74,0.0,1011,29,10,52,9,Sri%20Lanka
2020-01-15,27,19,0.0,10.2,5,61,10:37 PM,10:18 AM,06:26 AM,06:06 PM,18,24,24,23,15,23,76,0.0,1011,27,10,50,9,Sri%20Lanka
2020-01-16,29,19,0.0,11.6,7,54,11:32 PM,11:05 AM,06:26 AM,06:06 PM,19,25,25,24,13,13,76,0.0,1011,29,10,55,8,Sri%20Lanka
2020-01-17,30,21,0.0,7.3,6,47,No moonrise,11:52 AM,06:26 AM,06:06 PM,22,28,28,25,15,67,83,2.1,1011,30,6,54,10,Sri%20Lanka
2020-01-18,30,22,0.0,7.3,6,40,12:24 AM,12:37 PM,06:26 AM,06:07 PM,22,28,28,26,18,70,83,0.8,1011,30,7,77,12,Sri%20Lanka
2020-01-19,30,23,0.0,10.2,6,32,01:18 AM,01:25 PM,06:27 AM,06:07 PM,22,28,28,26,19,49,82,2.0,1011,30,8,46,13,Sri%20Lanka
2020-01-20,30,22,0.0,5.9,6,25,02:12 AM,02:14 PM,06:27 AM,06:08 PM,22,28,28,25,17,67,84,2.9,1012,30,7,49,12,Sri%20Lanka
2020-01-21,30,23,0.0,7.3,6,18,03:08 AM,03:06 PM,06:27 AM,06:08 PM,22,28,28,26,19,63,81,1.0,1012,30,7,42,13,Sri%20Lanka
2020-01-22,28,23,0.0,5.9,6,11,04:04 AM,03:59 PM,06:27 AM,06:09 PM,23,28,28,25,21,70,90,16.4,1013,28,6,39,12,Sri%20Lanka
2020-01-23,27,23,0.0,5.9,6,3,04:59 AM,04:53 PM,06:27 AM,06:09 PM,23,28,28,25,20,81,91,15.7,1012,27,6,51,12,Sri%20Lanka
2020-01-24,30,23,0.0,5.9,6,0,05:52 AM,05:46 PM,06:27 AM,06:10 PM,22,28,28,26,22,63,82,1.4,1012,30,8,50,14,Sri%20Lanka
2020-01-25,30,21,0.0,11.6,6,0,06:42 AM,06:38 PM,06:27 AM,06:10 PM,20,27,27,25,18,39,80,0.2,1012,30,6,47,12,Sri%20Lanka
2020-01-26,30,21,0.0,11.6,7,4,07:30 AM,07:29 PM,06:27 AM,06:10 PM,19,26,26,25,18,16,76,0.0,1012,30,7,55,11,Sri%20Lanka
2020-01-27,29,21,0.0,11.6,7,11,08:13 AM,08:16 PM,06:28 AM,06:11 PM,19,26,26,24,14,0,75,0.0,1011,29,10,78,9,Sri%20Lanka
2020-01-28,30,21,0.0,11.6,7,18,08:54 AM,09:02 PM,06:28 AM,06:11 PM,19,27,27,25,15,1,74,0.0,1012,30,10,89,10,Sri%20Lanka
2020-01-29,30,20,0.0,11.6,7,26,09:34 AM,09:47 PM,06:28 AM,06:11 PM,20,26,26,25,16,17,78,0.0,1012,30,7,87,10,Sri%20Lanka
2020-01-30,31,20,0.0,11.6,7,33,10:11 AM,10:30 PM,06:28 AM,06:12 PM,19,26,26,25,16,20,76,0.0,1012,31,7,81,10,Sri%20Lanka
2020-01-31,31,20,0.0,11.6,7,37,10:49 AM,11:14 PM,06:28 AM,06:12 PM,19,26,26,25,18,18,76,0.0,1010,31,7,83,12,Sri%20Lanka
2020-02-01,30,20,0.0,11.6,7,49,11:27 AM,11:59 PM,06:28 AM,06:12 PM,19,26,26,25,19,30,76,0.0,1011,30,7,82,12,Sri%20Lanka
2020-02-02,30,21,0.0,10.2,6,57,12:07 PM,No moonset,06:27 AM,06:13 PM,20,26,26,25,17,29,76,0.3,1013,30,9,77,11,Sri%20Lanka
