date_time,Suriname_maxtempC,Suriname_mintempC,Suriname_totalSnow_cm,Suriname_sunHour,Suriname_uvIndex,Suriname_moon_illumination,Suriname_moonrise,Suriname_moonset,Suriname_sunrise,Suriname_sunset,Suriname_DewPointC,Suriname_FeelsLikeC,Suriname_HeatIndexC,Suriname_WindChillC,Suriname_WindGustKmph,Suriname_cloudcover,Suriname_humidity,Suriname_precipMM,Suriname_pressure,Suriname_tempC,Suriname_visibility,Suriname_winddirDegree,Suriname_windspeedKmph,Suriname_location
2020-01-01,29,22,0.0,7.4,6,37,11:45 AM,12:00 AM,06:50 AM,06:38 PM,20,27,27,25,20,50,77,0.3,1011,29,10,66,13,Suriname
2020-01-02,29,22,0.0,8.8,6,44,12:24 PM,No moonset,06:51 AM,06:38 PM,20,27,27,25,17,50,76,0.7,1012,29,10,68,11,Suriname
2020-01-03,29,22,0.0,7.4,6,51,01:03 PM,12:42 AM,06:51 AM,06:39 PM,20,27,27,25,16,39,76,0.3,1014,29,10,62,10,Suriname
2020-01-04,29,23,0.0,5.9,6,59,01:43 PM,01:26 AM,06:51 AM,06:39 PM,22,28,28,25,17,62,83,3.6,1014,29,10,29,11,Suriname
2020-01-05,31,23,0.0,10.2,6,66,02:24 PM,02:10 AM,06:52 AM,06:40 PM,22,28,28,26,15,48,80,3.2,1012,31,10,44,10,Suriname
2020-01-06,31,22,0.0,11.6,7,73,03:09 PM,02:57 AM,06:52 AM,06:40 PM,21,28,28,26,15,26,79,0.0,1012,31,10,59,10,Suriname
2020-01-07,31,23,0.0,10.2,6,80,03:57 PM,03:46 AM,06:53 AM,06:41 PM,22,29,29,26,19,34,77,0.1,1012,31,10,74,13,Suriname
2020-01-08,30,24,0.0,7.4,6,88,04:49 PM,04:39 AM,06:53 AM,06:41 PM,22,29,29,26,21,65,80,4.0,1013,30,10,70,14,Suriname
2020-01-09,29,23,0.0,7.4,6,95,05:46 PM,05:36 AM,06:53 AM,06:42 PM,22,28,28,25,22,74,83,7.4,1013,29,9,62,14,Suriname
2020-01-10,30,23,0.0,8.8,6,100,06:45 PM,06:35 AM,06:54 AM,06:42 PM,21,28,28,26,21,52,77,3.8,1013,30,10,64,14,Suriname
2020-01-11,29,23,0.0,8.8,6,100,07:46 PM,07:34 AM,06:54 AM,06:43 PM,21,28,28,25,20,70,79,3.8,1013,29,10,58,13,Suriname
2020-01-12,30,23,0.0,11.6,7,83,08:45 PM,08:32 AM,06:54 AM,06:43 PM,21,28,28,26,20,38,76,0.2,1013,30,10,54,14,Suriname
2020-01-13,29,23,0.0,10.2,6,76,09:44 PM,09:28 AM,06:55 AM,06:44 PM,23,28,28,25,20,61,88,16.0,1012,29,9,64,12,Suriname
2020-01-14,27,23,0.0,7.4,6,69,10:39 PM,10:19 AM,06:55 AM,06:44 PM,23,28,28,25,19,73,90,21.5,1011,27,9,76,11,Suriname
2020-01-15,29,23,0.0,7.4,6,61,11:33 PM,11:09 AM,06:55 AM,06:44 PM,22,29,29,26,20,76,81,5.3,1011,29,10,70,13,Suriname
2020-01-16,30,23,0.0,7.4,6,54,No moonrise,11:57 AM,06:56 AM,06:45 PM,23,29,29,26,19,81,83,2.9,1013,30,9,64,12,Suriname
2020-01-17,31,24,0.0,7.4,6,47,12:24 AM,12:44 PM,06:56 AM,06:45 PM,22,29,29,26,18,68,78,1.0,1013,31,10,71,12,Suriname
2020-01-18,30,23,0.0,10.2,6,40,01:17 AM,01:32 PM,06:56 AM,06:46 PM,22,29,29,26,19,34,79,0.1,1013,30,9,66,13,Suriname
2020-01-19,30,23,0.0,8.8,6,32,02:09 AM,02:21 PM,06:56 AM,06:46 PM,21,28,28,26,20,51,78,0.9,1012,30,10,71,14,Suriname
2020-01-20,30,24,0.0,7.4,6,25,03:03 AM,03:12 PM,06:57 AM,06:47 PM,22,29,29,26,21,65,77,3.0,1012,30,10,65,14,Suriname
2020-01-21,29,23,0.0,7.4,6,18,03:58 AM,04:05 PM,06:57 AM,06:47 PM,21,28,28,25,19,51,76,0.4,1012,29,10,63,13,Suriname
2020-01-22,30,22,0.0,10.2,6,11,04:53 AM,04:59 PM,06:57 AM,06:47 PM,21,28,28,26,19,40,75,0.5,1011,30,10,65,13,Suriname
2020-01-23,31,21,0.0,10.2,6,3,05:48 AM,05:53 PM,06:57 AM,06:48 PM,20,27,27,25,18,22,74,0.0,1011,31,9,63,13,Suriname
2020-01-24,31,22,0.0,11.6,7,0,06:40 AM,06:45 PM,06:57 AM,06:48 PM,20,28,28,25,20,26,76,0.0,1011,31,9,67,14,Suriname
2020-01-25,30,23,0.0,6.0,6,0,07:30 AM,07:36 PM,06:57 AM,06:48 PM,23,29,29,26,18,65,83,4.3,1012,30,9,65,12,Suriname
2020-01-26,31,23,0.0,8.8,6,4,08:16 AM,08:24 PM,06:58 AM,06:49 PM,23,29,29,26,18,64,83,3.9,1012,31,9,79,12,Suriname
2020-01-27,30,24,0.0,8.8,6,11,09:00 AM,09:10 PM,06:58 AM,06:49 PM,22,29,29,27,19,59,77,0.4,1012,30,10,68,13,Suriname
2020-01-28,31,24,0.0,11.6,6,18,09:42 AM,09:54 PM,06:58 AM,06:49 PM,22,30,30,27,18,48,78,0.4,1012,31,10,64,12,Suriname
2020-01-29,30,24,0.0,10.2,6,26,10:21 AM,10:37 PM,06:58 AM,06:50 PM,22,29,29,26,21,44,78,0.8,1011,30,10,68,14,Suriname
2020-01-30,28,23,0.0,6.0,6,33,11:00 AM,11:20 PM,06:58 AM,06:50 PM,23,28,28,25,21,73,85,7.1,1012,28,9,72,13,Suriname
2020-01-31,30,23,0.0,8.8,6,37,11:39 AM,No moonset,06:58 AM,06:50 PM,22,29,29,26,22,61,79,1.2,1013,30,10,71,15,Suriname
2020-02-01,29,22,0.0,10.2,6,49,12:18 PM,12:03 AM,06:58 AM,06:50 PM,20,27,27,25,20,43,74,0.3,1014,29,10,68,14,Suriname
2020-02-02,30,21,0.0,8.8,6,57,01:00 PM,12:48 AM,06:58 AM,06:51 PM,20,27,27,25,20,53,73,0.5,1014,30,10,62,14,Suriname
2020-02-03,30,22,0.0,8.8,6,64,01:46 PM,01:35 AM,06:58 AM,06:51 PM,21,28,28,25,19,47,76,0.3,1014,30,10,59,13,Suriname
2020-02-04,30,24,0.0,7.4,6,72,02:35 PM,02:25 AM,06:58 AM,06:51 PM,21,29,29,26,20,47,74,0.6,1014,30,10,54,14,Suriname
2020-02-05,30,23,0.0,10.2,6,79,03:29 PM,03:20 AM,06:58 AM,06:51 PM,21,28,28,26,22,59,75,1.4,1014,30,10,57,15,Suriname
