date_time,Sweden_maxtempC,Sweden_mintempC,Sweden_totalSnow_cm,Sweden_sunHour,Sweden_uvIndex,Sweden_moon_illumination,Sweden_moonrise,Sweden_moonset,Sweden_sunrise,Sweden_sunset,Sweden_DewPointC,Sweden_FeelsLikeC,Sweden_HeatIndexC,Sweden_WindChillC,Sweden_WindGustKmph,Sweden_cloudcover,Sweden_humidity,Sweden_precipMM,Sweden_pressure,Sweden_tempC,Sweden_visibility,Sweden_winddirDegree,Sweden_windspeedKmph,Sweden_location
2020-01-01,3,-2,0.0,5.8,1,37,11:39 AM,10:17 PM,08:44 AM,02:58 PM,-2,-2,2,-2,32,38,74,0.1,1015,3,10,260,18,Sweden
2020-01-02,7,2,0.0,6.6,3,44,11:47 AM,11:33 PM,08:44 AM,03:00 PM,2,2,6,2,42,27,75,0.0,1008,7,10,258,24,Sweden
2020-01-03,7,-2,0.0,4.5,2,51,11:55 AM,No moonset,08:43 AM,03:01 PM,-0,0,4,0,40,63,71,0.5,998,7,9,239,26,Sweden
2020-01-04,2,-0,0.3,6.6,1,59,12:04 PM,12:47 AM,08:43 AM,03:03 PM,-8,-4,1,-4,41,32,52,0.8,998,2,10,293,26,Sweden
2020-01-05,0,-7,0.0,4.6,1,66,12:13 PM,02:04 AM,08:42 AM,03:04 PM,-5,-5,-1,-5,28,55,69,1.6,1017,0,9,259,17,Sweden
2020-01-06,5,-0,0.0,4.6,1,73,12:25 PM,03:23 AM,08:41 AM,03:06 PM,4,1,4,1,24,73,93,0.2,1014,5,6,253,14,Sweden
2020-01-07,6,4,0.0,2.5,2,80,12:42 PM,04:45 AM,08:40 AM,03:08 PM,3,2,5,2,30,68,84,0.1,1013,6,10,231,18,Sweden
2020-01-08,9,4,0.0,2.5,2,88,01:07 PM,06:07 AM,08:39 AM,03:09 PM,2,2,6,2,39,67,74,0.1,1004,9,10,234,24,Sweden
2020-01-09,3,1,0.0,6.7,2,95,01:44 PM,07:25 AM,08:38 AM,03:11 PM,-1,-1,2,-1,24,8,81,0.0,1010,3,10,250,15,Sweden
2020-01-10,2,-0,0.0,2.5,1,100,02:39 PM,08:31 AM,08:37 AM,03:13 PM,0,-1,1,-1,11,72,95,0.1,1012,2,7,67,6,Sweden
2020-01-11,3,-3,0.0,6.8,2,100,03:54 PM,09:21 AM,08:36 AM,03:15 PM,-4,-2,1,-2,28,39,66,0.0,1018,3,10,236,17,Sweden
2020-01-12,8,2,0.0,4.6,2,83,05:23 PM,09:55 AM,08:35 AM,03:17 PM,2,2,5,2,40,61,74,0.6,1003,8,9,249,24,Sweden
2020-01-13,3,1,0.0,4.6,1,76,06:58 PM,10:17 AM,08:34 AM,03:19 PM,-1,-2,2,-2,27,45,83,0.0,1007,3,10,246,16,Sweden
2020-01-14,6,1,0.0,2.6,1,69,08:32 PM,10:34 AM,08:32 AM,03:21 PM,1,-1,4,-1,36,72,85,1.3,1002,6,9,206,23,Sweden
2020-01-15,10,4,0.0,2.6,2,61,10:06 PM,10:46 AM,08:31 AM,03:24 PM,4,4,8,4,39,90,79,5.5,997,10,10,223,23,Sweden
2020-01-16,7,5,0.0,6.7,2,54,11:38 PM,10:57 AM,08:30 AM,03:26 PM,2,1,6,1,39,54,75,5.4,1009,7,10,254,24,Sweden
2020-01-17,5,3,0.0,6.7,1,47,No moonrise,11:08 AM,08:28 AM,03:28 PM,2,0,4,0,29,43,87,0.0,1017,5,10,210,17,Sweden
2020-01-18,4,-4,0.0,2.6,1,40,01:08 AM,11:20 AM,08:27 AM,03:30 PM,3,-0,3,-0,16,87,95,2.5,1009,4,6,216,10,Sweden
2020-01-19,4,1,0.0,2.7,1,32,02:38 AM,11:33 AM,08:25 AM,03:32 PM,0,-0,3,-0,18,68,83,3.4,1022,4,7,259,11,Sweden
2020-01-20,3,-2,0.0,7.1,2,25,04:07 AM,11:52 AM,08:23 AM,03:35 PM,-2,-2,2,-2,31,29,73,0.0,1029,3,10,253,18,Sweden
2020-01-21,8,-0,0.0,6.7,2,18,05:32 AM,12:17 PM,08:21 AM,03:37 PM,2,3,6,3,33,46,74,0.1,1018,8,10,278,19,Sweden
2020-01-22,3,1,0.0,7.2,2,11,06:46 AM,12:55 PM,08:20 AM,03:39 PM,-6,-3,2,-3,41,15,55,0.0,1018,3,10,311,25,Sweden
2020-01-23,2,-6,0.0,6.7,1,3,07:47 AM,01:47 PM,08:18 AM,03:42 PM,-3,-3,0,-3,25,33,72,0.0,1019,2,10,259,15,Sweden
2020-01-24,6,1,0.0,7.3,2,0,08:30 AM,02:52 PM,08:16 AM,03:44 PM,1,1,4,1,28,14,80,0.0,1006,6,10,270,16,Sweden
2020-01-25,2,-4,0.0,7.3,2,0,09:00 AM,04:07 PM,08:14 AM,03:47 PM,-3,-2,1,-2,22,22,70,0.0,1008,2,10,264,13,Sweden
2020-01-26,7,-0,0.0,2.8,2,4,09:21 AM,05:25 PM,08:12 AM,03:49 PM,3,2,5,2,30,97,83,0.0,1007,7,10,256,18,Sweden
2020-01-27,5,-2,0.0,2.8,1,11,09:35 AM,06:43 PM,08:10 AM,03:52 PM,3,1,4,1,21,86,89,0.2,1005,5,9,208,13,Sweden
2020-01-28,5,0,0.0,2.8,1,18,09:46 AM,08:00 PM,08:08 AM,03:54 PM,3,1,4,1,19,100,94,2.8,994,5,6,157,13,Sweden
