date_time,Taiwan_maxtempC,Taiwan_mintempC,Taiwan_totalSnow_cm,Taiwan_sunHour,Taiwan_uvIndex,Taiwan_moon_illumination,Taiwan_moonrise,Taiwan_moonset,Taiwan_sunrise,Taiwan_sunset,Taiwan_DewPointC,Taiwan_FeelsLikeC,Taiwan_HeatIndexC,Taiwan_WindChillC,Taiwan_WindGustKmph,Taiwan_cloudcover,Taiwan_humidity,Taiwan_precipMM,Taiwan_pressure,Taiwan_tempC,Taiwan_visibility,Taiwan_winddirDegree,Taiwan_windspeedKmph,Taiwan_location
2020-01-01,23,17,0.0,8.7,6,37,10:57 AM,10:47 PM,06:40 AM,05:25 PM,13,20,21,20,15,22,65,0.0,1025,23,10,133,12,Taiwan
2020-01-02,23,19,0.0,8.7,6,44,11:31 AM,11:37 PM,06:41 AM,05:25 PM,15,21,22,21,12,5,70,0.0,1024,23,10,124,10,Taiwan
2020-01-03,24,20,0.0,8.7,6,51,12:03 PM,No moonset,06:41 AM,05:26 PM,15,22,22,21,10,13,67,0.0,1023,24,10,123,8,Taiwan
2020-01-04,25,21,0.0,8.7,6,59,12:36 PM,12:26 AM,06:41 AM,05:27 PM,15,24,24,22,7,7,63,0.0,1021,25,10,137,5,Taiwan
2020-01-05,24,20,0.0,8.7,6,66,01:10 PM,01:16 AM,06:41 AM,05:27 PM,15,24,24,22,11,24,64,0.0,1021,24,10,221,9,Taiwan
2020-01-06,24,18,0.0,8.7,6,73,01:47 PM,02:08 AM,06:42 AM,05:28 PM,16,24,24,21,8,16,67,0.0,1020,24,10,238,7,Taiwan
2020-01-07,24,18,0.0,8.7,5,80,02:27 PM,03:02 AM,06:42 AM,05:29 PM,16,23,23,22,11,22,66,0.0,1018,24,10,169,8,Taiwan
2020-01-08,25,21,0.0,8.7,6,88,03:12 PM,03:59 AM,06:42 AM,05:29 PM,15,24,24,22,16,6,62,0.0,1019,25,10,196,13,Taiwan
2020-01-09,24,19,0.0,8.7,6,95,04:04 PM,04:58 AM,06:42 AM,05:30 PM,13,21,22,21,16,17,62,0.0,1019,24,10,167,13,Taiwan
2020-01-10,25,19,0.0,8.7,6,100,05:01 PM,05:58 AM,06:42 AM,05:31 PM,15,22,22,21,17,5,66,0.0,1017,25,10,132,13,Taiwan
2020-01-11,23,20,0.0,8.7,5,100,06:03 PM,06:57 AM,06:42 AM,05:32 PM,16,22,22,21,14,25,71,0.0,1016,23,10,129,11,Taiwan
2020-01-12,23,18,0.0,8.7,6,83,07:07 PM,07:53 AM,06:43 AM,05:32 PM,13,20,21,20,25,7,66,0.0,1016,23,10,138,20,Taiwan
2020-01-13,22,16,0.0,8.7,5,76,08:12 PM,08:44 AM,06:43 AM,05:33 PM,11,18,19,18,23,8,63,0.0,1017,22,10,93,18,Taiwan
2020-01-14,23,18,0.0,8.7,6,69,09:16 PM,09:31 AM,06:43 AM,05:34 PM,13,20,20,20,20,9,65,0.0,1019,23,10,91,15,Taiwan
2020-01-15,23,18,0.0,8.7,6,61,10:18 PM,10:14 AM,06:43 AM,05:34 PM,13,20,21,20,15,0,64,0.0,1020,23,10,131,13,Taiwan
2020-01-16,23,18,0.0,8.7,6,54,11:19 PM,10:55 AM,06:43 AM,05:35 PM,14,20,21,20,22,4,71,0.0,1019,23,10,137,17,Taiwan
2020-01-17,23,17,0.0,8.7,6,47,No moonrise,11:35 AM,06:43 AM,05:36 PM,13,20,21,20,24,6,64,0.0,1019,23,10,137,18,Taiwan
2020-01-18,22,16,0.0,8.7,5,40,12:19 AM,12:15 PM,06:43 AM,05:37 PM,11,19,19,19,20,15,61,0.0,1020,22,10,134,16,Taiwan
2020-01-19,22,17,0.0,8.7,5,32,01:19 AM,12:56 PM,06:42 AM,05:37 PM,10,19,20,19,18,12,58,0.0,1020,22,10,135,14,Taiwan
2020-01-20,23,16,0.0,8.7,6,25,02:18 AM,01:40 PM,06:42 AM,05:38 PM,10,19,20,19,19,6,57,0.0,1022,23,10,137,15,Taiwan
2020-01-21,24,17,0.0,8.7,6,18,03:18 AM,02:27 PM,06:42 AM,05:39 PM,11,20,21,20,15,4,55,0.0,1023,24,10,139,12,Taiwan
2020-01-22,26,18,0.0,8.7,6,11,04:17 AM,03:18 PM,06:42 AM,05:39 PM,14,23,23,22,11,6,57,0.0,1021,26,10,185,9,Taiwan
2020-01-23,27,21,0.0,8.7,6,3,05:14 AM,04:11 PM,06:42 AM,05:40 PM,15,25,25,24,15,1,57,0.0,1019,27,10,137,12,Taiwan
2020-01-24,26,21,0.0,8.7,6,0,06:06 AM,05:06 PM,06:42 AM,05:41 PM,17,25,25,23,18,5,69,0.0,1020,26,10,135,14,Taiwan
2020-01-25,25,20,0.0,8.7,5,0,06:55 AM,06:01 PM,06:42 AM,05:42 PM,17,24,24,22,21,28,72,0.0,1018,25,10,92,16,Taiwan
2020-01-26,24,19,0.0,4.1,5,4,07:39 AM,06:56 PM,06:41 AM,05:42 PM,17,24,24,22,23,71,75,3.1,1014,24,10,135,17,Taiwan
2020-01-27,22,15,0.0,8.7,4,11,08:19 AM,07:48 PM,06:41 AM,05:43 PM,12,19,19,19,30,36,61,0.2,1014,22,10,138,23,Taiwan
2020-01-28,21,17,0.0,7.2,4,18,08:55 AM,08:39 PM,06:41 AM,05:44 PM,10,18,19,18,22,53,59,0.2,1017,21,10,230,18,Taiwan
2020-01-29,18,14,0.0,8.7,5,26,09:30 AM,09:29 PM,06:40 AM,05:44 PM,8,15,16,15,31,7,59,0.0,1018,18,10,139,25,Taiwan
2020-01-30,18,13,0.0,8.7,5,33,10:02 AM,10:18 PM,06:40 AM,05:45 PM,0,13,15,13,35,5,38,0.0,1020,18,10,53,28,Taiwan
2020-01-31,20,12,0.0,8.7,5,37,10:34 AM,11:08 PM,06:40 AM,05:46 PM,1,15,16,15,17,0,37,0.0,1022,20,10,125,13,Taiwan
2020-02-01,21,15,0.0,8.7,5,49,11:07 AM,11:58 PM,06:39 AM,05:46 PM,7,18,19,18,9,3,48,0.0,1023,21,10,148,7,Taiwan
2020-02-02,22,13,0.0,8.7,5,57,11:42 AM,No moonset,06:39 AM,05:47 PM,9,18,19,18,9,11,51,0.0,1023,22,10,184,7,Taiwan
2020-02-03,23,18,0.0,8.7,6,64,12:19 PM,12:50 AM,06:39 AM,05:48 PM,10,20,21,20,10,9,53,0.0,1021,23,10,185,8,Taiwan
2020-02-04,23,18,0.0,8.7,6,72,01:02 PM,01:44 AM,06:38 AM,05:48 PM,14,20,21,20,17,19,67,0.0,1021,23,10,90,14,Taiwan
2020-02-05,23,17,0.0,8.7,6,79,01:49 PM,02:41 AM,06:38 AM,05:49 PM,12,20,21,20,25,13,63,0.0,1020,23,10,137,20,Taiwan
2020-02-06,24,17,0.0,8.7,6,87,02:43 PM,03:40 AM,06:37 AM,05:50 PM,12,21,21,21,14,12,61,0.0,1020,24,10,171,11,Taiwan
