date_time,Tajikistan_maxtempC,Tajikistan_mintempC,Tajikistan_totalSnow_cm,Tajikistan_sunHour,Tajikistan_uvIndex,Tajikistan_moon_illumination,Tajikistan_moonrise,Tajikistan_moonset,Tajikistan_sunrise,Tajikistan_sunset,Tajikistan_DewPointC,Tajikistan_FeelsLikeC,Tajikistan_HeatIndexC,Tajikistan_WindChillC,Tajikistan_WindGustKmph,Tajikistan_cloudcover,Tajikistan_humidity,Tajikistan_precipMM,Tajikistan_pressure,Tajikistan_tempC,Tajikistan_visibility,Tajikistan_winddirDegree,Tajikistan_windspeedKmph,Tajikistan_location
2020-01-01,6,0,0.0,5.3,1,37,11:42 AM,11:10 PM,07:43 AM,05:14 PM,-4,1,3,1,10,66,62,0.1,1019,6,10,35,6,Tajikistan
2020-01-02,8,5,0.0,3.6,2,44,12:07 PM,No moonset,07:43 AM,05:15 PM,1,5,6,5,8,93,70,3.8,1019,8,4,109,6,Tajikistan
2020-01-03,4,2,5.1,3.6,1,51,12:32 PM,12:06 AM,07:43 AM,05:16 PM,2,2,3,2,6,96,94,29.0,1023,4,7,134,5,Tajikistan
2020-01-04,7,2,0.0,7.0,1,59,12:58 PM,01:03 AM,07:43 AM,05:17 PM,-1,3,4,3,4,76,71,2.8,1024,7,10,88,3,Tajikistan
2020-01-05,9,1,0.0,8.7,2,66,01:26 PM,02:01 AM,07:43 AM,05:18 PM,-7,3,5,3,8,34,43,0.1,1017,9,10,34,5,Tajikistan
2020-01-06,3,2,8.8,3.7,1,73,01:55 PM,03:01 AM,07:43 AM,05:18 PM,2,1,3,1,7,96,93,20.0,1018,3,5,112,5,Tajikistan
2020-01-07,3,-2,9.5,3.7,1,80,02:30 PM,04:02 AM,07:43 AM,05:19 PM,0,1,2,1,4,73,92,11.2,1027,3,4,90,3,Tajikistan
2020-01-08,3,-1,3.3,8.7,1,88,03:11 PM,05:05 AM,07:43 AM,05:20 PM,-3,-2,0,-2,7,49,80,4.1,1029,3,6,79,5,Tajikistan
2020-01-09,7,-1,0.0,8.7,2,95,03:59 PM,06:09 AM,07:43 AM,05:21 PM,-9,1,3,1,9,13,42,0.0,1022,7,10,42,6,Tajikistan
2020-01-10,8,3,0.0,5.3,2,100,04:56 PM,07:11 AM,07:43 AM,05:22 PM,-11,4,5,4,6,72,32,0.0,1018,8,10,94,3,Tajikistan
2020-01-11,11,4,0.0,3.7,2,100,06:01 PM,08:08 AM,07:43 AM,05:23 PM,-6,7,7,7,6,83,41,0.1,1015,11,10,133,4,Tajikistan
2020-01-12,10,6,0.0,3.7,2,83,07:11 PM,09:00 AM,07:42 AM,05:24 PM,3,7,7,7,5,91,73,5.8,1012,10,5,209,4,Tajikistan
2020-01-13,2,-0,17.6,3.7,1,76,08:23 PM,09:44 AM,07:42 AM,05:25 PM,1,0,1,0,5,100,95,20.7,1020,2,2,264,4,Tajikistan
2020-01-14,2,-3,0.9,8.7,2,69,09:35 PM,10:22 AM,07:42 AM,05:26 PM,-3,-1,-1,-1,3,44,84,1.1,1027,2,8,175,3,Tajikistan
2020-01-15,2,-2,0.0,8.7,2,61,10:46 PM,10:57 AM,07:42 AM,05:27 PM,-4,-1,-0,-1,3,29,77,0.0,1031,2,10,142,3,Tajikistan
2020-01-16,1,-2,0.0,7.0,1,54,11:56 PM,11:29 AM,07:41 AM,05:28 PM,-7,-1,-1,-1,3,35,64,0.0,1032,1,10,152,3,Tajikistan
2020-01-17,2,-3,0.0,8.7,2,47,No moonrise,12:00 PM,07:41 AM,05:29 PM,-8,-2,-1,-2,5,8,62,0.0,1035,2,10,76,4,Tajikistan
2020-01-18,6,-2,0.0,8.7,2,40,01:04 AM,12:31 PM,07:41 AM,05:31 PM,-8,1,2,1,4,0,51,0.0,1027,6,10,67,3,Tajikistan
