date_time,Thailand_maxtempC,Thailand_mintempC,Thailand_totalSnow_cm,Thailand_sunHour,Thailand_uvIndex,Thailand_moon_illumination,Thailand_moonrise,Thailand_moonset,Thailand_sunrise,Thailand_sunset,Thailand_DewPointC,Thailand_FeelsLikeC,Thailand_HeatIndexC,Thailand_WindChillC,Thailand_WindGustKmph,Thailand_cloudcover,Thailand_humidity,Thailand_precipMM,Thailand_pressure,Thailand_tempC,Thailand_visibility,Thailand_winddirDegree,Thailand_windspeedKmph,Thailand_location
2020-01-01,34,28,0.0,10.2,8,37,11:11 AM,11:14 PM,06:41 AM,06:01 PM,17,32,32,31,22,33,43,0.0,1015,34,10,69,17,Thailand
2020-01-02,34,28,0.0,11.6,8,44,11:48 AM,12:00 AM,06:41 AM,06:02 PM,17,32,32,31,18,21,43,0.0,1016,34,10,66,14,Thailand
2020-01-03,35,29,0.0,11.6,8,51,12:23 PM,No moonset,06:42 AM,06:02 PM,16,33,33,32,12,17,40,0.0,1014,35,10,72,10,Thailand
2020-01-04,35,29,0.0,11.6,8,59,01:00 PM,12:45 AM,06:42 AM,06:03 PM,16,33,33,32,12,16,40,0.0,1012,35,10,80,10,Thailand
2020-01-05,35,29,0.0,11.6,8,66,01:38 PM,01:32 AM,06:42 AM,06:03 PM,16,32,32,32,12,15,39,0.0,1012,35,10,104,10,Thailand
2020-01-06,36,29,0.0,11.6,8,73,02:18 PM,02:20 AM,06:43 AM,06:04 PM,18,34,34,32,7,18,45,0.0,1012,36,10,145,6,Thailand
2020-01-07,37,31,0.0,11.6,8,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,18,35,35,33,7,4,41,0.0,1011,37,10,165,6,Thailand
2020-01-08,36,29,0.0,11.6,8,88,03:50 PM,04:05 AM,06:43 AM,06:05 PM,18,33,33,32,9,11,44,0.0,1011,36,10,157,8,Thailand
2020-01-09,37,30,0.0,11.6,8,95,04:44 PM,05:02 AM,06:44 AM,06:06 PM,19,35,35,33,8,15,44,0.0,1010,37,10,146,7,Thailand
2020-01-10,37,30,0.0,11.6,8,100,05:42 PM,06:01 AM,06:44 AM,06:06 PM,19,35,35,33,7,18,45,0.0,1009,37,10,224,6,Thailand
2020-01-11,38,30,0.0,11.6,8,100,06:43 PM,07:00 AM,06:44 AM,06:07 PM,18,35,35,33,8,9,43,0.0,1009,38,10,184,7,Thailand
2020-01-12,37,30,0.0,11.6,8,83,07:45 PM,07:58 AM,06:44 AM,06:07 PM,19,35,35,33,10,15,46,0.0,1009,37,10,172,9,Thailand
2020-01-13,35,30,0.0,8.7,7,76,08:47 PM,08:52 AM,06:45 AM,06:08 PM,20,34,34,32,10,55,50,1.5,1010,35,10,157,9,Thailand
2020-01-14,35,29,0.0,11.6,8,69,09:46 PM,09:43 AM,06:45 AM,06:08 PM,20,33,33,31,13,23,55,0.1,1010,35,10,179,11,Thailand
2020-01-15,34,28,0.0,11.6,8,61,10:44 PM,10:29 AM,06:45 AM,06:09 PM,21,33,33,30,15,17,58,0.0,1011,34,10,180,13,Thailand
2020-01-16,34,27,0.0,11.6,8,54,11:40 PM,11:15 AM,06:45 AM,06:10 PM,20,33,33,30,15,14,58,0.0,1011,34,10,183,13,Thailand
2020-01-17,36,28,0.0,11.6,8,47,No moonrise,11:59 AM,06:45 AM,06:10 PM,20,34,34,32,11,12,53,0.0,1012,36,10,174,9,Thailand
2020-01-18,36,28,0.0,11.6,8,40,12:35 AM,12:43 PM,06:45 AM,06:11 PM,21,34,34,32,13,10,55,0.0,1012,36,10,175,11,Thailand
2020-01-19,35,28,0.0,11.6,7,32,01:31 AM,01:29 PM,06:46 AM,06:11 PM,21,34,34,31,14,18,58,0.0,1011,35,10,173,12,Thailand
2020-01-20,36,28,0.0,10.2,7,25,02:27 AM,02:16 PM,06:46 AM,06:12 PM,19,34,34,32,12,34,50,0.3,1013,36,10,125,10,Thailand
2020-01-21,36,29,0.0,11.6,7,18,03:24 AM,03:06 PM,06:46 AM,06:12 PM,21,35,35,32,12,33,54,0.6,1014,36,10,164,10,Thailand
2020-01-22,35,29,0.0,11.6,7,11,04:20 AM,03:58 PM,06:46 AM,06:13 PM,21,35,35,31,13,29,57,0.7,1013,35,10,182,11,Thailand
2020-01-23,35,28,0.0,11.6,8,3,05:16 AM,04:52 PM,06:46 AM,06:13 PM,20,33,33,31,18,7,56,0.0,1011,35,10,180,15,Thailand
2020-01-24,34,28,0.0,10.2,7,0,06:09 AM,05:46 PM,06:46 AM,06:14 PM,21,33,33,30,21,21,61,0.2,1011,34,10,179,18,Thailand
2020-01-25,33,28,0.0,11.6,7,0,06:59 AM,06:39 PM,06:46 AM,06:14 PM,21,32,32,30,27,16,60,0.5,1010,33,10,184,21,Thailand
2020-01-26,33,27,0.0,11.6,8,4,07:46 AM,07:31 PM,06:46 AM,06:15 PM,18,31,31,30,19,20,52,0.1,1010,33,10,197,15,Thailand
2020-01-27,33,27,0.0,11.6,8,11,08:28 AM,08:20 PM,06:46 AM,06:15 PM,18,31,31,29,20,5,54,0.0,1009,33,10,202,17,Thailand
2020-01-28,31,27,0.0,11.6,7,18,09:08 AM,09:08 PM,06:46 AM,06:16 PM,18,30,30,29,22,1,54,0.0,1010,31,10,199,18,Thailand
2020-01-29,33,27,0.0,8.7,6,26,09:45 AM,09:54 PM,06:46 AM,06:16 PM,20,31,31,29,15,40,58,0.2,1012,33,10,194,12,Thailand
2020-01-30,34,27,0.0,10.2,7,33,10:21 AM,10:39 PM,06:45 AM,06:17 PM,19,32,32,30,11,43,52,1.8,1012,34,10,167,9,Thailand
2020-01-31,34,28,0.0,11.6,7,37,10:57 AM,11:25 PM,06:45 AM,06:17 PM,17,31,31,30,14,21,46,0.2,1012,34,10,135,12,Thailand
2020-02-01,35,28,0.0,10.2,7,49,11:34 AM,No moonset,06:45 AM,06:17 PM,18,32,32,31,13,26,50,0.1,1012,35,10,139,11,Thailand
2020-02-02,34,29,0.0,11.6,7,57,12:12 PM,12:11 AM,06:45 AM,06:18 PM,19,33,33,31,11,43,51,0.2,1013,34,10,171,9,Thailand
2020-02-03,33,28,0.0,11.6,8,64,12:53 PM,01:00 AM,06:45 AM,06:18 PM,21,33,33,30,16,15,58,0.0,1012,33,10,185,14,Thailand
2020-02-04,33,27,0.0,11.6,8,72,01:38 PM,01:52 AM,06:45 AM,06:19 PM,20,32,32,29,20,7,58,0.0,1012,33,10,181,17,Thailand
2020-02-05,32,27,0.0,11.6,6,79,02:28 PM,02:46 AM,06:44 AM,06:19 PM,20,31,31,29,18,27,60,0.0,1011,32,10,185,15,Thailand
2020-02-06,34,27,0.0,8.7,7,87,03:24 PM,03:43 AM,06:44 AM,06:20 PM,20,32,32,30,16,36,58,0.3,1011,34,10,193,13,Thailand
2020-02-07,34,28,0.0,10.2,7,95,04:23 PM,04:42 AM,06:44 AM,06:20 PM,21,33,33,30,15,24,58,0.1,1012,34,10,189,12,Thailand
2020-02-08,37,28,0.0,11.6,8,100,05:26 PM,05:41 AM,06:44 AM,06:20 PM,20,34,34,32,13,16,57,0.0,1012,37,10,162,11,Thailand
2020-02-09,36,28,0.0,11.6,7,100,06:29 PM,06:37 AM,06:43 AM,06:21 PM,16,33,33,32,16,23,45,0.2,1013,36,10,84,13,Thailand
2020-02-10,35,27,0.0,11.6,8,83,07:32 PM,07:31 AM,06:43 AM,06:21 PM,14,31,31,31,18,12,36,0.0,1013,35,10,99,14,Thailand
2020-02-11,35,29,0.0,11.6,7,75,08:32 PM,08:21 AM,06:43 AM,06:21 PM,17,33,33,31,13,38,45,0.0,1013,35,10,141,11,Thailand
2020-02-12,34,29,0.0,11.6,8,68,09:31 PM,09:09 AM,06:42 AM,06:22 PM,21,33,33,31,19,12,56,0.0,1013,34,10,185,16,Thailand
2020-02-13,33,28,0.0,11.6,8,60,10:28 PM,09:55 AM,06:42 AM,06:22 PM,22,33,33,30,23,9,62,0.0,1011,33,10,188,19,Thailand
2020-02-14,33,28,0.0,11.6,8,53,11:26 PM,10:40 AM,06:42 AM,06:22 PM,21,33,33,30,25,10,61,0.0,1010,33,10,183,21,Thailand
2020-02-15,36,28,0.0,11.6,8,45,No moonrise,11:26 AM,06:41 AM,06:23 PM,19,33,33,31,18,4,53,0.0,1011,36,10,214,15,Thailand
2020-02-16,35,28,0.0,11.6,8,38,12:22 AM,12:14 PM,06:41 AM,06:23 PM,19,33,33,31,19,5,54,0.0,1012,35,10,189,16,Thailand
2020-02-17,36,28,0.0,11.6,8,30,01:20 AM,01:03 PM,06:40 AM,06:23 PM,21,35,35,32,15,17,58,0.0,1012,36,10,165,13,Thailand
2020-02-18,35,28,0.0,11.6,7,22,02:16 AM,01:55 PM,06:40 AM,06:24 PM,18,33,33,31,15,37,46,1.5,1014,35,10,167,13,Thailand
2020-02-19,36,28,0.0,11.6,8,15,03:12 AM,02:47 PM,06:40 AM,06:24 PM,15,32,32,32,14,9,38,0.0,1014,36,10,127,12,Thailand
2020-02-20,37,29,0.0,11.6,8,7,04:05 AM,03:41 PM,06:39 AM,06:24 PM,17,33,33,32,13,5,46,0.0,1014,37,10,129,11,Thailand
2020-02-21,36,28,0.0,11.6,8,0,04:55 AM,04:33 PM,06:39 AM,06:24 PM,15,32,32,32,17,4,38,0.0,1015,36,10,115,14,Thailand
2020-02-22,35,27,0.0,11.6,8,0,05:42 AM,05:25 PM,06:38 AM,06:25 PM,13,31,31,32,20,6,34,0.0,1016,35,10,89,16,Thailand
2020-02-23,37,27,0.0,11.6,8,0,06:25 AM,06:15 PM,06:38 AM,06:25 PM,12,32,32,32,15,4,31,0.0,1015,37,10,113,13,Thailand
2020-02-24,37,29,0.0,11.6,8,0,07:06 AM,07:03 PM,06:37 AM,06:25 PM,14,33,33,32,14,5,35,0.0,1012,37,10,133,12,Thailand
2020-02-25,35,29,0.0,11.6,8,8,07:44 AM,07:49 PM,06:37 AM,06:25 PM,20,34,34,31,16,6,54,0.0,1011,35,10,180,14,Thailand
2020-02-26,34,27,0.0,11.6,7,15,08:20 AM,08:35 PM,06:36 AM,06:25 PM,21,33,33,30,19,19,59,0.0,1011,34,10,187,16,Thailand
2020-02-27,34,28,0.0,10.2,7,23,08:56 AM,09:21 PM,06:36 AM,06:26 PM,22,34,34,30,17,26,61,0.3,1010,34,10,183,14,Thailand
