date_time,Togo_maxtempC,Togo_mintempC,Togo_totalSnow_cm,Togo_sunHour,Togo_uvIndex,Togo_moon_illumination,Togo_moonrise,Togo_moonset,Togo_sunrise,Togo_sunset,Togo_DewPointC,Togo_FeelsLikeC,Togo_HeatIndexC,Togo_WindChillC,Togo_WindGustKmph,Togo_cloudcover,Togo_humidity,Togo_precipMM,Togo_pressure,Togo_tempC,Togo_visibility,Togo_winddirDegree,Togo_windspeedKmph,Togo_location
2020-01-01,33,26,0.0,8.7,7,37,10:54 AM,11:07 PM,06:05 AM,05:52 PM,20,31,31,29,16,3,61,0.0,1011,33,10,218,12,Togo
2020-01-02,32,24,0.0,8.7,7,44,11:33 AM,11:50 PM,06:06 AM,05:52 PM,13,28,28,28,17,4,43,0.0,1011,32,10,182,12,Togo
2020-01-03,32,23,0.0,8.7,7,51,12:11 PM,No moonset,06:06 AM,05:53 PM,10,27,27,27,17,1,35,0.0,1012,32,10,82,12,Togo
2020-01-04,33,23,0.0,8.7,7,59,12:51 PM,12:33 AM,06:06 AM,05:53 PM,7,27,27,27,20,3,29,0.0,1011,33,10,114,13,Togo
2020-01-05,34,25,0.0,8.7,7,66,01:32 PM,01:18 AM,06:07 AM,05:54 PM,16,29,29,29,16,2,47,0.0,1010,34,10,228,12,Togo
2020-01-06,32,25,0.0,8.7,7,73,02:15 PM,02:04 AM,06:07 AM,05:54 PM,19,30,30,28,16,8,58,0.0,1010,32,10,223,12,Togo
2020-01-07,32,26,0.0,8.7,7,80,03:03 PM,02:53 AM,06:07 AM,05:55 PM,21,31,31,29,18,8,62,0.0,1009,32,10,215,14,Togo
2020-01-08,33,26,0.0,8.7,7,88,03:55 PM,03:46 AM,06:08 AM,05:55 PM,20,31,31,28,23,10,62,0.0,1010,33,10,226,16,Togo
2020-01-09,31,26,0.0,8.7,7,95,04:50 PM,04:42 AM,06:08 AM,05:56 PM,22,30,30,28,21,6,71,0.0,1010,31,10,210,16,Togo
2020-01-10,31,26,0.0,8.7,6,100,05:50 PM,05:41 AM,06:09 AM,05:56 PM,22,31,31,28,23,30,73,0.0,1012,31,10,207,17,Togo
2020-01-11,31,26,0.0,8.7,6,100,06:50 PM,06:40 AM,06:09 AM,05:57 PM,23,31,31,28,24,21,74,0.0,1012,31,10,208,18,Togo
2020-01-12,32,26,0.0,8.7,7,83,07:51 PM,07:38 AM,06:09 AM,05:57 PM,23,31,31,28,20,10,72,0.0,1011,32,10,215,15,Togo
2020-01-13,32,26,0.0,8.7,7,76,08:49 PM,08:33 AM,06:10 AM,05:58 PM,23,32,32,28,19,17,74,0.0,1010,32,10,207,15,Togo
2020-01-14,32,27,0.0,5.8,6,69,09:45 PM,09:26 AM,06:10 AM,05:58 PM,23,32,32,29,17,42,73,0.6,1009,32,10,211,14,Togo
2020-01-15,34,26,0.0,8.7,7,61,10:38 PM,10:16 AM,06:10 AM,05:59 PM,24,33,33,29,19,13,73,0.0,1009,34,10,216,15,Togo
2020-01-16,34,26,0.0,8.7,7,54,11:31 PM,11:04 AM,06:10 AM,05:59 PM,23,32,32,29,22,25,73,0.0,1010,34,10,220,17,Togo
2020-01-17,32,27,0.0,8.7,7,47,No moonrise,11:51 AM,06:11 AM,05:59 PM,23,33,33,29,16,4,72,0.0,1011,32,10,213,12,Togo
2020-01-18,33,26,0.0,11.6,7,40,12:23 AM,12:38 PM,06:11 AM,06:00 PM,23,32,32,28,19,12,72,0.0,1011,33,10,214,14,Togo
2020-01-19,32,26,0.0,11.6,6,32,01:16 AM,01:28 PM,06:11 AM,06:00 PM,23,32,32,28,20,27,73,0.1,1011,32,10,214,15,Togo
2020-01-20,31,26,0.0,10.2,6,25,02:09 AM,02:18 PM,06:11 AM,06:01 PM,23,31,31,28,21,22,73,0.0,1010,31,10,207,15,Togo
2020-01-21,32,26,0.0,11.6,7,18,03:04 AM,03:10 PM,06:11 AM,06:01 PM,23,32,32,28,20,19,72,0.0,1010,32,10,212,15,Togo
2020-01-22,32,26,0.0,11.6,7,11,04:00 AM,04:04 PM,06:12 AM,06:01 PM,22,32,32,29,19,4,69,0.0,1010,32,10,209,15,Togo
2020-01-23,32,26,0.0,11.6,7,3,04:54 AM,04:58 PM,06:12 AM,06:02 PM,23,32,32,28,19,4,72,0.0,1010,32,10,208,14,Togo
