date_time,Tunisia_maxtempC,Tunisia_mintempC,Tunisia_totalSnow_cm,Tunisia_sunHour,Tunisia_uvIndex,Tunisia_moon_illumination,Tunisia_moonrise,Tunisia_moonset,Tunisia_sunrise,Tunisia_sunset,Tunisia_DewPointC,Tunisia_FeelsLikeC,Tunisia_HeatIndexC,Tunisia_WindChillC,Tunisia_WindGustKmph,Tunisia_cloudcover,Tunisia_humidity,Tunisia_precipMM,Tunisia_pressure,Tunisia_tempC,Tunisia_visibility,Tunisia_winddirDegree,Tunisia_windspeedKmph,Tunisia_location
2020-01-01,13,8,0.0,8.7,4,37,11:39 AM,11:15 PM,07:32 AM,05:14 PM,4,9,10,9,18,33,66,0.0,1031,13,10,306,13,Tunisia
2020-01-02,15,8,0.0,8.7,4,44,12:05 PM,No moonset,07:32 AM,05:14 PM,8,11,12,11,13,16,75,0.0,1032,15,10,297,10,Tunisia
2020-01-03,16,9,0.0,8.7,4,51,12:31 PM,12:10 AM,07:33 AM,05:15 PM,8,11,12,11,14,11,75,0.0,1030,16,10,279,10,Tunisia
2020-01-04,14,9,0.0,3.7,3,59,12:58 PM,01:06 AM,07:33 AM,05:16 PM,8,10,12,10,28,79,77,0.3,1028,14,10,283,19,Tunisia
2020-01-05,15,10,0.0,3.7,3,66,01:27 PM,02:03 AM,07:33 AM,05:17 PM,8,11,13,11,35,74,71,1.6,1026,15,10,301,24,Tunisia
2020-01-06,17,11,0.0,8.7,4,73,01:58 PM,03:02 AM,07:33 AM,05:18 PM,6,13,14,13,9,16,59,0.8,1028,17,10,145,6,Tunisia
2020-01-07,15,9,0.0,3.7,3,80,02:34 PM,04:03 AM,07:33 AM,05:19 PM,8,10,12,10,19,50,77,0.6,1027,15,10,282,12,Tunisia
2020-01-08,14,10,0.0,3.7,3,88,03:17 PM,05:06 AM,07:33 AM,05:19 PM,9,11,12,11,24,76,78,5.8,1024,14,9,230,16,Tunisia
2020-01-09,16,11,0.0,8.7,3,95,04:07 PM,06:09 AM,07:33 AM,05:20 PM,7,12,13,12,17,34,71,0.6,1026,16,9,145,11,Tunisia
2020-01-10,16,11,0.0,8.7,4,100,05:06 PM,07:10 AM,07:33 AM,05:21 PM,7,13,13,13,10,6,69,0.0,1025,16,10,155,7,Tunisia
2020-01-11,14,10,0.0,7.0,3,100,06:11 PM,08:07 AM,07:32 AM,05:22 PM,7,12,12,12,8,36,69,0.6,1024,14,10,76,6,Tunisia
2020-01-12,14,9,0.0,8.7,3,83,07:21 PM,08:57 AM,07:32 AM,05:23 PM,6,10,12,10,15,40,68,0.2,1024,14,9,169,11,Tunisia
2020-01-13,14,11,0.0,3.7,3,76,08:32 PM,09:42 AM,07:32 AM,05:24 PM,8,11,12,11,14,63,75,4.3,1023,14,10,177,9,Tunisia
2020-01-14,15,9,0.0,8.7,4,69,09:43 PM,10:20 AM,07:32 AM,05:25 PM,7,11,11,11,11,14,73,0.0,1024,15,10,203,8,Tunisia
2020-01-15,16,11,0.0,8.7,4,61,10:52 PM,10:55 AM,07:32 AM,05:26 PM,7,13,13,13,6,4,68,0.0,1025,16,10,156,5,Tunisia
2020-01-16,15,9,0.0,8.7,4,54,No moonrise,11:28 AM,07:31 AM,05:27 PM,7,11,12,11,8,12,73,0.0,1028,15,10,205,5,Tunisia
2020-01-17,15,9,0.0,8.7,4,47,12:01 AM,12:00 PM,07:31 AM,05:28 PM,7,10,11,10,14,24,74,0.0,1028,15,10,275,9,Tunisia
2020-01-18,15,10,0.0,7.0,3,40,01:08 AM,12:33 PM,07:31 AM,05:29 PM,7,10,12,10,28,51,75,0.2,1028,15,10,285,18,Tunisia
2020-01-19,15,10,0.0,5.4,3,32,02:15 AM,01:09 PM,07:30 AM,05:30 PM,6,12,12,12,19,49,68,0.0,1021,15,10,172,13,Tunisia
2020-01-20,16,12,0.0,5.4,3,25,03:21 AM,01:48 PM,07:30 AM,05:31 PM,8,13,14,13,44,60,68,2.1,1022,16,10,142,30,Tunisia
2020-01-21,17,15,0.0,3.8,4,18,04:26 AM,02:31 PM,07:29 AM,05:32 PM,10,14,15,14,58,48,71,0.5,1027,17,10,135,40,Tunisia
