date_time,Ukraine_maxtempC,Ukraine_mintempC,Ukraine_totalSnow_cm,Ukraine_sunHour,Ukraine_uvIndex,Ukraine_moon_illumination,Ukraine_moonrise,Ukraine_moonset,Ukraine_sunrise,Ukraine_sunset,Ukraine_DewPointC,Ukraine_FeelsLikeC,Ukraine_HeatIndexC,Ukraine_WindChillC,Ukraine_WindGustKmph,Ukraine_cloudcover,Ukraine_humidity,Ukraine_precipMM,Ukraine_pressure,Ukraine_tempC,Ukraine_visibility,Ukraine_winddirDegree,Ukraine_windspeedKmph,Ukraine_location
2020-01-01,1,-6,0.8,3.2,1,37,11:32 AM,10:38 PM,07:59 AM,04:04 PM,-2,-6,-1,-6,34,81,85,3.0,1018,1,4,322,24,Ukraine
2020-01-02,1,-7,0.0,3.2,1,44,11:50 AM,11:43 PM,07:58 AM,04:05 PM,-2,-5,-1,-5,23,80,86,0.1,1026,1,10,275,16,Ukraine
2020-01-03,2,-5,0.0,8.5,2,51,12:07 PM,No moonset,07:58 AM,04:06 PM,-3,-3,0,-3,13,25,80,0.0,1022,2,10,277,9,Ukraine
2020-01-04,2,-1,0.1,5.0,1,59,12:24 PM,12:48 AM,07:58 AM,04:07 PM,-1,-3,1,-3,23,62,85,0.1,1013,2,9,267,15,Ukraine
2020-01-05,1,-3,0.6,3.2,1,66,12:44 PM,01:55 AM,07:58 AM,04:08 PM,-2,-4,0,-4,19,96,86,0.8,1016,1,8,311,13,Ukraine
2020-01-06,-1,-5,0.3,5.0,1,73,01:06 PM,03:03 AM,07:58 AM,04:10 PM,-4,-5,-1,-5,15,70,79,0.5,1028,-1,8,283,11,Ukraine
2020-01-07,-0,-8,0.0,3.2,1,80,01:33 PM,04:13 AM,07:57 AM,04:11 PM,-4,-5,-2,-5,12,74,85,0.0,1029,-0,10,286,8,Ukraine
2020-01-08,-0,-5,0.0,8.6,2,88,02:07 PM,05:25 AM,07:57 AM,04:12 PM,-5,-4,-1,-4,10,11,78,0.0,1029,-0,10,260,8,Ukraine
2020-01-09,0,-4,0.0,3.2,1,95,02:52 PM,06:33 AM,07:57 AM,04:13 PM,-2,-4,-0,-4,20,99,89,2.0,1023,0,7,258,13,Ukraine
2020-01-10,2,-2,0.0,3.2,1,100,03:49 PM,07:38 AM,07:56 AM,04:15 PM,1,-2,1,-2,16,94,95,3.0,1020,2,6,220,10,Ukraine
2020-01-11,4,-5,0.0,3.2,1,100,04:58 PM,08:32 AM,07:56 AM,04:16 PM,2,-2,2,-2,27,99,93,0.4,1018,4,8,268,16,Ukraine
2020-01-12,2,-6,0.0,8.6,2,83,06:15 PM,09:16 AM,07:55 AM,04:17 PM,-3,-3,0,-3,19,31,79,0.1,1027,2,10,299,13,Ukraine
2020-01-13,3,-3,0.0,5.1,1,76,07:37 PM,09:51 AM,07:54 AM,04:19 PM,-1,-3,1,-3,26,71,80,0.0,1023,3,10,261,17,Ukraine
2020-01-14,4,-3,0.0,8.7,2,69,08:59 PM,10:19 AM,07:54 AM,04:20 PM,0,-0,2,-0,12,47,89,0.0,1025,4,10,217,7,Ukraine
2020-01-15,4,1,0.0,8.7,2,61,10:20 PM,10:44 AM,07:53 AM,04:22 PM,-0,-2,2,-2,20,23,87,0.0,1030,4,10,186,13,Ukraine
2020-01-16,3,1,0.0,6.9,1,54,11:40 PM,11:06 AM,07:52 AM,04:23 PM,-0,-3,2,-3,24,37,88,0.0,1030,3,10,218,16,Ukraine
2020-01-17,3,0,0.0,8.7,1,47,No moonrise,11:28 AM,07:51 AM,04:25 PM,-0,-1,1,-1,11,42,91,0.0,1032,3,6,126,7,Ukraine
2020-01-18,4,-0,0.0,8.7,1,40,12:59 AM,11:50 AM,07:51 AM,04:26 PM,-1,-2,1,-2,13,20,86,0.0,1030,4,9,167,10,Ukraine
2020-01-19,4,-0,0.0,8.7,2,32,02:16 AM,12:15 PM,07:50 AM,04:28 PM,-1,-1,2,-1,9,7,83,0.0,1030,4,10,158,8,Ukraine
2020-01-20,1,-0,0.0,8.7,2,25,03:33 AM,12:44 PM,07:49 AM,04:29 PM,-2,-3,1,-3,15,20,86,0.0,1037,1,10,302,10,Ukraine
2020-01-21,2,-2,0.0,3.3,1,18,04:46 AM,01:21 PM,07:48 AM,04:31 PM,-2,-4,1,-4,32,75,82,0.0,1031,2,10,286,21,Ukraine
2020-01-22,3,-4,0.8,3.3,1,11,05:54 AM,02:05 PM,07:47 AM,04:33 PM,-0,-4,2,-4,41,90,83,1.3,1015,3,6,289,27,Ukraine
2020-01-23,1,-3,0.1,3.3,1,3,06:52 AM,02:58 PM,07:46 AM,04:34 PM,-5,-6,0,-6,35,76,70,0.5,1021,1,7,321,24,Ukraine
2020-01-24,2,-1,0.0,3.3,1,0,07:41 AM,03:58 PM,07:44 AM,04:36 PM,-3,-4,0,-4,28,75,77,0.0,1023,2,10,270,18,Ukraine
2020-01-25,3,0,0.0,3.4,1,0,08:19 AM,05:03 PM,07:43 AM,04:38 PM,-3,-4,1,-4,30,87,75,0.0,1016,3,10,278,20,Ukraine
2020-01-26,5,-6,0.0,8.7,2,4,08:50 AM,06:10 PM,07:42 AM,04:39 PM,-0,-2,1,-2,18,33,88,0.0,1022,5,10,266,11,Ukraine
2020-01-27,3,-3,0.0,5.2,1,11,09:15 AM,07:18 PM,07:41 AM,04:41 PM,-2,-2,1,-2,15,62,77,0.0,1020,3,10,217,9,Ukraine
2020-01-28,4,-4,0.0,6.9,1,18,09:36 AM,08:24 PM,07:40 AM,04:43 PM,-0,-1,2,-1,13,62,85,0.0,1012,4,10,189,8,Ukraine
2020-01-29,5,1,6.7,3.4,1,26,09:54 AM,09:29 PM,07:38 AM,04:44 PM,2,-1,3,-1,27,93,94,11.9,999,5,7,178,18,Ukraine
2020-01-30,2,0,1.1,3.4,1,33,10:11 AM,10:34 PM,07:37 AM,04:46 PM,-1,-4,1,-4,37,95,85,2.5,1003,2,5,261,26,Ukraine
2020-01-31,2,-0,0.3,3.4,1,37,10:29 AM,11:40 PM,07:36 AM,04:48 PM,-0,-3,1,-3,23,91,91,0.5,1006,2,7,233,16,Ukraine
2020-02-01,4,-4,0.2,3.4,1,49,10:47 AM,No moonset,07:34 AM,04:50 PM,2,-1,3,-1,17,98,94,0.5,1005,4,7,264,11,Ukraine
2020-02-02,9,0,0.0,3.4,2,57,11:07 AM,12:46 AM,07:33 AM,04:51 PM,4,3,6,3,34,80,82,3.0,1003,9,7,249,22,Ukraine
2020-02-03,4,2,0.4,3.5,1,64,11:32 AM,01:54 AM,07:31 AM,04:53 PM,0,-1,3,-1,28,88,78,0.5,1000,4,9,275,20,Ukraine
2020-02-04,4,-2,0.0,7.0,1,72,12:01 PM,03:03 AM,07:30 AM,04:55 PM,-1,-2,2,-2,17,59,80,1.7,1001,4,10,232,13,Ukraine
2020-02-05,3,-2,0.0,3.5,1,79,12:40 PM,04:12 AM,07:28 AM,04:57 PM,-1,-5,1,-5,38,100,87,20.5,1002,3,2,55,27,Ukraine
2020-02-06,1,-6,0.3,8.7,1,87,01:30 PM,05:18 AM,07:26 AM,04:58 PM,-7,-6,-1,-6,24,35,63,0.4,1013,1,9,210,17,Ukraine
2020-02-07,-3,-6,0.5,5.3,1,95,02:33 PM,06:17 AM,07:25 AM,05:00 PM,-10,-10,-4,-10,32,70,60,0.9,1016,-3,8,306,23,Ukraine
2020-02-08,-1,-5,0.0,3.7,1,100,03:48 PM,07:07 AM,07:23 AM,05:02 PM,-11,-8,-3,-8,19,67,57,0.0,1026,-1,10,322,14,Ukraine
2020-02-09,1,-4,0.0,8.7,2,100,05:10 PM,07:47 AM,07:21 AM,05:04 PM,-5,-5,-2,-5,14,44,80,0.0,1028,1,9,224,9,Ukraine
2020-02-10,3,-2,0.0,8.7,1,83,06:34 PM,08:18 AM,07:20 AM,05:06 PM,-5,-6,0,-6,43,31,67,1.8,1015,3,10,199,28,Ukraine
2020-02-11,3,1,6.9,7.0,1,75,07:59 PM,08:45 AM,07:18 AM,05:07 PM,0,-3,2,-3,34,77,86,15.2,998,3,6,234,22,Ukraine
2020-02-12,2,-3,0.6,3.7,1,68,09:23 PM,09:09 AM,07:16 AM,05:09 PM,-2,-5,1,-5,34,88,81,0.9,1003,2,7,277,24,Ukraine
2020-02-13,1,-5,0.3,3.7,1,60,10:45 PM,09:31 AM,07:14 AM,05:11 PM,-2,-5,0,-5,30,71,81,0.8,1013,1,9,274,19,Ukraine
2020-02-14,4,-3,0.0,3.8,1,53,No moonrise,09:54 AM,07:13 AM,05:13 PM,-2,-2,2,-2,21,69,75,0.0,1020,4,10,192,13,Ukraine
2020-02-15,3,-1,0.0,3.8,1,45,12:05 AM,10:18 AM,07:11 AM,05:14 PM,1,-1,2,-1,14,98,90,0.2,1023,3,8,242,9,Ukraine
2020-02-16,5,1,0.0,8.7,2,38,01:24 AM,10:47 AM,07:09 AM,05:16 PM,-0,-0,2,-0,17,34,82,0.0,1031,5,9,215,11,Ukraine
2020-02-17,8,3,0.0,8.7,3,30,02:38 AM,11:21 AM,07:07 AM,05:18 PM,0,1,5,1,33,45,71,0.0,1024,8,10,209,21,Ukraine
2020-02-18,8,3,0.0,8.7,2,22,03:48 AM,12:02 PM,07:05 AM,05:20 PM,1,2,5,2,22,37,74,0.0,1018,8,10,236,15,Ukraine
2020-02-19,7,0,0.0,8.7,3,15,04:48 AM,12:52 PM,07:03 AM,05:21 PM,0,2,4,2,17,10,73,0.0,1019,7,10,265,12,Ukraine
2020-02-20,6,3,0.0,3.8,1,7,05:39 AM,01:49 PM,07:01 AM,05:23 PM,0,2,4,2,13,73,76,0.1,1019,6,10,220,8,Ukraine
2020-02-21,6,1,0.0,4.0,1,0,06:19 AM,02:53 PM,06:59 AM,05:25 PM,-0,1,3,1,14,86,79,0.0,1022,6,10,162,10,Ukraine
2020-02-22,6,1,0.0,4.0,1,0,06:52 AM,03:59 PM,06:57 AM,05:27 PM,-2,0,3,0,15,65,72,0.1,1024,6,10,193,10,Ukraine
2020-02-23,7,3,0.0,4.0,1,0,07:19 AM,05:06 PM,06:55 AM,05:28 PM,-1,-0,4,-0,34,77,71,1.0,1012,7,10,252,23,Ukraine
2020-02-24,3,2,0.0,4.0,1,0,07:41 AM,06:12 PM,06:53 AM,05:30 PM,-0,-2,3,-2,37,83,81,10.7,1000,3,6,278,26,Ukraine
2020-02-25,4,-1,0.0,4.1,1,8,07:59 AM,07:19 PM,06:51 AM,05:32 PM,-1,-1,2,-1,26,73,76,0.0,1008,4,10,241,18,Ukraine
2020-02-26,5,-2,0.0,4.1,1,15,08:17 AM,08:23 PM,06:49 AM,05:34 PM,3,2,4,2,16,100,87,4.3,1000,5,7,189,10,Ukraine
2020-02-27,7,4,0.0,4.1,2,23,08:34 AM,09:29 PM,06:47 AM,05:35 PM,3,3,5,3,14,93,87,7.2,998,7,9,238,10,Ukraine
2020-02-28,9,2,0.0,8.7,3,30,08:51 AM,10:34 PM,06:45 AM,05:37 PM,-1,3,5,3,14,45,67,0.0,1003,9,10,293,11,Ukraine
2020-02-29,7,2,0.0,8.7,2,38,09:10 AM,11:41 PM,06:43 AM,05:39 PM,-2,2,4,2,14,23,66,0.0,1015,7,10,265,10,Ukraine
2020-03-01,8,2,0.0,4.1,2,44,09:32 AM,No moonset,06:41 AM,05:40 PM,-2,1,5,1,33,60,60,0.0,1015,8,10,187,22,Ukraine
