date_time,United%20Kingdom%2C%20England_maxtempC,United%20Kingdom%2C%20England_mintempC,United%20Kingdom%2C%20England_totalSnow_cm,United%20Kingdom%2C%20England_sunHour,United%20Kingdom%2C%20England_uvIndex,United%20Kingdom%2C%20England_moon_illumination,United%20Kingdom%2C%20England_moonrise,United%20Kingdom%2C%20England_moonset,United%20Kingdom%2C%20England_sunrise,United%20Kingdom%2C%20England_sunset,United%20Kingdom%2C%20England_DewPointC,United%20Kingdom%2C%20England_FeelsLikeC,United%20Kingdom%2C%20England_HeatIndexC,United%20Kingdom%2C%20England_WindChillC,United%20Kingdom%2C%20England_WindGustKmph,United%20Kingdom%2C%20England_cloudcover,United%20Kingdom%2C%20England_humidity,United%20Kingdom%2C%20England_precipMM,United%20Kingdom%2C%20England_pressure,United%20Kingdom%2C%20England_tempC,United%20Kingdom%2C%20England_visibility,United%20Kingdom%2C%20England_winddirDegree,United%20Kingdom%2C%20England_windspeedKmph,United%20Kingdom%2C%20England_location
2020-01-01,6,-3,0.0,7.5,2,37,11:40 AM,10:44 PM,08:12 AM,03:57 PM,3,1,4,1,19,21,90,0.0,1029,6,8,178,11,United%20Kingdom%2C%20England
2020-01-02,9,2,0.0,4.8,2,44,11:55 AM,11:51 PM,08:12 AM,03:58 PM,6,4,8,4,40,75,90,0.0,1018,9,10,206,25,United%20Kingdom%2C%20England
2020-01-03,9,4,0.0,4.8,2,51,12:11 PM,No moonset,08:12 AM,03:59 PM,4,3,7,3,36,68,80,0.4,1020,9,9,275,22,United%20Kingdom%2C%20England
2020-01-04,7,4,0.0,7.9,3,59,12:26 PM,12:58 AM,08:12 AM,04:00 PM,3,2,5,2,31,33,86,0.0,1032,7,10,262,17,United%20Kingdom%2C%20England
2020-01-05,8,4,0.0,7.9,2,66,12:44 PM,02:07 AM,08:11 AM,04:01 PM,4,3,6,3,32,47,88,0.0,1031,8,10,229,18,United%20Kingdom%2C%20England
2020-01-06,7,-2,0.0,3.0,2,73,01:05 PM,03:18 AM,08:11 AM,04:02 PM,4,1,5,1,37,69,88,0.1,1021,7,10,213,22,United%20Kingdom%2C%20England
2020-01-07,9,1,0.0,6.8,2,80,01:31 PM,04:30 AM,08:11 AM,04:04 PM,5,2,5,2,38,48,89,0.0,1020,9,10,220,22,United%20Kingdom%2C%20England
2020-01-08,9,7,0.0,3.0,2,88,02:04 PM,05:44 AM,08:10 AM,04:05 PM,7,7,9,7,23,77,87,1.2,1018,9,7,234,14,United%20Kingdom%2C%20England
2020-01-09,12,6,0.0,4.9,3,95,02:48 PM,06:54 AM,08:10 AM,04:06 PM,8,6,9,6,35,79,89,14.5,1005,12,9,196,22,United%20Kingdom%2C%20England
2020-01-10,6,3,0.0,8.0,1,100,03:46 PM,07:57 AM,08:09 AM,04:08 PM,3,1,5,1,29,40,87,8.7,1020,6,9,277,18,United%20Kingdom%2C%20England
2020-01-11,9,1,0.0,3.0,2,100,04:57 PM,08:50 AM,08:08 AM,04:09 PM,5,3,7,3,50,84,84,0.0,1021,9,10,210,30,United%20Kingdom%2C%20England
2020-01-12,9,5,0.0,3.0,2,83,06:16 PM,09:32 AM,08:08 AM,04:11 PM,6,5,8,5,36,79,87,3.8,1014,9,10,232,22,United%20Kingdom%2C%20England
2020-01-13,8,-0,0.0,3.0,2,76,07:41 PM,10:04 AM,08:07 AM,04:12 PM,4,2,6,2,44,73,86,3.2,1005,8,9,200,27,United%20Kingdom%2C%20England
2020-01-14,11,4,0.0,3.0,2,69,09:06 PM,10:29 AM,08:06 AM,04:14 PM,5,3,7,3,54,82,82,2.9,993,11,10,206,33,United%20Kingdom%2C%20England
2020-01-15,7,5,0.0,4.9,2,61,10:29 PM,10:51 AM,08:05 AM,04:15 PM,4,3,7,3,32,63,82,6.0,1003,7,10,229,20,United%20Kingdom%2C%20England
2020-01-16,9,1,0.0,4.9,2,54,11:51 PM,11:11 AM,08:04 AM,04:17 PM,6,3,7,3,46,64,87,3.5,1012,9,8,178,28,United%20Kingdom%2C%20England
2020-01-17,8,3,0.0,3.1,2,47,No moonrise,11:30 AM,08:03 AM,04:19 PM,5,3,6,3,24,95,90,3.3,1011,8,10,245,15,United%20Kingdom%2C%20England
2020-01-18,6,2,0.0,8.2,2,40,01:12 AM,11:51 AM,08:02 AM,04:20 PM,1,-0,4,-0,33,19,82,0.1,1026,6,10,294,19,United%20Kingdom%2C%20England
2020-01-19,5,1,0.0,8.2,2,32,02:32 AM,12:13 PM,08:01 AM,04:22 PM,-1,-1,2,-1,23,3,81,0.0,1043,5,10,329,12,United%20Kingdom%2C%20England
2020-01-20,6,1,0.0,8.2,2,25,03:51 AM,12:41 PM,08:00 AM,04:24 PM,-0,1,3,1,16,12,79,0.0,1047,6,10,259,8,United%20Kingdom%2C%20England
2020-01-21,6,1,0.0,8.7,1,18,05:06 AM,01:17 PM,07:59 AM,04:25 PM,2,0,3,0,19,17,90,0.0,1042,6,7,271,10,United%20Kingdom%2C%20England
2020-01-22,9,4,0.0,6.9,2,11,06:13 AM,02:00 PM,07:58 AM,04:27 PM,6,6,6,6,9,53,94,0.0,1037,9,5,187,5,United%20Kingdom%2C%20England
2020-01-23,8,5,0.0,3.3,2,3,07:12 AM,02:54 PM,07:57 AM,04:29 PM,5,5,6,5,11,60,94,0.0,1032,8,5,241,6,United%20Kingdom%2C%20England
2020-01-24,9,6,0.0,5.1,2,0,07:58 AM,03:56 PM,07:56 AM,04:31 PM,6,6,7,6,10,67,91,0.1,1024,9,6,241,6,United%20Kingdom%2C%20England
2020-01-25,8,5,0.0,6.9,2,0,08:35 AM,05:03 PM,07:54 AM,04:33 PM,4,4,6,4,17,72,88,0.0,1017,8,10,187,11,United%20Kingdom%2C%20England
2020-01-26,9,6,0.0,3.3,2,4,09:03 AM,06:12 PM,07:53 AM,04:34 PM,6,4,8,4,34,96,90,4.9,1008,9,10,198,22,United%20Kingdom%2C%20England
2020-01-27,7,3,0.0,3.3,2,11,09:26 AM,07:21 PM,07:52 AM,04:36 PM,3,2,5,2,29,58,89,1.1,999,7,10,211,17,United%20Kingdom%2C%20England
2020-01-28,6,2,0.3,5.1,1,18,09:45 AM,08:29 PM,07:50 AM,04:38 PM,0,-1,3,-1,37,60,81,1.6,993,6,8,252,24,United%20Kingdom%2C%20England
2020-01-29,6,0,0.0,8.7,2,26,10:01 AM,09:37 PM,07:49 AM,04:40 PM,0,-1,3,-1,39,28,80,0.0,1007,6,10,251,23,United%20Kingdom%2C%20England
2020-01-30,11,4,0.0,3.4,2,33,10:16 AM,10:43 PM,07:47 AM,04:42 PM,6,4,8,4,35,73,92,0.0,1003,11,10,225,21,United%20Kingdom%2C%20England
2020-01-31,13,7,0.0,3.4,3,37,10:31 AM,11:51 PM,07:46 AM,04:44 PM,8,8,11,8,45,73,87,1.2,1003,13,9,233,28,United%20Kingdom%2C%20England
2020-02-01,10,6,0.0,3.4,2,49,10:48 AM,No moonset,07:44 AM,04:46 PM,5,5,9,5,45,71,77,0.2,1002,10,10,248,28,United%20Kingdom%2C%20England
2020-02-02,11,5,0.0,3.4,2,57,11:07 AM,12:59 AM,07:43 AM,04:48 PM,6,5,8,5,33,89,87,2.1,1006,11,8,219,20,United%20Kingdom%2C%20England
2020-02-03,7,4,0.0,6.9,2,64,11:29 AM,02:10 AM,07:41 AM,04:49 PM,2,2,6,2,41,35,75,0.0,1011,7,10,260,25,United%20Kingdom%2C%20England
2020-02-04,9,3,0.0,3.4,2,72,11:58 AM,03:21 AM,07:39 AM,04:51 PM,1,1,5,1,43,52,76,0.3,1019,9,10,306,26,United%20Kingdom%2C%20England
2020-02-05,7,2,0.0,6.9,1,79,12:36 PM,04:32 AM,07:38 AM,04:53 PM,2,2,4,2,17,37,84,0.0,1035,7,10,273,9,United%20Kingdom%2C%20England
2020-02-06,10,2,0.0,8.7,3,87,01:26 PM,05:39 AM,07:36 AM,04:55 PM,3,4,5,4,12,3,83,0.0,1030,10,10,222,7,United%20Kingdom%2C%20England
2020-02-07,7,-1,0.0,8.7,2,95,02:30 PM,06:36 AM,07:34 AM,04:57 PM,2,0,4,0,29,23,84,0.0,1019,7,10,159,17,United%20Kingdom%2C%20England
2020-02-08,8,1,0.0,7.0,2,100,03:48 PM,07:24 AM,07:32 AM,04:59 PM,4,3,7,3,39,65,80,0.1,1012,8,10,215,24,United%20Kingdom%2C%20England
2020-02-09,14,7,0.0,3.6,3,100,05:13 PM,08:01 AM,07:30 AM,05:01 PM,7,6,10,6,78,93,81,10.6,992,14,7,219,50,United%20Kingdom%2C%20England
2020-02-10,6,2,0.6,5.3,1,83,06:40 PM,08:30 AM,07:29 AM,05:03 PM,1,-1,4,-1,54,72,76,4.2,993,6,8,255,36,United%20Kingdom%2C%20England
2020-02-11,4,2,0.1,7.0,1,75,08:07 PM,08:54 AM,07:27 AM,05:05 PM,-3,-4,3,-4,59,30,68,0.1,1004,4,9,259,36,United%20Kingdom%2C%20England
2020-02-12,6,1,0.0,7.0,1,68,09:34 PM,09:15 AM,07:25 AM,05:07 PM,-2,-2,3,-2,40,38,73,0.2,1012,6,10,244,24,United%20Kingdom%2C%20England
2020-02-13,7,3,0.0,5.4,2,60,10:58 PM,09:35 AM,07:23 AM,05:09 PM,4,1,5,1,32,88,89,6.3,997,7,9,243,21,United%20Kingdom%2C%20England
2020-02-14,10,2,0.0,7.0,2,53,No moonrise,09:55 AM,07:21 AM,05:11 PM,4,3,6,3,31,53,89,0.5,1014,10,9,228,19,United%20Kingdom%2C%20England
2020-02-15,12,6,0.0,3.7,3,45,12:20 AM,10:17 AM,07:19 AM,05:13 PM,8,7,10,7,54,91,88,3.3,1005,12,7,204,33,United%20Kingdom%2C%20England
2020-02-16,13,5,0.0,3.7,2,38,01:41 AM,10:44 AM,07:17 AM,05:15 PM,6,5,9,5,59,85,82,19.4,992,13,7,234,37,United%20Kingdom%2C%20England
2020-02-17,8,4,0.0,7.1,2,30,02:57 AM,11:17 AM,07:15 AM,05:17 PM,1,1,5,1,52,49,74,0.8,1007,8,8,239,32,United%20Kingdom%2C%20England
2020-02-18,8,2,0.0,5.4,2,22,04:07 AM,11:57 AM,07:13 AM,05:18 PM,1,-0,4,-0,44,54,79,0.6,1015,8,9,242,27,United%20Kingdom%2C%20England
2020-02-19,6,-3,0.0,5.4,1,15,05:08 AM,12:47 PM,07:11 AM,05:20 PM,2,-1,3,-1,41,67,83,3.1,1016,6,9,241,25,United%20Kingdom%2C%20England
2020-02-20,10,2,0.0,3.8,2,7,05:57 AM,01:46 PM,07:09 AM,05:22 PM,3,2,6,2,51,68,82,5.3,1008,10,9,236,31,United%20Kingdom%2C%20England
2020-02-21,8,2,0.0,3.8,2,0,06:36 AM,02:51 PM,07:06 AM,05:24 PM,2,1,6,1,51,69,80,0.0,1019,8,10,235,31,United%20Kingdom%2C%20England
2020-02-22,11,5,0.0,3.8,2,0,07:06 AM,04:00 PM,07:04 AM,05:26 PM,4,4,9,4,57,77,75,0.7,1014,11,9,249,36,United%20Kingdom%2C%20England
2020-02-23,12,2,0.0,3.8,2,0,07:30 AM,05:09 PM,07:02 AM,05:28 PM,4,3,7,3,40,71,83,5.0,1016,12,9,257,24,United%20Kingdom%2C%20England
2020-02-24,11,3,0.0,3.9,2,0,07:50 AM,06:17 PM,07:00 AM,05:30 PM,4,3,7,3,47,81,85,2.5,1008,11,8,218,29,United%20Kingdom%2C%20England
2020-02-25,7,1,0.0,5.6,1,8,08:07 AM,07:25 PM,06:58 AM,05:32 PM,1,-1,4,-1,37,55,81,2.9,999,7,9,257,24,United%20Kingdom%2C%20England
2020-02-26,6,1,0.3,5.6,1,15,08:22 AM,08:32 PM,06:56 AM,05:34 PM,-1,-2,3,-2,40,63,78,4.3,1002,6,8,283,25,United%20Kingdom%2C%20England
2020-02-27,6,1,0.0,4.1,1,23,08:37 AM,09:40 PM,06:53 AM,05:35 PM,0,0,3,0,16,78,85,0.7,1005,6,10,264,10,United%20Kingdom%2C%20England
2020-02-28,6,0,0.1,4.1,1,30,08:53 AM,10:47 PM,06:51 AM,05:37 PM,2,-1,3,-1,33,77,90,7.0,1003,6,10,199,20,United%20Kingdom%2C%20England
2020-02-29,9,4,0.0,4.1,2,38,09:10 AM,11:56 PM,06:49 AM,05:39 PM,3,2,7,2,56,77,75,3.7,982,9,10,218,38,United%20Kingdom%2C%20England
2020-03-01,7,3,0.0,7.2,2,44,09:31 AM,No moonset,06:47 AM,05:41 PM,-1,-1,5,-1,49,25,68,0.1,984,7,10,231,32,United%20Kingdom%2C%20England
2020-03-02,5,1,15.4,4.1,1,51,09:56 AM,01:05 AM,06:44 AM,05:43 PM,1,-1,3,-1,27,83,87,18.9,987,5,7,240,17,United%20Kingdom%2C%20England
2020-03-03,8,1,0.2,5.7,1,58,10:28 AM,02:15 AM,06:42 AM,05:45 PM,0,-1,4,-1,33,41,78,1.6,1000,8,9,262,21,United%20Kingdom%2C%20England
2020-03-04,7,1,0.0,4.1,1,65,11:11 AM,03:22 AM,06:40 AM,05:46 PM,1,0,4,0,25,71,85,5.4,1006,7,9,197,16,United%20Kingdom%2C%20England
2020-03-05,6,3,0.0,4.2,2,73,12:07 PM,04:22 AM,06:37 AM,05:48 PM,3,1,5,1,30,89,89,1.8,995,6,5,127,21,United%20Kingdom%2C%20England
2020-03-06,8,-0,0.0,5.7,1,80,01:17 PM,05:14 AM,06:35 AM,05:50 PM,0,-0,3,-0,22,36,83,0.8,1002,8,10,302,13,United%20Kingdom%2C%20England
2020-03-07,11,1,0.0,4.2,2,87,02:38 PM,05:55 AM,06:33 AM,05:52 PM,3,2,5,2,32,68,86,0.0,1013,11,10,232,19,United%20Kingdom%2C%20England
2020-03-08,10,5,0.0,5.7,2,95,04:05 PM,06:27 AM,06:31 AM,05:54 PM,5,4,8,4,46,70,81,2.9,1003,10,10,231,30,United%20Kingdom%2C%20England
2020-03-09,10,4,0.0,5.7,2,100,05:34 PM,06:53 AM,06:28 AM,05:55 PM,3,2,6,2,38,68,80,1.0,1009,10,10,251,24,United%20Kingdom%2C%20England
2020-03-10,14,9,0.0,4.2,3,100,07:03 PM,07:16 AM,06:26 AM,05:57 PM,9,9,12,9,52,81,84,0.8,1002,14,8,247,32,United%20Kingdom%2C%20England
