date_time,United%20Kingdom_maxtempC,United%20Kingdom_mintempC,United%20Kingdom_totalSnow_cm,United%20Kingdom_sunHour,United%20Kingdom_uvIndex,United%20Kingdom_moon_illumination,United%20Kingdom_moonrise,United%20Kingdom_moonset,United%20Kingdom_sunrise,United%20Kingdom_sunset,United%20Kingdom_DewPointC,United%20Kingdom_FeelsLikeC,United%20Kingdom_HeatIndexC,United%20Kingdom_WindChillC,United%20Kingdom_WindGustKmph,United%20Kingdom_cloudcover,United%20Kingdom_humidity,United%20Kingdom_precipMM,United%20Kingdom_pressure,United%20Kingdom_tempC,United%20Kingdom_visibility,United%20Kingdom_winddirDegree,United%20Kingdom_windspeedKmph,United%20Kingdom_location
2020-01-01,9,-2,0.0,8.7,2,37,11:37 AM,11:18 PM,07:27 AM,04:56 PM,-3,-1,2,-1,23,3,72,0.0,1013,9,10,217,14,United%20Kingdom
2020-01-02,11,4,0.0,3.5,2,44,12:02 PM,No moonset,07:27 AM,04:57 PM,5,5,7,5,21,57,86,1.4,1002,11,10,184,12,United%20Kingdom
2020-01-03,6,-7,7.2,3.5,1,51,12:27 PM,12:14 AM,07:27 AM,04:58 PM,2,-1,3,-1,27,89,92,39.2,1007,6,6,180,19,United%20Kingdom
2020-01-04,4,-1,0.3,7.0,1,59,12:53 PM,01:12 AM,07:27 AM,04:59 PM,-3,-4,1,-4,25,54,76,0.5,1020,4,9,283,18,United%20Kingdom
2020-01-05,8,0,0.0,8.7,2,66,01:21 PM,02:11 AM,07:27 AM,05:00 PM,-3,-0,3,-0,28,5,63,0.0,1022,8,10,266,17,United%20Kingdom
2020-01-06,6,-1,0.0,7.0,1,73,01:52 PM,03:12 AM,07:27 AM,05:00 PM,-5,0,2,0,11,58,63,0.0,1022,6,10,228,7,United%20Kingdom
2020-01-07,6,0,0.0,8.7,2,80,02:29 PM,04:14 AM,07:27 AM,05:01 PM,-4,-2,2,-2,25,13,66,0.0,1022,6,10,265,16,United%20Kingdom
2020-01-08,6,-2,0.0,8.7,2,88,03:13 PM,05:18 AM,07:27 AM,05:02 PM,-4,-2,2,-2,25,26,67,0.0,1025,6,10,95,16,United%20Kingdom
2020-01-09,12,4,0.0,3.7,3,95,04:05 PM,06:21 AM,07:27 AM,05:03 PM,5,6,9,6,41,96,76,1.2,1015,12,8,188,25,United%20Kingdom
2020-01-10,16,12,0.0,3.7,3,100,05:06 PM,07:22 AM,07:27 AM,05:04 PM,11,13,14,13,31,93,93,62.4,1011,16,7,149,19,United%20Kingdom
2020-01-11,-2,-6,1.0,3.7,1,100,06:13 PM,08:16 AM,07:27 AM,05:05 PM,-3,-8,-2,-8,32,96,94,30.8,1012,-2,6,246,23,United%20Kingdom
2020-01-12,2,-7,0.1,5.4,1,83,07:25 PM,09:04 AM,07:26 AM,05:06 PM,-3,-6,-3,-6,12,75,94,0.1,1022,2,5,204,8,United%20Kingdom
2020-01-13,6,0,0.0,7.0,1,76,08:38 PM,09:45 AM,07:26 AM,05:07 PM,1,-0,3,-0,18,45,90,0.0,1022,6,8,182,11,United%20Kingdom
2020-01-14,8,3,0.0,8.7,2,69,09:50 PM,10:21 AM,07:26 AM,05:08 PM,2,3,5,3,21,24,82,0.0,1020,8,10,223,12,United%20Kingdom
2020-01-15,13,3,0.0,3.7,3,61,11:00 PM,10:54 AM,07:25 AM,05:10 PM,5,6,9,6,29,67,84,0.1,1019,13,10,243,19,United%20Kingdom
