date_time,United%20States%20Virgin%20Islands_maxtempC,United%20States%20Virgin%20Islands_mintempC,United%20States%20Virgin%20Islands_totalSnow_cm,United%20States%20Virgin%20Islands_sunHour,United%20States%20Virgin%20Islands_uvIndex,United%20States%20Virgin%20Islands_moon_illumination,United%20States%20Virgin%20Islands_moonrise,United%20States%20Virgin%20Islands_moonset,United%20States%20Virgin%20Islands_sunrise,United%20States%20Virgin%20Islands_sunset,United%20States%20Virgin%20Islands_DewPointC,United%20States%20Virgin%20Islands_FeelsLikeC,United%20States%20Virgin%20Islands_HeatIndexC,United%20States%20Virgin%20Islands_WindChillC,United%20States%20Virgin%20Islands_WindGustKmph,United%20States%20Virgin%20Islands_cloudcover,United%20States%20Virgin%20Islands_humidity,United%20States%20Virgin%20Islands_precipMM,United%20States%20Virgin%20Islands_pressure,United%20States%20Virgin%20Islands_tempC,United%20States%20Virgin%20Islands_visibility,United%20States%20Virgin%20Islands_winddirDegree,United%20States%20Virgin%20Islands_windspeedKmph,United%20States%20Virgin%20Islands_location
2020-01-01,27,26,0.0,7.2,6,37,11:31 AM,11:34 PM,06:50 AM,05:54 PM,23,29,29,26,27,63,82,0.9,1014,27,10,87,21,United%20States%20Virgin%20Islands
2020-01-02,26,22,0.0,4.1,6,44,12:05 PM,No moonset,06:51 AM,05:54 PM,22,28,28,25,34,66,79,5.4,1016,26,10,95,25,United%20States%20Virgin%20Islands
2020-01-03,26,23,0.0,7.2,6,51,12:40 PM,12:21 AM,06:51 AM,05:55 PM,22,28,28,25,35,69,78,0.7,1018,26,10,70,25,United%20States%20Virgin%20Islands
2020-01-04,26,22,0.0,5.7,6,59,01:15 PM,01:09 AM,06:51 AM,05:55 PM,22,27,27,25,39,47,79,0.9,1018,26,10,55,28,United%20States%20Virgin%20Islands
2020-01-05,26,25,0.0,5.7,6,66,01:52 PM,01:58 AM,06:52 AM,05:56 PM,21,28,28,26,25,43,74,0.9,1016,26,10,84,18,United%20States%20Virgin%20Islands
2020-01-06,25,25,0.0,7.2,6,73,02:32 PM,02:49 AM,06:52 AM,05:57 PM,20,27,27,25,31,46,74,1.5,1015,25,10,82,22,United%20States%20Virgin%20Islands
2020-01-07,26,22,0.0,4.1,6,80,03:17 PM,03:43 AM,06:52 AM,05:57 PM,21,27,27,25,34,65,77,4.3,1016,26,10,79,24,United%20States%20Virgin%20Islands
2020-01-08,27,19,0.0,7.2,6,88,04:06 PM,04:39 AM,06:52 AM,05:58 PM,22,28,28,25,39,51,77,1.0,1018,27,10,84,28,United%20States%20Virgin%20Islands
2020-01-09,27,21,0.0,4.1,6,95,05:01 PM,05:39 AM,06:53 AM,05:58 PM,22,28,28,26,47,72,77,3.6,1020,27,10,74,35,United%20States%20Virgin%20Islands
2020-01-10,27,26,0.0,4.1,6,100,06:01 PM,06:38 AM,06:53 AM,05:59 PM,21,29,29,27,58,77,73,2.9,1020,27,9,75,44,United%20States%20Virgin%20Islands
