date_time,United%20States%2C%20Delaware_maxtempC,United%20States%2C%20Delaware_mintempC,United%20States%2C%20Delaware_totalSnow_cm,United%20States%2C%20Delaware_sunHour,United%20States%2C%20Delaware_uvIndex,United%20States%2C%20Delaware_moon_illumination,United%20States%2C%20Delaware_moonrise,United%20States%2C%20Delaware_moonset,United%20States%2C%20Delaware_sunrise,United%20States%2C%20Delaware_sunset,United%20States%2C%20Delaware_DewPointC,United%20States%2C%20Delaware_FeelsLikeC,United%20States%2C%20Delaware_HeatIndexC,United%20States%2C%20Delaware_WindChillC,United%20States%2C%20Delaware_WindGustKmph,United%20States%2C%20Delaware_cloudcover,United%20States%2C%20Delaware_humidity,United%20States%2C%20Delaware_precipMM,United%20States%2C%20Delaware_pressure,United%20States%2C%20Delaware_tempC,United%20States%2C%20Delaware_visibility,United%20States%2C%20Delaware_winddirDegree,United%20States%2C%20Delaware_windspeedKmph,United%20States%2C%20Delaware_location
2020-01-01,5,2,0.0,8.7,2,37,11:31 AM,11:09 PM,07:24 AM,04:48 PM,-4,-1,3,-1,28,14,61,0.0,1009,5,10,276,19,United%20States%2C%20Delaware
2020-01-02,8,2,0.0,7.0,1,44,11:55 AM,No moonset,07:24 AM,04:49 PM,-1,2,4,2,16,29,70,0.0,1014,8,10,230,11,United%20States%2C%20Delaware
2020-01-03,13,3,0.0,3.5,3,51,12:20 PM,12:06 AM,07:24 AM,04:50 PM,8,8,10,8,23,90,90,15.3,1009,13,9,219,14,United%20States%2C%20Delaware
2020-01-04,14,9,0.0,3.5,3,59,12:45 PM,01:04 AM,07:24 AM,04:51 PM,10,10,11,10,20,89,90,3.4,1004,14,8,240,13,United%20States%2C%20Delaware
2020-01-05,6,2,0.0,8.7,2,66,01:13 PM,02:03 AM,07:24 AM,04:52 PM,-2,-0,4,-0,29,27,62,0.4,1010,6,9,294,21,United%20States%2C%20Delaware
2020-01-06,6,2,0.0,8.7,1,73,01:44 PM,03:04 AM,07:24 AM,04:53 PM,-3,0,4,0,21,48,63,0.0,1015,6,10,258,14,United%20States%2C%20Delaware
2020-01-07,5,1,0.4,3.5,1,80,02:20 PM,04:07 AM,07:24 AM,04:54 PM,-3,0,2,0,11,65,68,0.9,1018,5,8,233,7,United%20States%2C%20Delaware
2020-01-08,2,-4,0.8,8.7,2,88,03:03 PM,05:12 AM,07:24 AM,04:55 PM,-6,-6,-0,-6,33,31,68,1.3,1018,2,9,277,23,United%20States%2C%20Delaware
2020-01-09,1,-4,0.0,8.7,2,95,03:55 PM,06:15 AM,07:24 AM,04:56 PM,-12,-6,-2,-6,15,8,48,0.0,1037,1,10,268,11,United%20States%2C%20Delaware
2020-01-10,10,-4,0.0,5.2,2,100,04:55 PM,07:16 AM,07:23 AM,04:57 PM,1,1,5,1,25,53,77,0.0,1034,10,10,200,15,United%20States%2C%20Delaware
2020-01-11,17,4,0.0,7.0,3,100,06:03 PM,08:10 AM,07:23 AM,04:58 PM,10,11,12,11,30,69,87,0.0,1025,17,7,194,16,United%20States%2C%20Delaware
2020-01-12,19,11,0.0,8.7,5,83,07:15 PM,08:58 AM,07:23 AM,04:59 PM,10,15,15,15,39,32,70,0.5,1019,19,9,252,24,United%20States%2C%20Delaware
2020-01-13,11,5,0.0,8.7,2,76,08:27 PM,09:40 AM,07:23 AM,05:00 PM,2,6,7,6,8,46,68,0.0,1030,11,10,96,6,United%20States%2C%20Delaware
2020-01-14,9,7,0.0,3.7,2,69,09:40 PM,10:15 AM,07:22 AM,05:01 PM,5,6,7,6,9,85,83,0.7,1025,9,9,96,7,United%20States%2C%20Delaware
2020-01-15,11,2,0.0,8.7,3,61,10:51 PM,10:48 AM,07:22 AM,05:02 PM,4,6,8,6,13,19,77,0.0,1020,11,8,256,8,United%20States%2C%20Delaware
2020-01-16,10,1,0.0,8.7,3,54,No moonrise,11:18 AM,07:22 AM,05:03 PM,-1,2,7,2,38,42,59,0.1,1017,10,10,281,27,United%20States%2C%20Delaware
2020-01-17,-1,-4,0.0,8.7,2,47,12:01 AM,11:49 AM,07:21 AM,05:04 PM,-14,-8,-2,-8,28,5,40,0.0,1035,-1,10,337,22,United%20States%2C%20Delaware
2020-01-18,-1,-6,4.5,3.7,1,40,01:10 AM,12:20 PM,07:21 AM,05:05 PM,-9,-6,-2,-6,20,72,62,13.1,1029,-1,8,201,14,United%20States%2C%20Delaware
2020-01-19,4,-4,0.0,7.0,1,32,02:19 AM,12:55 PM,07:20 AM,05:06 PM,-2,-4,1,-4,38,43,76,0.3,1011,4,10,268,24,United%20States%2C%20Delaware
2020-01-20,-2,-5,0.0,8.7,2,25,03:27 AM,01:33 PM,07:20 AM,05:08 PM,-11,-10,-4,-10,27,12,57,0.0,1023,-2,10,325,21,United%20States%2C%20Delaware
2020-01-21,-1,-6,0.0,8.7,2,18,04:32 AM,02:17 PM,07:19 AM,05:09 PM,-10,-9,-4,-9,17,10,63,0.0,1030,-1,10,334,13,United%20States%2C%20Delaware
2020-01-22,5,-3,0.0,8.7,2,11,05:34 AM,03:07 PM,07:19 AM,05:10 PM,-6,-2,0,-2,9,5,63,0.0,1030,5,10,325,7,United%20States%2C%20Delaware
2020-01-23,4,-1,0.0,3.7,1,3,06:28 AM,04:02 PM,07:18 AM,05:11 PM,-9,1,1,1,5,55,50,0.0,1029,4,10,261,3,United%20States%2C%20Delaware
2020-01-24,7,0,0.0,8.7,1,0,07:17 AM,05:00 PM,07:17 AM,05:12 PM,-1,2,3,2,12,51,76,0.0,1025,7,10,104,7,United%20States%2C%20Delaware
2020-01-25,11,1,0.0,3.7,3,0,07:58 AM,06:01 PM,07:17 AM,05:13 PM,7,6,9,6,32,79,89,62.9,1012,11,7,168,19,United%20States%2C%20Delaware
2020-01-26,7,2,0.0,7.0,1,4,08:33 AM,07:01 PM,07:16 AM,05:15 PM,-0,1,4,1,21,38,71,0.0,1011,7,10,272,14,United%20States%2C%20Delaware
2020-01-27,7,1,0.0,7.1,1,11,09:04 AM,08:00 PM,07:15 AM,05:16 PM,-2,0,4,0,21,57,68,0.0,1009,7,10,276,15,United%20States%2C%20Delaware
2020-01-28,6,1,0.0,8.7,2,18,09:32 AM,08:58 PM,07:14 AM,05:17 PM,-3,-1,3,-1,24,32,68,0.0,1011,6,10,310,17,United%20States%2C%20Delaware
2020-01-29,5,-1,0.0,8.7,2,26,09:57 AM,09:56 PM,07:13 AM,05:18 PM,-6,-3,1,-3,18,6,59,0.0,1017,5,10,330,13,United%20States%2C%20Delaware
2020-01-30,4,-1,0.0,5.4,1,33,10:21 AM,10:53 PM,07:13 AM,05:19 PM,-7,-1,1,-1,10,50,53,0.0,1024,4,10,80,7,United%20States%2C%20Delaware
2020-01-31,7,0,0.0,5.4,1,37,10:46 AM,11:51 PM,07:12 AM,05:21 PM,-2,2,3,2,8,59,71,0.0,1025,7,10,141,5,United%20States%2C%20Delaware
2020-02-01,9,2,0.0,3.8,2,49,11:13 AM,No moonset,07:11 AM,05:22 PM,2,4,5,4,7,75,82,0.1,1015,9,10,131,5,United%20States%2C%20Delaware
2020-02-02,6,3,0.6,7.1,1,57,11:41 AM,12:50 AM,07:10 AM,05:23 PM,1,1,5,1,20,75,76,4.7,1004,6,7,271,14,United%20States%2C%20Delaware
2020-02-03,10,-1,0.0,8.7,3,64,12:14 PM,01:51 AM,07:09 AM,05:24 PM,1,4,6,4,20,9,69,0.0,1010,10,10,252,13,United%20States%2C%20Delaware
2020-02-04,10,7,0.0,3.8,2,72,12:52 PM,02:53 AM,07:08 AM,05:25 PM,8,8,9,8,17,69,92,10.1,1010,10,7,223,9,United%20States%2C%20Delaware
2020-02-05,8,3,0.0,3.8,1,79,01:39 PM,03:56 AM,07:07 AM,05:27 PM,3,3,6,3,19,97,81,6.1,1014,8,6,112,13,United%20States%2C%20Delaware
2020-02-06,14,-3,0.0,3.8,3,87,02:34 PM,04:58 AM,07:06 AM,05:28 PM,8,6,8,6,26,98,94,22.9,1003,14,7,145,15,United%20States%2C%20Delaware
2020-02-07,13,3,0.0,3.8,3,95,03:39 PM,05:55 AM,07:05 AM,05:29 PM,7,8,11,8,36,89,80,7.6,989,13,7,231,25,United%20States%2C%20Delaware
2020-02-08,5,-1,0.0,8.7,2,100,04:50 PM,06:47 AM,07:04 AM,05:30 PM,-7,-2,2,-2,21,28,54,0.0,1020,5,10,264,15,United%20States%2C%20Delaware
2020-02-09,8,1,0.0,8.7,1,100,06:05 PM,07:32 AM,07:03 AM,05:31 PM,-2,2,4,2,10,47,67,0.0,1029,8,10,193,7,United%20States%2C%20Delaware
2020-02-10,7,3,0.0,3.9,2,83,07:21 PM,08:11 AM,07:01 AM,05:33 PM,3,2,6,2,29,87,81,5.3,1023,7,9,211,19,United%20States%2C%20Delaware
2020-02-11,11,3,0.0,3.9,3,75,08:35 PM,08:46 AM,07:00 AM,05:34 PM,9,8,9,8,18,80,93,14.6,1013,11,7,247,11,United%20States%2C%20Delaware
2020-02-12,7,3,0.0,8.7,1,68,09:49 PM,09:19 AM,06:59 AM,05:35 PM,-1,2,4,2,17,53,67,2.2,1021,7,9,257,12,United%20States%2C%20Delaware
2020-02-13,14,4,0.0,4.0,3,60,11:00 PM,09:50 AM,06:58 AM,05:36 PM,7,7,10,7,29,91,84,7.3,1007,14,8,227,17,United%20States%2C%20Delaware
2020-02-14,1,-4,0.0,8.7,2,53,No moonrise,10:21 AM,06:57 AM,05:37 PM,-8,-6,-0,-6,26,4,56,0.0,1024,1,10,318,20,United%20States%2C%20Delaware
2020-02-15,2,-5,0.0,8.7,1,45,12:11 AM,10:56 AM,06:55 AM,05:38 PM,-14,-6,-2,-6,12,25,40,0.0,1033,2,10,234,9,United%20States%2C%20Delaware
2020-02-16,9,-1,0.0,8.7,1,38,01:20 AM,11:33 AM,06:54 AM,05:40 PM,-3,0,3,0,19,54,62,0.1,1022,9,10,222,13,United%20States%2C%20Delaware
