date_time,United%20States%2C%20Georgia_maxtempC,United%20States%2C%20Georgia_mintempC,United%20States%2C%20Georgia_totalSnow_cm,United%20States%2C%20Georgia_sunHour,United%20States%2C%20Georgia_uvIndex,United%20States%2C%20Georgia_moon_illumination,United%20States%2C%20Georgia_moonrise,United%20States%2C%20Georgia_moonset,United%20States%2C%20Georgia_sunrise,United%20States%2C%20Georgia_sunset,United%20States%2C%20Georgia_DewPointC,United%20States%2C%20Georgia_FeelsLikeC,United%20States%2C%20Georgia_HeatIndexC,United%20States%2C%20Georgia_WindChillC,United%20States%2C%20Georgia_WindGustKmph,United%20States%2C%20Georgia_cloudcover,United%20States%2C%20Georgia_humidity,United%20States%2C%20Georgia_precipMM,United%20States%2C%20Georgia_pressure,United%20States%2C%20Georgia_tempC,United%20States%2C%20Georgia_visibility,United%20States%2C%20Georgia_winddirDegree,United%20States%2C%20Georgia_windspeedKmph,United%20States%2C%20Georgia_location
2020-01-01,13,5,0.0,8.7,3,37,11:50 AM,11:39 PM,07:29 AM,05:33 PM,0,7,9,7,20,7,57,0.0,1018,13,10,276,12,United%20States%2C%20Georgia
2020-01-02,16,7,0.0,8.7,4,44,12:18 PM,No moonset,07:29 AM,05:34 PM,2,10,11,10,17,28,55,0.0,1017,16,10,180,9,United%20States%2C%20Georgia
2020-01-03,23,12,0.0,3.8,5,51,12:47 PM,12:32 AM,07:29 AM,05:34 PM,16,19,19,19,32,77,85,4.3,1013,23,10,210,19,United%20States%2C%20Georgia
2020-01-04,19,14,0.0,3.8,4,59,01:16 PM,01:26 AM,07:29 AM,05:35 PM,13,18,18,18,28,76,76,6.6,1013,19,10,269,18,United%20States%2C%20Georgia
2020-01-05,12,4,0.0,8.7,3,66,01:48 PM,02:21 AM,07:30 AM,05:36 PM,-1,5,8,5,26,0,56,0.0,1024,12,10,284,17,United%20States%2C%20Georgia
2020-01-06,15,6,0.0,8.7,4,73,02:22 PM,03:19 AM,07:30 AM,05:37 PM,4,8,10,8,21,3,67,0.0,1022,15,10,261,12,United%20States%2C%20Georgia
2020-01-07,15,9,0.0,7.1,3,80,03:02 PM,04:18 AM,07:30 AM,05:38 PM,5,9,11,9,29,38,69,0.0,1020,15,10,254,18,United%20States%2C%20Georgia
2020-01-08,14,5,0.0,8.7,3,88,03:48 PM,05:19 AM,07:30 AM,05:38 PM,0,7,9,7,16,1,56,0.0,1028,14,10,285,10,United%20States%2C%20Georgia
2020-01-09,17,7,0.0,7.1,3,95,04:41 PM,06:21 AM,07:30 AM,05:39 PM,5,11,12,11,17,34,65,0.0,1033,17,10,111,10,United%20States%2C%20Georgia
2020-01-10,19,14,0.0,3.8,4,100,05:42 PM,07:21 AM,07:30 AM,05:40 PM,13,16,16,16,24,84,82,1.2,1030,19,10,107,14,United%20States%2C%20Georgia
2020-01-11,23,16,0.0,3.8,5,100,06:47 PM,08:17 AM,07:30 AM,05:41 PM,17,20,21,20,37,81,87,0.9,1022,23,10,153,22,United%20States%2C%20Georgia
2020-01-12,18,12,0.0,3.8,4,83,07:56 PM,09:07 AM,07:30 AM,05:42 PM,16,17,17,17,18,94,87,56.0,1023,18,7,164,10,United%20States%2C%20Georgia
2020-01-13,25,18,0.0,5.4,5,76,09:05 PM,09:52 AM,07:30 AM,05:43 PM,18,21,21,21,15,77,89,7.3,1026,25,6,167,9,United%20States%2C%20Georgia
2020-01-14,23,18,0.0,7.1,5,69,10:12 PM,10:32 AM,07:29 AM,05:44 PM,18,20,20,20,16,61,87,2.4,1025,23,10,218,10,United%20States%2C%20Georgia
2020-01-15,25,18,0.0,8.7,5,61,11:19 PM,11:09 AM,07:29 AM,05:44 PM,17,21,22,21,17,50,82,0.1,1022,25,8,234,11,United%20States%2C%20Georgia
2020-01-16,22,14,0.0,3.8,4,54,No moonrise,11:45 AM,07:29 AM,05:45 PM,14,19,20,19,23,61,72,3.5,1024,22,10,169,15,United%20States%2C%20Georgia
2020-01-17,11,7,0.0,8.7,2,47,12:24 AM,12:19 PM,07:29 AM,05:46 PM,-3,7,9,7,25,23,42,0.0,1034,11,10,63,17,United%20States%2C%20Georgia
2020-01-18,17,5,0.0,3.8,3,40,01:29 AM,12:55 PM,07:29 AM,05:47 PM,3,8,10,8,19,73,64,0.0,1029,17,10,110,12,United%20States%2C%20Georgia
2020-01-19,16,9,0.0,3.8,3,32,02:32 AM,01:34 PM,07:28 AM,05:48 PM,8,12,13,12,29,80,71,1.2,1019,16,10,253,18,United%20States%2C%20Georgia
2020-01-20,7,2,0.0,5.5,1,25,03:37 AM,02:16 PM,07:28 AM,05:49 PM,-6,1,4,1,20,27,48,0.0,1025,7,10,132,13,United%20States%2C%20Georgia
2020-01-21,6,-1,0.0,8.7,2,18,04:39 AM,03:03 PM,07:28 AM,05:50 PM,-8,-1,2,-1,20,9,49,0.0,1028,6,10,29,14,United%20States%2C%20Georgia
2020-01-22,8,-1,0.0,8.7,1,11,05:38 AM,03:54 PM,07:27 AM,05:51 PM,-9,-2,3,-2,27,26,42,0.0,1027,8,10,71,17,United%20States%2C%20Georgia
2020-01-23,10,2,0.0,8.7,3,3,06:33 AM,04:48 PM,07:27 AM,05:52 PM,-1,3,5,3,20,34,63,0.0,1025,10,10,47,12,United%20States%2C%20Georgia
2020-01-24,18,7,0.0,3.9,3,0,07:23 AM,05:46 PM,07:26 AM,05:53 PM,12,12,13,12,27,83,91,8.3,1016,18,9,149,16,United%20States%2C%20Georgia
2020-01-25,12,7,0.0,8.7,3,0,08:06 AM,06:43 PM,07:26 AM,05:54 PM,5,7,10,7,24,23,73,0.3,1017,12,10,275,15,United%20States%2C%20Georgia
2020-01-26,14,6,0.0,8.7,2,4,08:45 AM,07:40 PM,07:25 AM,05:55 PM,2,7,9,7,18,42,62,0.0,1018,14,10,284,12,United%20States%2C%20Georgia
2020-01-27,14,8,0.0,3.9,3,11,09:19 AM,08:35 PM,07:25 AM,05:55 PM,7,9,11,9,20,79,76,1.4,1015,14,9,252,13,United%20States%2C%20Georgia
2020-01-28,14,6,0.0,8.7,4,18,09:50 AM,09:30 PM,07:24 AM,05:56 PM,4,9,10,9,12,18,71,0.3,1015,14,10,254,7,United%20States%2C%20Georgia
2020-01-29,13,6,0.0,7.1,2,26,10:19 AM,10:23 PM,07:24 AM,05:57 PM,4,9,9,9,12,46,69,1.8,1016,13,8,154,7,United%20States%2C%20Georgia
2020-01-30,15,8,0.0,7.1,3,33,10:47 AM,11:17 PM,07:23 AM,05:58 PM,7,9,11,9,16,56,81,8.6,1018,15,7,64,11,United%20States%2C%20Georgia
2020-01-31,9,4,0.0,3.9,2,37,11:16 AM,No moonset,07:23 AM,05:59 PM,4,5,8,5,27,95,79,2.0,1020,9,8,50,18,United%20States%2C%20Georgia
2020-02-01,12,4,0.0,5.4,3,49,11:46 AM,12:10 AM,07:22 AM,06:00 PM,8,8,9,8,19,91,90,9.1,1015,12,8,171,13,United%20States%2C%20Georgia
2020-02-02,14,6,0.0,10.8,4,57,12:18 PM,01:06 AM,07:21 AM,06:01 PM,4,7,10,7,30,1,69,0.0,1017,14,10,271,18,United%20States%2C%20Georgia
2020-02-03,18,8,0.0,8.5,3,64,12:54 PM,02:02 AM,07:21 AM,06:02 PM,7,11,13,11,21,37,69,0.0,1019,18,10,243,12,United%20States%2C%20Georgia
2020-02-04,17,11,0.0,10.1,3,72,01:37 PM,03:02 AM,07:20 AM,06:03 PM,11,13,14,13,21,36,82,0.0,1019,17,9,214,12,United%20States%2C%20Georgia
2020-02-05,22,14,0.0,8.5,4,79,02:25 PM,04:02 AM,07:19 AM,06:04 PM,14,17,18,17,23,56,79,0.2,1014,22,9,196,14,United%20States%2C%20Georgia
2020-02-06,24,18,0.0,5.4,5,87,03:22 PM,05:03 AM,07:18 AM,06:05 PM,16,20,21,20,48,87,83,6.8,1004,24,10,205,30,United%20States%2C%20Georgia
2020-02-07,12,7,0.0,10.1,2,95,04:25 PM,06:01 AM,07:18 AM,06:05 PM,5,8,10,8,38,52,69,42.9,1006,12,9,261,27,United%20States%2C%20Georgia
2020-02-08,14,4,0.0,10.9,3,100,05:34 PM,06:54 AM,07:17 AM,06:06 PM,1,7,9,7,15,16,58,0.0,1024,14,10,212,9,United%20States%2C%20Georgia
2020-02-09,16,7,0.0,10.9,3,100,06:44 PM,07:43 AM,07:16 AM,06:07 PM,5,10,11,10,14,38,68,0.0,1029,16,10,81,9,United%20States%2C%20Georgia
2020-02-10,21,9,0.0,10.9,5,83,07:55 PM,08:26 AM,07:15 AM,06:08 PM,11,14,15,14,20,33,80,0.0,1025,21,10,141,12,United%20States%2C%20Georgia
2020-02-11,24,17,0.0,5.5,5,75,09:05 PM,09:06 AM,07:14 AM,06:09 PM,17,20,20,20,31,73,85,1.0,1018,24,10,211,20,United%20States%2C%20Georgia
2020-02-12,24,18,0.0,7.0,5,68,10:13 PM,09:43 AM,07:13 AM,06:10 PM,18,20,21,20,19,74,87,0.9,1017,24,6,207,12,United%20States%2C%20Georgia
2020-02-13,21,16,0.0,5.5,4,60,11:20 PM,10:19 AM,07:12 AM,06:11 PM,17,19,19,19,29,81,87,8.9,1014,21,9,247,18,United%20States%2C%20Georgia
2020-02-14,15,10,0.0,10.1,3,53,No moonrise,10:56 AM,07:11 AM,06:12 PM,5,11,13,11,20,34,63,2.2,1023,15,10,97,14,United%20States%2C%20Georgia
2020-02-15,14,5,0.0,11.0,3,45,12:25 AM,11:34 AM,07:10 AM,06:13 PM,2,7,9,7,18,10,60,0.0,1029,14,10,79,13,United%20States%2C%20Georgia
2020-02-16,14,7,0.0,5.5,3,38,01:31 AM,12:15 PM,07:09 AM,06:13 PM,8,9,11,9,16,76,81,4.3,1024,14,9,63,10,United%20States%2C%20Georgia
2020-02-17,18,7,0.0,5.5,3,30,02:33 AM,01:00 PM,07:08 AM,06:14 PM,12,14,14,14,10,89,88,0.2,1020,18,6,85,7,United%20States%2C%20Georgia
2020-02-18,19,13,0.0,5.5,4,22,03:34 AM,01:50 PM,07:07 AM,06:15 PM,15,15,16,15,12,100,97,14.2,1020,19,4,130,7,United%20States%2C%20Georgia
