date_time,United%20States%2C%20Hawaii_maxtempC,United%20States%2C%20Hawaii_mintempC,United%20States%2C%20Hawaii_totalSnow_cm,United%20States%2C%20Hawaii_sunHour,United%20States%2C%20Hawaii_uvIndex,United%20States%2C%20Hawaii_moon_illumination,United%20States%2C%20Hawaii_moonrise,United%20States%2C%20Hawaii_moonset,United%20States%2C%20Hawaii_sunrise,United%20States%2C%20Hawaii_sunset,United%20States%2C%20Hawaii_DewPointC,United%20States%2C%20Hawaii_FeelsLikeC,United%20States%2C%20Hawaii_HeatIndexC,United%20States%2C%20Hawaii_WindChillC,United%20States%2C%20Hawaii_WindGustKmph,United%20States%2C%20Hawaii_cloudcover,United%20States%2C%20Hawaii_humidity,United%20States%2C%20Hawaii_precipMM,United%20States%2C%20Hawaii_pressure,United%20States%2C%20Hawaii_tempC,United%20States%2C%20Hawaii_visibility,United%20States%2C%20Hawaii_winddirDegree,United%20States%2C%20Hawaii_windspeedKmph,United%20States%2C%20Hawaii_location
2020-01-01,24,23,0.0,8.5,5,37,11:54 AM,11:58 PM,07:09 AM,06:00 PM,18,25,25,24,25,59,72,1.1,1017,24,10,70,18,United%20States%2C%20Hawaii
2020-01-02,24,23,0.0,5.5,5,44,12:27 PM,No moonset,07:09 AM,06:01 PM,19,25,25,23,29,63,76,3.0,1017,24,10,53,21,United%20States%2C%20Hawaii
2020-01-03,24,19,0.0,5.5,5,51,01:00 PM,12:46 AM,07:09 AM,06:02 PM,20,25,25,23,53,70,80,6.7,1019,24,10,61,39,United%20States%2C%20Hawaii
2020-01-04,24,23,0.0,7.0,5,59,01:35 PM,01:36 AM,07:09 AM,06:02 PM,20,26,26,24,51,71,81,1.8,1021,24,10,68,38,United%20States%2C%20Hawaii
2020-01-05,25,21,0.0,10.1,5,66,02:11 PM,02:26 AM,07:10 AM,06:03 PM,19,25,25,23,57,53,76,0.7,1021,25,10,73,42,United%20States%2C%20Hawaii
2020-01-06,24,23,0.0,10.1,5,73,02:51 PM,03:19 AM,07:10 AM,06:04 PM,19,25,25,23,59,63,75,0.7,1020,24,10,70,44,United%20States%2C%20Hawaii
2020-01-07,24,23,0.0,7.0,5,80,03:37 PM,04:14 AM,07:10 AM,06:04 PM,19,25,25,24,65,61,74,2.6,1020,24,10,73,48,United%20States%2C%20Hawaii
2020-01-08,24,23,0.0,5.5,5,88,04:27 PM,05:12 AM,07:10 AM,06:05 PM,18,25,25,23,61,74,74,3.3,1019,24,9,71,46,United%20States%2C%20Hawaii
2020-01-09,23,18,0.0,5.5,5,95,05:23 PM,06:12 AM,07:10 AM,06:06 PM,18,25,25,22,67,80,74,2.6,1016,23,10,67,50,United%20States%2C%20Hawaii
2020-01-10,24,20,0.0,5.5,5,100,06:24 PM,07:11 AM,07:11 AM,06:06 PM,20,25,25,23,71,97,79,12.7,1014,24,10,73,49,United%20States%2C%20Hawaii
