date_time,United%20States%2C%20Maine_maxtempC,United%20States%2C%20Maine_mintempC,United%20States%2C%20Maine_totalSnow_cm,United%20States%2C%20Maine_sunHour,United%20States%2C%20Maine_uvIndex,United%20States%2C%20Maine_moon_illumination,United%20States%2C%20Maine_moonrise,United%20States%2C%20Maine_moonset,United%20States%2C%20Maine_sunrise,United%20States%2C%20Maine_sunset,United%20States%2C%20Maine_DewPointC,United%20States%2C%20Maine_FeelsLikeC,United%20States%2C%20Maine_HeatIndexC,United%20States%2C%20Maine_WindChillC,United%20States%2C%20Maine_WindGustKmph,United%20States%2C%20Maine_cloudcover,United%20States%2C%20Maine_humidity,United%20States%2C%20Maine_precipMM,United%20States%2C%20Maine_pressure,United%20States%2C%20Maine_tempC,United%20States%2C%20Maine_visibility,United%20States%2C%20Maine_winddirDegree,United%20States%2C%20Maine_windspeedKmph,United%20States%2C%20Maine_location
2020-01-01,-2,-8,8.0,3.1,1,37,12:06 PM,11:33 PM,08:17 AM,04:54 PM,-4,-9,-4,-9,23,97,92,9.4,992,-2,3,260,15,United%20States%2C%20Maine
2020-01-02,-3,-9,0.0,8.4,1,44,12:26 PM,No moonset,08:17 AM,04:54 PM,-8,-12,-6,-12,25,32,86,0.0,1003,-3,10,272,14,United%20States%2C%20Maine
2020-01-03,1,-9,0.0,3.1,1,51,12:46 PM,12:34 AM,08:17 AM,04:55 PM,-2,-5,-2,-5,14,93,97,0.1,1007,1,3,200,8,United%20States%2C%20Maine
2020-01-04,-2,-6,0.0,5.0,1,59,01:07 PM,01:37 AM,08:17 AM,04:57 PM,-3,-5,-3,-5,13,77,92,0.1,1005,-2,10,214,8,United%20States%2C%20Maine
2020-01-05,-6,-12,0.9,3.2,1,66,01:30 PM,02:41 AM,08:16 AM,04:58 PM,-9,-14,-8,-14,21,91,91,1.4,1001,-6,7,332,14,United%20States%2C%20Maine
2020-01-06,-11,-16,0.1,8.4,1,73,01:57 PM,03:47 AM,08:16 AM,04:59 PM,-15,-18,-14,-18,13,54,90,0.1,1010,-11,10,230,7,United%20States%2C%20Maine
2020-01-07,-6,-17,2.5,3.3,1,80,02:28 PM,04:54 AM,08:16 AM,05:00 PM,-11,-14,-10,-14,14,79,92,3.0,1013,-6,6,192,8,United%20States%2C%20Maine
2020-01-08,-6,-12,0.9,3.3,1,88,03:08 PM,06:03 AM,08:16 AM,05:01 PM,-11,-12,-10,-12,8,87,91,1.0,1007,-6,8,187,5,United%20States%2C%20Maine
2020-01-09,-12,-21,1.7,6.9,1,95,03:57 PM,07:09 AM,08:15 AM,05:02 PM,-15,-21,-13,-21,27,62,84,2.1,1025,-12,8,297,17,United%20States%2C%20Maine
2020-01-10,-2,-22,0.1,3.3,1,100,04:57 PM,08:10 AM,08:15 AM,05:03 PM,-9,-14,-9,-14,21,85,89,0.3,1028,-2,9,178,13,United%20States%2C%20Maine
2020-01-11,4,-6,0.0,3.3,1,100,06:07 PM,09:03 AM,08:15 AM,05:05 PM,-0,-2,2,-2,30,92,94,1.6,1017,4,8,232,17,United%20States%2C%20Maine
2020-01-12,-11,-15,48.9,3.3,1,83,07:24 PM,09:47 AM,08:14 AM,05:06 PM,-12,-18,-11,-18,27,96,93,58.8,1021,-11,5,114,18,United%20States%2C%20Maine
2020-01-13,-11,-20,0.1,5.1,1,76,08:42 PM,10:23 AM,08:14 AM,05:07 PM,-17,-19,-16,-19,10,67,93,0.1,1035,-11,8,235,5,United%20States%2C%20Maine
2020-01-14,-11,-18,0.5,5.1,1,69,10:00 PM,10:54 AM,08:13 AM,05:08 PM,-15,-18,-14,-18,11,67,94,1.0,1029,-11,5,218,6,United%20States%2C%20Maine
2020-01-15,-5,-17,2.9,3.4,1,61,11:17 PM,11:21 AM,08:13 AM,05:10 PM,-10,-13,-9,-13,11,84,94,4.2,1016,-5,4,224,7,United%20States%2C%20Maine
2020-01-16,-8,-12,1.7,3.4,1,54,No moonrise,11:46 AM,08:12 AM,05:11 PM,-11,-15,-10,-15,15,95,93,2.1,1011,-8,3,186,10,United%20States%2C%20Maine
2020-01-17,-20,-23,0.0,5.2,1,47,12:33 AM,12:11 PM,08:11 AM,05:13 PM,-22,-31,-20,-31,35,67,85,0.0,1026,-20,10,326,23,United%20States%2C%20Maine
2020-01-18,-17,-28,0.0,8.7,1,40,01:48 AM,12:37 PM,08:11 AM,05:14 PM,-23,-28,-22,-28,15,34,89,0.0,1029,-17,10,254,9,United%20States%2C%20Maine
2020-01-19,-6,-22,13.3,3.4,1,32,03:02 AM,01:07 PM,08:10 AM,05:15 PM,-11,-16,-10,-16,18,99,95,15.6,1005,-6,3,124,13,United%20States%2C%20Maine
2020-01-20,-10,-17,0.4,8.7,1,25,04:14 AM,01:41 PM,08:09 AM,05:17 PM,-15,-21,-14,-21,20,70,90,1.0,1013,-10,8,310,13,United%20States%2C%20Maine
2020-01-21,-14,-24,0.0,6.9,1,18,05:24 AM,02:21 PM,08:08 AM,05:18 PM,-20,-25,-19,-25,15,62,91,0.1,1025,-14,9,247,8,United%20States%2C%20Maine
2020-01-22,-7,-18,0.0,5.2,1,11,06:27 AM,03:09 PM,08:07 AM,05:20 PM,-13,-18,-12,-18,18,68,93,0.2,1028,-7,8,184,10,United%20States%2C%20Maine
