date_time,United%20States%2C%20Nevada_maxtempC,United%20States%2C%20Nevada_mintempC,United%20States%2C%20Nevada_totalSnow_cm,United%20States%2C%20Nevada_sunHour,United%20States%2C%20Nevada_uvIndex,United%20States%2C%20Nevada_moon_illumination,United%20States%2C%20Nevada_moonrise,United%20States%2C%20Nevada_moonset,United%20States%2C%20Nevada_sunrise,United%20States%2C%20Nevada_sunset,United%20States%2C%20Nevada_DewPointC,United%20States%2C%20Nevada_FeelsLikeC,United%20States%2C%20Nevada_HeatIndexC,United%20States%2C%20Nevada_WindChillC,United%20States%2C%20Nevada_WindGustKmph,United%20States%2C%20Nevada_cloudcover,United%20States%2C%20Nevada_humidity,United%20States%2C%20Nevada_precipMM,United%20States%2C%20Nevada_pressure,United%20States%2C%20Nevada_tempC,United%20States%2C%20Nevada_visibility,United%20States%2C%20Nevada_winddirDegree,United%20States%2C%20Nevada_windspeedKmph,United%20States%2C%20Nevada_location
2020-01-01,10,4,0.0,8.7,2,37,11:08 AM,10:55 PM,06:51 AM,04:36 PM,-4,7,7,7,5,19,47,0.0,1016,10,10,174,3,United%20States%2C%20Nevada
2020-01-02,12,6,0.0,8.7,3,44,11:35 AM,11:50 PM,06:51 AM,04:37 PM,-5,7,9,7,19,7,39,0.0,1016,12,10,194,11,United%20States%2C%20Nevada
2020-01-03,10,5,0.0,7.0,2,51,12:01 PM,No moonset,06:51 AM,04:38 PM,-3,8,8,8,7,29,46,0.0,1025,10,10,227,4,United%20States%2C%20Nevada
2020-01-04,11,6,0.0,7.0,2,59,12:29 PM,12:46 AM,06:51 AM,04:39 PM,-3,8,8,8,5,54,47,0.0,1026,11,10,129,3,United%20States%2C%20Nevada
2020-01-05,12,6,0.0,8.7,3,66,12:59 PM,01:43 AM,06:51 AM,04:39 PM,-3,9,9,9,11,28,43,0.0,1024,12,10,210,6,United%20States%2C%20Nevada
2020-01-06,12,5,0.0,8.7,3,73,01:32 PM,02:42 AM,06:51 AM,04:40 PM,-8,7,8,7,12,0,31,0.0,1029,12,10,214,7,United%20States%2C%20Nevada
2020-01-07,11,5,0.0,8.7,2,80,02:11 PM,03:44 AM,06:51 AM,04:41 PM,-6,8,8,8,6,32,35,0.0,1022,11,10,226,3,United%20States%2C%20Nevada
2020-01-08,12,6,0.0,8.7,3,88,02:56 PM,04:46 AM,06:51 AM,04:42 PM,-6,8,9,8,8,12,36,0.0,1013,12,10,184,4,United%20States%2C%20Nevada
2020-01-09,10,6,0.0,8.7,3,95,03:50 PM,05:49 AM,06:51 AM,04:43 PM,-5,8,8,8,7,15,39,0.0,1011,10,10,214,4,United%20States%2C%20Nevada
2020-01-10,10,6,0.0,8.7,3,100,04:51 PM,06:49 AM,06:51 AM,04:44 PM,-6,6,8,6,21,2,36,0.0,1022,10,10,187,13,United%20States%2C%20Nevada
