date_time,United%20States%2C%20Ohio_maxtempC,United%20States%2C%20Ohio_mintempC,United%20States%2C%20Ohio_totalSnow_cm,United%20States%2C%20Ohio_sunHour,United%20States%2C%20Ohio_uvIndex,United%20States%2C%20Ohio_moon_illumination,United%20States%2C%20Ohio_moonrise,United%20States%2C%20Ohio_moonset,United%20States%2C%20Ohio_sunrise,United%20States%2C%20Ohio_sunset,United%20States%2C%20Ohio_DewPointC,United%20States%2C%20Ohio_FeelsLikeC,United%20States%2C%20Ohio_HeatIndexC,United%20States%2C%20Ohio_WindChillC,United%20States%2C%20Ohio_WindGustKmph,United%20States%2C%20Ohio_cloudcover,United%20States%2C%20Ohio_humidity,United%20States%2C%20Ohio_precipMM,United%20States%2C%20Ohio_pressure,United%20States%2C%20Ohio_tempC,United%20States%2C%20Ohio_visibility,United%20States%2C%20Ohio_winddirDegree,United%20States%2C%20Ohio_windspeedKmph,United%20States%2C%20Ohio_location
2020-01-01,2,-3,0.0,8.7,2,37,12:08 PM,11:46 PM,08:03 AM,05:22 PM,-5,-6,-1,-6,27,18,72,0.0,1012,2,10,245,19,United%20States%2C%20Ohio
2020-01-02,7,-1,0.0,6.9,1,44,12:32 PM,No moonset,08:03 AM,05:22 PM,1,-0,4,-0,36,47,83,0.8,1008,7,9,206,22,United%20States%2C%20Ohio
2020-01-03,7,3,0.0,3.5,2,51,12:56 PM,12:44 AM,08:03 AM,05:23 PM,7,5,7,5,13,100,97,17.0,1005,7,6,167,8,United%20States%2C%20Ohio
2020-01-04,3,1,3.5,3.5,1,59,01:21 PM,01:43 AM,08:03 AM,05:24 PM,1,-1,3,-1,21,94,88,5.5,1012,3,5,302,16,United%20States%2C%20Ohio
2020-01-05,5,-2,0.0,5.2,1,66,01:48 PM,02:42 AM,08:03 AM,05:25 PM,-3,-5,1,-5,36,48,74,0.0,1016,5,10,252,25,United%20States%2C%20Ohio
2020-01-06,3,-1,0.0,8.7,2,73,02:18 PM,03:44 AM,08:03 AM,05:26 PM,-5,-4,0,-4,27,24,69,0.0,1019,3,10,258,18,United%20States%2C%20Ohio
2020-01-07,4,-1,0.0,8.7,1,80,02:54 PM,04:48 AM,08:03 AM,05:27 PM,-6,-3,1,-3,24,65,62,0.0,1017,4,10,238,16,United%20States%2C%20Ohio
2020-01-08,-4,-5,0.0,8.7,2,88,03:37 PM,05:53 AM,08:03 AM,05:28 PM,-12,-9,-4,-9,29,7,52,0.0,1026,-4,10,260,20,United%20States%2C%20Ohio
2020-01-09,8,-4,0.0,3.5,1,95,04:29 PM,06:57 AM,08:02 AM,05:29 PM,-6,-3,2,-3,39,74,59,0.1,1026,8,10,162,25,United%20States%2C%20Ohio
2020-01-10,12,3,0.0,3.5,3,100,05:30 PM,07:57 AM,08:02 AM,05:30 PM,8,7,10,7,48,100,86,4.7,1019,12,9,201,29,United%20States%2C%20Ohio
