date_time,United%20States%2C%20Oklahoma_maxtempC,United%20States%2C%20Oklahoma_mintempC,United%20States%2C%20Oklahoma_totalSnow_cm,United%20States%2C%20Oklahoma_sunHour,United%20States%2C%20Oklahoma_uvIndex,United%20States%2C%20Oklahoma_moon_illumination,United%20States%2C%20Oklahoma_moonrise,United%20States%2C%20Oklahoma_moonset,United%20States%2C%20Oklahoma_sunrise,United%20States%2C%20Oklahoma_sunset,United%20States%2C%20Oklahoma_DewPointC,United%20States%2C%20Oklahoma_FeelsLikeC,United%20States%2C%20Oklahoma_HeatIndexC,United%20States%2C%20Oklahoma_WindChillC,United%20States%2C%20Oklahoma_WindGustKmph,United%20States%2C%20Oklahoma_cloudcover,United%20States%2C%20Oklahoma_humidity,United%20States%2C%20Oklahoma_precipMM,United%20States%2C%20Oklahoma_pressure,United%20States%2C%20Oklahoma_tempC,United%20States%2C%20Oklahoma_visibility,United%20States%2C%20Oklahoma_winddirDegree,United%20States%2C%20Oklahoma_windspeedKmph,United%20States%2C%20Oklahoma_location
2020-01-01,11,3,0.0,8.7,3,37,11:56 AM,11:43 PM,07:40 AM,05:28 PM,-1,2,6,2,40,10,59,0.0,1011,11,10,194,25,United%20States%2C%20Oklahoma
2020-01-02,16,9,0.0,8.7,3,44,12:23 PM,No moonset,07:40 AM,05:29 PM,5,10,12,10,40,35,66,0.0,998,16,10,225,26,United%20States%2C%20Oklahoma
2020-01-03,8,5,0.0,7.0,2,51,12:50 PM,12:37 AM,07:40 AM,05:30 PM,1,2,6,2,40,63,71,8.3,1012,8,8,341,30,United%20States%2C%20Oklahoma
2020-01-04,10,2,0.0,8.7,3,59,01:18 PM,01:33 AM,07:40 AM,05:31 PM,-3,4,6,4,20,7,53,0.0,1025,10,10,164,11,United%20States%2C%20Oklahoma
2020-01-05,11,5,0.0,8.7,3,66,01:48 PM,02:30 AM,07:40 AM,05:31 PM,-1,4,7,4,33,5,55,0.0,1024,11,10,106,21,United%20States%2C%20Oklahoma
2020-01-06,10,2,0.0,8.7,3,73,02:21 PM,03:29 AM,07:40 AM,05:32 PM,-3,3,5,3,18,3,54,0.0,1023,10,10,197,11,United%20States%2C%20Oklahoma
2020-01-07,13,2,0.0,8.7,3,80,03:00 PM,04:29 AM,07:40 AM,05:33 PM,-7,5,7,5,28,0,37,0.0,1027,13,10,253,15,United%20States%2C%20Oklahoma
2020-01-08,13,6,0.0,5.4,2,88,03:46 PM,05:32 AM,07:40 AM,05:34 PM,-4,5,9,5,48,40,40,0.0,1020,13,10,195,29,United%20States%2C%20Oklahoma
2020-01-09,18,12,0.0,5.4,4,95,04:38 PM,06:34 AM,07:40 AM,05:35 PM,9,13,15,13,47,59,70,0.0,1010,18,10,197,32,United%20States%2C%20Oklahoma
2020-01-10,19,13,0.0,3.7,4,100,05:40 PM,07:35 AM,07:40 AM,05:36 PM,11,16,17,16,50,83,81,28.6,1007,19,8,237,30,United%20States%2C%20Oklahoma
