date_time,United%20States%2C%20Texas_maxtempC,United%20States%2C%20Texas_mintempC,United%20States%2C%20Texas_totalSnow_cm,United%20States%2C%20Texas_sunHour,United%20States%2C%20Texas_uvIndex,United%20States%2C%20Texas_moon_illumination,United%20States%2C%20Texas_moonrise,United%20States%2C%20Texas_moonset,United%20States%2C%20Texas_sunrise,United%20States%2C%20Texas_sunset,United%20States%2C%20Texas_DewPointC,United%20States%2C%20Texas_FeelsLikeC,United%20States%2C%20Texas_HeatIndexC,United%20States%2C%20Texas_WindChillC,United%20States%2C%20Texas_WindGustKmph,United%20States%2C%20Texas_cloudcover,United%20States%2C%20Texas_humidity,United%20States%2C%20Texas_precipMM,United%20States%2C%20Texas_pressure,United%20States%2C%20Texas_tempC,United%20States%2C%20Texas_visibility,United%20States%2C%20Texas_winddirDegree,United%20States%2C%20Texas_windspeedKmph,United%20States%2C%20Texas_location
2020-01-01,15,9,0.0,3.8,3,37,11:42 AM,11:35 PM,07:14 AM,05:32 PM,9,12,14,12,35,79,74,45.7,1015,15,8,97,23,United%20States%2C%20Texas
2020-01-02,17,10,0.0,3.8,4,44,12:11 PM,No moonset,07:14 AM,05:33 PM,15,15,16,15,29,78,91,48.2,1005,17,7,229,16,United%20States%2C%20Texas
2020-01-03,16,13,0.0,8.7,4,51,12:41 PM,12:26 AM,07:15 AM,05:34 PM,9,14,15,14,41,6,68,0.0,1012,16,10,268,25,United%20States%2C%20Texas
2020-01-04,16,12,0.0,8.7,4,59,01:12 PM,01:19 AM,07:15 AM,05:35 PM,6,13,14,13,23,1,58,0.0,1026,16,10,301,15,United%20States%2C%20Texas
2020-01-05,18,13,0.0,8.7,5,66,01:45 PM,02:13 AM,07:15 AM,05:35 PM,9,15,15,15,27,0,67,0.0,1027,18,10,217,15,United%20States%2C%20Texas
2020-01-06,18,15,0.0,5.5,4,73,02:21 PM,03:09 AM,07:15 AM,05:36 PM,13,17,17,17,25,46,78,0.2,1022,18,10,208,13,United%20States%2C%20Texas
2020-01-07,15,12,0.0,7.1,3,80,03:02 PM,04:07 AM,07:15 AM,05:37 PM,5,12,14,12,27,45,56,0.1,1028,15,10,30,18,United%20States%2C%20Texas
2020-01-08,16,12,0.0,8.7,4,88,03:50 PM,05:07 AM,07:15 AM,05:38 PM,8,13,14,13,28,17,67,0.0,1026,16,10,110,17,United%20States%2C%20Texas
2020-01-09,19,14,0.0,3.8,4,95,04:43 PM,06:08 AM,07:15 AM,05:38 PM,16,18,18,18,51,76,88,2.4,1019,19,10,158,26,United%20States%2C%20Texas
2020-01-10,20,16,0.0,3.8,4,100,05:44 PM,07:08 AM,07:15 AM,05:39 PM,18,19,19,19,60,90,92,1.8,1013,20,10,162,30,United%20States%2C%20Texas
2020-01-11,14,11,0.0,8.7,3,100,06:49 PM,08:04 AM,07:15 AM,05:40 PM,9,13,14,13,43,37,72,23.2,1015,14,9,249,26,United%20States%2C%20Texas
2020-01-12,14,9,0.0,8.7,4,83,07:56 PM,08:55 AM,07:15 AM,05:41 PM,7,10,12,10,17,11,74,0.0,1022,14,10,92,12,United%20States%2C%20Texas
2020-01-13,15,9,0.0,3.9,3,76,09:04 PM,09:42 AM,07:15 AM,05:42 PM,13,12,14,12,27,72,89,0.7,1021,15,9,85,16,United%20States%2C%20Texas
