date_time,United%20States%2C%20Washington%20DC_maxtempC,United%20States%2C%20Washington%20DC_mintempC,United%20States%2C%20Washington%20DC_totalSnow_cm,United%20States%2C%20Washington%20DC_sunHour,United%20States%2C%20Washington%20DC_uvIndex,United%20States%2C%20Washington%20DC_moon_illumination,United%20States%2C%20Washington%20DC_moonrise,United%20States%2C%20Washington%20DC_moonset,United%20States%2C%20Washington%20DC_sunrise,United%20States%2C%20Washington%20DC_sunset,United%20States%2C%20Washington%20DC_DewPointC,United%20States%2C%20Washington%20DC_FeelsLikeC,United%20States%2C%20Washington%20DC_HeatIndexC,United%20States%2C%20Washington%20DC_WindChillC,United%20States%2C%20Washington%20DC_WindGustKmph,United%20States%2C%20Washington%20DC_cloudcover,United%20States%2C%20Washington%20DC_humidity,United%20States%2C%20Washington%20DC_precipMM,United%20States%2C%20Washington%20DC_pressure,United%20States%2C%20Washington%20DC_tempC,United%20States%2C%20Washington%20DC_visibility,United%20States%2C%20Washington%20DC_winddirDegree,United%20States%2C%20Washington%20DC_windspeedKmph,United%20States%2C%20Washington%20DC_location
2020-01-01,9,5,0.0,8.7,3,37,11:36 AM,11:16 PM,07:27 AM,04:57 PM,-2,4,6,4,14,6,55,0.0,1011,9,10,270,11,United%20States%2C%20Washington%20DC
2020-01-02,10,3,0.0,8.7,2,44,12:01 PM,No moonset,07:27 AM,04:57 PM,0,6,7,6,11,25,63,0.0,1015,10,10,208,8,United%20States%2C%20Washington%20DC
2020-01-03,16,8,0.0,3.5,3,51,12:26 PM,12:12 AM,07:27 AM,04:58 PM,9,10,11,10,26,88,87,19.6,1009,16,8,216,16,United%20States%2C%20Washington%20DC
2020-01-04,15,7,0.0,3.5,3,59,12:52 PM,01:10 AM,07:27 AM,04:59 PM,10,10,12,10,21,88,86,4.8,1005,15,10,250,14,United%20States%2C%20Washington%20DC
2020-01-05,8,3,0.0,8.7,3,66,01:20 PM,02:08 AM,07:27 AM,05:00 PM,-2,2,5,2,26,20,56,1.5,1013,8,10,287,20,United%20States%2C%20Washington%20DC
2020-01-06,9,3,0.0,8.7,3,73,01:51 PM,03:09 AM,07:27 AM,05:01 PM,-3,3,5,3,14,16,58,0.0,1016,9,10,257,10,United%20States%2C%20Washington%20DC
2020-01-07,4,0,2.9,5.3,1,80,02:28 PM,04:11 AM,07:27 AM,05:02 PM,-3,1,3,1,9,55,69,5.6,1018,4,8,209,7,United%20States%2C%20Washington%20DC
2020-01-08,3,-4,0.0,8.7,2,88,03:12 PM,05:16 AM,07:27 AM,05:03 PM,-5,-4,1,-4,26,3,65,0.0,1021,3,10,279,18,United%20States%2C%20Washington%20DC
2020-01-09,4,-1,0.0,8.7,1,95,04:03 PM,06:19 AM,07:27 AM,05:04 PM,-9,-2,1,-2,12,29,48,0.0,1038,4,10,196,9,United%20States%2C%20Washington%20DC
2020-01-10,10,-3,0.0,5.3,2,100,05:04 PM,07:20 AM,07:27 AM,05:05 PM,2,3,5,3,21,58,79,0.0,1034,10,10,197,13,United%20States%2C%20Washington%20DC
2020-01-11,17,5,0.0,3.7,3,100,06:11 PM,08:14 AM,07:27 AM,05:06 PM,12,12,13,12,24,79,88,0.0,1024,17,6,188,14,United%20States%2C%20Washington%20DC
2020-01-12,19,15,0.0,8.7,5,83,07:23 PM,09:02 AM,07:27 AM,05:07 PM,11,17,18,17,26,32,65,3.1,1019,19,10,205,17,United%20States%2C%20Washington%20DC
2020-01-13,13,7,0.0,8.7,3,76,08:35 PM,09:44 AM,07:26 AM,05:08 PM,4,9,9,9,7,23,70,0.0,1029,13,10,111,5,United%20States%2C%20Washington%20DC
2020-01-14,11,8,0.0,3.7,2,69,09:47 PM,10:20 AM,07:26 AM,05:09 PM,7,8,9,8,9,79,86,0.3,1024,11,10,106,7,United%20States%2C%20Washington%20DC
2020-01-15,16,8,0.0,7.0,3,61,10:58 PM,10:53 AM,07:26 AM,05:10 PM,8,10,11,10,11,37,82,0.0,1020,16,8,254,7,United%20States%2C%20Washington%20DC
2020-01-16,12,2,0.0,8.7,3,54,No moonrise,11:25 AM,07:25 AM,05:11 PM,-0,5,9,5,30,15,56,0.1,1019,12,10,286,22,United%20States%2C%20Washington%20DC
2020-01-17,1,-2,0.0,8.7,2,47,12:07 AM,11:55 AM,07:25 AM,05:12 PM,-13,-5,-0,-5,22,5,38,0.0,1036,1,10,283,18,United%20States%2C%20Washington%20DC
2020-01-18,1,-4,2.8,3.7,1,40,01:16 AM,12:27 PM,07:24 AM,05:13 PM,-7,-4,-0,-4,21,82,59,8.4,1028,1,8,162,14,United%20States%2C%20Washington%20DC
2020-01-19,6,-3,0.0,3.7,1,32,02:23 AM,01:02 PM,07:24 AM,05:14 PM,-1,-1,3,-1,28,50,69,0.3,1012,6,10,273,18,United%20States%2C%20Washington%20DC
2020-01-20,0,-4,0.0,8.7,2,25,03:31 AM,01:42 PM,07:23 AM,05:15 PM,-11,-8,-2,-8,23,10,52,0.0,1025,0,10,325,19,United%20States%2C%20Washington%20DC
2020-01-21,3,-4,0.0,8.7,2,18,04:36 AM,02:25 PM,07:23 AM,05:17 PM,-10,-5,-1,-5,14,4,51,0.0,1031,3,10,342,12,United%20States%2C%20Washington%20DC
2020-01-22,7,-2,0.0,8.7,2,11,05:37 AM,03:16 PM,07:22 AM,05:18 PM,-7,-0,2,-0,9,4,52,0.0,1031,7,10,252,7,United%20States%2C%20Washington%20DC
2020-01-23,6,-2,0.0,3.7,1,3,06:32 AM,04:10 PM,07:22 AM,05:19 PM,-7,1,2,1,5,60,54,0.0,1029,6,10,189,4,United%20States%2C%20Washington%20DC
2020-01-24,9,0,0.0,3.7,1,0,07:21 AM,05:09 PM,07:21 AM,05:20 PM,2,3,4,3,13,80,85,0.6,1024,9,9,114,9,United%20States%2C%20Washington%20DC
2020-01-25,11,5,0.0,5.4,3,0,08:02 AM,06:09 PM,07:20 AM,05:21 PM,7,7,9,7,22,72,84,52.7,1011,11,8,203,15,United%20States%2C%20Washington%20DC
2020-01-26,8,4,0.0,7.1,2,4,08:38 AM,07:09 PM,07:20 AM,05:22 PM,-1,3,6,3,15,43,63,0.0,1012,8,10,278,11,United%20States%2C%20Washington%20DC
2020-01-27,9,3,0.0,5.4,2,11,09:09 AM,08:07 PM,07:19 AM,05:23 PM,-1,3,5,3,13,45,65,0.0,1010,9,10,277,9,United%20States%2C%20Washington%20DC
2020-01-28,7,2,0.0,8.7,2,18,09:37 AM,09:05 PM,07:18 AM,05:25 PM,-3,0,4,0,21,8,62,0.0,1013,7,10,317,16,United%20States%2C%20Washington%20DC
2020-01-29,6,1,0.0,8.7,1,26,10:03 AM,10:02 PM,07:17 AM,05:26 PM,-5,0,3,0,14,36,56,0.0,1018,6,10,273,12,United%20States%2C%20Washington%20DC
2020-01-30,5,0,0.0,3.8,1,33,10:27 AM,10:59 PM,07:17 AM,05:27 PM,-6,1,2,1,6,82,53,0.4,1024,5,10,67,4,United%20States%2C%20Washington%20DC
2020-01-31,8,0,0.0,3.8,1,37,10:53 AM,11:56 PM,07:16 AM,05:28 PM,-1,2,4,2,9,81,70,0.0,1025,8,10,163,6,United%20States%2C%20Washington%20DC
2020-02-01,10,3,0.0,3.8,2,49,11:20 AM,No moonset,07:15 AM,05:29 PM,1,6,6,6,5,77,72,0.7,1015,10,9,200,4,United%20States%2C%20Washington%20DC
2020-02-02,10,4,0.0,7.1,2,57,11:49 AM,12:55 AM,07:14 AM,05:30 PM,1,4,6,4,14,64,69,8.9,1005,10,9,275,10,United%20States%2C%20Washington%20DC
2020-02-03,15,5,0.0,8.7,4,64,12:21 PM,01:55 AM,07:13 AM,05:32 PM,4,10,10,10,11,17,66,0.0,1011,15,10,216,7,United%20States%2C%20Washington%20DC
2020-02-04,13,10,0.0,5.5,3,72,01:01 PM,02:57 AM,07:12 AM,05:33 PM,9,11,11,11,15,63,86,11.6,1011,13,8,224,8,United%20States%2C%20Washington%20DC
2020-02-05,11,2,0.0,3.8,2,79,01:48 PM,04:00 AM,07:11 AM,05:34 PM,5,5,7,5,15,100,86,19.6,1013,11,7,106,11,United%20States%2C%20Washington%20DC
2020-02-06,15,3,0.0,3.8,3,87,02:43 PM,05:01 AM,07:10 AM,05:35 PM,9,8,10,8,18,95,95,56.4,1002,15,6,155,11,United%20States%2C%20Washington%20DC
2020-02-07,12,4,0.0,3.9,3,95,03:48 PM,05:59 AM,07:09 AM,05:36 PM,6,7,10,7,29,80,75,7.8,991,12,9,236,20,United%20States%2C%20Washington%20DC
2020-02-08,6,1,0.0,7.1,1,100,04:59 PM,06:51 AM,07:08 AM,05:37 PM,-6,0,3,0,15,32,53,0.0,1021,6,10,241,12,United%20States%2C%20Washington%20DC
2020-02-09,10,2,0.0,8.7,3,100,06:13 PM,07:36 AM,07:07 AM,05:39 PM,-1,4,5,4,11,23,66,0.0,1028,10,10,224,8,United%20States%2C%20Washington%20DC
2020-02-10,10,6,0.0,3.9,2,83,07:28 PM,08:16 AM,07:06 AM,05:40 PM,3,5,8,5,24,74,71,5.3,1023,10,10,208,16,United%20States%2C%20Washington%20DC
2020-02-11,13,3,0.0,3.9,3,75,08:42 PM,08:51 AM,07:05 AM,05:41 PM,10,10,11,10,19,87,89,19.7,1013,13,9,250,12,United%20States%2C%20Washington%20DC
