date_time,Uzbekistan_maxtempC,Uzbekistan_mintempC,Uzbekistan_totalSnow_cm,Uzbekistan_sunHour,Uzbekistan_uvIndex,Uzbekistan_moon_illumination,Uzbekistan_moonrise,Uzbekistan_moonset,Uzbekistan_sunrise,Uzbekistan_sunset,Uzbekistan_DewPointC,Uzbekistan_FeelsLikeC,Uzbekistan_HeatIndexC,Uzbekistan_WindChillC,Uzbekistan_WindGustKmph,Uzbekistan_cloudcover,Uzbekistan_humidity,Uzbekistan_precipMM,Uzbekistan_pressure,Uzbekistan_tempC,Uzbekistan_visibility,Uzbekistan_winddirDegree,Uzbekistan_windspeedKmph,Uzbekistan_location
2020-01-01,9,4,0.0,8.7,3,37,11:43 AM,11:05 PM,07:49 AM,05:04 PM,-4,5,6,5,8,25,51,0.0,1021,9,10,115,5,Uzbekistan
2020-01-02,8,4,0.0,3.6,2,44,12:07 PM,No moonset,07:49 AM,05:05 PM,-6,5,6,5,7,93,42,0.0,1020,8,10,147,4,Uzbekistan
2020-01-03,6,4,0.0,3.6,2,51,12:30 PM,12:04 AM,07:49 AM,05:06 PM,1,4,5,4,7,88,76,0.4,1024,6,10,181,5,Uzbekistan
2020-01-04,10,4,0.0,7.0,2,59,12:54 PM,01:02 AM,07:49 AM,05:06 PM,-1,5,6,5,9,71,63,0.0,1024,10,10,173,6,Uzbekistan
2020-01-05,8,4,0.0,3.6,2,66,01:20 PM,02:02 AM,07:49 AM,05:07 PM,-5,5,6,5,7,87,49,0.0,1018,8,10,141,4,Uzbekistan
2020-01-06,6,2,0.0,3.6,1,73,01:49 PM,03:03 AM,07:49 AM,05:08 PM,-0,2,4,2,11,90,73,1.8,1018,6,9,183,8,Uzbekistan
2020-01-07,4,1,3.7,3.6,1,80,02:21 PM,04:06 AM,07:49 AM,05:09 PM,0,2,3,2,7,99,80,4.9,1027,4,6,251,6,Uzbekistan
2020-01-08,6,2,1.2,7.0,1,88,03:01 PM,05:11 AM,07:49 AM,05:10 PM,-1,2,3,2,6,59,74,1.5,1029,6,7,190,5,Uzbekistan
2020-01-09,6,1,0.0,3.6,1,95,03:49 PM,06:16 AM,07:49 AM,05:11 PM,-9,2,4,2,10,62,39,0.0,1024,6,10,86,6,Uzbekistan
2020-01-10,7,4,0.0,5.3,2,100,04:45 PM,07:18 AM,07:49 AM,05:12 PM,-8,4,5,4,12,61,38,0.1,1018,7,10,148,6,Uzbekistan
2020-01-11,10,6,0.0,3.6,2,100,05:51 PM,08:15 AM,07:48 AM,05:13 PM,-0,6,8,6,15,89,57,0.0,1019,10,10,160,9,Uzbekistan
2020-01-12,7,5,0.0,3.6,2,83,07:02 PM,09:05 AM,07:48 AM,05:15 PM,3,4,6,4,15,99,78,1.9,1017,7,10,258,11,Uzbekistan
2020-01-13,2,1,2.5,3.6,1,76,08:16 PM,09:48 AM,07:48 AM,05:16 PM,-0,-1,1,-1,10,100,89,2.9,1021,2,4,307,8,Uzbekistan
2020-01-14,3,-1,0.0,3.6,1,69,09:30 PM,10:24 AM,07:48 AM,05:17 PM,-3,0,1,0,4,90,78,0.1,1027,3,10,227,3,Uzbekistan
2020-01-15,5,1,0.0,7.0,1,61,10:42 PM,10:57 AM,07:47 AM,05:18 PM,-4,1,2,1,6,32,64,0.0,1032,5,10,145,5,Uzbekistan
2020-01-16,5,1,0.0,5.3,1,54,11:54 PM,11:27 AM,07:47 AM,05:19 PM,-6,-0,2,-0,11,54,54,0.0,1035,5,10,148,8,Uzbekistan
2020-01-17,6,0,0.0,8.7,2,47,No moonrise,11:56 AM,07:46 AM,05:20 PM,-7,1,3,1,8,3,48,0.0,1037,6,10,80,6,Uzbekistan
2020-01-18,7,1,0.0,8.7,2,40,01:05 AM,12:26 PM,07:46 AM,05:21 PM,-8,3,4,3,5,0,41,0.0,1028,7,10,87,4,Uzbekistan
2020-01-19,5,1,0.0,5.3,1,32,02:15 AM,12:58 PM,07:45 AM,05:23 PM,-11,3,3,3,5,53,35,0.0,1021,5,10,101,3,Uzbekistan
2020-01-20,4,2,0.0,3.7,1,25,03:24 AM,01:34 PM,07:45 AM,05:24 PM,1,1,3,1,8,95,86,0.0,1025,4,9,202,6,Uzbekistan
2020-01-21,4,1,0.1,3.7,1,18,04:31 AM,02:15 PM,07:44 AM,05:25 PM,-1,1,2,1,8,94,76,0.1,1024,4,10,144,6,Uzbekistan
2020-01-22,2,1,4.9,3.7,1,11,05:35 AM,03:02 PM,07:44 AM,05:26 PM,0,-0,1,-0,8,94,91,6.1,1028,2,4,158,6,Uzbekistan
2020-01-23,8,1,0.0,8.7,2,3,06:33 AM,03:55 PM,07:43 AM,05:27 PM,-4,3,4,3,8,7,59,0.0,1025,8,10,120,5,Uzbekistan
2020-01-24,4,1,0.0,3.7,1,0,07:24 AM,04:52 PM,07:42 AM,05:29 PM,-5,1,4,1,23,73,55,7.3,1015,4,9,147,13,Uzbekistan
2020-01-25,7,2,3.8,3.7,2,0,08:08 AM,05:53 PM,07:41 AM,05:30 PM,2,4,5,4,11,97,80,5.1,1023,7,9,217,8,Uzbekistan
2020-01-26,6,1,8.4,7.0,1,4,08:44 AM,06:54 PM,07:41 AM,05:31 PM,0,2,3,2,6,69,85,10.2,1025,6,6,259,4,Uzbekistan
2020-01-27,6,2,0.3,3.7,1,11,09:16 AM,07:55 PM,07:40 AM,05:32 PM,-2,2,3,2,11,79,71,0.4,1024,6,9,178,8,Uzbekistan
2020-01-28,7,1,1.3,7.0,1,18,09:44 AM,08:54 PM,07:39 AM,05:34 PM,-0,3,3,3,4,52,77,1.7,1030,7,7,200,4,Uzbekistan
2020-01-29,9,2,0.0,8.7,3,26,10:09 AM,09:53 PM,07:38 AM,05:35 PM,-6,3,5,3,10,3,46,0.0,1027,9,10,32,7,Uzbekistan
2020-01-30,11,3,0.0,8.7,3,33,10:33 AM,10:51 PM,07:37 AM,05:36 PM,-7,6,7,6,7,1,39,0.0,1024,11,10,95,5,Uzbekistan
2020-01-31,10,3,0.0,5.4,2,37,10:56 AM,11:50 PM,07:36 AM,05:37 PM,-8,5,6,5,8,54,36,0.0,1020,10,10,104,4,Uzbekistan
2020-02-01,14,5,0.0,8.7,2,49,11:21 AM,No moonset,07:35 AM,05:39 PM,-7,7,8,7,9,41,34,0.0,1019,14,10,140,5,Uzbekistan
2020-02-02,14,6,0.0,3.8,2,57,11:47 AM,12:49 AM,07:34 AM,05:40 PM,-7,8,9,8,10,70,31,0.0,1015,14,10,121,5,Uzbekistan
2020-02-03,8,3,0.0,3.8,2,64,12:17 PM,01:50 AM,07:33 AM,05:41 PM,-3,6,7,6,9,100,52,10.5,1017,8,8,176,6,Uzbekistan
2020-02-04,11,5,0.0,8.7,3,72,12:53 PM,02:52 AM,07:32 AM,05:42 PM,2,7,8,7,5,40,68,2.8,1021,11,8,103,4,Uzbekistan
2020-02-05,13,5,0.0,7.1,2,79,01:35 PM,03:56 AM,07:31 AM,05:44 PM,-4,8,9,8,12,69,41,0.0,1016,13,10,129,6,Uzbekistan
2020-02-06,12,7,0.0,5.4,2,87,02:26 PM,04:59 AM,07:30 AM,05:45 PM,-0,9,9,9,10,52,52,0.0,1025,12,10,170,6,Uzbekistan
2020-02-07,14,6,0.0,8.7,4,95,03:28 PM,05:59 AM,07:29 AM,05:46 PM,-3,8,9,8,11,11,42,0.0,1022,14,10,93,7,Uzbekistan
2020-02-08,19,9,0.0,8.7,4,100,04:37 PM,06:52 AM,07:28 AM,05:47 PM,-5,14,14,14,9,1,27,0.0,1015,19,10,116,6,Uzbekistan
2020-02-09,14,6,0.0,5.5,3,100,05:52 PM,07:40 AM,07:27 AM,05:49 PM,-1,11,12,11,16,47,43,4.0,1010,14,10,168,10,Uzbekistan
2020-02-10,11,7,0.0,3.8,2,83,07:09 PM,08:19 AM,07:26 AM,05:50 PM,7,8,10,8,19,89,82,25.5,1014,11,7,233,14,Uzbekistan
2020-02-11,9,4,0.0,5.5,2,75,08:24 PM,08:55 AM,07:24 AM,05:51 PM,2,5,6,5,9,66,74,7.8,1020,9,8,295,7,Uzbekistan
2020-02-12,14,5,0.0,5.5,3,68,09:40 PM,09:27 AM,07:23 AM,05:52 PM,2,8,9,8,15,67,63,5.3,1013,14,10,182,11,Uzbekistan
2020-02-13,8,4,0.0,8.7,2,60,10:53 PM,09:57 AM,07:22 AM,05:54 PM,-1,4,6,4,11,47,63,2.6,1026,8,9,287,9,Uzbekistan
2020-02-14,12,5,0.0,7.1,2,53,No moonrise,10:27 AM,07:21 AM,05:55 PM,-7,7,8,7,9,61,37,0.0,1027,12,10,115,5,Uzbekistan
2020-02-15,8,-1,18.4,3.9,2,45,12:06 AM,11:00 AM,07:19 AM,05:56 PM,-2,4,6,4,10,95,62,25.5,1023,8,8,192,7,Uzbekistan
2020-02-16,7,2,4.0,8.7,2,38,01:17 AM,11:35 AM,07:18 AM,05:57 PM,-2,2,4,2,11,42,64,5.0,1037,7,8,123,9,Uzbekistan
2020-02-17,9,4,0.0,7.1,2,30,02:25 AM,12:14 PM,07:16 AM,05:58 PM,-7,6,6,6,6,86,40,0.4,1032,9,10,98,4,Uzbekistan
2020-02-18,6,2,3.5,7.0,1,22,03:30 AM,12:59 PM,07:15 AM,06:00 PM,-1,2,4,2,10,83,75,6.7,1033,6,8,251,8,Uzbekistan
2020-02-19,8,1,0.0,10.9,3,15,04:29 AM,01:50 PM,07:14 AM,06:01 PM,-3,3,5,3,7,2,59,0.0,1035,8,10,146,6,Uzbekistan
2020-02-20,13,2,0.0,10.9,3,7,05:21 AM,02:45 PM,07:12 AM,06:02 PM,-4,8,8,8,4,0,42,0.0,1023,13,10,163,3,Uzbekistan
2020-02-21,14,5,0.0,7.0,3,0,06:06 AM,03:44 PM,07:11 AM,06:03 PM,-5,9,9,9,10,59,37,0.0,1015,14,10,171,6,Uzbekistan
2020-02-22,9,8,0.0,7.0,2,0,06:45 AM,04:44 PM,07:09 AM,06:04 PM,3,8,9,8,14,71,64,2.1,1023,9,9,158,9,Uzbekistan
2020-02-23,15,7,0.0,11.0,4,0,07:18 AM,05:45 PM,07:08 AM,06:06 PM,4,10,10,10,9,21,64,0.0,1022,15,10,172,6,Uzbekistan
2020-02-24,14,9,0.0,10.1,3,0,07:46 AM,06:45 PM,07:06 AM,06:07 PM,7,10,11,10,10,62,78,16.2,1020,14,7,171,7,Uzbekistan
2020-02-25,20,10,0.0,10.1,4,8,08:12 AM,07:44 PM,07:05 AM,06:08 PM,2,14,15,14,9,48,46,0.4,1017,20,10,96,5,Uzbekistan
2020-02-26,14,8,0.0,5.5,3,15,08:36 AM,08:42 PM,07:03 AM,06:09 PM,3,10,12,10,19,75,61,32.4,1015,14,8,172,12,Uzbekistan
2020-02-27,10,5,0.0,11.1,3,23,08:59 AM,09:41 PM,07:02 AM,06:10 PM,-0,5,7,5,14,36,61,16.0,1026,10,9,297,12,Uzbekistan
2020-02-28,15,4,0.0,11.1,4,30,09:23 AM,10:39 PM,07:00 AM,06:11 PM,3,11,11,11,6,0,56,0.0,1021,15,10,201,5,Uzbekistan
2020-02-29,17,9,0.0,11.5,4,38,09:49 AM,11:39 PM,06:59 AM,06:13 PM,2,13,12,13,6,2,51,0.0,1017,17,10,177,5,Uzbekistan
2020-03-01,21,10,0.0,10.1,4,44,10:16 AM,No moonset,06:57 AM,06:14 PM,0,15,15,15,7,29,37,0.0,1015,21,10,84,4,Uzbekistan
2020-03-02,22,13,0.0,11.6,5,51,10:48 AM,12:40 AM,06:56 AM,06:15 PM,1,17,17,17,10,6,36,0.0,1016,22,10,142,6,Uzbekistan
2020-03-03,19,13,0.0,7.3,4,58,11:27 AM,01:42 AM,06:54 AM,06:16 PM,3,15,15,15,9,42,45,0.0,1015,19,10,87,5,Uzbekistan
2020-03-04,17,10,0.0,11.6,4,65,12:12 PM,02:43 AM,06:52 AM,06:17 PM,6,13,13,13,11,32,64,0.0,1014,17,10,193,8,Uzbekistan
2020-03-05,10,2,0.0,5.8,2,73,01:07 PM,03:43 AM,06:51 AM,06:18 PM,4,6,8,6,13,80,71,2.1,1018,10,8,185,10,Uzbekistan
2020-03-06,11,1,0.0,10.2,2,80,02:11 PM,04:38 AM,06:49 AM,06:19 PM,-1,6,8,6,11,58,57,1.0,1023,11,10,229,8,Uzbekistan
2020-03-07,10,5,0.0,11.6,3,87,03:23 PM,05:28 AM,06:48 AM,06:21 PM,-3,6,7,6,11,42,49,0.0,1025,10,10,269,8,Uzbekistan
2020-03-08,10,4,0.0,11.6,3,95,04:39 PM,06:11 AM,06:46 AM,06:22 PM,-2,6,7,6,9,10,55,0.0,1029,10,10,248,7,Uzbekistan
2020-03-09,13,6,0.0,10.2,2,100,05:57 PM,06:48 AM,06:44 AM,06:23 PM,-2,8,9,8,11,34,48,0.0,1025,13,10,251,9,Uzbekistan
2020-03-10,13,7,0.0,10.2,3,100,07:14 PM,07:22 AM,06:43 AM,06:24 PM,-4,8,9,8,12,53,39,0.0,1024,13,10,261,9,Uzbekistan
2020-03-11,14,8,0.0,11.6,4,84,08:31 PM,07:54 AM,06:41 AM,06:25 PM,-3,10,10,10,8,5,39,0.0,1023,14,10,240,6,Uzbekistan
2020-03-12,15,9,0.0,11.6,4,76,09:47 PM,08:25 AM,06:39 AM,06:26 PM,-2,11,12,11,8,7,39,0.0,1021,15,10,161,6,Uzbekistan
2020-03-13,18,10,0.0,11.6,4,69,11:02 PM,08:57 AM,06:38 AM,06:27 PM,-1,13,14,13,9,20,37,0.0,1023,18,10,139,6,Uzbekistan
2020-03-14,19,11,0.0,11.6,5,62,No moonrise,09:32 AM,06:36 AM,06:28 PM,-1,15,15,15,15,33,35,0.0,1020,19,10,131,10,Uzbekistan
2020-03-15,22,13,0.0,10.2,4,55,12:14 AM,10:11 AM,06:34 AM,06:30 PM,-2,17,17,17,12,32,28,0.0,1016,22,10,114,7,Uzbekistan
2020-03-16,25,16,0.0,10.2,5,47,01:22 AM,10:55 AM,06:33 AM,06:31 PM,-1,19,19,19,12,51,25,0.0,1016,25,10,168,7,Uzbekistan
2020-03-17,23,16,0.0,6.0,5,40,02:24 AM,11:45 AM,06:31 AM,06:32 PM,2,19,20,19,14,86,32,0.0,1019,23,10,204,10,Uzbekistan
2020-03-18,23,16,0.0,10.2,4,33,03:20 AM,12:39 PM,06:29 AM,06:33 PM,6,19,19,19,11,41,44,0.2,1022,23,10,194,8,Uzbekistan
