date_time,Vanuatu_maxtempC,Vanuatu_mintempC,Vanuatu_totalSnow_cm,Vanuatu_sunHour,Vanuatu_uvIndex,Vanuatu_moon_illumination,Vanuatu_moonrise,Vanuatu_moonset,Vanuatu_sunrise,Vanuatu_sunset,Vanuatu_DewPointC,Vanuatu_FeelsLikeC,Vanuatu_HeatIndexC,Vanuatu_WindChillC,Vanuatu_WindGustKmph,Vanuatu_cloudcover,Vanuatu_humidity,Vanuatu_precipMM,Vanuatu_pressure,Vanuatu_tempC,Vanuatu_visibility,Vanuatu_winddirDegree,Vanuatu_windspeedKmph,Vanuatu_location
2020-01-01,27,25,0.0,13.1,7,37,10:09 AM,10:52 PM,05:15 AM,06:25 PM,20,28,28,26,26,36,70,1.0,1012,27,10,130,20,Vanuatu
2020-01-02,27,24,0.0,10.7,6,44,10:57 AM,11:28 PM,05:15 AM,06:25 PM,20,27,27,25,24,54,72,1.3,1011,27,10,132,18,Vanuatu
2020-01-03,28,24,0.0,12.0,6,51,11:44 AM,No moonset,05:16 AM,06:26 PM,19,27,27,26,22,48,68,1.0,1009,28,10,129,16,Vanuatu
2020-01-04,27,25,0.0,12.0,6,59,12:31 PM,12:02 AM,05:17 AM,06:26 PM,21,28,28,26,30,46,74,0.7,1010,27,10,119,23,Vanuatu
2020-01-05,28,25,0.0,13.1,7,66,01:20 PM,12:37 AM,05:17 AM,06:26 PM,21,29,29,26,32,29,72,0.1,1011,28,10,109,25,Vanuatu
2020-01-06,29,26,0.0,12.0,6,73,02:10 PM,01:14 AM,05:18 AM,06:26 PM,22,30,30,27,33,49,76,1.9,1012,29,10,103,25,Vanuatu
2020-01-07,29,26,0.0,13.1,7,80,03:03 PM,01:54 AM,05:18 AM,06:27 PM,22,30,30,27,31,23,76,0.0,1011,29,10,107,24,Vanuatu
2020-01-08,28,25,0.0,10.7,6,88,03:59 PM,02:38 AM,05:19 AM,06:27 PM,22,29,29,27,31,54,75,0.1,1011,28,10,109,24,Vanuatu
2020-01-09,29,25,0.0,8.2,6,95,04:58 PM,03:27 AM,05:20 AM,06:27 PM,23,31,31,27,31,76,80,4.6,1010,29,10,109,23,Vanuatu
2020-01-10,29,26,0.0,9.4,6,100,05:57 PM,04:21 AM,05:20 AM,06:27 PM,24,31,31,28,34,70,79,7.0,1009,29,10,97,25,Vanuatu
2020-01-11,28,23,0.0,8.2,6,100,06:56 PM,05:21 AM,05:21 AM,06:27 PM,23,29,29,26,45,68,79,19.1,1008,28,8,83,28,Vanuatu
2020-01-12,27,20,0.0,8.2,6,83,07:51 PM,06:23 AM,05:22 AM,06:28 PM,21,28,28,25,36,78,75,4.7,1006,27,9,97,25,Vanuatu
2020-01-13,27,25,0.0,8.2,6,76,08:43 PM,07:26 AM,05:22 AM,06:28 PM,23,29,29,26,41,75,84,12.0,1003,27,10,99,29,Vanuatu
2020-01-14,28,27,0.0,8.2,6,69,09:31 PM,08:28 AM,05:23 AM,06:28 PM,23,31,31,27,49,70,79,0.7,1003,28,10,118,36,Vanuatu
2020-01-15,29,27,0.0,9.4,6,61,10:15 PM,09:30 AM,05:24 AM,06:28 PM,23,31,31,28,46,69,78,1.3,1002,29,10,121,34,Vanuatu
2020-01-16,28,27,0.0,12.0,6,54,10:58 PM,10:28 AM,05:24 AM,06:28 PM,23,30,30,27,42,62,77,1.2,1001,28,10,132,32,Vanuatu
2020-01-17,28,26,0.0,9.4,6,47,11:41 PM,11:26 AM,05:25 AM,06:28 PM,23,30,30,27,33,69,78,2.0,1000,28,10,153,26,Vanuatu
2020-01-18,28,26,0.0,9.4,6,40,No moonrise,12:23 PM,05:25 AM,06:28 PM,22,29,29,27,24,69,77,2.4,1003,28,10,148,18,Vanuatu
2020-01-19,28,22,0.0,10.7,6,32,12:23 AM,01:21 PM,05:26 AM,06:28 PM,22,28,28,26,24,67,77,2.2,1006,28,10,133,18,Vanuatu
2020-01-20,28,25,0.0,13.0,6,25,01:08 AM,02:18 PM,05:27 AM,06:28 PM,21,28,28,26,22,38,73,0.9,1009,28,10,127,17,Vanuatu
2020-01-21,27,25,0.0,9.4,6,18,01:55 AM,03:16 PM,05:27 AM,06:28 PM,21,28,28,26,24,66,74,2.6,1010,27,10,119,18,Vanuatu
2020-01-22,28,24,0.0,13.0,7,11,02:45 AM,04:13 PM,05:28 AM,06:28 PM,18,27,27,26,19,16,63,0.0,1011,28,10,127,14,Vanuatu
2020-01-23,28,24,0.0,8.1,6,3,03:37 AM,05:08 PM,05:29 AM,06:28 PM,21,28,28,26,18,70,71,1.5,1010,28,10,131,13,Vanuatu
2020-01-24,28,25,0.0,13.0,6,0,04:31 AM,06:00 PM,05:29 AM,06:28 PM,22,29,29,26,28,49,76,3.8,1009,28,10,127,22,Vanuatu
2020-01-25,28,25,0.0,8.1,6,0,05:26 AM,06:48 PM,05:30 AM,06:28 PM,21,29,29,26,18,63,73,0.5,1008,28,10,128,13,Vanuatu
2020-01-26,29,25,0.0,13.0,7,4,06:19 AM,07:33 PM,05:30 AM,06:28 PM,21,29,29,27,21,33,73,0.6,1008,29,10,102,16,Vanuatu
2020-01-27,29,25,0.0,13.0,6,11,07:11 AM,08:12 PM,05:31 AM,06:27 PM,22,30,30,27,22,44,76,0.6,1009,29,10,99,16,Vanuatu
