date_time,Venezuela_maxtempC,Venezuela_mintempC,Venezuela_totalSnow_cm,Venezuela_sunHour,Venezuela_uvIndex,Venezuela_moon_illumination,Venezuela_moonrise,Venezuela_moonset,Venezuela_sunrise,Venezuela_sunset,Venezuela_DewPointC,Venezuela_FeelsLikeC,Venezuela_HeatIndexC,Venezuela_WindChillC,Venezuela_WindGustKmph,Venezuela_cloudcover,Venezuela_humidity,Venezuela_precipMM,Venezuela_pressure,Venezuela_tempC,Venezuela_visibility,Venezuela_winddirDegree,Venezuela_windspeedKmph,Venezuela_location
2020-01-01,27,20,0.0,11.6,6,37,11:36 AM,11:46 PM,06:45 AM,06:17 PM,19,25,25,24,5,3,76,0.0,1012,27,10,97,4,Venezuela
2020-01-02,26,17,0.0,11.6,6,44,12:13 PM,No moonset,06:46 AM,06:17 PM,17,22,22,21,7,8,74,0.0,1013,26,10,108,5,Venezuela
2020-01-03,22,16,0.0,10.2,4,51,12:51 PM,12:31 AM,06:46 AM,06:18 PM,15,18,19,18,8,34,82,1.1,1015,22,10,89,5,Venezuela
2020-01-04,28,13,0.0,11.6,6,59,01:29 PM,01:16 AM,06:46 AM,06:18 PM,19,24,24,23,5,26,77,0.2,1015,28,10,94,4,Venezuela
2020-01-05,24,15,0.0,11.6,6,66,02:08 PM,02:02 AM,06:47 AM,06:19 PM,16,20,21,20,5,15,75,0.0,1014,24,10,262,3,Venezuela
2020-01-06,24,15,0.0,8.7,5,73,02:51 PM,02:50 AM,06:47 AM,06:19 PM,16,19,19,19,6,44,80,0.7,1013,24,10,165,4,Venezuela
2020-01-07,24,14,0.0,7.3,5,80,03:39 PM,03:42 AM,06:47 AM,06:20 PM,18,19,21,19,5,49,84,2.8,1013,24,10,89,4,Venezuela
2020-01-08,27,15,0.0,10.2,5,88,04:30 PM,04:36 AM,06:48 AM,06:20 PM,19,23,23,21,7,41,82,1.0,1014,27,9,107,5,Venezuela
2020-01-09,24,14,0.0,7.3,5,95,05:26 PM,05:33 AM,06:48 AM,06:21 PM,18,19,21,19,10,63,84,1.3,1015,24,10,83,8,Venezuela
2020-01-10,20,14,0.0,5.9,4,100,06:25 PM,06:32 AM,06:48 AM,06:21 PM,16,17,18,17,16,74,85,2.9,1014,20,10,96,9,Venezuela
2020-01-11,20,15,0.0,5.9,4,100,07:27 PM,07:31 AM,06:49 AM,06:22 PM,15,17,18,17,17,74,83,1.9,1014,20,10,97,9,Venezuela
2020-01-12,24,15,0.0,8.7,5,83,08:28 PM,08:28 AM,06:49 AM,06:23 PM,18,20,21,20,12,69,84,1.8,1015,24,10,92,9,Venezuela
2020-01-13,24,14,0.0,7.3,5,76,09:28 PM,09:22 AM,06:49 AM,06:23 PM,17,19,20,19,12,64,86,3.6,1014,24,10,87,8,Venezuela
2020-01-14,23,16,0.0,5.9,5,69,10:25 PM,10:12 AM,06:49 AM,06:24 PM,18,19,20,19,9,69,87,3.9,1013,23,9,93,6,Venezuela
2020-01-15,24,13,0.0,7.3,5,61,11:21 PM,10:59 AM,06:50 AM,06:24 PM,17,19,19,19,8,58,87,6.2,1012,24,8,105,5,Venezuela
2020-01-16,22,17,0.0,5.9,5,54,No moonrise,11:45 AM,06:50 AM,06:25 PM,17,19,20,19,12,74,87,8.8,1014,22,9,112,7,Venezuela
2020-01-17,24,17,0.0,7.3,5,47,12:14 AM,12:30 PM,06:50 AM,06:25 PM,18,20,21,20,11,64,91,7.5,1014,24,8,104,6,Venezuela
2020-01-18,21,13,0.0,7.3,4,40,01:09 AM,01:17 PM,06:50 AM,06:26 PM,17,18,19,18,14,65,90,6.0,1014,21,9,95,8,Venezuela
2020-01-19,21,14,0.0,5.9,5,32,02:03 AM,02:04 PM,06:50 AM,06:26 PM,19,19,21,19,11,74,90,3.5,1013,21,9,105,8,Venezuela
2020-01-20,25,14,0.0,8.7,5,25,02:58 AM,02:53 PM,06:50 AM,06:27 PM,20,22,22,20,7,56,87,3.5,1012,25,7,120,6,Venezuela
2020-01-21,22,17,0.0,7.3,5,18,03:55 AM,03:46 PM,06:51 AM,06:27 PM,18,19,21,19,8,66,88,7.5,1011,22,7,121,5,Venezuela
2020-01-22,26,15,0.0,8.7,5,11,04:50 AM,04:39 PM,06:51 AM,06:27 PM,19,23,23,21,4,42,84,0.7,1011,26,10,98,3,Venezuela
2020-01-23,25,15,0.0,11.6,6,3,05:45 AM,05:33 PM,06:51 AM,06:28 PM,17,20,21,20,5,7,75,0.0,1011,25,10,274,3,Venezuela
2020-01-24,24,17,0.0,10.2,5,0,06:37 AM,06:26 PM,06:51 AM,06:28 PM,16,20,21,20,5,25,73,0.2,1012,24,10,126,4,Venezuela
2020-01-25,25,16,0.0,8.7,5,0,07:26 AM,07:18 PM,06:51 AM,06:29 PM,19,23,23,21,3,33,80,2.3,1013,25,10,88,2,Venezuela
