date_time,Yemen_maxtempC,Yemen_mintempC,Yemen_totalSnow_cm,Yemen_sunHour,Yemen_uvIndex,Yemen_moon_illumination,Yemen_moonrise,Yemen_moonset,Yemen_sunrise,Yemen_sunset,Yemen_DewPointC,Yemen_FeelsLikeC,Yemen_HeatIndexC,Yemen_WindChillC,Yemen_WindGustKmph,Yemen_cloudcover,Yemen_humidity,Yemen_precipMM,Yemen_pressure,Yemen_tempC,Yemen_visibility,Yemen_winddirDegree,Yemen_windspeedKmph,Yemen_location
2020-01-01,22,12,0.0,8.7,5,37,11:03 AM,11:06 PM,06:29 AM,05:44 PM,7,17,17,17,5,16,57,0.1,1015,22,10,184,4,Yemen
2020-01-02,24,12,0.0,8.7,5,44,11:39 AM,11:52 PM,06:30 AM,05:44 PM,7,18,18,18,5,17,53,0.1,1016,24,10,131,4,Yemen
2020-01-03,26,13,0.0,8.7,5,51,12:14 PM,No moonset,06:30 AM,05:45 PM,7,19,20,19,6,22,51,0.4,1016,26,10,78,5,Yemen
2020-01-04,23,13,0.0,8.7,4,59,12:50 PM,12:38 AM,06:30 AM,05:46 PM,5,18,18,18,5,22,46,0.2,1015,23,10,159,5,Yemen
2020-01-05,22,13,0.0,8.7,5,66,01:28 PM,01:26 AM,06:31 AM,05:46 PM,8,17,17,17,13,8,61,0.0,1013,22,10,241,11,Yemen
2020-01-06,22,13,0.0,8.7,4,73,02:08 PM,02:15 AM,06:31 AM,05:47 PM,9,18,18,18,7,25,59,1.0,1015,22,10,142,6,Yemen
2020-01-07,24,13,0.0,8.7,4,80,02:52 PM,03:07 AM,06:31 AM,05:47 PM,7,18,18,18,6,24,48,1.9,1017,24,10,123,5,Yemen
2020-01-08,21,13,0.0,8.7,4,88,03:41 PM,04:02 AM,06:31 AM,05:48 PM,10,17,17,17,9,37,66,4.1,1016,21,10,217,7,Yemen
2020-01-09,21,13,0.0,8.7,5,95,04:35 PM,04:59 AM,06:32 AM,05:48 PM,8,17,17,17,15,24,59,0.5,1014,21,10,231,13,Yemen
2020-01-10,19,11,0.0,8.7,5,100,05:34 PM,05:59 AM,06:32 AM,05:49 PM,8,15,15,15,18,7,62,0.0,1013,19,10,233,15,Yemen
2020-01-11,18,12,0.0,7.2,4,100,06:35 PM,06:57 AM,06:32 AM,05:50 PM,8,14,15,14,19,36,66,0.4,1014,18,10,238,16,Yemen
2020-01-12,19,9,0.0,8.7,4,83,07:38 PM,07:54 AM,06:32 AM,05:50 PM,3,14,14,14,7,6,55,0.0,1019,19,10,159,6,Yemen
2020-01-13,18,9,0.0,8.7,4,76,08:39 PM,08:47 AM,06:33 AM,05:51 PM,5,13,13,13,9,6,58,0.0,1018,18,10,226,7,Yemen
2020-01-14,22,10,0.0,8.7,5,69,09:40 PM,09:37 AM,06:33 AM,05:51 PM,3,16,16,16,6,3,48,0.0,1017,22,10,215,5,Yemen
2020-01-15,19,9,0.0,8.7,4,61,10:37 PM,10:23 AM,06:33 AM,05:52 PM,-5,13,14,13,10,0,30,0.0,1020,19,10,46,8,Yemen
2020-01-16,22,8,0.0,8.7,5,54,11:34 PM,11:07 AM,06:33 AM,05:53 PM,-10,15,16,15,7,0,19,0.0,1020,22,10,52,6,Yemen
2020-01-17,26,10,0.0,8.7,6,47,No moonrise,11:50 AM,06:33 AM,05:53 PM,-9,18,18,18,4,1,18,0.0,1018,26,10,75,3,Yemen
2020-01-18,26,12,0.0,8.7,6,40,12:30 AM,12:34 PM,06:33 AM,05:54 PM,-3,19,19,19,3,0,23,0.0,1016,26,10,171,2,Yemen
2020-01-19,26,13,0.0,8.7,6,32,01:27 AM,01:19 PM,06:33 AM,05:54 PM,1,19,19,19,5,0,31,0.0,1016,26,10,161,4,Yemen
2020-01-20,26,13,0.0,8.7,6,25,02:23 AM,02:06 PM,06:33 AM,05:55 PM,-1,19,20,19,4,0,27,0.0,1017,26,10,58,3,Yemen
2020-01-21,20,12,0.0,8.7,5,18,03:21 AM,02:56 PM,06:33 AM,05:55 PM,1,16,16,16,10,2,38,0.0,1015,20,10,184,9,Yemen
2020-01-22,19,10,0.0,8.7,5,11,04:17 AM,03:49 PM,06:33 AM,05:56 PM,8,14,14,14,13,15,69,0.0,1014,19,10,226,11,Yemen
2020-01-23,19,11,0.0,7.2,4,3,05:13 AM,04:42 PM,06:33 AM,05:56 PM,9,14,14,14,12,54,73,0.6,1015,19,10,228,10,Yemen
2020-01-24,19,11,0.0,5.7,4,0,06:06 AM,05:37 PM,06:33 AM,05:57 PM,9,15,15,15,12,72,69,1.4,1017,19,10,226,10,Yemen
2020-01-25,20,12,0.0,8.7,5,0,06:55 AM,06:30 PM,06:33 AM,05:57 PM,7,17,17,17,9,15,57,0.1,1018,20,10,229,8,Yemen
2020-01-26,19,12,0.0,8.7,5,4,07:40 AM,07:22 PM,06:33 AM,05:58 PM,6,15,16,15,9,13,59,0.0,1020,19,10,119,8,Yemen
2020-01-27,20,7,0.0,8.7,4,11,08:21 AM,08:11 PM,06:33 AM,05:58 PM,3,12,13,12,8,16,55,0.0,1020,20,10,112,7,Yemen
2020-01-28,22,9,0.0,8.7,5,18,09:00 AM,08:59 PM,06:33 AM,05:59 PM,1,15,15,15,5,3,41,0.0,1018,22,10,119,4,Yemen
2020-01-29,21,11,0.0,8.7,5,26,09:37 AM,09:46 PM,06:33 AM,05:59 PM,4,16,16,16,8,3,45,0.0,1016,21,10,197,7,Yemen
2020-01-30,24,12,0.0,11.6,5,33,10:12 AM,10:31 PM,06:33 AM,06:00 PM,3,18,18,18,5,2,39,0.0,1017,24,10,110,4,Yemen
2020-01-31,22,12,0.0,11.6,5,37,10:47 AM,11:18 PM,06:33 AM,06:00 PM,1,17,17,17,6,2,35,0.0,1016,22,10,174,5,Yemen
