date_time,Zimbabwe_maxtempC,Zimbabwe_mintempC,Zimbabwe_totalSnow_cm,Zimbabwe_sunHour,Zimbabwe_uvIndex,Zimbabwe_moon_illumination,Zimbabwe_moonrise,Zimbabwe_moonset,Zimbabwe_sunrise,Zimbabwe_sunset,Zimbabwe_DewPointC,Zimbabwe_FeelsLikeC,Zimbabwe_HeatIndexC,Zimbabwe_WindChillC,Zimbabwe_WindGustKmph,Zimbabwe_cloudcover,Zimbabwe_humidity,Zimbabwe_precipMM,Zimbabwe_pressure,Zimbabwe_tempC,Zimbabwe_visibility,Zimbabwe_winddirDegree,Zimbabwe_windspeedKmph,Zimbabwe_location
2020-01-01,30,19,0.0,13.1,7,37,10:36 AM,11:15 PM,05:24 AM,06:34 PM,13,26,26,25,14,16,52,0.0,1010,30,10,107,9,Zimbabwe
2020-01-02,31,18,0.0,13.1,7,44,11:24 AM,11:50 PM,05:25 AM,06:35 PM,13,25,25,25,12,19,56,0.1,1011,31,10,106,9,Zimbabwe
2020-01-03,31,18,0.0,13.1,7,51,12:11 PM,No moonset,05:25 AM,06:35 PM,11,25,25,25,14,18,52,0.1,1012,31,10,84,9,Zimbabwe
2020-01-04,29,18,0.0,13.1,5,59,12:59 PM,12:24 AM,05:26 AM,06:35 PM,15,23,23,23,14,41,68,1.0,1013,29,9,65,10,Zimbabwe
2020-01-05,34,18,0.0,13.1,7,66,01:48 PM,01:00 AM,05:26 AM,06:35 PM,13,26,26,26,14,23,58,0.1,1011,34,9,74,9,Zimbabwe
2020-01-06,32,18,0.0,13.1,6,73,02:39 PM,01:38 AM,05:27 AM,06:36 PM,14,26,26,25,12,39,60,0.4,1009,32,10,44,8,Zimbabwe
2020-01-07,28,18,0.0,12.0,5,80,03:34 PM,02:19 AM,05:28 AM,06:36 PM,16,23,23,22,15,56,69,1.7,1010,28,10,79,10,Zimbabwe
2020-01-08,28,18,0.0,10.7,5,88,04:31 PM,03:05 AM,05:28 AM,06:36 PM,16,24,24,23,14,45,66,2.9,1011,28,10,58,9,Zimbabwe
2020-01-09,28,19,0.0,12.0,5,95,05:30 PM,03:56 AM,05:29 AM,06:36 PM,17,23,23,22,11,52,73,4.7,1010,28,10,123,7,Zimbabwe
2020-01-10,26,18,0.0,13.1,5,100,06:29 PM,04:52 AM,05:30 AM,06:37 PM,17,23,23,22,11,58,77,7.2,1011,26,9,101,8,Zimbabwe
2020-01-11,26,17,0.0,10.7,5,100,07:27 PM,05:53 AM,05:30 AM,06:37 PM,16,22,22,21,19,61,76,14.0,1013,26,8,109,13,Zimbabwe
2020-01-12,25,18,0.0,8.2,5,83,08:21 PM,06:56 AM,05:31 AM,06:37 PM,18,22,22,21,9,78,84,53.7,1013,25,7,173,5,Zimbabwe
2020-01-13,25,18,0.0,8.2,5,76,09:11 PM,07:59 AM,05:31 AM,06:37 PM,18,22,22,21,15,69,82,40.3,1011,25,7,82,9,Zimbabwe
2020-01-14,23,18,0.0,9.4,5,69,09:57 PM,09:01 AM,05:32 AM,06:37 PM,17,20,20,20,15,71,87,34.3,1011,23,6,92,8,Zimbabwe
2020-01-15,22,17,0.0,9.4,4,61,10:41 PM,10:01 AM,05:33 AM,06:37 PM,17,19,19,19,14,75,89,64.8,1012,22,7,114,10,Zimbabwe
